股票代码,股票简称,报告期,上下游关系比率,现金比率,核心利润率%,核心利润含金量
600192,长城电工,2016-09-30,0.64,0.10,1.26,-2.34
600193,创兴资源,2016-09-30,1.40,0.03,11.33,11.56
600195,中牧股份,2016-09-30,0.44,0.04,7.74,-0.82
600196,复星医药,2016-09-30,0.48,0.09,10.83,1.32
600197,伊力特,2016-09-30,1.78,0.13,27.47,1.16
600198,大唐电信,2016-09-30,0.63,0.08,-10.26,-0.10
600199,金种子酒,2016-09-30,3.94,0.24,0.43,-36.65
600200,江苏吴中,2016-09-30,1.09,0.11,0.30,74.66
600201,生物股份,2016-09-30,0.46,0.11,55.54,0.57
600202,哈空调,2016-09-30,0.30,0.02,-43.49,-1.79
600203,福日电子,2016-09-30,1.09,0.09,0.20,7.05
600205,S山东铝,2006-12-31,1.02,0.00,24.63,0.26
600206,有研新材,2016-09-30,0.22,0.14,0.98,-9.29
600207,安彩高科,2016-09-30,0.39,0.04,0.70,3.54
600208,新湖中宝,2016-09-30,7.30,0.42,-0.91,-49.17
600209,罗顿发展,2016-09-30,2.23,0.01,-65.20,1.13
600210,紫江企业,2016-09-30,0.59,0.17,4.85,2.68
600211,西藏药业,2016-09-30,0.26,0.03,23.11,0.48
600212,江泉实业,2016-09-30,0.18,0.00,3.33,1.11
600213,亚星客车,2016-09-30,0.71,0.06,4.19,-1.26
600215,长春经开,2016-09-30,1.85,0.01,-7.82,1.82
600216,浙江医药,2016-09-30,0.70,0.08,14.19,0.42
600217,中再资环,2016-09-30,0.12,0.04,36.98,-1.88
600218,全柴动力,2016-09-30,1.14,0.05,4.43,1.25
600219,南山铝业,2016-09-30,1.27,0.12,6.45,0.71
600220,江苏阳光,2016-09-30,0.17,0.09,11.06,-1.04
600221,海南航空,2016-09-30,7.75,0.71,11.07,3.46
600222,太龙药业,2016-09-30,0.34,0.13,-0.73,9.64
600223,鲁商置业,2016-09-30,2.26,0.52,1.86,-61.38
600225,天津松江,2016-09-30,3.24,0.00,-23.38,-1.25
600226,升华拜克,2016-09-30,1.39,0.11,-8.32,0.11
600227,赤天化,2016-12-31,1.17,0.06,-4.48,-1.01
600228,昌九生化,2016-09-30,0.69,0.01,-7.06,-0.07
600229,城市传媒,2016-09-30,1.72,0.10,13.26,0.45
600230,*ST沧大,2016-09-30,2.74,0.02,4.38,4.89
600231,凌钢股份,2016-09-30,1.81,0.33,0.18,7.96
600232,金鹰股份,2016-09-30,1.03,0.04,3.99,-0.10
600233,圆通速递,2016-09-30,7.48,0.29,10.45,0.74
600234,*ST山水,2016-09-30,4.22,0.00,-166.99,-0.34
600235,民丰特纸,2016-09-30,0.45,0.03,1.80,5.33
600236,桂冠电力,2016-09-30,1.57,0.05,44.18,1.68
600237,铜峰电子,2016-09-30,0.58,0.14,-11.26,-0.15
600238,海南椰岛,2016-09-30,3.90,0.07,-6.85,0.95
600239,云南城投,2016-09-30,3.86,0.00,-18.56,2.55
600240,华业资本,2016-09-30,4.69,0.21,0.96,13.07
600241,时代万恒,2016-09-30,1.43,0.18,-0.34,26.68
600242,中昌数据,2016-09-30,0.48,0.00,-0.08,7.60
600243,青海华鼎,2016-09-30,0.34,0.04,-10.06,3.46
600246,万通地产,2016-09-30,3.53,0.31,2.98,16.97
600247,ST成城,2016-09-30,0.10,0.00,-16.06,0.04
600248,延长化建,2016-09-30,1.28,0.13,3.67,1.45
600249,两面针,2016-09-30,1.47,0.04,-13.05,-0.08
600250,南纺股份,2016-09-30,3.75,0.13,-7.16,-1.00
600251,冠农股份,2016-09-30,1.23,0.08,-4.13,-5.96
600252,中恒集团,2016-09-30,5.23,0.14,48.67,1.82
600253,天方药业,2013-03-31,0.94,0.00,2.09,-8.38
600255,鑫科材料,2016-09-30,1.00,0.07,-1.68,1.97
600256,广汇能源,2016-09-30,4.72,0.08,-2.83,-14.80
600257,大湖股份,2016-09-30,0.37,0.02,1.15,-2.06
600258,首旅酒店,2016-09-30,0.61,0.19,6.25,3.87
600259,广晟有色,2016-09-30,1.43,0.03,-5.78,1.92
600260,凯乐科技,2016-09-30,0.84,0.05,2.74,-9.41
600261,阳光照明,2016-09-30,1.16,0.18,12.01,1.95
600262,北方股份,2016-09-30,0.70,0.04,-1.52,-29.01
600263,路桥建设,2011-09-30,2.44,0.00,1.66,-2.94
600265,ST景谷,2016-12-31,4.26,0.00,-64.24,0.70
600266,北京城建,2016-09-30,15.00,0.40,12.02,1.39
600267,海正药业,2016-09-30,0.62,0.15,1.35,4.60
600268,国电南自,2016-09-30,0.93,0.11,-1.50,10.62
600269,赣粤高速,2016-09-30,3.88,0.22,18.92,1.94
600270,外运发展,2016-09-30,0.76,0.18,-0.08,49.10
