code,股票名称,市盈率,type,上年同期每股收益,预增范围,增长率,GPE水准
2341,新纶科技,81.66,预增,0.1343,239%~289%,239.0,2.926769532206711
2237,恒邦股份,24.15,预增,0.22,70%~100%,70.0,2.898550724637681
2632,道明光学,44.92,预增,0.08,130%~180%,130.0,2.894033837934105
2155,湖南黄金,34.93,预增,0.12,100%~150%,100.0,2.86286859433152
2097,山河智能,52.99,预增,0.0886,150%~200%,150.0,2.8307227778826194
2449,国星光电,24.98,预增,0.4042,70%~100%,70.0,2.8022417934347477
2503,搜于特,23.56,预增,0.26,65%~115%,65.0,2.7589134125636674
2425,凯撒文化,29.0,预增,0.32,80%~120%,80.0,2.7586206896551726
2019,亿帆医药,23.67,预增,0.64,65%~95%,65.0,2.7460920997042666
2088,鲁阳节能,25.62,预增,0.45,70%~110%,70.0,2.73224043715847
2442,龙星化工,64.67,预增,0.0642,176%~208%,176.0,2.7215092005566723
600415,小商品城,19.31,预增,0.19,50,50.0,2.589331952356292
2087,新野纺织,15.74,预增,0.2721,40%~60%,40.0,2.5412960609911055
2499,科林环保,64.12,预增,0.1,159.1%~210.93%,159.0,2.479725514660012
600338,西藏珠峰,25.0,预增,0.9958,60%~100%,60.0,2.4
786,北新建材,21.0,预增,0.7929999999999999,50%~100%,50.0,2.380952380952381
2245,澳洋顺昌,29.54,预增,0.211,70%~100%,70.0,2.3696682464454977
2195,二三四五,21.27,预增,0.33,50%~80%,50.0,2.3507287259050305
300343,联创互联,24.93,预增,0.36,58%~88%,58.0,2.3265142398716407
2188,巴士在线,32.42,预增,0.31,75.21%~142.36%,75.0,2.313386798272671
2283,天润曲轴,21.63,预增,0.17,50%~100%,50.0,2.311604253351826
2431,棕榈股份,52.51,预增,0.09,120%~170%,120.0,2.2852789944772427
2645,华宏科技,32.72,预增,0.3009,74.53%~106.26%,74.0,2.2616136919315406
2091,江苏国泰,17.79,预增,0.75,40%~70%,40.0,2.2484541877459248
2535,林州重机,91.43,预增,0.02,205.07%~252.52%,205.0,2.242152466367713
2766,索菱股份,41.24,预增,0.42,90%~130%,90.0,2.182347235693501
2775,文科园林,23.44,预增,0.5736,50%~80%,50.0,2.1331058020477816
2443,金洲管道,33.61,预增,0.12,70%~120%,70.0,2.0827134781315086
2619,艾格拉斯,37.57,预增,0.27,78.37%~109.19%,78.0,2.0761245674740483
2636,金安国纪,22.19,预增,0.469,45%~75%,45.0,2.0279405137449302
300123,太阳鸟,268.56,预增,0.06,538.15%~565.52%,538.0,2.0032767351802203
2699,美盛文化,40.49,预增,0.41,80%~130%,80.0,1.9757964929612248
2537,海联金汇,32.97,预增,0.6,65%~115%,65.0,1.9714892326357296
2326,永太科技,25.41,预增,0.35,50%~80%,50.0,1.9677292404565132
2456,欧菲科技,41.41,预增,0.6892,80%~120%,80.0,1.9319005071238833
2379,宏创控股,105.41,预增,0.0153,203.87%~253.34%,203.0,1.9258134901811972
2589,瑞康医药,20.95,预增,1.005,40%~90%,40.0,1.9093078758949882
2309,中利集团,138.72,预增,0.12,263.63%~344.43%,263.0,1.8959054209919262
2640,跨境通,42.2,预增,0.29,80%~110%,80.0,1.895734597156398
2596,海南瑞泽,79.08,预增,0.22,149.23%~199.08%,149.0,1.8841679312089024
2045,国光电器,58.54,预增,0.14,110%~140%,110.0,1.8790570550051247
2125,湘潭电化,66.35,预增,0.06,124.81%~169.78%,124.0,1.8688771665410702
2217,合力泰,25.74,预增,0.61,48.78%~65.94%,48.0,1.864801864801865
2599,盛通股份,57.1,预增,0.27,105.49%~132.88%,105.0,1.838879159369527
2322,理工环科,34.38,预增,0.38,62%~112%,62.0,1.803374054682955
300684,中石科技,33.61,预增,0.5659,60%~79%,60.0,1.7851829812555788
2406,远东传动,25.38,预增,0.2085,45%~90%,45.0,1.773049645390071
2118,紫鑫药业,46.96,预增,0.13,83.86%~108.38%,83.0,1.7674616695059624
300208,恒顺众昇,22.84,预增,0.33,40%~60%,40.0,1.7513134851138354
2567,唐人神,22.96,预增,0.408,40%~70%,40.0,1.7421602787456445
300068,南都电源,28.71,预增,0.48,50%~80%,50.0,1.7415534656913967
300677,英科医疗,36.28,预增,1.18,63.31%~74.98%,63.0,1.7364939360529217
300146,汤臣倍健,20.25,预增,0.37,35%~55%,35.0,1.728395061728395
2385,大北农,23.2,预增,0.22,40%~60%,40.0,1.7241379310344829
2099,海翔药业,24.47,预增,0.15,42.21%~86.65%,42.0,1.7163874131589703
2121,科陆电子,35.19,预增,0.2293,60%~105%,60.0,1.7050298380221656
2057,中钢天源,29.54,预增,0.1724,50%~100%,50.0,1.6926201760324984
300035,中科电气,72.18,预增,0.1,120%~150%,120.0,1.6625103906899417
2290,中科新材,54.44,预增,0.13,90%~140%,90.0,1.6531961792799412
2555,三七互娱,26.85,预增,0.513,44.84%~63.53%,44.0,1.6387337057728117
2222,福晶科技,56.37,预增,0.1645,90%~130%,90.0,1.596593932943055
2075,沙钢股份,72.13,预增,0.1,115%~160%,115.0,1.5943435463746014
2602,世纪华通,37.01,预增,0.49,58.9%~88.7%,58.0,1.5671440151310458
2105,信隆健康,41.48,预增,0.077,65%~115%,65.0,1.5670202507232402
2247,帝龙文化,25.58,预增,0.54,40%~80%,40.0,1.563721657544957
600798,宁波海运,38.95,预增,0.0857,60,60.0,1.5404364569961488
300138,晨光生物,30.57,预增,0.3558,47.07%~68.7%,47.0,1.5374550212626759
2408,齐翔腾达,29.51,预增,0.28,45%~95%,45.0,1.5249068112504236
2445,中南文化,46.12,预增,0.3,70%~120%,70.0,1.517779705117086
2148,北纬科技,35.6,预增,0.31,54.76%~80.13%,54.0,1.5168539325842696
2386,天原集团,53.47,预增,0.0821,81.36%~99.5%,81.0,1.5148681503646906
2135,东南网架,66.15,预增,0.06,100%~120%,100.0,1.511715797430083
300347,泰格医药,66.67,预增,0.3,100%~129.9%,100.0,1.4999250037498124
2340,格林美,53.4,预增,0.09,80%~130%,80.0,1.4981273408239701
2226,江南化工,47.31,预增,0.0747,70%~100%,70.0,1.4796026210103572
2545,东方铁塔,62.02,预增,0.1569,90%~140%,90.0,1.4511447920025797
2323,雅百特,21.22,预增,0.32299999999999995,30%~80%,30.0,1.413760603204524
2012,凯恩股份,149.43,预增,0.02,210.73%~256.77%,210.0,1.4053402931138326
2716,金贵银业,43.16,预增,0.29,60%~110%,60.0,1.3901760889712698
2712,思美传媒,28.9,预增,0.51,40%~90%,40.0,1.384083044982699
2684,猛狮科技,80.94,预增,0.29,112.82%~162.72%,112.0,1.3837410427477144
603869,北部湾旅,29.3,预增,0.68,40%~80%,40.0,1.36518771331058
603568,伟明环保,29.46,预增,0.48,40%~60%,40.0,1.357773251866938
2233,塔牌集团,22.18,预增,0.5077,30%~80%,30.0,1.3525698827772767
601216,君正集团,18.52,预增,0.1877,25%~55%,25.0,1.349892008639309
2258,利尔化学,29.72,预增,0.4,40%~70%,40.0,1.3458950201884254
300708,聚灿光电,63.76,预增,0.314,85.62%~115.98%,85.0,1.3331242158092849
300718,长盛轴承,32.48,预增,1.08,43%~56%,43.0,1.3238916256157636
2427,尤夫股份,45.52,预增,0.42,60%~110%,60.0,1.3181019332161685
2711,欧浦智网,30.44,预增,0.34,40%~70%,40.0,1.314060446780552
2370,亚太药业,38.11,预增,0.57,50%~85%,50.0,1.311991603253739
2751,易尚展示,134.91,预增,0.11,177.84%~224.15%,177.0,1.3119857682899712
300366,创意信息,60.98,预增,0.5149,80%~110%,80.0,1.3119055428009183
2149,西部材料,86.07,预增,0.1114,112.05%~159.18%,112.0,1.3012664110607646
2216,三全食品,62.36,预增,0.05,80%~110%,80.0,1.2828736369467608
300316,晶盛机电,62.43,预增,0.23,80%~110%,80.0,1.2814352074323243
2479,富春环保,23.54,预增,0.31,30%~60%,30.0,1.274426508071368
2086,东方海洋,56.14,预增,0.1114,70%~100%,70.0,1.2468827930174564
2696,百洋股份,65.08,预增,0.3367,80%~110%,80.0,1.2292562999385372
2507,涪陵榨菜,32.67,预增,0.49,40%~60%,40.0,1.224364860728497
2833,弘亚数控,33.62,预增,1.55,41.82%~61.16%,41.0,1.2195121951219514
2429,兆驰股份,24.97,预增,0.23,30%~60%,30.0,1.2014417300760913
2358,森源电气,24.98,预增,0.39,30%~60%,30.0,1.200960768614892
2551,尚荣医疗,33.85,预增,0.26,40%~70%,40.0,1.1816838995568686
2845,同兴达,40.68,预增,1.36,48%~93%,48.0,1.1799410029498525
2441,众业达,21.63,预增,0.27,25%~75%,25.0,1.155802126675913
2139,拓邦股份,35.03,预增,0.35,40%~60%,40.0,1.1418783899514702
2620,瑞和股份,26.28,预增,0.721,30%~60%,30.0,1.1415525114155252
300221,银禧科技,37.78,预增,0.38,43.8%~56.87%,43.0,1.1381683430386447
300249,依米康,71.77,预增,0.1262,80.06%~109.33%,80.0,1.1146718684687196
2043,兔 宝 宝,31.45,预增,0.32,35%~65%,35.0,1.1128775834658189
2093,国脉科技,72.12,预增,0.0894,80%~130%,80.0,1.1092623405435384
2463,沪电股份,41.26,预增,0.078,45.59%~76.24%,45.0,1.0906446921958313
2770,科迪乳业,37.14,预增,0.16,40%~60%,40.0,1.0770059235325795
2472,双环传动,28.02,预增,0.28,30%~60%,30.0,1.0706638115631693
2756,永兴特钢,28.1,预增,0.7,30%~50%,30.0,1.0676156583629892
2310,东方园林,47.13,预增,0.51,50%~80%,50.0,1.0608953957139826
2768,国恩股份,38.05,预增,0.55,40%~80%,40.0,1.0512483574244416
2649,博彦科技,38.81,预增,0.7,40%~90%,40.0,1.030662200463798
2685,华东重机,341.37,预增,0.0445,350%~400%,350.0,1.0252804874476376
965,天保基建,26.46,预增,0.29,27.31%~51.39%,27.0,1.0204081632653061
2497,雅化集团,59.1,预增,0.14,60%~100%,60.0,1.015228426395939
2176,江特电机,59.42,预增,0.14,60%~90%,60.0,1.0097610232245036
2402,和而泰,39.71,预增,0.14,40%~60%,40.0,1.007302946361118
2404,嘉欣丝绸,30.58,预增,0.19,30%~80%,30.0,0.9810333551340746
2383,合众思壮,162.58,预增,0.4613,159.2%~200.67%,159.0,0.9779800713494894
2279,久其软件,38.08,预增,0.4037,37.23%~64.68%,37.0,0.9716386554621849
2626,金达威,36.48,预增,0.51,35%~80%,35.0,0.9594298245614036
603085,天成自控,88.88,预增,0.34,85%~105%,85.0,0.9563456345634564
636,风华高科,45.1,预增,0.16,43.98%~79.98%,43.0,0.9534368070953436
58,深 赛 格,99.92,预增,0.1371,95.24,95.0,0.9507606084867894
2303,美盈森,32.8,预增,0.1542,30%~70%,30.0,0.9146341463414634
2035,华帝股份,43.76,预增,0.91,40%~60%,40.0,0.9140767824497258
2273,水晶光电,43.94,预增,0.39,40%~60%,40.0,0.9103322712790168
2757,南兴装备,38.54,预增,0.6073,35%~65%,35.0,0.9081473793461339
2916,深南电路,54.07,预增,1.31,49.38%~74.89%,49.0,0.9062326613648973
2265,西仪股份,197.04,预增,0.02,178.07%~227.98%,178.0,0.903369874137231
300411,金盾股份,200.1,预增,0.27,180%~220%,180.0,0.8995502248875562
2243,通产丽星,66.52,预增,0.07200000000000001,59.83%~90.27%,59.0,0.8869512928442574
2805,丰元股份,75.74,预增,0.27,67.28%~91.49%,67.0,0.8846052284129918
2396,星网锐捷,35.16,预增,0.5926,30%~60%,30.0,0.8532423208191127
2549,凯美特气,120.8,预增,0.03,100%~150%,100.0,0.8278145695364238
2212,南洋股份,511.98,预增,0.14,419.38%~469.38%,419.0,0.818391343411852
2351,漫步者,37.85,预增,0.15,30%~60%,30.0,0.7926023778071334
2320,海峡股份,37.96,预增,0.37,30%~80%,30.0,0.7903055848261328
2475,立讯精密,50.69,预增,0.6,40%~60%,40.0,0.7891102781613731
2755,东方新星,284.61,预增,0.05,222.5%~272.45%,222.0,0.7800147570359439
2119,康强电子,53.92,预增,0.21,42.14%~60.48%,42.0,0.7789317507418397
2166,莱茵生物,39.06,预增,0.16,30%~80%,30.0,0.7680491551459293
2695,煌上煌,52.87,预增,0.18,40%~70%,40.0,0.7565727255532438
603466,风语筑,39.68,预增,1.04,30.08%~70.88%,30.0,0.7560483870967742
2882,金龙羽,31.83,预增,0.342,24.79%~69.8%,24.0,0.7540056550424129
2127,南极电商,57.6,预增,0.2,43.78%~74.67%,43.0,0.7465277777777778
2587,奥拓电子,36.47,预增,0.23,27.49%~77.32%,27.0,0.7403345215245407
2116,中国海诚,27.99,预增,0.33,20%~60%,20.0,0.7145409074669525
2635,安洁科技,42.08,预增,1.0,30%~60%,30.0,0.7129277566539924
2031,巨轮智能,112.81,预增,0.0143,80%~130%,80.0,0.709156989628579
2694,顾地科技,496.72,预增,0.12,350%~400%,350.0,0.7046223224351748
2184,海得控制,285.03,预增,0.058,200%~250%,200.0,0.7016805248570327
2455,百川股份,42.98,预增,0.17,30%~80%,30.0,0.6979990693345742
2211,宏达新材,116.72,预增,0.03,80%~120%,80.0,0.6854009595613434
603456,九洲药业,45.37,预增,0.25,30%~50%,30.0,0.6612298875909192
2621,三垒股份,151.95,预增,0.04,100%~150%,100.0,0.6581112207963147
600570,恒生电子,76.06,预增,0.03,50%,50.0,0.6573757559821194
2741,光华科技,61.06,预增,0.18,40%~70%,40.0,0.6550933508024893
300725,药石科技,120.97,预增,0.69,77.21%~106.28%,77.0,0.6365214515995702
2622,融钰集团,282.82,预增,0.02,180.79%~230.76%,180.0,0.6364472102397285
300633,开立医疗,71.63,预增,0.36,45.68%~60.01%,45.0,0.6282283959234958
2586,围海股份,112.15,预增,0.13,70%~120%,70.0,0.6241640659830584
300616,尚品宅配,64.58,预增,3.15,40%~60%,40.0,0.6193868070610096
2800,天顺股份,48.57,预增,0.53,30%~80%,30.0,0.6176652254478073
2554,惠博普,49.63,预增,0.13,30%~60%,30.0,0.6044731009470078
2130,沃尔核材,50.13,预增,0.1854,30%~80%,30.0,0.5984440454817475
2578,闽发铝业,151.71,预增,0.04,90%~120%,90.0,0.5932370970931382
2356,赫美集团,54.92,预增,0.4485,32.86%~61.59%,32.0,0.5826656955571741
2802,洪汇新材,43.76,预增,0.56,25%~55%,25.0,0.5712979890310786
2151,北斗星通,164.02,预增,0.11,93%~142%,93.0,0.5670040238995244
2803,吉宏股份,101.99,预增,0.43,55%~105%,55.0,0.5392685557407589
2742,三圣股份,52.27,预增,0.55,28%~53%,28.0,0.5356801224411708
2663,普邦股份,57.55,预增,0.06,30%~60%,30.0,0.5212858384013901
2362,汉王科技,123.15,预增,0.0996,64.17%~111.08%,64.0,0.5196914332115307
2343,慈文传媒,60.98,预增,0.92,30.99%~62.01%,30.0,0.4919645785503444
2781,奇信股份,31.09,预增,0.48,15%~55%,15.0,0.48247024766806046
2254,泰和新材,77.36,预增,0.1,35.97%~52.96%,35.0,0.45243019648397104
2853,皮阿诺,56.5,预增,1.88,25%~55%,25.0,0.4424778761061947
2915,中欣氟材,93.16,预增,0.39,41.63%~50.77%,41.0,0.44010304851867754
2274,华昌化工,189.81,预增,0.0482,79.72%~128.74%,79.0,0.4162056793635741
2743,富煌钢构,51.37,预增,0.18,21.08%~56.81%,21.0,0.4087989098695737
2840,华统股份,61.72,预增,0.688,25%~55%,25.0,0.4050550874918989
2301,齐心集团,57.43,预增,0.28,23.94%~71.61%,23.0,0.4004875500609438
600903,贵州燃气,110.5,预增,0.15,44.95%~65.61%,44.0,0.39819004524886875
2140,东华科技,37.88,预增,0.18,15%~55%,15.0,0.395987328405491
2036,联创电子,45.88,预增,0.36,18.78%~66.29%,18.0,0.39232781168265035
300103,达刚路机,96.25,预增,0.1117,35%~65%,35.0,0.36363636363636365
8,神州高铁,152.04,预增,0.192,55%~65%,55.0,0.36174690870823467
2266,浙富控股,83.2,预增,0.03,30%~70%,30.0,0.3605769230769231
2461,珠江啤酒,57.7,预增,0.17,20%~70%,20.0,0.34662045060658575
603996,中新科技,58.81,预增,0.39,20%~50%,20.0,0.3400782179901377
2044,美年健康,193.51,预增,0.14,62.28%~91.79%,62.0,0.32039687871427835
2313,日海通讯,106.28,预增,0.22,33.4%~63.05%,33.0,0.310500564546481
2337,赛象科技,37.46,预增,0.02,11.45%~67.18%,11.0,0.2936465563267485
2644,佛慈制药,70.95,预增,0.1193,20%~50%,20.0,0.28188865398167723
2355,兴民智通,74.16,预增,0.1,20%~60%,20.0,0.2696871628910464
998,隆平高科,151.69,预增,0.41,40%~70%,40.0,0.2636956951677764
2405,四维图新,160.68,预增,0.1502,40%~70%,40.0,0.24894199651481203
2730,电光科技,82.38,预增,0.12,20%~60%,20.0,0.24277737314882256
2439,启明星辰,281.99,预增,0.31,68.95%~76.49%,68.0,0.24114330295400546
2347,泰尔股份,210.38,预增,0.0223,50%~100%,50.0,0.23766517729822226
2193,如意集团,98.15,预增,0.13,22.07%~67.85%,22.0,0.22414671421293936
2040,南 京 港,47.49,预增,0.3364,10%~60%,10.0,0.21057064645188459
2723,金莱特,196.95,预增,0.0353,40%~90%,40.0,0.20309723280020311
2115,三维通信,168.54,预增,0.0672,30%~80%,30.0,0.177999288002848
2410,广联达,58.62,预增,0.377,10%~60%,10.0,0.17059024223814398
2095,生 意 宝,326.89,预增,0.05,50%~100%,50.0,0.15295665208479917
2729,好利来,138.59,预增,0.32,20%~60%,20.0,0.1443105563171946
2369,卓翼科技,364.91,预增,0.04,48.63%~137.81%,48.0,0.1315392836589844
2637,赞宇科技,42.85,预增,0.42,5.41%~51.52%,5.0,0.11668611435239207
2724,海洋王,64.45,预增,0.2781,7.88%~52.82%,7.0,0.10861132660977502
2747,埃斯顿,120.18,预增,0.27,10%~60%,10.0,0.08320852055250458
2583,海能达,478.83,预增,0.25,24.43%~74.2%,24.0,0.05012217279619072
2162,悦心健康,156.44,预增,0.02,5.72%~64.45%,5.0,0.03196113525952442
2227,奥 特 迅,1784.1,预增,0.0413,20.67%~70.04%,20.0,0.011210133961100835
600630,龙头股份,31.48,预增,0.05,0,0.0,0.0
600746,江苏索普,28.06,预增,0.0711,0,0.0,0.0
600738,兰州民百,42.62,预增,0.16899999999999998,0,0.0,0.0
600758,红阳能源,15.84,预增,0.13,0,0.0,0.0
600701,工大高新,35.84,预增,0.121,0,0.0,0.0
600768,宁波富邦,16.78,预增,0.13699999999999998,0,0.0,0.0
600771,广誉远,104.58,预增,0.44,0,0.0,0.0
600699,均胜电子,26.72,预增,0.66,0,0.0,0.0
600793,宜宾纸业,18.41,预增,0.0302,0,0.0,0.0
600682,南京新百,84.47,预增,0.48,0,0.0,0.0
600633,浙数文化,9.55,预增,0.5147,0,0.0,0.0
600615,丰华股份,17.85,预增,0.049,0,0.0,0.0
600971,恒源煤电,8.53,预增,0.04,0,0.0,0.0
600808,马钢股份,9.0,预增,0.1596,0,0.0,0.0
603027,千禾味业,43.26,预增,0.6673,0,0.0,0.0
603993,洛阳钼业,70.07,预增,0.06,0,0.0,0.0
603986,兆易创新,73.05,预增,2.1171,0,0.0,0.0
603933,睿能科技,31.55,预增,1.2133,0,0.0,0.0
960,锡业股份,30.68,预增,0.0925,0,0.0,0.0
603799,华友钴业,32.78,预增,0.13,0,0.0,0.0
603703,盛洋科技,110.03,预增,0.12,0,0.0,0.0
603318,派思股份,87.24,预增,0.06,0,0.0,0.0
603165,荣晟环保,19.73,预增,1.29,0,0.0,0.0
603077,和邦生物,39.06,预增,0.09,0,0.0,0.0
601857,中国石油,65.23,预增,0.04,0,0.0,0.0
600881,亚泰集团,76.37,预增,0.06,0,0.0,0.0
601326,秦港股份,30.26,预增,0.07,0,0.0,0.0
601225,陕西煤业,8.0,预增,0.28,0,0.0,0.0
601020,华钰矿业,39.4,预增,0.36,0,0.0,0.0
601001,大同煤业,12.06,预增,0.11,0,0.0,0.0
600998,九州通,28.48,预增,0.54,0,0.0,0.0
600966,博汇纸业,10.09,预增,0.1506,0,0.0,0.0
600963,岳阳林纸,34.63,预增,0.03,0,0.0,0.0
