code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603889,新澳股份,-0.276,14.43,14.49,14.54,14.39,14.47,1366100,0.42287,19702361,28.86,2.625,568038.491124,466172.694
603888,新华网,-1.085,23.71,23.96,23.99,23.51,23.97,1398805,0.79266,33087868,13.947,4.659,1230618.61256,418410.32258
603887,城地股份,1.09,25.97,25.48,26.1,25.48,25.69,416451,0.7206100000000001,10750148,37.638,3.3,267491.0,150085.3046
603886,元祖股份,-0.45,19.89,19.89,19.94,19.54,19.98,1138884,0.9396,22486599,28.826,3.946,477360.0,241084.701
603885,吉祥航空,-2.907,15.7,16.68,16.9,15.6,16.17,15178222,2.82641,247978134,15.392,3.298,2821311.15889,843111.15889
603883,老百姓,3.11,65.98,63.63,66.5,63.63,63.99,938937,1.11614,61755846,59.441,8.616,1880068.865068,555045.144118
603882,金域医学,-1.099,32.39,32.5,33.4,32.21,32.75,3209760,4.6735,104716017,73.614,8.926,1483088.144903,222454.52
603881,数据港,-3.362,45.13,45.6,45.6,44.38,46.7,5219232,9.91307,234484653,90.26,11.019,950376.910604,237609.45
603880,南卫股份,0.321,25.01,24.94,25.05,24.42,24.93,957891,3.83156,23676635,36.246,4.761,250100.0,62525.0
603879,永悦科技,-0.097,20.53,20.37,20.94,20.29,20.55,2885120,8.01422,59329212,46.659,5.777,295632.0,73908.0
603878,武进不锈,0.0,17.11,17.15,17.18,16.91,17.11,1366117,1.35246,23260281,21.658,1.7349999999999999,345622.0,172828.29821
603877,太平鸟,0.897,24.75,24.55,25.48,24.19,24.53,1598660,2.90665,39462729,24.265,3.946,1190307.69,136125.0
603869,北部湾旅,1.775,21.79,21.39,21.86,21.21,21.41,1663971,1.48819,36059919,32.044,2.073,760048.857972,243637.441536
603868,飞科电器,-0.667,77.49,77.5,77.9,76.59,78.01,662347,1.5191400000000002,51094421,53.075,15.522,3375464.4,337856.4
603866,桃李面包,0.707,41.3,41.15,42.5,41.0,41.01,1265131,2.13786,52696018,42.577,8.153,1943685.38,244402.4142
603861,白云电器,0.228,17.61,17.45,17.73,17.18,17.57,1852589,1.5299900000000002,32336770,43.268,3.7039999999999997,720425.1,213231.234432
603860,中公高科,1.091,37.07,36.32,37.19,35.7,36.67,1732400,10.38609,62764278,34.324,4.674,247182.76,61832.76
603859,能科股份,-1.744,22.53,22.93,23.18,22.47,22.93,1868200,3.74464,42424424,47.784,4.031,255850.68,112402.17
603858,步长制药,0.058,52.13,52.0,52.27,51.9,52.1,2323731,0.70881,121166204,18.202,2.813,3554223.4,1709004.438856
603856,东宏股份,3.724,20.61,19.87,20.63,19.75,19.87,6028604,12.22097,121887144,31.227,3.298,406515.762,101669.13
603855,华荣股份,-0.168,11.87,11.91,11.97,11.78,11.89,1752309,2.11708,20747022,25.804,2.891,392980.09,98247.99
603848,好太太,2.198,22.32,21.48,22.4,20.6,21.84,12225444,29.81816,261988016,53.143,11.81,895032.0,91512.0
603843,正平股份,4.195,15.4,14.77,15.64,14.7,14.78,3566700,1.8496000000000001,54719274,57.037,4.991,616004.62,296967.95282
603839,安正时尚,0.881,24.04,23.61,24.2,23.61,23.83,988506,1.38718,23735744,21.855,2.787,694901.783368,171309.04
