股票代码,股票简称,预测日期,同期每股收益,增长率（%）,估值,最新价,安全度
2534,杭锅股份,2017-10-24,0.31,108.0,21.549977703620964,10.68,2.017788174496345
2589,瑞康医药,2017-10-31,1.005,40.0,25.80749410428858,13.25,1.9477354040972512
600826,兰生股份,2017-10-28,2.0,0.0,26.20316184819635,13.5,1.940974951718248
600100,同方股份,2017-10-31,1.4516,0.0,19.018254869420907,10.18,1.8681979243046078
2217,合力泰,2017-10-24,0.61,48.0,17.505598742248228,9.41,1.8603186761156458
600730,中国高科,2017-10-27,0.96,0.0,12.577517687134247,6.9,1.822828650309311
2753,永东股份,2017-10-26,0.535,127.0,38.61609055302329,21.25,1.8172277907305079
600019,宝钢股份,2017-10-28,0.55,50.0,16.21320639357149,9.09,1.7836310663995039
980,众泰汽车,2017-10-27,0.16,1350.0,21.389151663517872,12.23,1.7489085579327777
2456,欧菲科技,2017-10-24,0.6892,80.0,34.16107736008201,19.6,1.7429121102082656
600382,广东明珠,2017-10-25,0.5,60.0,22.556899767993922,12.98,1.737819704776111
2383,合众思壮,2017-10-26,0.4613,159.0,35.3658365833825,20.4,1.7336194403618874
2648,卫星石化,2017-10-27,0.39,192.0,31.70378563678333,18.37,1.7258457069560875
2597,金禾实业,2017-10-25,0.97,63.0,44.38503160157014,25.82,1.7190174903783944
600894,广日股份,2017-10-28,1.2422,0.0,16.27478382391475,9.49,1.7149403397170442
2068,黑猫股份,2017-10-25,0.16,409.0,17.26460293977102,10.09,1.7110607472518355
2206,海利得,2017-10-26,0.54,20.0,10.187789326578741,6.05,1.6839321200956598
631,顺发恒业,2017-10-26,0.16,80.0,7.930604146275567,4.74,1.673123237610879
2142,宁波银行,2017-10-27,1.95,10.0,30.913180190409648,18.51,1.6700799670669717
2620,瑞和股份,2017-10-24,0.721,30.0,15.964145340204386,9.62,1.6594745675888136
2131,利欧股份,2017-10-30,0.37,0.0,4.847584941916324,2.93,1.654465850483387
2101,广东鸿图,2017-10-25,0.69,75.0,33.40882356421749,20.37,1.6400993404132298
2146,荣盛发展,2017-10-27,0.95,20.0,17.922962704166302,11.05,1.6219875750376742
2662,京威股份,2017-10-24,0.85,2.0,11.58625207441698,7.22,1.6047440546283904
2335,科华恒盛,2017-10-31,0.67,145.0,50.050991907524484,31.3,1.5990732238825713
2668,奥马电器,2017-10-20,1.84,15.0,31.881387020700494,20.04,1.5908875758832584
11,深物业A,2017-10-31,0.5954,69.0,28.02631179009358,17.76,1.5780580962890527
2088,鲁阳节能,2017-10-26,0.45,70.0,21.28213086495896,13.57,1.5683220976388326
2643,万润股份,2017-10-26,0.92,20.0,17.35697440824526,11.3,1.5360154343579875
2599,盛通股份,2017-10-27,0.27,105.0,18.655784017413623,12.21,1.5279102389364145
2404,嘉欣丝绸,2017-11-30,0.19,100.0,10.331415336587709,6.77,1.5260583953600753
2496,辉丰股份,2017-10-23,0.12,140.0,8.880244610023912,5.86,1.5154001040996434
600585,海螺水泥,2017-10-28,1.61,50.0,47.46047689754563,31.56,1.5038173921909264
2195,二三四五,2017-10-25,0.33,50.0,9.727923836142894,6.48,1.5012228142195823
2435,长江润发,2017-10-25,0.48,92.0,25.157223932220035,17.09,1.472043530264484
2845,同兴达,2017-10-24,1.36,48.0,39.028875884356715,26.64,1.4650478935569338
2596,海南瑞泽,2017-10-24,0.22,149.0,16.55801854516845,11.36,1.4575720550324343
2148,北纬科技,2017-10-24,0.31,54.0,13.594169173492705,9.34,1.4554784982326237
2039,黔源电力,2017-10-26,0.4244,100.0,23.077119309725386,15.9,1.4513911515550557
2608,江苏国信,2017-10-24,0.33,59.0,14.817355404820681,10.26,1.444186686629696
2429,兆驰股份,2017-10-26,0.23,30.0,5.09258450519696,3.54,1.4385831935584634
2562,兄弟科技,2017-10-25,0.32,165.0,24.80214762049991,17.29,1.434479330277612
2649,博彦科技,2017-10-24,0.7,40.0,17.975369027862694,12.59,1.42774972421467
2582,好想你,2017-10-26,0.21,158.0,16.070334609597925,11.41,1.4084429982119129
2019,亿帆医药,2017-10-30,0.64,65.0,29.562792085257865,21.0,1.4077520040598983
2136,安纳达,2017-10-18,0.1977,266.0,19.986787128685474,14.5,1.378399112323136
155,川化股份,2017-11-09,1.85,-66.0,8.240894401257751,6.0,1.3734824002096253
2766,索菱股份,2017-10-26,0.42,90.0,21.80980510413871,15.89,1.3725490940301266
2221,东华能源,2017-10-25,0.325,100.0,17.67215781258424,12.9,1.369934714153817
2416,爱施德,2017-10-31,0.1861,102.0,12.780405517603052,9.34,1.3683517684799842
2682,龙洲股份,2017-10-21,0.19,188.0,15.338891972101726,11.31,1.3562238702123541
2717,岭南园林,2017-10-27,0.67,80.0,33.20940486252894,24.51,1.3549328789281494
2759,天际股份,2017-10-27,0.3,170.0,23.46229376805044,17.41,1.3476331859879633
2567,唐人神,2017-10-26,0.408,40.0,10.477072233382827,7.8,1.3432143888952344
2241,歌尔股份,2017-10-20,1.08,25.0,22.108917809415672,16.68,1.3254746888138893
300319,麦捷科技,2017-10-30,0.73,0.0,9.564154074591666,7.23,1.3228428872187643
2065,东华软件,2017-10-27,0.5731,25.0,11.732056293126039,8.87,1.3226670003524283
600718,东软集团,2017-10-28,1.51,0.0,19.78338719538824,14.97,1.3215355507941375
300004,南风股份,2017-10-28,0.18,135.0,13.194198690736805,10.07,1.3102481321486399
2823,凯中精密,2017-10-24,1.16,15.0,20.099135295659003,15.4,1.3051386555622728
600708,光明地产,2017-10-31,0.7667,0.0,10.04498209450607,7.74,1.2978013041997505
603260,合盛硅业,2017-10-27,1.09,111.0,76.23091346316895,59.37,1.2839971949329452
2092,中泰化学,2017-10-20,0.9487,22.0,18.50002288409468,14.56,1.270605967314195
300343,联创互联,2017-10-27,0.36,58.0,16.08815807990195,12.95,1.242328809258838
300349,金卡智能,2017-12-22,0.48,290.0,49.15275250237532,40.14,1.224532947244029
2783,凯龙股份,2017-10-21,1.3,10.0,20.608786793606434,17.26,1.1940200923294573
2087,新野纺织,2017-10-23,0.2721,40.0,6.987282732116341,5.87,1.1903377737847258
2051,中工国际,2017-10-21,1.38,10.0,21.877019827059137,18.45,1.1857463320899262
2016,世荣兆业,2017-10-31,0.1157,786.0,13.929564856657512,11.79,1.181472846196566
2370,亚太药业,2017-10-24,0.57,50.0,16.802777535155904,14.23,1.1807995456891007
2853,皮阿诺,2017-10-23,1.88,25.0,38.485893964538384,32.85,1.1715645042477438
603608,天创时尚,2017-10-28,0.44,50.0,12.970565114857191,11.18,1.1601578814720206
2699,美盛文化,2017-10-28,0.41,80.0,20.322173124831142,17.52,1.159941388403604
300418,昆仑万维,2017-12-11,0.47,95.0,24.976475287862645,21.65,1.153647819300815
2121,科陆电子,2017-10-26,0.2293,60.0,10.344594233602013,8.99,1.1506778902783106
2536,西泵股份,2017-10-26,0.32,95.0,17.005259770459674,14.96,1.1367152252981065
2445,中南文化,2017-10-20,0.3,70.0,14.188087243305969,12.51,1.1341396677302933
2859,洁美科技,2017-10-28,1.75,30.0,38.74792558302035,34.23,1.131987308881693
2449,国星光电,2017-10-23,0.4042,70.0,19.116082879147577,16.98,1.1257999339898455
603167,渤海轮渡,2017-10-26,0.4621,50.0,13.622041226307974,12.21,1.1156462920809151
2002,鸿达兴业,2017-10-26,0.3382,34.0,7.956222202812475,7.14,1.1143168351277977
2239,奥特佳,2017-10-26,0.41,-19.0,4.351035024893003,3.93,1.1071335941203568
2394,联发股份,2017-10-27,1.22,-15.0,13.586339418289807,12.37,1.0983297832085537
2334,英威腾,2017-10-27,0.0933,215.0,9.140031327921456,8.33,1.09724265641314
2247,帝龙文化,2017-10-30,0.54,40.0,13.866713250065509,12.71,1.0910081235299376
2188,巴士在线,2017-10-30,0.31,75.0,15.009761311460032,13.79,1.0884525969151584
600338,西藏珠峰,2017-10-19,0.9958,60.0,44.924321577936695,41.59,1.0801712329390885
2080,中材科技,2017-10-21,0.5276,80.0,26.151167172343683,24.6,1.0630555761115317
2323,雅百特,2017-10-30,0.32299999999999995,30.0,7.15175997903747,6.78,1.054831855315261
2108,沧州明珠,2017-10-20,0.79,10.0,12.523801205345448,11.93,1.0497737808336502
2627,宜昌交运,2017-10-24,0.3812,80.0,18.894664378501542,18.23,1.0364599220242205
2822,中装建设,2017-10-30,0.68,-10.0,8.018167525548083,7.77,1.0319391924772308
2277,友阿股份,2017-10-27,0.4695,0.0,6.1511922438640925,6.02,1.021792731538886
2042,华孚时尚,2017-10-25,0.58,30.0,12.84216962180103,12.65,1.0151912744506744
2245,澳洋顺昌,2017-10-25,0.211,70.0,9.978954694458531,9.87,1.0110389761356162
965,天保基建,2017-10-30,0.29,27.0,6.128146563018603,6.15,0.9964465956127809
786,北新建材,2017-11-01,0.7929999999999999,50.0,23.376495763822163,23.5,0.9947445005881772
2532,新界泵业,2017-10-28,0.36,15.0,6.237662677963139,6.31,0.988536082086076
2763,汇洁股份,2017-10-25,0.85,10.0,13.474975980434975,13.65,0.9871777275043937
8,神州高铁,2017-12-29,0.192,55.0,8.459513804975687,8.67,0.9757224688553272
2083,孚日股份,2017-10-20,0.42,10.0,6.6582234256266934,6.87,0.9691737155206249
2706,良信电器,2017-10-21,0.65,20.0,12.263079744955892,12.67,0.967883168504806
300035,中科电气,2017-10-28,0.1,120.0,7.119830009910895,7.38,0.9647466138090643
2696,百洋股份,2017-10-25,0.3367,80.0,16.688965100318647,17.49,0.9542004059644739
58,深赛格,2017-10-31,0.1371,95.0,7.285690982906317,7.69,0.9474240549943195
2440,闰土股份,2017-10-25,0.86,28.0,18.46044195999651,19.5,0.9466893312818723
2821,凯莱英,2017-10-24,2.75,25.0,56.295855533234345,59.5,0.9461488324913335
300677,英科医疗,2017-12-12,1.18,63.0,53.994162154487384,57.12,0.9452759480827624
600415,小商品城,2017-10-17,0.19,50.0,5.600925845051969,5.95,0.9413320747986502
2468,申通快递,2017-10-31,1.23,20.0,23.205520132762686,24.77,0.9368397308341819
2279,久其软件,2017-10-28,0.4037,37.0,9.927127216350774,10.67,0.9303774335848898
2322,理工环科,2017-10-24,0.38,62.0,17.306016110322382,18.66,0.9274392342080591
2635,安洁科技,2017-10-27,1.0,30.0,22.141671761725917,23.89,0.9268175706038475
2233,塔牌集团,2017-10-20,0.5077,30.0,11.241326753428247,12.16,0.9244512132753492
2237,恒邦股份,2017-10-28,0.22,70.0,10.404597311757712,11.29,0.9215763783664936
2008,大族激光,2017-10-26,0.71,115.0,50.05312951896548,54.34,0.9211102230210798
2793,东音股份,2017-10-21,1.09,5.0,15.74449733601188,17.1,0.9207308383632677
2326,永太科技,2017-10-24,0.35,50.0,10.317494977727312,11.26,0.9162961791942551
600260,凯乐科技,2017-10-28,0.2733,300.0,28.12826316173365,30.85,0.911775143005953
2381,双箭股份,2017-10-31,0.13,100.0,7.068863125033696,7.8,0.9062645032094482
600787,中储股份,2017-10-31,0.3489,50.0,10.285068564940168,11.39,0.902991094375783
2048,宁波华翔,2017-10-25,1.35,10.0,21.401432439514377,23.91,0.8950829125685644
2244,滨江集团,2017-10-30,0.46,10.0,7.2923399423530455,8.18,0.8914841005321572
2770,科迪乳业,2017-10-27,0.16,40.0,4.108655777797187,4.61,0.8912485418215156
300068,南都电源,2017-10-30,0.48,50.0,14.149707398026028,15.89,0.890478753809064
2061,浙江交科,2017-10-27,0.12,541.0,13.543854333009046,15.3,0.8852192374515716
2852,道道全,2017-10-27,2.74,-20.0,28.718665385623204,32.82,0.8750355083980257
2611,东方精工,2017-10-26,0.15,190.0,12.15170763168877,13.9,0.8742235706250914
2711,欧浦智网,2017-10-24,0.34,40.0,8.730893527819022,10.01,0.872217135646256
2118,紫鑫药业,2017-10-27,0.13,83.0,6.5345301230514785,7.5,0.8712706830735305
2145,中核钛白,2017-10-24,0.05,340.0,5.243908965180315,6.02,0.8710812234518795
2283,天润曲轴,2017-10-25,0.17,50.0,5.011354703467552,5.76,0.8700268582408944
2385,大北农,2017-10-25,0.22,40.0,5.649401694471132,6.5,0.869138722226328
2097,山河智能,2017-10-26,0.0886,150.0,6.680786211210958,7.69,0.8687628363083171
300379,东方通,2017-10-30,0.8792,0.0,11.518909948467114,13.31,0.8654327534535773
2147,新光圆成,2017-10-28,1.22,-22.0,12.467464407371825,14.42,0.8645953125777964
2152,广电运通,2017-10-31,0.54,0.0,7.074853699013015,8.2,0.8627870364650019
2572,索菲亚,2017-10-26,1.48,30.0,32.769674207354356,38.04,0.8614530548726171
600983,惠而浦,2017-10-31,0.49,0.0,6.419774652808105,7.46,0.8605596049340624
2683,宏大爆破,2017-10-25,0.09,131.0,6.546632055648776,7.65,0.8557688961632387
2477,雏鹰农牧,2017-10-26,0.28,3.0,3.8918508166652113,4.55,0.855351827838508
615,京汉股份,2017-10-31,0.14,127.0,10.105145191445347,11.87,0.8513180447721439
2185,华天科技,2017-10-21,0.3669,20.0,6.922036859114334,8.14,0.8503730785152743
2309,中利集团,2017-10-26,0.12,263.0,12.11123415051513,14.35,0.8439884425446085
2775,文科园林,2017-10-25,0.5736,50.0,16.908900340641104,20.12,0.8404026014235141
2501,利源精制,2017-10-30,0.58,5.0,8.377805921914577,10.05,0.833612529543739
2615,哈尔斯,2017-10-20,0.44,20.0,8.301161673508604,10.04,0.826808931624363
2636,金安国纪,2017-10-31,0.469,45.0,12.919108655777796,15.64,0.8260299652031838
2149,西部材料,2017-10-28,0.1114,112.0,7.806556051601483,9.46,0.825217341606922
2787,华源控股,2017-10-25,0.76,-10.0,8.961481352083151,10.89,0.8229092150673233
2139,拓邦股份,2017-10-24,0.35,40.0,8.987684513931347,10.96,0.8200442074754878
2196,方正电机,2017-10-30,0.46,15.0,7.9703467551751235,9.78,0.8149638808972519
603365,水星家纺,2017-11-17,0.99,21.0,18.990204384662416,23.35,0.8132849843538508
300138,晨光生物,2017-10-26,0.3558,47.0,10.073127172678836,12.39,0.8130046144212135
603869,北部湾旅,2017-10-28,0.68,40.0,17.461787055638045,21.57,0.8095404290977304
601208,东材科技,2017-10-28,0.07,120.0,4.983881006937627,6.19,0.8051504049980011
2837,英维克,2017-10-28,1.2,0.0,15.721897108917807,19.66,0.7996895782765924
300249,依米康,2017-12-22,0.1262,80.0,6.255264020374855,7.83,0.7988842937898921
2640,跨境通,2017-10-23,0.29,80.0,14.374220015124466,18.0,0.7985677786180259
2406,远东传动,2017-10-28,0.2085,45.0,5.7433564066730725,7.2,0.7976883898157044
2765,蓝黛传动,2017-10-28,0.62,-10.0,7.310682155646781,9.17,0.7972390573224406
2203,海亮股份,2017-10-30,0.3298,20.0,6.222097999825312,7.85,0.7926239490223328
2202,金风科技,2017-10-27,1.0841,0.0,14.203423879814832,18.25,0.7782698016336894
300684,中石科技,2017-12-26,0.5659,60.0,25.52989915741552,32.88,0.7764567870260194
2056,横店东磁,2017-10-20,0.54,10.0,8.56057297580575,11.03,0.7761172235544651
2310,东方园林,2017-10-21,0.51,50.0,15.034064110402653,19.4,0.7749517582681781
2060,粤水电,2017-10-20,0.224,0.0,2.9347541269979907,3.8,0.7723037176310502
2801,微光股份,2017-10-27,1.94,5.0,28.022316359507382,36.3,0.7719646380029582
2212,南洋股份,2017-10-30,0.14,419.0,15.16381328920453,19.76,0.7673994579556948
2027,分众传媒,2017-10-28,0.52,23.0,10.307118525635428,13.55,0.7606729539214337
2448,中原内配,2017-10-24,0.3648,20.0,6.882417678399861,9.06,0.7596487503752606
600798,宁波海运,2017-10-28,0.0857,60.0,3.8662526202341585,5.09,0.7595781179241962
600053,九鼎投资,2017-10-30,1.4484,0.0,18.976329810463795,25.03,0.7581434203141748
2574,明牌珠宝,2017-10-24,0.08,117.0,5.662219148115631,7.61,0.7440498223542222
2003,伟星股份,2017-10-27,0.7,0.0,9.17110664686872,12.37,0.7413990822044236
2431,棕榈股份,2017-10-31,0.09,120.0,6.407847008919804,8.67,0.7390826999907502
2169,智光电气,2017-10-30,0.3319,-10.0,3.913573237837365,5.31,0.7370194421539294
2223,鱼跃医疗,2017-10-21,0.8,20.0,15.093021224561099,20.5,0.7362449377834682
300718,长盛轴承,2017-11-03,1.08,43.0,28.93473665822342,39.41,0.7341978345146771
2518,科士达,2017-10-23,0.67,20.0,12.64040527556992,17.22,0.7340537326114936
2530,金财互联,2017-10-25,0.16,383.0,17.089246533007476,23.3,0.7334440572106212
2807,江阴银行,2017-10-30,0.4779,-5.0,5.948183247445192,8.13,0.7316338557743163
2365,永安药业,2017-10-25,0.3331,160.0,25.58400423030291,35.1,0.7288890094103393
2126,银轮股份,2017-10-27,0.36,20.0,6.791859551052493,9.41,0.721770409251062
2551,尚荣医疗,2017-10-31,0.26,40.0,6.676565638920429,9.35,0.7140711913283881
2433,太安堂,2017-10-25,0.32,20.0,6.037208489824439,8.48,0.7119349634226932
2460,赣锋锂业,2017-10-25,0.6155,185.0,49.431081748384734,69.8,0.7081816869396094
601949,中国出版,2017-08-18,0.4,0.0,5.240632369639269,7.42,0.7062846859352114
300208,恒顺众昇,2017-10-28,0.33,40.0,8.4741025417067,12.01,0.7055872224568442
2130,沃尔核材,2017-10-31,0.1854,30.0,4.105065944623985,5.86,0.7005231987412943
2555,三七互娱,2017-10-31,0.513,44.0,13.936895798759718,19.92,0.6996433633915521
2645,华宏科技,2017-10-20,0.3009,74.0,14.500900496947706,20.74,0.6991755302289154
2632,道明光学,2017-10-25,0.08,130.0,5.808013540638995,8.31,0.6989185969481341
2035,华帝股份,2017-10-21,0.91,40.0,23.367979736221503,33.44,0.6988032217769589
2089,新海宜,2017-10-28,0.04,230.0,3.9578796472193716,5.67,0.6980387384866616
603727,博迈科,2017-10-27,1.29,0.0,16.901039392086645,24.34,0.6943730235039707
2182,云海金属,2017-10-27,0.5385,-11.0,6.27912918158791,9.08,0.6915340508356729
2705,新宝股份,2017-10-27,0.7501,-10.0,8.844746266049436,12.86,0.687771871387981
300732,设研院,2017-11-28,2.4,35.0,57.30631496200542,83.55,0.6858924591502744
2479,富春环保,2017-10-23,0.31,30.0,6.863918246135034,10.01,0.6857061184950084
2867,周大生,2017-10-27,1.06,20.0,19.998253122543453,29.17,0.6855760412253498
2791,坚朗五金,2017-10-21,1.25,-20.0,13.101580924098176,19.15,0.684155661832803
2519,银河电子,2017-10-20,0.52,-40.0,4.087693248318631,5.98,0.6835607438659917
2466,天齐锂业,2017-10-27,1.54,36.0,37.318333478906446,54.6,0.6834859611521327
600035,楚天高速,2017-10-31,0.27,0.0,3.5374268495065073,5.19,0.6815851347796738
2099,海翔药业,2017-10-26,0.15,42.0,3.9627041663027334,5.84,0.6785452339559475
2516,旷达科技,2017-10-30,0.2304,10.0,3.652511136343786,5.39,0.6776458508986617
2478,常宝股份,2017-10-30,0.27,0.0,3.5374268495065073,5.26,0.6725146101723398
601019,山东出版,2017-10-30,0.58,5.0,8.377805921914577,12.46,0.6723760772002068
2472,双环传动,2017-10-25,0.28,30.0,6.199668093283257,9.25,0.6702343884630547
2074,国轩高科,2017-10-27,1.19,-2.0,15.27906367368329,22.8,0.6701343716527758
2511,中顺洁柔,2017-10-31,0.54,20.0,10.187789326578741,15.22,0.6693685497095099
2905,金逸影视,2017-10-28,1.55,7.0,23.25,34.96,0.665045766590389
2905,金逸影视,2017-09-20,1.55,7.0,23.25,34.96,0.665045766590389
166,申万宏源,2017-10-28,0.27,0.0,3.5374268495065073,5.33,0.6636823357423091
2155,湖南黄金,2017-10-28,0.12,100.0,6.525104423108026,9.84,0.6631203682020351
2475,立讯精密,2017-10-21,0.6,40.0,15.407459166739452,23.29,0.6615482682155196
2587,奥拓电子,2017-10-24,0.23,27.0,4.860254170669927,7.36,0.6603606210149358
2818,富森美,2017-10-13,1.38,7.0,20.7,31.4,0.6592356687898089
600318,新力金融,2017-10-21,0.67,0.0,8.778059219145776,13.42,0.6541027734087762
2918,蒙娜丽莎,2017-11-29,1.97,20.0,37.166564765481695,56.84,0.6538804497797623
2586,围海股份,2017-10-31,0.13,70.0,6.148171138765921,9.45,0.6506001205043304
603085,天成自控,2017-10-26,0.34,85.0,17.250326932726512,26.52,0.6504648164678172
603856,东宏股份,2017-11-03,0.66,26.0,13.728046117564855,21.13,0.6496945630650665
600975,新五丰,2017-10-31,0.3,0.0,3.9304742772294516,6.05,0.649665169789992
2071,长城影视,2017-10-25,0.49,0.0,6.419774652808105,9.93,0.6465029861840992
2439,启明星辰,2017-10-25,0.31,68.0,14.523533601268575,22.51,0.6452036251118869
2218,拓日新能,2017-10-23,0.21,10.0,3.3291117128133467,5.22,0.6377608645236297
2172,澳洋科技,2017-10-26,0.38,-22.0,3.8833085859026992,6.1,0.6366079649020818
2191,劲嘉股份,2017-10-26,0.4371,0.0,5.726701021923311,9.02,0.6348892485502563
2396,星网锐捷,2017-10-25,0.5926,30.0,13.121154685998777,20.7,0.633872207053081
750,国海证券,2017-10-27,0.24,0.0,3.1443794217835617,4.97,0.6326719158518233
2270,华明装备,2017-10-25,0.47,-2.0,6.034588173639618,9.54,0.6325564123311969
2493,荣盛石化,2017-10-27,0.76,0.0,9.95720150231461,15.75,0.6322032699882293
2734,利民股份,2017-10-24,0.83,20.0,15.659009520482137,24.78,0.6319212881550499
2408,齐翔腾达,2017-10-21,0.28,45.0,7.712900690016596,12.23,0.6306541856105148
2349,精华制药,2017-10-30,0.3927,0.0,5.144990828893353,8.16,0.6305135819722246
2332,仙琚制药,2017-10-26,0.24,30.0,5.314001222814219,8.44,0.62962099796377
603605,珀莱雅,2017-11-14,1.02,16.0,17.98207703729583,28.64,0.6278658183413348
2454,松芝股份,2017-10-25,0.58,0.0,7.5989169359769395,12.14,0.6259404395368154
2340,格林美,2017-10-26,0.09,80.0,4.460964832280007,7.15,0.6239111653538472
2602,世纪华通,2017-10-30,0.49,58.0,21.897770719866546,35.1,0.6238681116771095
2043,兔宝宝,2017-10-25,0.32,35.0,7.640841994934057,12.26,0.6232334416748823
2327,富安娜,2017-10-27,0.52,-10.0,6.131539872477945,9.85,0.6224913576119742
600310,桂东电力,2017-10-27,0.253,0.0,3.314699973796838,5.33,0.6218949294177932
2404,嘉欣丝绸,2017-10-26,0.19,30.0,4.206917634727923,6.77,0.6214058544649813
603661,恒林股份,2017-10-31,3.52,-9.0,41.96698401607127,67.64,0.6204462450631472
2617,露笑科技,2017-10-25,0.09,409.0,9.711339153621198,15.71,0.6181628996576192
600025,华能水电,2017-11-06,0.03,235.0,2.977858434607169,4.82,0.6178129532380018
300569,天能重工,2017-10-27,2.6674,-60.0,13.97886278277579,22.65,0.6171683347803881
2831,裕同科技,2017-10-24,2.43,8.0,37.13449209537952,60.27,0.6161355914282316
2450,康得新,2017-10-25,0.6,30.0,13.28500305703555,21.6,0.6150464378257199
2833,弘亚数控,2017-10-31,1.55,41.0,40.37324220455935,65.71,0.6144154954277788
2343,慈文传媒,2017-10-25,0.92,30.0,20.37033802078784,33.34,0.6109879430350281
2109,兴化股份,2017-10-20,0.04,398.0,4.297837691168612,7.04,0.6104883084046323
426,兴业矿业,2017-10-31,0.0568,525.0,6.379090327081722,10.45,0.6104392657494472
2541,鸿路钢构,2017-10-30,0.49,15.0,8.490151978338718,13.95,0.608613045042202
2756,永兴特钢,2017-12-22,0.7,30.0,15.499170233208138,25.5,0.6078105973807113
2262,恩华药业,2017-10-20,0.4911,20.0,9.265228404227443,15.29,0.6059665404988518
2716,金贵银业,2017-10-26,0.29,60.0,13.083001865436474,21.6,0.6056945308072441
300411,金盾股份,2017-10-30,0.27,180.0,21.494569064142592,35.5,0.605480818708242
2014,永新股份,2017-10-20,0.6,-10.0,7.074853699013014,11.69,0.6052056201037651
2443,金洲管道,2017-10-20,0.12,70.0,5.675234897322388,9.38,0.6050357033392737
2830,名雕股份,2017-10-19,1.01,0.0,13.232596733339156,21.97,0.6023029919589966
300316,晶盛机电,2017-10-27,0.23,80.0,11.40024346027113,18.98,0.600645071668658
2508,老板电器,2017-10-26,1.67,20.0,31.50668180627129,52.5,0.6001272725004055
2143,印纪传媒,2017-10-30,0.6608,0.0,8.657524674644074,14.46,0.5987223149823011
2482,广田集团,2017-10-20,0.26,20.0,4.905231897982357,8.2,0.5981990119490679
603283,赛腾股份,2017-12-05,0.4,87.0,20.484157718185774,34.29,0.5973799276227989
2124,天邦股份,2017-10-30,0.59,-32.0,5.256354266748187,8.8,0.5973129848577485
600027,华电国际,2017-10-28,0.339,-50.0,2.2207179666346404,3.72,0.5969671953318926
300287,飞利信,2017-12-27,0.25,17.0,4.483688531749497,7.53,0.595443364110159
300221,银禧科技,2017-11-29,0.38,43.0,10.180740676041575,17.12,0.5946694320117742
2285,世联行,2017-10-31,0.37,20.0,6.980522316359508,11.75,0.5940870056476177
2081,金螳螂,2017-10-28,0.64,5.0,9.244475500043672,15.59,0.5929746953203126
2872,天圣制药,2017-10-23,1.41,2.0,19.219547558738753,32.42,0.592829967882133
2258,利尔化学,2017-10-26,0.4,40.0,10.271639444492969,17.36,0.5916842997979821
2374,丽鹏股份,2017-10-28,0.2,9.0,3.1131976591842085,5.27,0.5907395937730946
2427,尤夫股份,2017-10-31,0.42,60.0,18.947795805114893,32.2,0.5884408635128848
2317,众生药业,2017-10-25,0.55,0.0,7.205869508253996,12.31,0.5853671412066609
2116,中国海诚,2017-10-20,0.33,20.0,6.225871255131453,10.65,0.5845888502470847
2020,京新药业,2017-10-23,0.332,20.0,6.263603808192856,10.72,0.5842914000179902
