报表日期,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,135.1,27802.75,40437.85,54457.4,5183.23,380.0,380.0,0.0,384.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5443.38,2820.78,1401.94,719.43,16218.35,9872.01,18601.23,29277.08,17452.09,14124.44,14902.07,18701.49,25081.49,37684.76,46942.7,52397.69,58364.22,52789.55,67030.23,57304.99,89890.46,63343.57,66205.5,81394.17,79925.6,69648.7,72752.11,83995.73,82391.26,160051.49,77657.87,83957.31,82723.4,75354.82
流动资产合计,3489706.03,3648117.15,5444085.12,5370271.47,5262008.75,5529350.2,4401168.78,4572272.5,5479890.12,5692385.44,5519736.16,5687569.22,5844151.31,6235715.83,6112141.05,5982590.84,6178420.38,6253829.0,6338643.31,6522905.98,6092845.38,5979056.3,6345015.85,6843746.17,7158828.35,6144949.65,6482400.07,6099390.07,5094598.59,5527113.78,5084327.52,4872311.54,5630737.06,5158417.64,4185164.52,4478724.85,4595187.74,4735420.05,4536246.57,4613590.77,3921005.55,4572841.6,3944219.48,3479229.94,4524553.39,6435044.5,6030439.89,7331228.09,6654090.53,7088970.57,7230165.72,5992214.87,6541574.15,6397424.1,7196596.02,9309822.38
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,11973.33,15134.04,64501.77,57457.82,46551.75,37456.51,27445.14,37747.46,259002.36,255183.69,275087.07,260094.43,44549.23,49940.44,49559.7,48248.59,43053.95,36010.65,34501.81,35064.49,37711.51,35493.22,36406.63,37066.19,23960.28,824330.51,25929.66,24643.3,50025.99,52997.04,164057.21,164607.31,161838.1,148022.78,155525.44,166740.94,166234.72,172693.08,166267.01,220953.63,300310.33,252609.49,236683.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,130.61,128.16,26.97,24.98,23.24,21.9,975.79,975.49,515.73,915.73,16.79,17.32,17.23,17.01,16.5,16.8,17.04,16.83,15.31,15.5,15.36,0.27,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127288.11,153020.81,150113.62,153768.03,136726.93,133458.93,129872.44,129769.44,124830.92,73924.01,74456.59
长期应收款,86736.09,86070.19,86800.53,82225.68,84523.9,81850.94,109670.41,88518.05,87474.55,89608.83,136446.31,137218.25,230313.74,248170.74,227405.44,158570.6,165056.12,128307.15,125010.16,108981.72,107854.03,89998.49,75943.09,53033.99,52491.14,40386.56,40263.37,171419.11,181978.16,163403.82,163269.76,162112.2,161996.46,147613.61,159468.72,58039.34,60327.0,121988.23,121538.02,140202.81,144442.42,144119.44,104684.67,127856.75,127954.42,132417.76,119453.72,115335.69,119115.69,118682.96,116715.27,89832.81,117471.8,116451.84,88102.78,84731.37
长期股权投资,823821.64,869781.08,968224.46,1173566.54,1159027.01,1144560.56,1090408.9,1221298.02,1008062.5,1023417.19,1075916.06,1050950.79,1430297.34,1432893.8,1458431.88,1448562.55,1477883.89,1462655.63,1531434.6,1566505.01,1539570.66,1582109.47,1630805.75,1645951.11,1027499.41,1086720.26,1191300.37,1246198.36,1242692.47,1231020.97,1130645.12,1160428.79,1123533.04,1163379.76,1538844.56,1916345.85,1945637.49,2006336.85,2043055.58,1919183.06,2564088.86,2588744.45,2586204.03,2589054.53,2683727.61,2832516.2,2887746.62,2835345.16,2873742.96,2939153.17,3076256.4,3159035.38,3159180.24,3125700.83,3134552.23,3189843.96
投资性房地产,1749.65,1734.02,34591.36,34906.58,38059.3,37692.8,42455.54,43882.68,61177.98,61593.9,65838.3,67124.96,64324.43,65799.0,63590.4,65595.91,62767.27,62762.75,62169.05,61930.17,65998.05,64172.16,62625.08,62980.79,59518.37,58496.17,45512.99,47340.5,50835.36,51467.28,52747.59,53954.57,52745.24,52127.44,36028.65,17299.18,17083.0,20287.93,19524.37,19156.98,17795.23,17552.88,19204.24,18445.35,19198.34,231711.79,237236.53,232675.71,236274.67,241833.4,232898.08,235510.17,234419.38,225436.23,222266.46,223046.77
