报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
减：所得税费用,1377.19,1242.02,1602.95,1879.63,1777.16,2983.74,762.04,2177.69,4446.3,4986.47,1528.9,2498.57,4485.03,6203.17,1679.31,3723.04,2744.76,5417.14,1082.37,3023.21,4585.71,6972.29,1046.03,4194.38,6905.26,9230.43,1096.14,5259.99,7959.24
五、净利润,7578.66,7139.32,8476.69,11370.55,8974.25,16971.69,3617.9,10141.92,21235.73,27560.46,5776.36,13967.01,21686.56,36004.84,5242.18,14019.84,24620.32,40645.04,9206.38,22931.84,36651.55,55386.38,10802.99,31560.99,50618.97,72205.19,15432.93,42932.5,69483.79
归属于母公司所有者的净利润,6537.25,6025.14,7472.95,10179.16,8233.93,15354.5,3283.53,8902.09,18862.79,25273.52,4908.86,12480.27,20076.58,34128.77,6349.18,15666.78,26089.87,42829.55,9206.38,22931.84,36651.55,55386.38,10802.99,31560.99,50622.49,72209.14,15433.05,42932.79,69485.21
少数股东损益,1041.41,1114.17,1003.74,1191.39,740.33,1617.18,334.36,1239.82,2372.95,2286.94,867.5,1486.74,1609.99,1876.07,-1106.99,-1646.94,-1469.55,-2184.51,0.0,0.0,0.0,0.0,0.0,0.0,-3.52,-3.95,-0.12,-0.29,-1.42
基本每股收益(元/股),0.73,0.67,0.83,1.13,0.91,1.71,0.36,0.99,2.1,2.75,0.43,0.55,0.88,1.51,0.28,0.6882,1.15,1.88,0.4,1.0,1.6,2.42,0.47,1.38,2.2,3.1,0.64,1.78,2.88
稀释每股收益(元/股),0.73,0.67,0.83,1.13,0.91,1.71,0.36,0.99,2.1,2.75,0.43,0.55,0.88,1.49,0.23,0.6809,1.13,1.86,0.4,0.99,1.59,2.4,0.47,1.36,2.19,3.08,0.64,1.77,2.87
七、其他综合收益,0.0,0.0,-70.21,3.85,140.11,249.45,41.59,114.92,156.16,397.27,239.49,92.91,-65.34,-453.66,-283.55,123.51,454.92,491.32,381.53,22.49,916.97,194.28,223.6,206.2,-437.91,-1168.49,237.82,-182.33,-484.24
八、综合收益总额,0.0,0.0,8406.48,11374.4,9114.37,17221.14,3659.48,10256.84,21391.89,27957.73,6015.85,14059.92,21621.22,35551.18,4958.63,14143.35,25075.24,41136.36,9587.91,22954.32,37568.52,55580.66,11026.59,31767.19,50181.06,71036.69,15670.75,42750.18,68999.55
归属于母公司所有者的综合收益总额,0.0,0.0,7402.74,10183.01,8374.04,15603.95,3325.12,9017.01,19018.95,25670.79,5148.35,12573.18,20011.24,33675.1,6065.62,15790.29,26544.79,43320.87,9587.91,22954.32,37568.52,55580.66,11026.59,31767.19,50184.58,71040.64,15670.87,42750.46,69000.98
归属于少数股东的综合收益总额,0.0,0.0,1003.74,1191.39,740.33,1617.18,334.36,1239.82,2372.95,2286.94,867.5,1486.74,1609.99,1876.07,-1106.99,-1646.94,-1469.55,-2184.51,0.0,0.0,0.0,0.0,0.0,0.0,-3.52,-3.95,-0.12,-0.29,-1.42
