报表日期,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
公允价值变动收益,13510.06,29487.51,168784.19,-4542.85,-20017.64,-230516.84,-520376.3,110536.9,241681.28,283731.35,346905.53,4137.4,8097.45,12676.41,11332.6,2067.41,11520.76,13617.17,19147.68,0.0,2158.56,2137.77,2906.43,0.0,1932.2,1366.92,1881.42,0.0,2830.83,932.36,1437.88,-599.48,-2048.99,-3168.35,611.48,4.19,1504.24,1521.26,1521.26,0.0,0.0,0.0,0.0,0.0,0.0,-238.34,-7726.81,23700.91,28296.3,24630.86,29877.84,-5868.04,-3301.29,-5346.44,-2710.59,331.85
投资收益,93729.59,140720.02,411492.12,58969.84,231420.58,318504.15,263790.75,-82248.26,-114933.37,-141614.04,-125055.49,28169.98,64128.41,129587.37,175386.12,66339.4,136528.09,185379.2,217314.18,37566.55,83327.61,132278.94,172856.52,28848.72,553668.04,585364.2,989894.93,39502.55,84617.05,121231.0,211640.31,36571.12,78767.98,111198.32,207112.36,-211412.58,-171553.72,-136143.52,-97659.58,27396.43,288462.34,339379.56,391891.63,42857.55,102861.63,162089.82,223503.57,51066.72,125865.63,193949.71,997841.78,94109.29,166425.37,230063.12,286247.74,60512.08
其中:对联营企业和合营企业的投资收益,81514.5,121654.66,189015.04,41571.51,77923.21,113653.64,133305.28,17644.74,49386.41,73038.32,93205.87,22173.64,56937.76,124696.07,171868.01,59048.32,122318.68,167695.77,205643.8,36399.68,81939.36,127389.87,171065.58,28846.22,70456.92,102890.63,129203.26,25645.97,70332.13,104982.79,136581.04,34368.56,72568.64,104454.69,136083.45,30396.03,67646.97,102700.37,140482.21,27396.43,72385.11,123204.94,170195.58,42857.55,101748.56,153419.11,207752.75,47018.03,109025.55,165771.87,206034.15,41487.18,101616.7,162197.41,210353.95,58998.86
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,107381.81,213204.65,2422624.3,807955.05,1853279.3,2537961.32,1960517.88,-232636.88,-342608.78,-371496.14,-566294.19,183709.68,513949.39,819259.18,988959.09,54828.92,-33040.52,-216865.57,-680554.67,-179965.95,-314147.02,-432148.26,-600891.57,-157642.64,211071.2,165555.12,439320.99,-59747.83,-55616.54,1955.77,1429.39,-35987.16,-80556.27,-215220.72,-217834.69,-406948.65,-630372.76,-799020.14,-791255.11,42459.15,369619.28,456743.67,495683.55,61644.34,96537.21,156498.52,304473.15,127712.64,255904.79,412464.86,1206210.15,84020.46,227760.14,601666.72,1393125.56,1891207.88
加:营业外收入,50580.63,65795.95,132120.39,9570.25,33455.77,77207.82,86429.48,13170.0,27171.79,63254.24,103495.25,21927.1,38646.19,41504.53,52555.53,28078.13,37142.37,78025.54,98450.14,40893.02,73792.31,97838.43,118032.57,19144.67,30820.86,59557.95,65883.17,8983.92,20957.79,186548.27,200953.23,7421.06,408533.35,415921.53,438260.68,2860.58,7277.58,39211.7,60577.06,22088.79,39265.52,93699.94,87268.37,3685.57,11961.95,108684.2,84008.91,349.48,1524.06,3262.42,4486.43,1504.99,3137.9,7077.59,10881.71,1188.3
减：营业外支出,1621.97,597.86,14192.82,293.41,6198.11,6410.37,559290.21,107688.97,101170.87,137177.02,168519.32,53687.34,56845.88,97929.04,122931.82,86704.11,142358.49,138811.81,198634.68,85810.08,131701.79,143086.46,256875.54,19206.21,44502.78,87703.12,130830.96,99408.48,103435.03,120036.57,151653.92,34321.4,47296.33,45890.81,44845.51,19962.25,28259.42,62982.57,128166.13,841.26,1037.69,10600.65,12648.33,25.46,821.1,1756.08,3949.81,145.49,4637.61,6681.99,18026.51,2175.91,2641.46,3152.07,9236.3,392.98
其中：非流动资产处置损失,0.0,0.0,1715.65,42.36,42.85,67.72,1006.52,468.63,638.53,1234.55,1420.92,1.32,57.46,69.54,169.53,3.11,2585.34,2585.34,2617.69,5.36,140.12,2099.51,3429.13,135.76,232.83,13358.79,30225.39,80568.39,95025.93,105734.48,118778.51,26872.53,34387.89,34529.74,35363.18,80.77,7861.19,42081.06,104768.26,11.7,117.34,9210.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,156340.46,278402.74,2540551.87,817231.89,1880536.96,2608758.77,1487657.15,-327155.85,-416607.85,-445418.93,-631318.27,151949.44,495749.7,762834.67,918582.8,-3797.07,-138256.64,-277651.84,-780739.21,-224883.01,-372056.5,-477396.29,-739734.53,-157704.18,197389.28,137409.95,374373.2,-150172.39,-138093.77,68467.47,50728.7,-62887.5,280680.75,154810.0,175580.48,-424050.31,-651354.61,-822791.01,-858844.17,63706.68,407847.12,539842.95,570303.59,65304.45,107678.07,263426.64,384532.25,127916.63,252791.24,409045.29,1192670.08,83349.54,228256.59,605592.24,1394770.97,1892003.19
减：所得税费用,10123.57,27797.2,455154.39,177163.85,390946.62,530324.71,295070.62,-13029.66,-1154.98,20102.63,42394.79,42794.72,96767.11,108541.56,119152.92,3009.54,36105.58,59695.68,103143.43,12761.51,39894.67,47888.66,74009.61,13570.84,86739.77,100501.2,86431.03,12367.78,29279.22,38693.4,-104353.42,10002.81,25209.62,38632.16,-3569.88,12929.96,28205.28,36862.33,51279.04,15776.0,67711.11,83191.2,87235.05,15736.09,30764.29,50467.62,81896.07,18677.79,35982.76,56619.42,157694.6,15926.12,34423.35,52450.11,76021.54,112381.72
五、净利润,146216.89,250605.54,2085397.48,640068.04,1489590.34,2078434.06,1192586.53,-314126.19,-415452.87,-465521.56,-673713.06,109154.72,398982.58,654293.11,799429.87,-6806.61,-174362.22,-337347.52,-883882.64,-237644.51,-411951.17,-525284.94,-813744.15,-171275.02,110649.51,36908.74,287942.17,-162540.17,-167372.99,29774.07,155082.12,-72890.32,255471.13,116177.84,179150.36,-436980.28,-679559.89,-859653.33,-910123.22,47930.68,340136.01,456651.75,483068.54,49568.36,76913.77,212959.03,302636.18,109238.83,216808.48,352425.87,1034975.48,67423.42,193833.24,553142.13,1318749.43,1779621.47
归属于母公司所有者的净利润,85380.85,151789.5,1908535.66,613221.77,1415582.57,1971160.44,1083036.49,-335064.85,-461706.9,-530773.92,-754129.39,88217.26,352610.47,563860.67,676095.73,-50326.55,-271056.7,-477654.54,-1044885.62,-269547.66,-487153.52,-640279.29,-955916.4,-198796.45,-99000.38,-203366.3,23546.99,-188014.89,-227673.19,-65430.62,36252.86,-102909.14,189666.77,18821.88,28339.11,-448379.01,-720917.65,-922012.72,-990600.36,27014.05,186346.68,273587.66,266193.59,18087.29,4079.56,86258.6,123002.64,68735.61,123723.15,211627.39,676410.48,29151.95,113716.39,386015.96,992709.82,1545233.18
少数股东损益,60836.04,98816.04,174388.37,26662.26,74007.77,107273.62,109550.03,20938.66,46254.03,65252.36,80416.33,20937.46,46372.11,90432.44,123334.14,43519.94,96694.48,140307.01,161002.98,31903.14,75202.36,114994.34,142172.25,27521.44,209649.89,240275.04,264395.18,25474.72,60300.2,95204.69,118829.26,30018.82,65804.36,97355.96,150811.25,11398.73,41357.76,62359.38,80477.14,20916.63,153789.33,183064.09,216874.95,31481.06,72834.22,126700.43,179633.54,40503.22,93085.33,140798.48,358565.0,38271.48,80116.84,167126.17,326039.61,234388.29
基本每股收益(元/股),0.12,0.2,2.05,0.6,1.39,1.93,1.06,-0.33,-0.45,-0.52,-0.74,0.09,0.35,0.55,0.66,-0.05,-0.27,-0.47,-1.02,-0.26,-0.48,-0.63,-0.94,-0.19,-0.1,-0.2,0.02,-0.18,-0.22,-0.06,0.04,-0.1,0.19,0.02,0.03,-0.44,-0.71,-0.9,-0.97,0.03,0.18,0.27,0.26,0.02,0.004,0.08,0.12,0.06,0.1,0.18,0.56,0.02,0.09,0.31,0.81,1.26
稀释每股收益(元/股),0.12,0.2,2.05,0.6,1.39,1.93,1.06,-0.33,-0.45,-0.52,-0.74,0.09,0.35,0.55,0.66,-0.05,-0.27,-0.47,-1.02,-0.26,-0.48,-0.63,-0.94,-0.19,-0.1,-0.2,0.02,-0.18,-0.22,-0.06,0.04,-0.1,0.19,0.02,0.03,-0.44,-0.71,-0.9,-0.97,0.03,0.18,0.27,0.26,0.02,0.004,0.08,0.12,0.06,0.1,0.18,0.56,0.02,0.09,0.31,0.81,1.25
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218916.39,-23237.23,-233653.35,-273191.98,-302629.2,-52049.52,-83435.63,-179873.78,-204472.6,552.87,18547.99,33703.41,6075.05,-14608.27,-105419.62,-115258.56,-161897.92,34242.45,28096.28,16149.96,-28281.11,-4866.63,-18240.79,9346.21,36556.51,276983.29,333068.65,371305.3,448551.12,50833.78,87642.1,13166.56,-27515.42,-84977.38,-2913.75,103523.77,61133.96,-41591.24,1705.92,68857.38,41148.98,23463.56,23418.15,-113824.08,-305874.69,9050.07
八、综合收益总额,0.0,0.0,0.0,640068.04,0.0,0.0,0.0,0.0,0.0,0.0,-454796.67,85917.49,165329.23,381101.13,496800.67,-58856.13,-257797.85,-517221.3,-1088355.24,-237091.65,-393403.18,-491581.54,-807669.1,-185883.29,5229.89,-78349.81,126044.25,-128297.73,-139276.71,45924.03,126801.02,-77756.95,237230.34,125524.06,215706.87,-159996.99,-346491.23,-488348.03,-461572.1,98764.46,427778.11,469818.31,455553.12,-35409.03,74000.02,316482.8,363770.14,67647.59,218514.4,421283.26,1076124.46,90886.98,217251.39,439318.05,1012874.74,1788671.54
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-632148.18,75851.65,239295.86,392169.46,503148.23,-97033.02,-337669.01,-622196.39,-1204806.14,-270467.7,-474010.04,-618165.29,-955727.36,-210814.28,-165161.13,-277617.27,-92390.31,-163559.46,-207732.33,-51442.07,12871.64,-105142.35,178963.31,9536.35,26030.53,-182593.0,-412314.22,-590813.61,-598458.98,46972.73,210334.1,248852.79,210603.27,-49474.21,9931.88,154350.14,167117.65,44503.65,125415.46,253773.06,703545.38,45551.9,125349.08,310010.26,798994.56,1553230.48
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177351.51,10065.84,-73966.62,-11068.33,-6347.55,38176.89,79871.16,104975.09,116450.9,33376.05,80606.86,126583.76,148058.26,24930.99,170391.02,199267.46,218434.56,35261.73,68455.62,97366.11,113929.38,27385.41,58267.02,115987.71,189676.34,22596.01,65822.99,102465.58,136886.87,51791.73,217444.01,220965.52,244949.85,14065.18,64068.14,162132.66,196652.5,23143.94,93098.94,167510.2,372579.08,45335.08,91902.32,129307.79,213880.18,235441.06
