报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
投资收益,2.16,60.51,-207.34,-288.05,0.0,295.27,295.27,2001.44,98.3,1244.75,1218.43,1512.51,211.03,567.25,1013.03,1176.75,-15.93,21840.26,22239.1,25382.47,-129.09,1542.49,1896.78,2652.41,-4.17,984.35,2990.36,13138.55,3008.05,7647.18,9455.54,10773.98,71.03,13053.6,14598.93,18634.75,1182.57,31790.39,36313.95,39926.1,4657.09,6827.91,10701.02,13467.93,7269.36,14994.45,24372.32,26091.32,5628.68,18804.87,28395.93,54486.57,15896.9,27380.39,44616.57,59973.0,10316.04,24310.58,36745.84,46138.54,2109.5,18913.95
其中:对联营企业和合营企业的投资收益,0.0,60.51,75.8,0.0,0.0,0.0,0.0,0.0,76.3,1158.23,0.0,1426.21,71.18,241.75,0.0,558.56,-15.93,29.18,-194.21,-157.19,-129.09,-175.97,-167.75,587.87,-4.17,-26.98,391.47,442.93,46.19,-23.31,-103.67,-172.43,-85.64,-84.89,89.78,577.79,412.15,2254.13,2801.33,-759.65,2246.68,4274.97,6780.24,8655.78,5665.69,10195.86,13220.67,14420.2,4615.98,11249.48,16810.5,21368.15,8141.76,17906.61,29002.65,34226.6,10271.68,17874.58,27823.73,33667.02,2225.43,11905.14
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,14347.45,28813.53,44942.13,8468.23,6366.37,15203.04,-12095.02,-205001.19,13528.73,32083.53,56863.22,66541.36,11208.58,36297.55,59318.35,60568.79,14521.29,78991.19,143715.59,174600.62,45995.5,66656.06,134869.9,161565.85,53917.48,131302.79,204699.09,265901.13,117426.68,250339.22,388236.34,438968.67,147984.88,307650.02,404401.52,489432.2,166393.98,326567.27,452878.96,552041.22,195188.01,405330.15,591501.63,711591.12,250233.23,418579.94,608955.02,769082.9,273889.66,454428.61,671987.18,828031.7,166595.78,478229.46,748566.83,855823.16,349129.05,638687.07,940898.69,1023031.08,420952.55,732495.23
加:营业外收入,899.02,2881.07,5776.52,12143.47,1933.23,8273.46,16429.7,21870.51,1708.39,5122.27,12902.59,20923.28,5950.23,11337.95,17050.75,30236.14,6518.0,19119.9,25942.1,42132.1,4209.37,26949.97,33152.55,50188.8,5123.01,19441.33,30386.66,43984.27,8019.96,20494.46,30211.92,46340.85,5860.62,15307.86,31009.43,71227.15,17723.56,58038.73,76114.53,117878.15,16340.68,2194.18,3327.52,8559.78,1385.8,1608.59,3173.76,3481.89,247.51,627.08,1356.71,2983.76,609.77,1322.59,2991.47,4852.19,1334.82,2416.39,3503.73,5824.91,269.77,1499.56
减：营业外支出,74.97,1066.69,6357.57,9972.48,1451.41,1790.13,3477.62,12433.66,797.97,1973.43,3316.56,6276.95,1655.9,3886.12,8101.15,5442.58,314.05,772.78,1472.92,3091.1,686.74,807.55,1317.94,3078.47,264.29,1199.63,2621.49,3847.66,632.83,2385.51,3619.09,6720.98,471.68,4146.24,5144.78,8306.0,666.59,3899.9,5374.76,6712.17,6675.82,7649.79,9214.98,12753.56,1471.77,9280.86,11272.46,14801.55,1287.8,7974.73,9873.15,11604.94,34050.74,43412.92,44431.43,45690.42,10259.56,11607.51,13704.9,17620.59,10862.41,24074.82
其中：非流动资产处置损失,6.68,822.65,912.95,1033.41,32.19,79.25,99.78,1717.64,21.94,231.34,306.07,1564.17,72.29,712.32,1104.68,2182.94,277.15,487.95,897.16,2347.85,13.85,28.88,272.0,795.76,93.2,257.06,1213.15,2265.89,481.08,1021.71,1856.39,3446.52,269.68,1194.02,1996.25,2713.85,521.97,2227.35,3171.62,4350.55,788.43,1528.23,2929.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,15171.5,30627.91,44361.08,10639.22,6848.19,21686.37,857.06,-195564.34,14439.16,35232.37,66449.25,81187.68,15502.91,43749.37,68267.96,85362.36,20725.24,97338.31,168184.77,213641.62,49518.12,92798.48,166704.51,208676.18,58776.2,149544.49,232464.27,306037.74,124813.81,268448.17,414829.17,478588.55,153373.82,318811.65,430266.17,552353.35,183450.96,380706.09,523618.73,663207.2,204852.87,399874.54,585614.16,707397.33,250147.27,410907.67,600856.32,757763.24,272849.38,447080.96,663470.74,819410.51,133154.81,436139.12,707126.87,814984.93,340204.31,629495.95,930697.53,1011235.41,410359.91,709919.98
减：所得税费用,3602.34,6209.01,8792.07,11095.55,2197.35,8715.53,11123.24,-21893.24,2157.35,7991.9,11354.31,14660.85,2965.05,8260.82,11992.83,5786.08,5737.76,14560.16,23826.52,30397.89,7294.19,15215.28,28471.83,35074.0,9729.32,-25062.48,-20084.22,-14081.94,16016.23,37815.82,57133.45,61934.73,22342.34,51383.98,64696.98,86910.84,27761.61,58495.77,83113.61,96303.68,31216.9,63098.22,91712.54,107115.84,39523.09,64041.26,95289.29,112563.63,44803.11,67238.8,98623.03,124337.9,17929.26,60442.44,102756.76,105091.06,57480.76,97496.87,134012.69,138032.84,59558.4,95997.33
五、净利润,11569.16,24418.9,35569.02,-456.33,4650.84,12970.84,-10266.18,-173671.09,12281.81,27240.47,55094.94,66526.83,12537.86,35488.56,56275.12,79576.27,14987.49,82778.15,144358.25,183243.73,42223.93,77583.19,138232.68,173602.17,49046.88,174606.97,252548.49,320119.68,108797.58,230632.35,357695.72,416653.81,131031.48,267427.67,365569.19,465442.51,155689.35,322210.32,440505.12,566903.52,173635.97,336776.32,493901.62,600281.5,210624.17,346866.41,505567.03,645199.61,228046.27,379842.17,564847.7,695072.62,115225.54,375696.68,604370.11,709893.87,282723.56,531999.07,796684.83,873202.56,350801.51,613922.64
归属于母公司所有者的净利润,10888.43,22735.33,33064.02,-2059.91,5566.98,11686.27,-10917.75,-168744.76,11333.55,25426.0,52603.87,64765.97,12475.09,34472.41,55072.97,77719.66,14496.4,81595.63,141816.2,180921.95,41075.65,76153.37,136627.35,171720.63,48719.41,173796.61,251558.59,318723.96,108421.64,229287.28,355806.28,414428.05,130276.79,266217.84,363730.82,463179.18,155373.88,321148.91,438994.32,566180.77,173365.33,336411.11,493726.73,600088.49,210023.55,344583.09,504781.87,643974.96,227576.77,378053.15,563069.2,693376.34,114285.48,373524.12,602437.33,707817.68,283070.06,532185.02,794424.52,870491.51,351903.25,613255.87
少数股东损益,680.73,1683.57,2505.0,1521.41,-916.14,1284.58,651.58,-4926.34,948.26,1814.47,2491.06,1760.86,62.77,1016.15,1202.15,1856.61,491.09,1182.52,2542.05,2321.78,1148.28,1429.82,1605.33,1881.54,327.47,810.36,989.9,1395.72,375.94,1345.08,1889.44,2225.76,754.69,1209.83,1838.37,2263.33,315.47,1061.41,1510.8,722.75,270.63,365.21,174.89,193.0,600.62,2283.31,785.15,1224.65,469.5,1789.01,1778.51,1696.27,940.06,2172.56,1932.79,2076.19,-346.51,-185.95,2260.32,2711.05,-1101.73,666.77
基本每股收益(元/股),0.21,0.44,0.64,-0.04,0.08,0.15,-0.14,-2.3,0.14,0.32,0.66,0.81,0.16,0.43,0.69,0.97,0.18,0.51,0.89,1.13,0.26,0.48,0.85,1.07,0.27,0.95,1.33,1.65,0.53,0.75,1.16,1.35,0.43,0.43,0.59,0.76,0.26,0.53,0.72,0.93,0.29,0.55,0.81,0.99,0.35,0.57,0.83,1.06,0.37,0.62,0.93,1.15,0.19,0.61,1.0,1.17,0.47,0.88,1.31,1.43,0.56,0.96
稀释每股收益(元/股),0.18,0.36,0.52,0.0,0.08,0.14,0.0,0.0,0.14,0.31,0.64,0.78,0.15,0.4,0.65,0.91,0.17,0.48,0.83,1.06,0.24,0.44,0.79,1.0,0.25,0.94,1.33,1.65,0.53,0.75,1.16,1.35,0.43,0.43,0.59,0.76,0.26,0.53,0.72,0.93,0.29,0.55,0.81,0.99,0.34,0.57,0.83,1.06,0.37,0.62,0.93,1.15,0.19,0.63,1.01,1.18,0.47,0.88,1.32,1.43,0.55,0.96
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.87,122.7,-568.03,-232.02,369.85,-451.87,-60.29,-43.29,-366.45,132.34,300.9,296.3,222.06,364.99,-1634.02,-1864.48,719.6,-4043.66,-8385.43,-12556.1,259.28,263.65,-4469.3,8112.53,17428.28,1350.11,-6856.29,-1963.63,16506.94,-3504.19,-10121.26,-28789.11,-43334.33,-5216.16,16819.91,45132.93,44662.95,-12110.98,4053.61,2856.71,26318.58,-53947.31,-5691.94,-17247.59,13024.13,-20045.1,43337.04,-1346.45,-8745.2,-8330.66,-103039.12
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67130.7,12660.56,34920.52,56043.1,79946.13,14535.62,82717.86,144314.97,182877.28,42356.28,77884.09,138528.98,173824.24,49411.87,172972.95,250684.01,320839.28,104753.92,222246.92,345139.62,416913.09,131295.13,262958.37,373681.72,482870.79,157039.45,315354.03,438541.49,583410.47,170131.78,326655.06,465112.51,556947.16,205408.02,363686.32,550699.95,689862.56,215935.29,383895.78,567704.41,721391.2,61278.23,370004.74,587122.52,722918.0,262678.45,575336.11,795338.38,864457.36,342470.85,510883.52
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65369.98,12597.79,33904.38,54840.94,78089.52,14044.53,81535.34,141772.92,180555.5,41207.99,76454.27,136923.65,171942.7,49084.4,172162.59,249694.11,319443.55,104377.98,220901.85,343250.18,414687.33,130540.44,261748.55,371843.35,480607.47,156723.99,314292.62,437030.69,582687.72,169861.14,326289.85,464937.62,556754.16,204807.39,361403.01,549914.8,688637.91,215465.79,382048.45,565831.93,719601.67,60398.21,367844.74,585254.83,720899.7,263054.39,575581.57,793418.8,862090.93,343572.71,509930.6
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.86,62.77,1016.15,1202.15,1856.61,491.09,1182.52,2542.05,2321.78,1148.28,1429.82,1605.33,1881.54,327.47,810.36,989.9,1395.72,375.94,1345.08,1889.44,2225.76,754.69,1209.83,1838.37,2263.33,315.47,1061.41,1510.8,722.75,270.63,365.21,174.89,193.0,600.62,2283.31,785.15,1224.65,469.5,1847.33,1872.48,1789.53,880.02,2160.01,1867.7,2018.3,-375.93,-245.46,1919.58,2366.43,-1101.86,952.92
