报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.73,0.0,-230.73,-299.74,-152.5,-334.3,-833.14,-1037.62,-524.23,-979.1,-1582.83,-1275.26,-451.96,-943.28,-1418.47
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,19476.06,23952.78,15386.23,11981.86,16712.91,16134.18,-2995.86,-3356.85,18880.26,16393.71,-2134.96,1675.98,25236.83,26909.13,-2970.79,3158.67,31000.53,30113.09,-139.42,6511.67,35367.62,33112.0,-2894.81,4368.44,36062.95,37737.92,1239.26,8916.55,42067.67
加:营业外收入,3573.64,2769.45,2994.28,748.86,615.46,908.46,238.78,718.53,922.9,1277.5,504.79,98.52,315.67,458.86,212.09,299.32,395.65,256.36,71.16,140.28,261.86,490.85,110.83,208.58,284.78,390.53,111.72,202.62,409.97
减：营业外支出,285.1,456.3,487.54,792.94,194.55,290.37,34.52,285.94,411.08,604.7,113.2,498.11,759.59,921.86,124.5,222.38,592.67,941.76,84.7,979.6,1809.8,2102.59,143.32,237.97,412.49,708.11,208.0,666.44,1027.82
其中：非流动资产处置损失,69.43,299.26,269.66,43.3,111.54,119.27,11.16,240.28,339.5,431.42,86.92,448.53,514.6,0.0,0.0,126.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,22764.6,26265.93,17892.97,11937.78,17133.81,16752.28,-2791.6,-2924.25,19392.07,17066.52,-1743.36,1276.39,24792.91,26446.14,-2883.2,3235.61,30803.5,29427.69,-152.96,5672.35,33819.68,31500.26,-2927.3,4339.04,35935.23,37420.34,1142.98,8452.73,41449.82
减：所得税费用,4875.38,6823.03,5527.65,3784.15,5071.01,5309.63,123.81,152.79,4598.88,4571.72,155.58,935.65,5105.62,6100.48,101.61,1132.86,6084.14,5265.17,530.11,2119.31,6286.05,6716.9,160.28,1798.66,6634.11,7418.27,1009.67,2277.5,8222.97
五、净利润,17889.22,19442.91,12365.32,8153.63,12062.8,11442.65,-2915.4,-3077.04,14793.19,12494.8,-1898.94,340.75,19687.3,20345.65,-2984.8,2102.75,24719.36,24162.52,-683.07,3553.04,27533.63,24783.36,-3087.58,2540.38,29301.12,30002.06,133.31,6175.23,33226.85
归属于母公司所有者的净利润,17810.56,19493.01,12366.52,8155.1,12062.14,11443.94,-2914.2,-3076.37,14793.02,12495.0,-1896.93,343.02,19692.0,20351.33,-2982.54,2105.31,24723.42,24164.67,-682.4,3554.43,27532.76,24776.81,-3087.01,2541.79,29300.19,30003.29,134.7,6177.55,33225.53
少数股东损益,78.66,-50.1,-1.2,-1.47,0.65,-1.3,-1.2,-0.66,0.17,-0.2,-2.01,-2.27,-4.7,-5.68,-2.26,-2.56,-4.06,-2.14,-0.66,-1.39,0.87,6.55,-0.57,-1.41,0.93,-1.22,-1.39,-2.32,1.32
基本每股收益(元/股),1.4,1.27,0.69,0.45,0.67,0.64,-0.16,-0.17,0.82,0.69,-0.08,0.01,0.82,0.85,-0.12,0.09,1.03,1.01,-0.03,0.15,1.15,1.03,-0.13,0.11,1.22,1.25,0.01,0.26,1.38
稀释每股收益(元/股),1.4,1.27,0.69,0.45,0.67,0.64,-0.16,-0.17,0.82,0.69,-0.08,0.01,0.82,0.85,-0.12,0.09,1.03,1.01,-0.03,0.15,1.15,1.03,-0.13,0.11,1.22,1.25,0.01,0.26,1.38
七、其他综合收益,-513.33,419.53,-333.84,-487.16,-137.46,30.97,855.35,378.04,672.57,750.45,391.62,407.28,-31.33,230.15,911.97,-106.97,401.97,142.89,-52.47,-56.16,263.11,397.33,309.06,302.15,82.46,-23.6,-83.79,-193.0,-244.93
八、综合收益总额,17375.89,19862.44,12031.48,7666.47,11925.34,11473.62,-2060.05,-2698.99,15465.76,13245.25,-1507.32,748.02,19655.96,20575.81,-2072.83,1995.78,25121.33,24305.41,-735.54,3496.88,27796.74,25180.7,-2778.52,2842.53,29383.58,29978.46,49.52,5982.23,32981.92
归属于母公司所有者的综合收益总额,17300.24,19910.08,12034.88,7670.8,11925.5,11474.74,-2064.1,-2700.54,15461.66,13241.05,-1507.74,747.41,19658.69,20580.13,-2073.05,1998.97,25123.89,24306.72,-733.4,3498.6,27794.33,25171.82,-2779.77,2842.17,29382.16,29979.82,51.4,5985.69,32980.81
归属于少数股东的综合收益总额,75.65,-47.64,-3.4,-4.33,-0.16,-1.12,4.05,1.55,4.1,4.19,0.42,0.61,-2.72,-4.32,0.21,-3.19,-2.56,-1.31,-2.14,-1.72,2.41,8.88,1.24,0.36,1.42,-1.36,-1.88,-3.46,1.11
