报表日期,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.17,0.0,1.8,144.5,1483.86,0.0,1152.35,307.55,-258.56,36.91,10334.2,6961.54
投资收益,0.0,0.0,0.0,0.0,0.0,-19.73,-46.21,-117.07,-47.36,-93.69,-151.87,258.89,468.74,916.38,1713.23,2551.25,774.85,1609.39,2496.76,4187.85,1512.79,3183.7,4626.26,19748.39,830.99,1016.23,3004.28,7217.34,867.9,3559.57,5585.48,9954.7,-426.79,744.63,4756.06,7314.76,1253.51,2027.91,3570.49
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.5,0.0,0.0,0.0,-191.11,0.0,916.38,0.0,2479.75,774.85,1609.39,2496.76,4002.73,1512.79,2884.96,4327.53,5172.81,830.99,959.51,1559.72,2778.27,867.9,1595.19,2477.85,3826.06,-426.79,-170.69,878.1,2078.3,-32.39,1602.69,3033.05
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,1238.13,3564.44,4809.55,7159.57,1623.28,5566.02,7826.91,10822.92,2330.93,8117.39,11685.69,15021.69,2765.98,9858.61,14594.88,19454.04,5259.26,19439.57,29059.02,41585.24,10393.35,28931.28,43294.62,59290.24,11324.0,35766.97,54058.74,72139.78,15045.94,46230.89,65603.34,77457.12,2589.52,69254.58,127620.21,132031.11,48578.25,103381.7,177790.4
加:营业外收入,176.1,210.45,282.01,369.97,118.13,215.89,271.29,584.93,141.16,216.25,260.31,662.49,297.66,551.25,791.94,2086.29,360.42,674.57,924.34,2430.48,296.72,908.17,1135.38,4164.74,380.78,568.14,653.2,1728.11,443.67,957.29,1665.01,368.48,432.69,1443.27,1844.9,1323.93,388.57,987.07,1250.16
减：营业外支出,42.34,67.92,103.55,203.57,20.8,66.9,112.21,242.92,45.21,112.8,273.97,453.2,49.84,118.57,299.03,494.67,79.86,145.61,226.52,580.44,183.7,254.51,324.74,506.39,53.97,168.82,275.43,460.52,65.97,128.3,298.37,708.11,156.11,568.93,846.29,1615.5,119.62,492.39,1207.28
其中：非流动资产处置损失,0.0,0.74,0.0,66.33,0.0,1.36,6.14,19.64,0.0,12.84,30.32,60.52,1.1,14.08,17.52,38.51,3.51,8.51,33.39,60.14,19.91,42.45,49.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,1371.89,3706.97,4988.02,7325.97,1720.61,5715.01,7985.99,11164.93,2426.88,8220.84,11672.02,15230.98,3013.8,10291.29,15087.78,21045.66,5539.82,19968.53,29756.83,43435.27,10506.37,29584.95,44105.26,62948.58,11650.81,36166.28,54436.51,73407.37,15423.64,47059.88,66969.99,77117.5,2866.09,70128.92,128618.83,131739.54,48847.19,103876.37,177833.27
减：所得税费用,236.77,590.7,737.54,1386.63,323.56,1036.74,1477.12,2161.51,508.24,1596.6,2302.28,2445.73,550.56,1656.16,2590.79,3167.11,962.85,3584.67,5809.28,9640.25,2481.33,6117.48,10105.85,16539.39,2825.86,7740.72,10873.65,14561.18,3469.64,10050.09,14115.04,19560.69,-57.41,9659.61,17877.53,24746.13,7615.84,15780.85,28385.96
五、净利润,1135.12,3116.27,4250.47,5939.34,1397.05,4678.27,6508.87,9003.42,1918.64,6624.24,9369.74,12785.26,2463.24,8635.13,12497.0,17878.54,4576.97,16383.86,23947.56,33795.02,8025.04,23467.46,33999.41,46409.2,8824.95,28425.57,43562.86,58846.19,11954.0,37009.79,52854.95,57556.81,2923.5,60469.3,110741.3,106993.41,41231.35,88095.52,149447.32
归属于母公司所有者的净利润,1211.09,3069.9,4175.01,6018.77,1535.66,4534.51,6178.54,8609.33,1894.33,6258.5,8888.03,12458.44,2667.65,8894.79,12495.9,17479.47,3967.34,13554.38,18813.21,26276.09,5599.55,18107.73,24989.35,34959.3,6280.63,20407.01,29198.34,38860.84,7257.62,24796.56,35173.85,34728.18,665.17,50136.11,89935.46,80293.25,33855.95,72708.89,123273.27
少数股东损益,-75.97,46.37,75.47,-79.43,-138.61,143.76,330.33,394.09,24.32,365.73,481.71,326.81,-204.41,-259.65,1.1,399.07,609.63,2829.49,5134.35,7518.93,2425.5,5359.74,9010.06,11449.9,2544.32,8018.55,14364.52,19985.35,4696.38,12213.24,17681.1,22828.62,2258.34,10333.19,20805.84,26700.16,7375.4,15386.63,26174.05
基本每股收益(元/股),0.24,0.33,0.45,0.65,0.17,0.38,0.52,0.72,0.1584,0.3079,0.4356,0.61,0.13,0.3328,0.4661,0.65,0.1357,0.25,0.35,0.48,0.1022,0.33,0.46,0.64,0.114,0.3703,0.53,0.71,0.117,0.3996,0.5669,0.56,0.0107,0.808,1.4495,1.29,0.5457,1.1719,1.9868
稀释每股收益(元/股),0.24,0.33,0.45,0.65,0.17,0.38,0.51,0.71,0.156,0.3061,0.4298,0.6,0.13,0.3305,0.4627,0.65,0.135,0.25,0.35,0.48,0.1022,0.33,0.46,0.64,0.114,0.3703,0.53,0.71,0.117,0.3996,0.5669,0.56,0.0107,0.808,1.4495,1.29,0.5419,1.1578,1.953
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
八、综合收益总额,1135.12,3116.27,4250.47,5939.34,1397.05,4678.27,6508.87,9003.42,1918.64,6624.24,9369.74,12785.26,2463.24,8635.13,12497.0,17878.54,4576.97,16383.86,23947.56,33795.02,8025.04,23467.46,33999.41,46409.2,8824.95,28425.57,43562.86,58846.19,11954.0,37009.79,52854.95,57556.81,2923.5,60469.3,110741.3,106993.41,41231.35,88095.52,149447.32
归属于母公司所有者的综合收益总额,1211.09,3069.9,4175.01,6018.77,1535.66,4534.51,6178.54,8609.33,1894.33,6258.5,8888.03,12458.44,2667.65,8894.79,12495.9,17479.47,3967.34,13554.38,18813.21,26276.09,5599.55,18107.73,24989.35,34959.3,6280.63,20407.01,29198.34,38860.84,7257.62,24796.56,35173.85,34728.18,665.17,50136.11,89935.46,80293.25,33855.95,72708.89,123273.27
归属于少数股东的综合收益总额,-75.97,46.37,75.47,-79.43,-138.61,143.76,330.33,394.09,24.32,365.73,481.71,326.81,-204.41,-259.65,1.1,399.07,609.63,2829.49,5134.35,7518.93,2425.5,5359.74,9010.06,11449.9,2544.32,8018.55,14364.52,19985.35,4696.38,12213.24,17681.1,22828.62,2258.34,10333.19,20805.84,26700.16,7375.4,15386.63,26174.05
