报表日期,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
三、营业利润,1615.72,3927.1,4451.33,2128.64,2010.3,3235.93,133.11,1758.86,2373.98,2841.12,154.94,1670.09,2490.25,2699.55,32.46,1820.14,2748.01,4398.86,688.22,3531.96,5762.09,9303.13,2359.42,6116.58,8664.28,10573.53,-910.12
加:营业外收入,50.9,100.23,391.53,1168.57,405.41,799.86,227.8,343.99,443.85,886.18,316.81,534.27,604.84,1015.8,122.5,565.34,905.82,1718.41,258.99,81.96,412.13,6.14,0.0,2.0,8.21,13.08,1.21
减：营业外支出,0.85,78.76,60.82,2.77,0.19,4.85,10.95,11.02,11.03,14.03,0.22,0.26,10.58,25.65,0.04,0.59,106.28,108.22,0.0,1.02,151.08,155.78,0.01,2.14,13.51,44.43,7.13
其中：非流动资产处置损失,0.0,0.0,0.72,0.79,0.0,4.82,0.0,0.07,0.0,0.07,0.2,0.2,0.0,25.57,0.02,0.57,6.15,7.96,0.0,1.02,1.08,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,1665.77,3948.57,4782.05,3294.44,2415.52,4030.93,349.96,2091.84,2806.8,3713.28,471.52,2204.1,3084.51,3689.7,154.93,2384.89,3547.55,6009.05,947.21,3612.9,6023.14,9153.48,2359.41,6116.44,8658.98,10542.18,-916.04
减：所得税费用,152.12,421.92,704.84,470.46,385.51,553.52,67.67,341.57,458.35,526.84,84.71,342.75,485.7,513.47,35.85,375.42,553.22,792.44,144.41,542.22,908.1,1075.7,351.97,929.98,1354.52,1396.15,91.21
五、净利润,1513.65,3526.65,4077.21,2823.98,2030.01,3477.41,282.29,1750.27,2348.45,3186.44,386.81,1861.35,2598.81,3176.23,119.07,2009.48,2994.33,5216.61,802.8,3070.68,5115.04,8077.79,2007.44,5186.46,7304.46,9146.03,-1007.25
归属于母公司所有者的净利润,1513.65,3526.65,4077.21,2823.98,2052.63,3513.71,291.25,1767.13,2371.16,3208.95,392.14,1876.39,2620.48,3203.89,124.39,2017.84,3002.91,5210.82,802.93,3068.41,5113.04,8033.68,2002.86,5183.04,7269.77,9097.83,-1007.2
少数股东损益,0.0,0.0,0.0,0.0,-22.62,-36.3,-8.96,-16.85,-22.71,-22.51,-5.33,-15.03,-21.68,-27.65,-5.32,-8.37,-8.57,5.79,-0.13,2.28,2.0,44.11,4.59,3.42,34.69,48.19,-0.05
基本每股收益(元/股),0.25,0.59,0.68,0.47,0.34,0.59,0.05,0.29,0.4,0.49,0.05,0.16,0.2184,0.267,0.01,0.1682,0.2502,0.43,0.07,0.13,0.21,0.3347,0.08,0.22,0.3,0.38,-0.04
稀释每股收益(元/股),0.25,0.59,0.68,0.47,0.34,0.59,0.05,0.29,0.4,0.49,0.05,0.16,0.2184,0.267,0.01,0.1682,0.2502,0.43,0.07,0.13,0.21,0.3347,0.08,0.22,0.3,0.38,-0.04
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
八、综合收益总额,1513.65,3526.65,4077.21,2823.98,2030.01,3477.41,282.29,1750.27,2348.45,3186.44,386.81,1861.35,2598.81,3176.23,119.07,2009.48,2994.33,5216.61,802.8,3070.68,5115.04,8077.79,2007.44,5186.46,7304.46,9146.03,-1007.25
归属于母公司所有者的综合收益总额,1513.65,3526.65,4077.21,2823.98,2052.63,3513.71,291.25,1767.13,2371.16,3208.95,392.14,1876.39,2620.48,3203.89,124.39,2017.84,3002.91,5210.82,802.93,3068.41,5113.04,8033.68,2002.86,5183.04,7269.77,9097.83,-1007.2
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,-22.62,-36.3,-8.96,-16.85,-22.71,-22.51,-5.33,-15.03,-21.68,-27.65,-5.32,-8.37,-8.57,5.79,-0.13,2.28,2.0,44.11,4.59,3.42,34.69,48.19,-0.05
