报表日期,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
减：所得税费用,-4.59,210.71,523.91,212.87,479.86,847.6,847.1,199.34,556.35,866.11,1305.08,269.95,688.78,1318.26,1887.45,668.71,1237.2,1699.5,1804.92,1053.29,2646.06,3831.26,3433.58,438.72,1212.59,1414.44,1202.57,3227.38,5529.08,7627.42,-5846.75,1825.21,3545.96,4978.24,4419.98,3262.77
五、净利润,259.58,1372.44,4133.48,706.54,2213.04,3554.26,5568.67,1088.01,3191.3,5136.79,8230.0,1692.02,4500.67,9171.62,15361.94,4282.33,11510.62,21621.24,35045.27,8461.97,18022.18,29262.68,50119.4,23718.98,44201.51,59636.56,55719.62,16848.6,28065.32,41432.29,29223.03,14354.4,42217.93,56433.94,-309544.83,18585.46
归属于母公司所有者的净利润,259.58,1372.44,4133.48,706.54,2213.04,3554.26,5568.67,1088.01,3191.3,5136.79,8230.0,1692.02,4500.67,9171.62,15361.94,4282.33,11042.21,20344.86,33059.19,7819.68,16848.1,27212.75,47040.88,22135.07,41850.06,55962.85,50858.58,16184.81,26711.89,39427.3,26389.44,13157.21,38035.23,51634.81,-314993.36,18674.83
少数股东损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.41,1276.38,1986.08,642.28,1174.08,2049.93,3078.51,1583.91,2351.45,3673.71,4861.04,663.79,1353.44,2004.98,2833.59,1197.2,4182.69,4799.14,5448.54,-89.37
基本每股收益(元/股),0.0222,0.1173,0.3525,0.06,0.1803,0.29,0.4537,0.09,0.25,0.36,0.56,0.1,0.13,0.14,0.23,0.06,0.09,0.17,0.27,0.06,0.07,0.11,0.19,0.08,0.15,0.2,0.18,0.06,0.1,0.14,0.1,0.05,0.14,0.19,-1.14,0.07
稀释每股收益(元/股),0.0222,0.1173,0.3525,0.06,0.1803,0.29,0.4537,0.09,0.25,0.36,0.56,0.1,0.13,0.14,0.23,0.06,0.09,0.17,0.27,0.06,0.07,0.11,0.19,0.08,0.15,0.2,0.18,0.06,0.1,0.14,0.1,0.05,0.14,0.19,-1.14,0.07
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.6,0.0,4.77,4.83,1.22,32.34,-11.29,411.42,1399.89,-164.33,5.17,1215.98,7056.8,-918.62,-4303.49,-8306.1,-9682.52,-6613.64,-2876.66,4520.56,4620.24,-3017.96
八、综合收益总额,259.58,1372.44,4133.48,706.54,2213.04,3554.26,5568.67,1088.01,3191.3,5136.79,8230.0,1692.02,4500.67,9171.62,15345.34,4282.33,11515.39,21626.07,35046.49,8494.31,18010.89,29674.1,51519.29,23554.65,44206.68,60852.55,62776.42,15929.98,23761.84,33126.18,19540.51,7740.76,39341.27,60954.5,-304924.59,15567.5
归属于母公司所有者的综合收益总额,259.58,1372.44,4133.48,706.54,2213.04,3554.26,5568.67,1088.01,3191.3,5136.79,8230.0,1692.02,4500.67,9171.62,15345.34,4282.33,11046.98,20349.69,33060.41,7852.03,16837.33,27600.65,48403.49,21970.74,41855.23,57178.83,57915.38,15266.19,22408.4,31121.2,16706.92,6543.57,35158.58,56155.37,-310373.12,15656.87
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.41,1276.38,1986.08,642.28,1173.56,2073.46,3115.8,1583.91,2351.45,3673.71,4861.04,663.79,1353.44,2004.98,2833.59,1197.2,4182.69,4799.14,5448.54,-89.37
