报表日期,2009-12-31,2010-12-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
减：营业外支出,100.13,126.86,60.71,216.82,3.46,17.01,41.97,59.14,38.21,380.99,485.82,521.42,57.62,158.89,338.03,385.88,63.31,100.45,101.24,169.09,14.0,44.4,61.14,112.93,18.51,77.78,153.45,186.76,12.73,80.99,167.23,447.67,6.3,77.09,133.35
其中：非流动资产处置损失,1.41,2.24,17.33,20.19,0.96,8.87,11.51,21.49,1.71,11.7,96.5,112.81,5.69,156.69,219.37,250.44,36.53,67.72,68.44,79.74,0.49,8.9,16.38,17.95,12.05,17.04,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,14196.27,17726.65,14982.29,20107.83,5018.61,11949.81,15443.68,20412.99,5160.87,12133.5,15633.74,18464.7,5367.6,12547.93,16536.77,20121.79,5684.74,13944.75,18267.24,21588.24,5733.35,12152.56,15935.02,17541.4,5033.59,12044.26,16526.13,21377.05,6602.45,17825.82,29311.04,37255.1,8825.98,26095.4,45341.51
减：所得税费用,2126.26,2650.57,2247.34,3046.51,753.83,1803.87,2298.0,3063.96,776.79,1824.84,2352.59,2762.26,820.38,1925.21,2543.85,3098.29,912.75,2212.37,2785.61,3691.56,930.52,1936.34,2449.41,3109.73,1107.88,2192.01,2956.34,4884.06,1168.99,2372.71,3745.91,5063.91,911.93,2421.78,4736.45
五、净利润,12070.0,15076.07,12734.95,17061.32,4264.78,10145.94,13145.67,17349.04,4384.08,10308.66,13281.15,15702.45,4547.22,10622.72,13992.92,17023.5,4771.98,11732.38,15481.63,17896.68,4802.84,10216.22,13485.61,14431.67,3925.71,9852.25,13569.79,16492.99,5433.45,15453.11,25565.13,32191.2,7914.06,23673.62,40605.07
归属于母公司所有者的净利润,12070.0,15076.07,12734.95,17061.32,4264.78,10145.94,13145.67,17349.04,4384.08,10308.66,13281.15,15702.45,4547.22,10622.72,13992.92,17026.85,4783.15,11757.55,15481.63,17921.86,4802.84,10216.22,13485.61,14431.67,3925.71,9852.25,13569.79,16492.99,5433.45,15482.36,25592.93,32270.99,7916.87,23677.61,40613.53
少数股东损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35,-11.16,-25.18,0.0,-25.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.26,-27.8,-79.8,-2.81,-4.0,-8.46
基本每股收益(元/股),0.0,1.01,0.85,1.14,0.28,0.68,0.85,1.04,0.22,0.52,0.33,0.39,0.11,0.27,0.17,0.21,0.06,0.15,0.11,0.13,0.04,0.08,0.1,0.1061,0.03,0.07,0.1,0.12,0.04,0.11,0.19,0.24,0.06,0.17,0.3
稀释每股收益(元/股),0.0,1.01,0.85,1.14,0.28,0.68,0.85,1.04,0.22,0.52,0.33,0.39,0.11,0.27,0.17,0.21,0.06,0.15,0.11,0.13,0.04,0.08,0.1,0.1061,0.03,0.07,0.1,0.12,0.04,0.11,0.19,0.24,0.06,0.17,0.3
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01,0.0,0.0,0.0,-8.01,0.0,0.0,0.0
八、综合收益总额,12070.0,15076.07,12734.95,17061.32,4264.78,10145.94,13145.67,17349.04,4384.08,10308.66,13281.15,15702.45,4547.22,10622.72,13992.92,17023.5,4771.98,11732.38,15481.63,17896.68,4802.84,10216.22,13485.61,14431.67,3925.71,9852.25,13569.79,16501.0,5433.45,15453.11,25565.13,32183.19,7914.06,23673.62,40605.07
归属于母公司所有者的综合收益总额,12070.0,15076.07,12734.95,17061.32,4264.78,10145.94,13145.67,17349.04,4384.08,10308.66,13281.15,15702.45,4547.22,10622.72,13992.92,17026.85,4783.15,11757.55,15481.63,17921.86,4802.84,10216.22,13485.61,0.0,3925.71,9852.25,13569.79,16501.0,5433.45,15482.36,25592.93,32262.99,7916.87,23677.61,40613.53
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35,-11.16,-25.18,0.0,-25.18,0.0,0.0,0.0,14431.67,0.0,0.0,0.0,0.0,0.0,-29.26,-27.8,-79.8,-2.81,-4.0,-8.46
