报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
处置固定资产、无形资产和其他长期资产所收回的现金净额,19972.1,2.1,4.2,73.88,8.57,8.57,20.97,65.27,9.68,9.88,10.58,10.58,0.0,0.0,0.0,0.0,0.0,1746.02,3483.98,3527.08,20.8,27.64,93.14,93.4,7.74,7.74,30.24,46.24,0.0,223.03,929.05,1290.44,104.95,194.95,287.39,322.81,0.0,412.68,412.68,493.73,0.0,0.0,0.06,151.77,0.0,1.32,-0.43,19.17,38.35,1077.25,1080.03,2279.26,0.2,5608.63,5757.77
处置子公司及其他营业单位收到的现金净额,0.0,27395.2,27395.2,27395.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7066.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,19972.1,27397.3,27399.4,27469.08,8.57,8.57,41.97,536.27,9.68,493.03,629.74,1529.74,0.0,278.04,278.04,4778.04,1720.46,8030.31,11509.59,11557.84,5020.8,9367.9,9433.4,9433.66,7.74,7.74,30.24,957.79,0.0,223.03,929.05,8536.68,104.95,194.95,287.39,322.81,0.0,412.68,412.68,1150.42,0.0,0.0,0.06,2760.45,4700.0,7526.32,10354.57,12448.86,2020.35,5777.25,5780.03,6979.26,1980.74,7589.17,7738.31
购建固定资产、无形资产和其他长期资产所支付的现金,14870.09,43364.09,75155.25,98926.54,13578.24,19349.67,30435.79,54688.72,11405.52,24071.94,38885.14,64221.59,8621.23,17675.33,182618.76,85418.46,3997.16,19954.11,41359.69,71481.11,12209.78,20049.54,44657.53,62628.91,9443.63,17444.1,31297.68,63195.72,21690.6,35882.24,43821.85,74766.92,7092.54,19837.53,24324.21,55041.4,12253.77,13874.72,17393.88,33967.72,2399.59,4801.16,13109.19,34060.08,10311.51,30429.38,102999.32,239763.35,14401.12,78717.29,100656.36,252990.29,59441.27,102959.31,179196.38
投资所支付的现金,0.0,0.0,0.0,0.0,0.0,1521.39,2521.39,2604.85,2000.0,4000.0,4000.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,4400.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.37,2082.85,344.97,344.97,344.97,344.97,939.65,939.65,939.65,939.65,0.0,3367.4,3367.4,3367.4,0.0,0.0,0.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131000.0,131000.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,1.74,1.74,1.74,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1596.0,0.0,0.0,0.0
投资活动现金流出小计,14870.09,43364.09,75155.25,98926.54,13578.24,20871.06,32957.18,57296.82,13407.26,28073.68,42886.88,69623.33,8621.23,17675.33,182618.76,85418.46,3997.16,19954.11,41359.69,71481.11,12209.78,23449.54,49057.53,67628.91,9443.63,17444.1,31297.68,63195.72,21690.6,35882.24,43821.85,81766.92,7092.54,19837.53,24324.21,55041.4,12253.77,13874.72,19403.25,36050.57,2744.56,5146.13,13454.15,34405.04,11251.15,31369.02,103938.97,240705.99,14401.12,82084.69,235023.76,388953.68,59441.27,102959.31,179196.38
投资活动产生的现金流量净额,5102.01,-15966.79,-47755.85,-71457.46,-13569.67,-20862.49,-32915.21,-56760.55,-13397.58,-27580.65,-42257.13,-68093.58,-8621.23,-17397.29,-182340.73,-80640.42,-2276.7,-11923.8,-29850.1,-59923.27,-7188.98,-14081.65,-39624.14,-58195.25,-9435.89,-17436.36,-31267.44,-62237.93,-21690.6,-35659.22,-42892.8,-73230.23,-6987.59,-19642.57,-24036.82,-54718.59,-12253.77,-13462.04,-18990.57,-34900.14,-2744.56,-5146.13,-13454.09,-31644.6,-6551.15,-23842.7,-93584.4,-228257.14,-12380.77,-76307.44,-229243.73,-381974.42,-57460.53,-95370.15,-171458.07
吸收投资收到的现金,0.0,74546.8,74546.8,74546.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101892.01,101892.01,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,47700.0,54240.0,82540.0,87840.0,60000.0,63800.0,67800.0,71400.0,17000.0,34000.0,34000.0,34000.0,0.0,0.0,49000.0,65000.0,10000.0,72439.15,88439.15,148539.15,60200.0,92900.0,159200.0,228200.0,34000.0,73000.0,143650.0,183650.0,118980.0,173980.0,265980.0,366980.0,173760.0,319700.0,382500.0,462700.0,107900.0,203100.0,277100.0,337400.0,58900.0,195800.0,211900.0,251060.0,63580.0,196400.0,313700.0,381120.0,80400.0,609385.0,750790.0,1022000.0,325420.0,647506.69,817200.02
