报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
投资收益,231.88,254.4,279.79,753.06,45.72,-33.26,-55.64,922.28,121.72,459.81,656.05,-75.23,367.76,1197.56,1359.8,1624.66,368.01,669.31,2293.76,3583.2,275.01,790.66,1655.58,-1316.51,193.94,441.42,1029.96,173.48,286.45,900.81,1166.11,-49.07,1201.68,3359.15,4219.74,5549.99,1315.75,3035.38,4364.46,6073.51,1273.88,2909.45,3760.59,4272.76,610.62,5747.08,11163.65,16869.01,1344.61,9402.84,10485.42,17712.74,1522.45,6879.81,8560.5,16015.46,635.09,4498.25,5911.71,12796.97,3476.72,5147.97,7928.41
其中:对联营企业和合营企业的投资收益,202.04,224.56,249.96,723.22,45.72,-33.26,-114.09,287.84,93.67,378.2,589.12,249.59,334.15,1117.43,1281.91,1471.99,263.1,583.28,747.15,1465.06,229.76,565.38,1418.64,-1655.64,31.55,29.98,-68.08,-633.38,140.38,266.75,118.46,-2023.13,505.49,1336.77,1533.87,1805.97,692.28,2095.75,2661.47,3103.96,771.57,1567.59,2147.73,2133.21,345.87,807.37,1582.44,1773.23,170.46,1077.77,1267.36,2331.61,35.46,543.16,922.16,5768.98,620.8,1573.52,2867.43,5930.43,2219.45,2540.29,6181.52
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,114.32,792.61,3086.75,11072.41,32955.37,101307.79,154201.97,164212.55,16060.39,43245.27,79996.57,120300.15,31748.62,68570.79,100111.66,133444.78,33909.59,73979.13,108923.87,133901.27,35692.16,67435.48,93330.89,112066.02,24012.2,50573.07,74611.88,103869.08,24533.82,66735.18,86208.08,100562.12,10960.47,23082.38,34597.76,46937.84,20711.25,65661.74,104880.67,146970.0,27392.84,68075.37,105422.03,211839.64,180035.27,243951.32,299689.36,363010.6,58927.08,135431.29,199068.35,256670.41,105811.31,257424.6,342039.26,416423.49,135163.33,280311.8,390628.65,508319.57,138044.67,262426.85,355114.37
加:营业外收入,83.93,358.94,658.13,554.59,219.24,1104.13,1537.02,1595.94,531.96,1134.73,1603.04,2052.0,385.39,705.3,1025.99,1922.47,537.96,581.54,1340.11,2487.13,586.07,930.92,1590.04,2131.68,685.08,891.92,1373.19,4549.61,584.47,1115.31,1756.61,2393.19,709.74,1749.98,2490.12,3720.39,673.98,1900.95,2592.99,4508.16,1331.17,1289.95,1579.68,196.59,24.54,96.55,2316.57,2406.48,374.91,589.93,693.06,770.61,48.74,89.36,135.57,194.23,93.92,1034.64,1106.23,1228.78,81.97,202.41,471.12
减：营业外支出,161.48,248.93,468.07,468.31,271.67,917.26,1141.29,1416.0,153.6,335.59,709.39,772.67,657.18,1569.87,2468.44,2777.99,228.63,395.18,502.56,1147.59,3995.46,4825.53,5133.68,12277.39,2236.16,2179.03,2403.15,2504.97,404.61,812.79,1009.37,1305.91,294.1,569.56,993.06,2540.32,357.46,1016.78,1167.61,1476.04,414.3,595.45,998.51,226.56,48.23,132.32,293.5,1447.08,202.28,217.71,443.8,571.78,1038.66,1196.53,1449.49,5628.55,124.08,191.9,378.7,6460.38,91.15,233.03,275.09
其中：非流动资产处置损失,73.66,81.05,127.07,28.88,60.62,0.0,210.94,397.19,1.68,36.52,132.34,100.52,214.98,1204.41,1772.74,1763.43,0.0,0.0,0.0,424.17,0.0,1064.92,0.0,6987.3,2001.46,1741.52,1753.08,1699.05,181.01,183.44,257.52,366.5,118.56,200.06,460.3,1815.38,100.64,453.88,477.79,744.87,329.91,485.6,840.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,36.78,902.62,3276.81,11158.69,32902.94,101494.66,154597.71,164392.49,16438.75,44044.41,80890.22,121579.48,31476.83,67706.22,98669.21,132589.26,34218.93,74165.5,109761.42,135240.8,32282.77,63540.87,89787.25,101920.32,22461.12,49285.97,73581.91,105913.72,24713.68,67037.7,86955.32,101649.4,11376.11,24262.8,36094.82,48117.91,21027.77,66545.91,106306.04,150002.12,28309.7,68769.88,106003.19,211809.66,180011.58,243915.54,301712.42,363970.01,59099.71,135803.51,199317.61,256869.24,104821.39,256317.43,340725.34,410989.17,135133.17,281154.54,391356.18,503087.97,138035.49,262396.23,355310.39
减：所得税费用,222.12,447.48,647.46,3534.6,7227.22,21177.22,20282.56,19597.27,1044.42,3932.13,7828.45,10063.3,4623.57,10151.1,14772.9,16768.37,5112.09,10746.65,15699.68,18746.67,6042.47,10602.8,13688.0,16903.03,3499.39,8171.83,12508.95,17701.65,4360.07,12165.32,15680.42,20845.37,3333.34,5709.01,7621.2,9134.32,4586.46,13000.06,18804.17,27463.65,5179.92,10201.46,16927.53,40429.47,29839.05,37156.19,46214.34,54126.16,7875.97,19711.89,28021.89,39213.75,14693.96,34589.15,46086.44,53266.42,21035.76,39470.99,53306.91,69051.44,17250.23,40009.99,52920.83
五、净利润,-185.34,455.15,2629.35,7624.09,25675.72,80317.44,134315.15,144795.22,15394.32,40112.28,73061.76,111516.17,26853.27,57555.12,83896.31,115820.89,29106.84,63418.85,94061.74,116494.14,26240.3,52938.07,76099.25,85017.28,18961.73,41114.13,61072.96,88212.07,20353.61,54872.37,71274.9,80804.04,8042.77,18553.79,28473.62,38983.59,16441.32,53545.85,87501.87,122538.48,23129.79,58568.42,89075.67,171380.2,150172.53,206759.35,255498.08,309843.85,51223.74,116091.62,171295.72,217655.49,90127.43,221728.28,294638.9,357722.75,114097.4,241683.56,338049.28,434036.53,120785.26,222386.23,302389.56
归属于母公司所有者的净利润,7.82,573.26,2602.37,7707.12,25061.36,76529.23,127559.92,137451.14,13111.58,35867.97,66472.65,101833.91,25725.05,54758.5,80170.61,110008.69,29109.49,63421.24,94076.11,116439.26,26240.3,52938.07,76099.25,85017.28,18961.73,41114.13,61072.96,88212.07,20353.61,54872.37,71274.9,80804.04,8042.77,18561.67,28498.63,40206.78,15567.62,51568.99,84535.75,120263.35,23174.22,58594.46,90104.69,170441.34,149371.43,205854.44,253738.91,307888.46,51055.17,115555.71,170587.56,216861.62,90119.85,221189.94,293740.31,356375.99,113677.5,240849.91,336609.03,432415.03,120332.73,221387.74,301104.58
少数股东损益,-193.16,-118.12,26.98,-83.02,614.36,3788.21,6755.23,7344.09,2282.74,4244.31,6589.11,9682.26,1128.22,2796.62,3725.7,5812.2,-2.65,-2.38,-14.37,54.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.88,-25.01,-1223.19,873.69,1976.86,2966.12,2275.13,-44.44,-26.04,-1029.02,938.85,801.1,904.92,1759.17,1955.39,168.57,535.92,708.16,793.87,7.58,538.34,898.59,1346.76,419.91,833.64,1440.25,1621.5,452.53,998.49,1284.98
基本每股收益(元/股),0.0002,0.02,0.08,0.23,0.73,2.24,3.73,4.02,0.38,1.05,1.94,2.98,0.73,1.16,1.69,1.61,0.4,0.87,1.3,1.6,0.36,0.73,1.05,1.17,0.26,0.57,0.84,1.22,0.28,0.5,0.65,0.74,0.07,0.17,0.26,0.37,0.14,0.47,0.78,1.1,0.21,0.54,0.83,1.57,1.18,0.96,1.18,1.43,0.24,0.54,0.7939,1.01,0.42,1.03,1.37,1.66,0.53,0.93,1.31,1.68,0.47,0.72,0.98
稀释每股收益(元/股),0.0002,0.02,0.08,0.23,0.73,2.24,3.73,4.02,0.38,1.05,1.94,2.98,0.73,1.16,1.69,1.61,0.4,0.87,1.3,1.6,0.36,0.73,1.05,1.17,0.26,0.57,0.84,1.22,0.28,0.5,0.65,0.74,0.07,0.17,0.26,0.37,0.14,0.47,0.78,1.1,0.21,0.54,0.83,1.57,1.18,0.96,1.18,1.43,0.24,0.54,0.7939,1.01,0.42,1.03,1.37,1.66,0.53,0.93,1.31,1.68,0.47,0.72,0.98
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.07,-0.31,-22.08,-66.66,-113.49,-40.18,-95.65,-182.79,-220.26,-5.29,18.82,30.53,250.42,-11.36,-73.77,-97.09,-91.94,49.1,41.33,74.43,-45.86,69.21,24.18,799.46,1150.53,-111.17,463.15,651.49,2745.79,-236.49,-718.21,-1741.15,-2142.57,-1589.34,437.98,2613.8,1962.07,-1345.95,169.92,2086.71,775.86,1108.45,1114.06,-971.49,-833.52,-609.73,-1437.91,-1503.46,-3709.69,-108.07,3237.26,9411.72
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73061.76,111514.1,26852.96,57533.04,83829.65,115707.41,29066.66,63323.21,93878.95,116273.88,26235.01,52956.9,76129.79,85267.7,18950.37,41040.36,60975.87,88120.13,20402.71,54913.71,71349.33,80758.18,8111.98,18577.97,29273.08,40134.12,16330.15,54009.0,88153.36,125284.27,22893.3,57850.21,87334.51,169237.63,148583.19,207197.34,258111.88,311805.92,49877.78,116261.54,173382.43,218431.36,91235.88,222842.34,293667.41,356889.23,113487.67,240245.64,336545.82,430326.84,120677.19,225623.49,311801.28
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66472.65,101831.84,25724.74,54736.42,80103.95,109895.21,29069.31,63325.59,93893.32,116219.0,26235.01,52956.9,76129.79,85267.7,18950.37,41040.36,60975.87,88120.13,20402.71,54913.71,71349.33,80758.18,8111.98,18585.85,29298.09,41357.31,15456.45,52032.14,85187.24,123000.21,22916.47,57680.85,88199.8,168091.34,147819.06,206373.39,256194.4,309821.1,49874.54,115731.21,172721.3,217645.23,91232.72,222193.37,292637.53,355379.79,113346.81,239709.67,335568.12,429473.23,120141.15,224612.89,310492.42
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6589.11,9682.26,1128.22,2796.62,3725.7,5812.2,-2.65,-2.38,-14.37,54.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.88,-25.01,-1223.19,873.69,1976.86,2966.12,2284.06,-23.17,169.36,-865.28,1146.29,764.13,823.95,1917.47,1984.82,3.24,530.34,661.13,786.12,3.16,648.97,1029.87,1509.44,140.86,535.98,977.7,853.61,536.04,1010.6,1308.86
