报表日期,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,0.0,-0.93,-0.42,67.9,-0.06,-0.63,-0.62,56.68,20.48,56.19,65.52,85.91,4.96,32.9,0.0,42.71,0.0,0.0,-0.8,-0.94,0.0,0.0,3490.82,3468.56,0.0,0.0,0.0,0.0,0.0,0.0,17909.28,12964.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.36
其中:对联营企业和合营企业的投资收益,0.0,-0.93,0.0,-0.83,0.0,0.0,0.0,-0.72,0.0,0.0,0.0,-0.86,0.0,0.0,0.0,-0.82,0.0,0.0,0.0,-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.33,-4890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,-115.01,71.41,-22.61,699.03,-350.27,-161.49,3.26,926.14,-266.98,-130.23,-82.13,751.9,-466.62,-1304.66,-2277.37,-9231.6,-1557.53,-2076.69,-3759.28,-8811.82,-807.22,-1786.69,795.38,1212.46,-511.9,-337.51,-541.39,-4025.42,-438.73,-1267.03,16266.0,6600.5,-298.78,-1186.32,-1393.78,-2034.41,-2004.95,-1800.85,-1897.74,-2607.33
加:营业外收入,2.37,4.81,19.13,575.69,0.24,9.01,48.36,50.25,0.89,8.1,13.08,23.77,0.0,0.05,0.05,44.35,0.0,62.05,927.84,121.88,334.03,349.72,360.32,343.47,0.0,1.59,53.45,84.84,55.81,107.84,121.16,103.23,1.03,1.03,3778.04,3781.09,14.53,12.86,95.29,82.76
减：营业外支出,0.15,0.2,0.2,0.4,0.0,5.6,43.83,46.95,0.0,3.52,3.52,9.37,0.0,12.32,60.68,75.91,13.91,13.91,16.91,31109.27,9.95,10.29,15.85,9.45,0.03,2.94,3.23,27.66,0.0,0.2,0.2,2.1,0.0,0.06,0.08,0.11,0.06,0.06,4.83,27.0
其中：非流动资产处置损失,0.0,0.0,0.0,0.15,0.0,0.0,0.0,15.58,0.0,0.0,0.0,4.94,0.0,12.19,60.54,75.77,13.91,13.91,16.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,-112.79,76.02,-3.68,1274.32,-350.03,-158.09,7.79,929.44,-266.08,-125.64,-72.58,766.3,-466.62,-1316.93,-2337.99,-9263.17,-1571.44,-2028.55,-2848.35,-39799.22,-483.13,-1447.26,1139.85,1546.48,-511.93,-338.86,-491.17,-3968.25,-382.92,-1159.4,16386.95,6701.63,-297.76,-1185.36,2384.18,1746.56,-1990.49,-1788.05,-1807.28,-2551.56
减：所得税费用,0.0,124.08,145.56,308.24,0.0,23.16,100.18,323.63,0.0,30.74,19.34,280.55,0.0,0.0,0.02,695.69,0.0,0.0,0.0,16.38,0.0,0.0,228.0,136.66,0.0,52.02,69.8,45.06,0.0,28.03,28.03,435.12,0.0,0.0,0.0,-13.3,-0.8,-0.8,-0.8,-24.63
五、净利润,-112.79,-48.06,-149.24,966.08,-350.03,-181.25,-92.38,605.81,-266.08,-156.38,-91.92,485.75,-466.62,-1316.93,-2338.01,-9958.86,-1571.44,-2028.55,-2848.35,-39815.6,-483.13,-1447.26,911.85,1409.82,-511.93,-390.87,-560.97,-4013.32,-382.92,-1187.42,16358.93,6266.5,-297.76,-1185.36,2384.18,1759.87,-1989.69,-1787.25,-1806.48,-2526.94
归属于母公司所有者的净利润,-111.19,-44.75,-144.15,988.68,-348.28,-178.02,-87.6,616.91,-265.78,-156.13,-91.1,493.33,-466.46,-1316.0,-2336.41,-9949.38,-1556.38,-1992.98,-2788.07,-39705.76,-464.9,-1411.94,966.46,1459.61,-496.57,-392.43,-565.71,-4016.57,-380.23,-1181.84,16364.78,6397.66,-297.01,-1181.97,2385.92,1762.87,-1974.91,-1777.17,-1798.59,-2514.17
少数股东损益,-1.6,-3.31,-5.09,-22.6,-1.75,-3.23,-4.78,-11.1,-0.3,-0.25,-0.82,-7.59,-0.16,-0.94,-1.6,-9.48,-15.07,-35.57,-60.28,-109.83,-18.23,-35.32,-54.62,-49.79,-15.36,1.56,4.74,3.26,-2.68,-5.58,-5.85,-131.16,-0.75,-3.38,-1.74,-3.0,-14.78,-10.08,-7.89,-12.76
基本每股收益(元/股),-0.0013,-0.0005,-0.0017,0.01,-0.004,-0.002,-0.001,0.01,-0.003,-0.0018,-0.0011,0.01,-0.0053,-0.0151,-0.0268,-0.1139,-0.0178,-0.0228,-0.0319,-0.45,-0.0053,-0.0162,0.0111,0.02,-0.0057,-0.0045,-0.0065,-0.05,-0.0043,-0.0135,0.1874,0.07,-0.0034,-0.0135,0.0273,0.02,-0.0226,-0.0205,-0.0207,-0.03
稀释每股收益(元/股),-0.0013,-0.0005,-0.0017,0.01,-0.004,-0.002,-0.001,0.01,-0.003,-0.0018,-0.0011,0.01,-0.0053,-0.0151,-0.0268,-0.1139,-0.0178,-0.0228,-0.0319,-0.45,-0.0053,-0.0162,0.0111,0.02,-0.0057,-0.0045,-0.0065,-0.05,-0.0043,-0.0135,0.1874,0.07,-0.0034,-0.0135,0.0273,0.02,-0.0226,-0.02,-0.0207,-0.03
七、其他综合收益,-55.01,-76.03,-121.03,-197.6,125.8,779.49,76.31,32.59,16.69,-3.74,382.85,586.55,-54.29,201.82,277.02,529.65,-181.94,-35.73,-301.9,-436.41,314.41,36.24,110.21,81.8,398.97,34.61,207.0,-3309.01,16.95,11.16,-65.63,-19793.6,18.5,28.15,-16.53,9.46,-121.36,128.34,17.02,-22.44
八、综合收益总额,-167.8,-124.09,-270.27,768.48,-224.23,598.25,-16.08,638.4,-249.4,-160.12,290.94,1072.3,-520.91,-1115.11,-2060.99,-9429.2,-1753.38,-2064.28,-3150.25,-40252.0,-168.72,-1411.02,1022.06,1491.62,-112.96,-356.26,-353.97,-7322.32,-365.97,-1176.26,16293.3,-13527.1,-279.26,-1157.21,2367.65,1769.33,-2111.05,-1658.91,-1789.46,-2549.37
归属于母公司所有者的综合收益总额,-166.2,-120.78,-265.18,791.08,-222.48,601.47,-11.3,649.5,-249.09,-159.88,291.76,1079.88,-520.75,-1114.18,-2059.39,-9419.72,-1738.32,-2028.71,-3089.97,-40142.17,-150.49,-1375.7,1076.67,1545.26,-97.6,-357.82,-358.71,-7322.95,-363.29,-1170.68,16299.15,-13197.86,-279.26,-1157.21,2367.65,1772.33,-2096.28,-1658.91,-1781.57,-2549.37
归属于少数股东的综合收益总额,-1.6,-3.31,-5.09,-22.6,-1.75,-3.23,-4.78,-11.1,-0.3,-0.25,-0.82,-7.59,-0.16,-0.94,-1.6,-9.48,-15.07,-35.57,-60.28,-109.83,-18.23,-35.32,-54.62,-53.65,-15.36,1.56,4.74,0.63,-2.68,-5.58,-5.85,-329.24,0.0,0.0,0.0,-3.0,-14.78,0.0,-7.89,0.0
