报表日期,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
存货,4980.4,4312.57,5238.31,5956.71,5479.39,5836.47,6592.85,5934.74,8902.49,9117.35,12550.72,16105.78,19258.95,16633.2,19195.95,17639.83,19439.65,19665.64,20169.34,20971.79,21781.86,21343.08,25092.75,27677.5,29322.01,26021.28,27349.67,28116.64,30209.6,24196.21,20812.99,35891.93,40296.26,32928.44,36364.18,38244.93,38032.92,42974.38,45120.48,55991.39,63250.43,58763.27,56387.39,61900.98,65494.41,64983.74,71809.74,78004.24,92608.66,94199.47,119701.51,111667.22,96842.79,101498.22,106670.9,118153.99,126553.96,132063.12,132208.82,130457.77
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.36,3096.36,0.0,0.0,3096.36,3096.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1729.37,2043.47,2246.52,2250.32,2421.55,2421.55,2510.03,2510.03
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,156.65,105.22,53.77,18.46,18.35,50.98,38.34,32.11,13.38,13.17,12.89,33.23,21.79,20.89,20.51,51.77,37.38,16.79,7.49,43.16,35.24,21.62,29.58,72.36,98.68,99.42,69.65,39.47,423.88,102.34,82.99,2732.62,1259.8,15619.49,417.1,281.96,93663.75,15329.51,32211.52,89896.02,5057.18,33684.2,16054.05,47120.44,11430.83,57465.45,24689.11,64730.27,14472.83,72657.2,7427.85,5311.73,5329.12,3394.07,2899.16,2990.04,3878.23,5040.81,3277.58,2712.74
流动资产合计,15133.56,14767.45,33222.71,30849.95,27076.51,27690.3,30489.31,32389.65,33866.72,37137.09,65265.69,68789.94,70751.09,74648.03,86748.0,85428.85,86777.34,89818.36,95720.64,98361.34,108321.75,119756.79,125402.36,128220.94,127905.77,141313.15,156366.01,159976.88,159042.07,173597.21,220691.1,190575.88,182035.45,205701.56,458233.89,460177.2,463389.23,427971.47,406543.6,405805.59,410595.19,422220.24,403788.8,392564.82,390366.99,402381.81,405231.04,403512.4,416111.97,454068.41,575589.02,570086.92,533499.61,498445.53,665574.9,713045.8,686442.63,754888.1,791255.1,797977.05
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.14,28.14,5228.14,5228.14,5378.14,5378.14,5378.14,5478.14,7478.14,7748.14,8748.14,8998.14,10503.14,10503.14,10728.14,13700.0,13700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5019.54,4232.47,4841.61,4853.01,5366.7,4457.75,3210.61,3210.61
长期股权投资,40.75,24.47,21.49,13.02,41.87,539.75,27.19,2512.18,506.59,496.45,451.74,470.87,492.39,498.26,460.56,456.95,662.83,1304.78,157.83,77.95,77.35,71.62,71.98,72.54,77.64,479.79,485.04,478.58,669.0,669.0,609.17,6722.03,3399.84,3392.36,3397.32,3286.12,3329.84,4071.35,13247.09,13239.95,10758.5,11043.1,11311.38,11668.2,15464.83,15409.93,15528.3,15687.04,18085.14,19241.47,18902.05,21350.86,21114.6,20954.47,21133.13,21587.45,21875.01,21687.99,22537.82,23073.67
投资性房地产,238.65,234.66,230.67,226.69,232.21,228.11,224.01,219.9,603.13,594.24,585.34,576.45,199.39,195.28,191.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.94,1513.79,1391.36,1268.94,1146.51,1082.99,954.79,828.67,808.89,711.84,687.12,662.4,638.2,641.03,617.87,607.71,591.05,328.03,322.79,317.55,312.31,307.07,301.83,296.6,292.12,9582.2,9436.38,9558.52,10737.99
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.18,0.0,6712.93,0.0,11905.36,0.0,31860.85,34180.2,42323.81,49141.46,55509.45,57986.3,67769.41,79626.46,2903.6,2975.14,2731.12,4153.97,1869.55,2029.42,2084.5,2241.67,2163.8,2160.73,1826.07,1718.72
在建工程,31.97,71.8,83.75,1580.37,3187.51,4208.66,5360.54,338.19,924.65,895.3,849.72,3597.43,4069.21,5088.94,3355.6,5801.21,3436.45,4654.89,5819.93,7258.67,5083.47,5210.49,8130.72,7987.39,2994.32,3715.79,3018.68,2803.72,2441.97,2450.67,2583.46,2690.99,239.05,240.98,1289.18,1289.18,6712.93,8999.95,11905.36,19788.25,31860.85,34180.2,42323.81,49141.46,55509.45,0.0,67769.41,0.0,2903.6,0.0,2731.12,0.0,1869.55,0.0,2084.5,0.0,2163.8,0.0,1826.07,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44681.31,0.0,44627.34,0.0,54927.03,0.0,56324.66,55177.28,54921.45,57476.85,60966.39,64134.31,66948.49,67484.21,173870.67,180358.45,179914.68,177096.21,184348.46,181489.97,200896.02,201731.13,195058.72,194790.91,192635.47,190355.56
固定资产净额,8021.1,8039.56,8532.4,9215.39,10868.52,12842.21,12918.94,19200.93,20479.93,21103.34,24382.03,22120.74,23228.24,23837.18,26817.87,27389.0,30044.76,29728.28,29499.66,29631.9,30955.96,31604.08,31208.59,31131.79,40086.74,39697.55,39920.34,39345.04,40456.53,39727.93,39156.55,43820.29,46087.34,45414.15,44681.31,44054.99,44627.34,51912.81,54927.03,55159.17,56324.66,55177.28,54921.45,57476.85,60966.39,0.0,66916.82,0.0,173870.67,0.0,179914.68,0.0,184348.46,0.0,200896.02,0.0,195058.72,0.0,192635.47,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3950.27,3754.9,3929.17,3255.79,3225.32,3736.53,3915.3
无形资产,3313.84,3298.87,3281.93,3265.0,3247.29,3230.33,3706.84,3631.57,5255.64,5229.23,5202.81,5176.4,5149.98,5124.74,5099.97,6526.88,6494.17,11462.11,11430.05,11461.57,6478.44,6446.01,6413.58,6381.15,6497.87,6475.88,6433.48,6399.46,6896.32,6851.77,27705.19,42319.45,42037.39,41784.19,41539.74,41326.69,40973.34,52745.43,55205.36,54843.93,61446.55,60772.34,60436.85,59997.01,60074.93,59514.9,59152.4,58639.86,58912.85,59199.09,59547.92,54596.48,55437.36,54924.09,54576.19,63391.71,63389.05,63953.68,63658.03,62985.66
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.25,1474.68,1474.68,1474.68,1474.68,1443.41,1443.41,1443.41,1443.41,1443.41,1443.41,1901.08,2120.04,1938.51,1938.51,1938.51,1938.51,1938.51,1938.51,1938.51,1938.51,1938.51,1938.51,2162.53,5954.74,7996.78,7996.78,7996.78,7996.78,7995.14,74835.47,77170.97,77216.84,74138.29,74124.16,74105.26,74184.03,73639.9,73577.11,73633.26,73619.41,73632.93,86153.67,83748.72,83163.16,80599.82,80529.23,80525.6,111432.15,111305.84,111305.84,118612.07,118607.87
长期待摊费用,249.46,265.31,260.14,254.41,222.55,329.05,266.63,304.47,394.68,342.21,305.35,272.32,615.3,558.79,493.51,499.55,500.06,811.16,706.04,583.02,668.73,562.76,643.78,695.89,1210.13,1071.09,969.53,888.44,1235.09,1338.34,1249.07,1375.53,1016.9,1132.28,1823.69,1829.09,1698.87,2109.03,2000.53,2685.15,2877.25,2514.06,2707.18,3191.84,3417.18,3242.05,3038.51,4631.85,5360.05,4662.68,6498.24,6456.17,7304.59,7147.83,7805.21,7301.66,6480.19,5846.42,5314.28,4634.28
递延所得税资产,102.23,139.43,141.83,146.22,68.93,103.11,129.8,140.54,322.89,386.38,420.62,414.33,400.85,458.22,491.35,456.17,331.18,400.02,513.57,510.31,457.71,588.41,574.43,472.92,626.68,797.87,886.7,920.08,1122.77,1297.66,1381.35,1363.65,2882.76,3006.05,3103.2,3143.15,3301.32,3617.05,3801.99,3744.01,3645.01,3356.3,3703.11,4082.06,4258.27,4116.66,3928.95,3835.27,4633.39,5335.16,8369.12,8112.28,9487.83,9273.09,9787.95,10390.93,10769.96,10122.25,11751.96,11677.31
其他非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.35,0.0,7398.73,13407.98,0.0,0.0,0.0,0.0,13101.03,15595.31,24930.5,23410.26,22810.3,43227.47,33959.99,22754.41,45866.62,65695.68,21682.03,11516.4,8817.37,9034.47,9300.04,17373.18
非流动资产合计,11998.0,12074.11,12552.21,14701.09,17868.88,21481.22,22633.93,26740.03,29962.18,30521.83,33672.3,34103.22,35598.77,37204.83,38353.45,42573.17,42912.86,49804.66,50028.16,51643.46,45660.16,46421.88,48981.6,48680.18,53431.89,54176.48,53652.27,52773.82,54788.34,54302.03,80075.46,111438.6,110551.98,109736.28,110478.29,109550.66,117354.26,206994.02,235233.87,249892.32,252266.09,252357.72,260899.58,274079.66,300773.01,307894.44,334232.52,346220.41,380460.92,423170.9,415684.4,439610.84,473025.63,497824.09,477162.36,508446.02,513343.26,509297.43,517417.09,523565.84
资产总计,27131.56,26841.56,45774.92,45551.03,44945.39,49171.52,53123.24,59129.68,63828.9,67658.92,98937.98,102893.15,106349.86,111852.86,125101.45,128002.02,129690.21,139623.02,145748.81,150004.79,153981.91,166178.67,174383.96,176901.12,181337.66,195489.63,210018.28,212750.7,213830.42,227899.24,300766.56,302014.48,292587.43,315437.84,568712.18,569727.86,580743.48,634965.49,641777.46,655697.91,662861.29,674577.96,664688.38,666644.47,691140.0,710276.25,739463.57,749732.81,796572.89,877239.32,991273.42,1009697.75,1006525.24,996269.62,1142737.26,1221491.83,1199785.89,1264185.53,1308672.19,1321542.89
短期借款,8000.0,6000.0,2500.0,1500.0,0.0,0.0,4000.0,7000.0,2815.0,2300.0,2300.0,2580.0,2400.0,400.0,3400.0,3400.0,0.0,400.0,400.0,400.0,300.0,300.0,300.0,300.0,300.0,300.0,5000.0,5000.0,5000.0,5000.0,15000.0,9200.0,19770.0,15129.6,15250.6,15045.0,5285.0,6113.74,5325.7,5217.0,5000.0,5399.4,16761.0,16996.0,15694.0,15853.0,5285.0,5299.0,15000.0,28402.12,24000.0,64000.0,64050.72,0.0,0.0,2703.02,2503.32,2500.0,2503.02,5505.98
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38581.65,0.0,35255.33,0.0,46343.95,0.0,42376.31,33671.57,47055.29,48554.88,51608.87,55278.34,60105.44,52469.83,94235.22,78497.88,99865.62,86496.0,92686.22,108873.58,96289.44,116750.51,97594.24,118288.08,144231.89,119379.8
应付票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14933.47,0.0,0.0,18545.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,910.0,1510.0,2000.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,10.0,0.0,10000.0,0.0,20000.0,0.0,20000.0,0.0,0.0,36000.0,28000.0
