报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,1170.1,1692.33,2296.12,2286.54,2608.05,3056.4,3162.8,3662.26,3793.85,3128.95,3357.36,23704.94,28698.08,55606.43,30262.13,29046.27,29226.89,29655.9,29245.92
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,0.0,0.0,0.0,10218.71,0.0,6874.22,0.0,7180.64,0.0,7213.68,12852.99,19512.77,27305.47,36383.9,50417.83,59906.84,65487.66
在建工程,461.07,11086.03,17957.51,31222.13,20964.74,10218.71,11626.62,6874.22,8041.16,7180.64,8802.31,7213.68,12852.99,19512.77,27305.47,36383.9,0.0,59906.84,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,99550.67,0.0,105852.33,0.0,108466.58,0.0,115679.75,114545.12,129431.39,129718.48,145762.68,144779.13,144070.88,146267.32
固定资产净额,28034.88,28918.43,28771.34,49318.59,86782.32,99550.67,98100.69,105852.33,107324.28,108466.58,108919.22,115679.75,114545.12,129431.39,129718.48,145762.68,0.0,144070.88,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,1770.68,5217.82,9609.57,12947.47,12868.78,17196.99,16967.4,17232.66,17203.88,17141.4,22160.63,22185.74,22114.35,38266.75,54022.82,68828.23,68575.45,68552.92,68270.55
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,212.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6460.61,51309.63,83335.27,83335.27,83335.27,83335.27
长期待摊费用,740.0,525.35,616.24,202.52,538.67,5576.48,5649.66,5381.57,5593.9,5232.46,5535.22,5362.78,4973.91,4815.93,6603.03,10721.0,10026.77,8964.01,8775.47
递延所得税资产,1403.15,2109.59,2204.83,2781.34,2511.41,2515.78,2928.37,3313.43,3516.46,4077.93,5730.58,5845.73,6338.17,5996.51,7777.48,7956.24,7985.47,7444.08,7773.04
其他非流动资产,0.0,1021.44,0.0,567.67,0.0,1563.84,1294.19,1106.45,862.79,895.71,431.4,221.48,1998.24,1691.98,1426.42,257.73,0.0,73.74,58.3
非流动资产合计,33792.32,50570.99,61455.61,99326.25,126273.97,139678.88,139729.72,143422.92,146336.31,196123.66,207025.05,232302.43,268410.08,426588.89,472905.24,555685.18,572376.86,583796.68,560187.19
资产总计,125932.13,137159.27,160016.2,206605.88,237199.64,265316.57,292471.75,521964.08,527677.82,511499.08,556475.36,656092.15,649255.18,726121.65,938251.1,1050002.99,1030906.75,1063356.2,1119858.46
短期借款,4725.68,11399.85,5487.21,20830.63,13246.8,12234.44,10000.0,13001.0,9201.0,4900.0,7000.0,3100.0,7000.0,24197.9,25233.22,12012.44,21914.97,38511.64,32031.61
交易性金融负债,0.0,0.0,0.0,0.0,2933.36,3770.83,5650.18,0.0,0.0,0.0,0.0,0.0,0.0,656.1,241.65,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,44092.29,0.0,62112.67,0.0,60137.07,0.0,71979.86,61740.93,74390.91,66797.39,101388.27,76088.88,84060.98,87494.77
应付票据,14361.0,12564.0,12489.0,8051.0,10882.73,11695.8,13533.31,18055.19,12737.34,15827.41,14656.48,17118.56,10210.66,9979.52,0.0,11510.02,0.0,9216.58,9131.87
