报表日期,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-12-31,2019-06-30,2019-12-31,2020-03-31
流动资产合计,20575.4,21540.3,24401.27,25145.52,24962.66,23194.46,25594.35,27401.3,28539.81,28645.61,30662.33,29976.08,30362.6,32783.11,39237.89,38896.4
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.59,118.59,125.19,132.24,139.61,147.47,151.5
长期股权投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资性房地产,0.0,0.0,0.0,0.0,0.0,362.02,345.13,328.25,311.36,294.47,293.63,277.59,727.96,705.27,682.59,665.54
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.73,1732.77,2443.37,0.0,0.0,2835.03,671.39,1880.89,2717.65
在建工程,1532.24,2007.82,1208.11,1148.72,1345.57,1040.51,987.48,967.73,1732.77,2443.37,3203.77,5024.29,0.0,0.0,0.0,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,19758.25,20874.46,20814.15,0.0,0.0,25943.46,31146.25,31760.64,31219.56
固定资产净额,14136.37,16728.54,19320.86,19534.05,18981.55,19542.8,20094.85,19758.25,20874.46,20814.15,20659.27,21639.32,0.0,0.0,31760.64,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,2237.64,2189.35,2153.13,2141.06,2310.23,2283.36,2748.35,2729.28,2917.32,3863.97,3787.05,3801.03,4101.89,4048.03,4023.81,3990.73
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,0.0,0.0,0.0,0.0,0.0,295.2,262.4,229.6,196.8,223.21,201.08,212.89,151.68,105.51,53.51,32.36
递延所得税资产,164.95,148.24,157.64,173.65,168.91,275.89,303.83,337.01,356.4,295.78,288.9,232.75,202.22,185.41,230.73,233.46
其他非流动资产,1531.65,100.66,817.05,627.87,820.46,267.47,179.33,944.97,1500.55,1070.88,733.32,886.57,2133.04,528.25,507.31,584.51
非流动资产合计,20782.85,22354.61,24836.78,24805.35,24806.72,25247.25,26101.36,26475.08,29069.65,30304.42,30465.61,33379.62,37407.52,42000.05,43505.64,43762.98
资产总计,41358.25,43894.91,49238.04,49950.86,49769.38,48441.71,51695.71,53876.39,57609.46,58950.03,61127.94,63355.7,67770.13,74783.16,82743.52,82659.38
短期借款,14440.0,15300.0,13400.0,13050.0,13650.0,12620.0,13170.0,11845.0,13295.0,10850.0,12500.0,11750.0,10878.36,10500.0,13053.63,13480.97
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7059.96,6499.22,6601.1,0.0,7095.27,7519.93,7707.16,7774.55,6629.71
应付票据,500.0,528.48,3553.24,1247.85,1220.72,964.06,1081.95,619.25,190.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0
应付账款,3851.75,4308.39,5447.23,5745.74,5783.62,5673.7,5219.22,6440.71,6309.22,6601.1,6402.53,0.0,7519.93,7637.16,7774.55,6629.71
预收款项,137.96,102.74,191.65,44.42,99.34,137.41,108.25,147.7,309.89,305.84,151.87,411.08,431.53,142.08,314.42,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,678.77,1015.99,1532.62,994.88,1351.4,910.51,1445.51,1499.61,1813.26,1861.24,1751.94,1993.08,2145.29,2130.66,2347.87,1745.57
应交税费,208.27,421.07,385.38,422.2,336.87,679.11,567.23,812.87,752.98,875.53,1045.89,604.47,550.07,511.91,989.81,859.91
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.48,895.89,804.97,0.0,0.0,766.38,517.72,602.53,690.24
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,2.46,5.7,15.96,0.0,0.0,0.0,0.0,3.6,0.0,0.0
应付股利,0.0,140.4,321.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应付款,1857.67,2060.29,1136.66,1363.91,1022.57,774.5,885.8,835.78,879.93,804.97,446.22,739.34,0.0,514.11,602.53,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.8,73.8,73.8,73.8,73.8,284.57,391.49,388.38
其他流动负债,0.0,0.0,0.0,3450.0,1280.0,794.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流动负债合计,21674.42,23877.36,25968.08,26318.99,24744.52,22553.28,23480.4,23206.62,25340.04,21372.49,22372.24,22667.04,22365.38,21794.1,25474.31,24361.83
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,1700.0,633.45,596.55,578.1,559.65,522.75,1399.21,1373.29,1289.12
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.89,54.24,1904.63,0.0,0.0,1196.88,849.91,504.73,365.52
长期应付款,0.0,0.0,2093.99,1956.57,1565.03,1242.98,904.24,491.89,54.24,1904.63,1715.02,1544.32,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.53,607.47,818.49,839.79,896.59
长期递延收益,1180.82,1078.22,1001.26,975.61,924.31,1429.81,1373.57,1317.13,1294.66,1232.06,1200.76,1169.47,1115.79,1052.68,998.47,1111.78
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,1180.82,1078.22,3095.25,2932.18,2577.33,2672.8,3977.81,3509.01,1982.35,3733.24,3493.88,3496.97,3442.88,4120.29,3716.27,3663.01
负债合计,22855.24,24955.57,29063.32,29251.17,27321.85,25226.08,27458.22,26715.64,27322.38,25105.73,25866.12,26164.01,25808.26,25914.39,29190.59,28024.84
实收资本(或股本),5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0
资本公积,3577.42,3577.42,3577.42,3577.42,3577.42,3577.42,3577.42,3577.42,3577.42,3587.42,3587.42,3587.42,3587.42,3587.42,3587.42,3587.42
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,-22.63,-18.88,-40.17,-53.93,-92.96,-71.54,-55.78,-58.49,-109.07,-142.56,-250.93,-178.38,-109.65,3178.96,3018.73,2945.83
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,726.52,817.95,817.95,1014.13,1014.13,1269.57,1269.57,1612.28,1612.28,1993.9,1993.9,1993.9,2411.81,2411.81,2887.58,2887.58
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,8921.69,9262.83,10519.51,10862.07,12648.93,13140.17,14146.28,16729.53,19906.45,23105.54,24631.43,26488.75,30772.28,34390.57,38759.2,39913.7
归属于母公司股东权益合计,18503.02,18939.33,20174.72,20699.69,22447.53,23215.63,24237.5,27160.75,30287.08,33844.3,35261.82,37191.7,41961.87,48868.77,53552.94,54634.54
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
所有者权益(或股东权益)合计,18503.02,18939.33,20174.72,20699.69,22447.53,23215.63,24237.5,27160.75,30287.08,33844.3,35261.82,37191.7,41961.87,48868.77,53552.94,54634.54
负债和所有者权益(或股东权益)总计,41358.25,43894.91,49238.04,49950.86,49769.38,48441.71,51695.71,53876.39,57609.46,58950.03,61127.94,63355.7,67770.13,74783.16,82743.52,82659.38
