报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
偿还债务支付的现金,14500.0,20500.0,23570.0,28730.0,8300.0,20046.0,23950.0,31546.0,4700.0,9800.0,9800.0,9800.0,0.0,3000.0,3000.0,3200.0,0.0,4200.0,7000.0,7300.0,0.0,1406.0,2700.0,2700.0,3200.0,3200.0,6200.0,6200.0,3200.0,13440.0,15440.0,31450.0,9235.0,100785.41,193636.14,291831.36,70923.38,221551.87,362730.04,488278.37,64209.55,174373.57,318934.82,464527.44,156100.16,278475.62,343241.52,469358.83,51168.7,109850.47,109850.47,0.0,0.0
分配股利、利润或偿付利息所支付的现金,271.38,631.13,798.88,1875.66,274.66,934.7,1102.24,456.21,162.96,34.53,70.31,443.51,138.46,286.4,394.05,534.24,137.85,242.74,309.52,358.68,162.32,212.97,225.63,359.23,394.58,2663.59,2819.86,3104.75,446.55,2141.59,3579.31,4971.03,2265.41,5660.77,9614.65,15217.31,4071.81,9725.99,13766.69,17466.36,10515.08,13467.69,20083.27,31657.16,11965.2,22386.17,26437.89,30472.5,2440.34,4448.52,4469.69,4336.67,10.21
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,1097.5,659.38,0.0,500.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9135.0,19.2,19.2,22.15,0.0,7018.88,0.0,18616.52,0.0,12538.14,0.0,8254.95,1963.99,679.36,1356.98,1514.31,2085.52,345.54,587.21,747.0,651.59,596.0,645.0,646.88,645.0,20326.35,16.35,16.35,0.0,0.0
筹资活动现金流出小计,14771.38,22228.63,25028.25,30605.66,9074.66,20980.7,25052.9,32002.21,4862.96,9834.53,9870.31,10243.51,138.46,3286.4,3394.05,3734.24,137.85,4442.74,7309.52,7658.68,162.32,1618.97,2925.63,12194.23,3613.78,5882.79,9042.01,9304.75,10665.43,15581.59,37635.83,36421.03,24038.54,106446.18,211505.74,309012.66,75674.55,232634.84,378011.04,507830.25,75070.16,188428.47,339765.1,496836.19,168661.36,301506.79,370326.29,500476.34,73935.39,114315.34,114336.51,4336.67,10.21
筹资活动产生的现金流量净额,628.62,2371.37,1401.75,6935.04,2012.26,-4454.77,-8302.9,-16866.28,-4662.96,-9634.53,529.69,156.49,-138.46,-3286.4,-394.05,-734.24,-137.85,-4442.74,-7309.52,-7658.68,-162.32,-1618.97,-2925.63,-3054.23,-413.78,-2682.79,-3842.01,83108.74,-620.43,20052.75,39643.67,122481.37,50335.0,138257.79,159398.41,472866.28,111021.63,101416.97,141256.83,89443.29,49305.77,107514.12,76558.84,60053.6,-2659.59,2725.12,-30794.51,-63565.92,-9042.6,-22422.55,-22443.72,-2583.98,-10.21
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.04,7.86,10.27,-3.11,-6.42,-40.42,-23.38,-19.1,2.31,17.34,20.47,0.0,0.0,0.0,0.0,0.0
五、现金及现金等价物净增加额,-2363.14,-618.36,-2228.1,414.75,2657.3,2196.92,-3613.92,-3072.06,-218.54,1402.6,7129.33,7256.84,-2827.69,-6821.04,-2002.25,-2729.44,-1494.76,2477.07,21396.61,23356.98,4144.94,2406.78,1672.52,1738.44,-719.78,-7293.21,-3203.83,17815.01,-5466.54,-13938.81,3792.61,-17829.9,23714.19,19928.07,21915.11,341050.41,-96139.6,-147577.65,-234105.75,-178148.32,-65873.24,-27062.36,-87038.33,-110908.08,-72545.35,-77933.03,-78373.09,-81060.92,-956.13,-1201.64,-1147.82,-247.47,-1809.54
加:期初现金及现金等价物余额,3171.03,3171.03,3171.03,3171.03,3581.16,3585.78,4166.71,3585.78,513.73,523.73,513.73,513.73,7770.56,7770.56,7770.56,7770.56,5041.12,5041.12,5041.12,5041.12,28398.1,28398.1,28408.1,28398.1,32148.07,32148.07,32148.07,32188.73,50483.75,50483.75,50483.75,50003.75,37877.06,32173.84,32173.84,32173.84,373224.25,373224.25,373224.25,373224.25,195075.94,195075.94,195075.94,195075.94,84167.86,84167.86,84167.86,84167.86,3106.94,3106.94,3106.94,3106.94,2859.46
六、期末现金及现金等价物余额,807.89,2552.67,942.93,3585.78,6238.46,5782.7,552.79,513.73,295.19,1926.32,7643.06,7770.56,4942.87,949.52,5768.32,5041.12,3546.36,7518.19,26437.74,28398.1,32543.04,30804.88,30080.62,30136.54,31428.29,24854.86,28944.24,50003.75,45017.21,36544.93,54276.35,32173.84,61591.25,52101.92,54088.95,373224.25,277084.65,225646.6,139118.5,195075.94,129202.7,168013.58,108037.61,84167.86,11622.5,6234.82,5794.77,3106.94,2150.81,1905.3,1959.12,2859.46,1049.92
