报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
资本公积,11707.55,11707.55,31665.73,31665.73,31665.73,31576.37,31576.37,135919.54,135919.54,135919.54,135919.54,135919.54,125650.29
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.01,128.49,238.41,240.27
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,663.6,968.71,292.81,311.12,1454.86,3529.03,3529.03,3529.03,3529.03,6418.28,6418.28,6418.28,6418.28
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,4469.21,7077.1,3157.34,8288.22,12976.58,26416.49,33761.06,43510.39,54122.35,63095.52,77462.23,82199.94,97054.64
归属于母公司股东权益合计,18378.82,21291.83,44742.45,49891.64,55723.73,71148.46,78493.03,195795.53,206407.49,218398.92,232765.11,237612.73,252469.3
少数股东权益,1590.43,2415.29,361.17,422.68,278.89,129.1,108.99,104.3,105.15,97.74,93.08,94.83,90.09
所有者权益(或股东权益)合计,19969.25,23707.12,45103.61,50314.31,56002.62,71277.56,78602.02,195899.83,206512.64,218496.66,232858.19,237707.56,252559.38
负债和所有者权益(或股东权益)总计,27254.1,34582.4,58437.05,64895.15,80335.22,105031.58,120361.28,255125.6,273597.82,271331.03,309389.68,336613.55,326614.81
