报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31
公允价值变动收益,234.47,216.83,528.47,502.74,-282.24,-508.62,-607.11,-629.9,249.9,-66.23,-66.23,-66.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.2,202.29,7.14,0.0,0.0,0.0,0.0,0.0,381.55,193.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,610.73,610.73,610.73,0.0,0.0,0.0,189.36,1.5,-39.48,-34.54,129.87,-110.97,-101.21,-182.64,-164.08,-79.23,-143.67,-163.89,-20.05,-222.29,-401.67,-604.47,-1512.32,-51.92,261.21,190.23,249.85,-4.72,6.82,46.39,337.42,91.89,239.2,594.64,896.46,39.21,52.92,-33.36,-70.49,-308.54,-440.4,-516.01,-655.27
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.87,0.0,-101.21,0.0,-164.08,-79.23,0.0,0.0,-20.05,-222.29,0.0,0.0,-1512.32,0.0,0.0,0.0,1.94,0.0,0.0,0.0,331.36,0.0,239.2,308.27,436.93,0.0,52.92,-33.36,-70.49,-308.54,0.0,0.0,-655.27
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,2697.27,7638.0,9750.55,11658.98,2790.55,6965.52,9792.37,14538.87,4659.29,13696.94,20987.53,29149.51,8859.85,19582.82,27297.59,35386.51,10253.56,17991.75,22548.99,27678.05,8235.18,16721.26,20043.19,26842.67,6134.94,11695.74,16012.65,21147.47,5308.03,11448.98,15193.49,19307.43,7177.37,17991.14,23992.83,33396.07,13185.56,30032.63,42630.64,59922.89,22858.92,47774.17,67985.15,97332.46,29368.07,56728.64,76722.4,97584.26,28720.45,57652.13,81490.68,109931.71
加:营业外收入,338.86,1400.75,1560.79,1733.92,111.97,323.65,576.67,848.04,75.19,728.22,1677.91,1947.3,176.44,947.66,1919.36,4037.09,322.21,3359.66,8361.54,9597.41,611.52,2896.2,5425.41,6687.93,479.28,1510.47,1954.6,3700.11,396.29,1781.97,2949.07,4695.64,531.94,2009.88,3216.65,4518.92,975.43,1981.68,3129.52,5140.03,1783.04,2471.57,4334.42,951.73,714.53,980.37,2268.47,1091.3,590.55,689.26,975.61,1385.26
减：营业外支出,1.15,14.94,36.01,59.27,28.15,85.84,115.32,220.96,2.95,5.24,27.91,56.58,2.89,39.15,61.18,144.74,21.39,119.24,131.08,140.35,1.37,33.42,49.28,113.44,18.1,35.34,48.68,125.6,0.85,91.53,81.95,213.67,2.93,13.39,40.77,238.08,17.31,232.71,335.36,441.34,130.26,245.29,500.07,816.66,47.68,83.8,336.43,470.95,102.06,153.41,246.52,416.15
其中：非流动资产处置损失,0.31,4.96,11.07,0.0,0.48,5.84,34.95,122.46,1.99,3.04,14.0,42.51,1.45,18.2,20.01,96.48,3.21,93.72,94.44,107.51,0.74,13.0,15.24,-184.1,-1.66,-0.22,2.31,-91.88,-6.51,-94.24,-156.62,105.82,0.0,0.0,19.16,171.52,0.0,0.0,0.0,323.49,118.0,226.38,449.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,3034.98,9023.82,11275.33,13333.63,2874.36,7203.34,10253.72,15165.96,4731.53,14419.92,22637.53,31040.24,9033.4,20491.33,29155.77,39278.86,10554.37,21232.17,30779.45,37135.11,8845.33,19584.03,25419.32,33417.16,6596.13,13170.87,17918.57,24721.98,5703.47,13139.43,18060.6,23789.4,7706.38,19987.62,27168.71,37676.92,14143.69,31781.6,45424.79,64621.58,24511.7,50000.45,71819.5,97467.54,30034.91,57625.21,78654.44,98204.6,29208.93,58187.97,82219.76,110900.81
减：所得税费用,301.13,663.03,863.92,1194.41,-503.24,-328.52,138.58,854.3,106.4,644.18,1243.82,1109.35,1252.61,2719.27,4162.81,5704.28,1163.87,2140.25,3619.2,4206.61,1002.51,1718.19,2701.01,5396.64,496.55,1406.55,1987.46,6519.11,1422.0,3192.63,3965.75,6107.04,1820.51,4151.64,5026.71,5805.85,1858.4,3883.17,4395.82,6863.41,2011.48,5358.63,7190.13,8200.95,1678.02,5667.3,8622.6,8233.83,4619.44,10023.34,13187.19,16912.78
五、净利润,2733.85,8360.79,10411.41,12139.22,3377.6,7531.85,10115.15,14311.66,4625.13,13775.74,21393.71,29930.89,7780.8,17772.06,24992.96,33574.58,9390.51,19091.92,27160.25,32928.49,7842.82,17865.84,22718.31,28020.52,6099.58,11764.32,15931.12,18202.87,4281.47,9946.79,14094.85,17682.35,5885.86,15835.99,22142.0,31871.07,12285.28,27898.43,41028.97,57758.17,22500.22,44641.81,64629.37,89266.59,28356.89,51957.91,70031.84,89970.77,24589.5,48164.63,69032.58,93988.03
归属于母公司所有者的净利润,2106.22,6934.27,8337.3,9067.13,2457.86,5911.14,7706.43,10449.53,3101.93,10124.16,15528.59,21019.2,5497.11,13727.32,20602.34,28499.6,8516.21,17372.31,24754.27,29842.04,7145.96,15882.57,20020.69,24318.61,5070.53,9751.66,13280.37,14643.98,3620.79,8632.79,12349.61,14719.12,4918.49,14020.32,19393.43,28009.46,11248.05,25971.71,38277.91,53509.2,21294.9,42090.94,61153.43,84718.77,27734.67,50278.48,67373.25,85666.92,23696.91,46428.18,66558.43,90150.0
少数股东损益,627.63,1426.51,2074.11,3072.09,919.74,1620.71,2408.72,3862.13,1523.2,3651.58,5865.12,8911.68,2283.68,4044.74,4390.62,5074.98,874.3,1719.61,2405.98,3086.45,696.86,1983.27,2697.61,3701.92,1029.04,2012.66,2650.74,3558.89,660.67,1314.0,1745.24,2963.23,967.38,1815.67,2748.57,3861.6,1037.23,1926.72,2751.06,4248.98,1205.32,2550.87,3475.94,4547.82,622.22,1679.44,2658.59,4303.86,892.59,1736.45,2474.15,3838.03
基本每股收益(元/股),0.1552,0.511,0.3072,0.33,0.091,0.22,0.284,0.385,0.114,0.373,0.572,0.7745,0.203,0.4953,0.7184,0.9773,0.278,0.5676,0.802,0.9507,0.217,0.482,0.607,0.7377,0.154,0.296,0.403,0.4443,0.11,0.2619,0.375,0.4465,0.149,0.425,0.588,0.8497,0.3412,0.315,0.46,0.6493,0.2584,0.511,0.74,1.028,0.3366,0.6101,0.818,1.0395,0.2876,0.5634,0.808,1.0939
稀释每股收益(元/股),0.1552,0.511,0.3072,0.33,0.091,0.22,0.284,0.385,0.114,0.373,0.572,0.7745,0.203,0.4953,0.7184,0.9773,0.278,0.5676,0.802,0.9507,0.217,0.482,0.607,0.7377,0.154,0.296,0.403,0.4443,0.11,0.2619,0.375,0.4465,0.149,0.425,0.588,0.8497,0.3412,0.315,0.46,0.6493,0.2584,0.511,0.74,1.028,0.3366,0.6101,0.818,1.0395,0.2876,0.5634,0.808,1.0939
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-626.39,0.0,-344.31,0.0,-331.33,-1028.94,-1445.98,0.0,-3483.88,-31.7,-623.19,-579.43,-1129.17,-2100.31,-2786.39,-2205.17,-1405.28,-5015.65,-2420.0,-6142.02,-22294.38,774.52,-1085.54,-1894.98,-1051.57,-4313.05,-7769.17,-7821.6,-11810.7,4234.28,9804.33,13008.13,13760.4
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13775.74,0.0,29930.89,0.0,17772.06,0.0,33574.58,0.0,19091.92,0.0,32302.11,0.0,17521.53,0.0,27689.19,5070.63,10318.34,0.0,14719.0,4249.76,9323.6,13515.42,16553.18,3785.55,13049.59,19936.83,30465.78,7269.64,25478.43,34886.96,35463.79,23274.74,43556.28,62734.39,88215.02,24043.84,44188.74,62210.24,78160.07,28823.78,48164.63,82040.71,107748.43
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10124.16,0.0,21019.2,0.0,13727.32,0.0,28499.6,0.0,17372.31,0.0,29215.65,0.0,15538.26,0.0,23987.28,4041.59,8305.67,0.0,11160.11,3589.09,8009.6,11770.18,13589.95,2818.18,11233.93,17188.26,26604.18,6232.41,23551.71,32135.89,31214.81,22069.42,41005.4,59258.45,83667.21,23421.63,42509.3,59551.65,73856.22,27931.19,46428.18,79566.56,103910.4
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3651.58,0.0,8911.68,0.0,4044.74,0.0,5074.98,0.0,1719.61,0.0,3086.45,0.0,1983.27,0.0,3701.92,1029.04,2012.66,0.0,3558.89,660.67,1314.0,1745.24,2963.23,967.38,1815.67,2748.57,3861.6,1037.23,1926.72,2751.06,4248.98,1205.32,2550.87,3475.94,4547.82,622.22,1679.44,2658.59,4303.86,892.59,1736.45,2474.15,3838.03
