报表日期,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,3263.6,2532.53,2528.05,1014.28,2594.85,2528.92,2525.23,797.72,535.54,966.07,637.49,705.98,1082.76,1045.91,1027.1,7102.49,1607.6,1303.47,1539.99,312.31,1826.76,0.0,0.0,306.38,0.0,472.81,0.0,75.96,0.0,4981.79,0.0,1923.0,0.0,1728.6,0.0,2796.19,0.0,2817.83,0.0,944.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,4195.17,4596.79,5088.38,3207.99,3514.56,4127.96,4294.08,3399.14,3877.64,4676.41,4782.37,2818.13,3038.38,2957.22,2630.62,1499.16,1586.37,1292.05,1575.67,1153.3,1209.76,765.53,1015.67,958.83,1062.74,1317.96,1267.28,1690.97,2289.34,2104.27,1892.71,1671.03,1365.79,1260.7,1688.49,1479.59,1801.22,1852.86,1852.15,1972.75
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8402.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,269.4,192.61,115.82,59.9,3.39,1.67,0.33,0.0,1.7,1.06,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.5,2686.53,2553.21,1419.89,104.26,72.24,42.81,13.39,241.01,197.73,178.16,267.67,369.63,332.65,92.84,109.24,103.96,75.26,79.67,82.32,275.17,215.04,266.23,269.48,195.87,86.24,85.42,89.42,136.74,166.68,161.83,135.48,216.99
流动资产合计,29927.84,29925.38,28886.82,27569.36,27064.11,28070.11,27995.19,30185.76,29472.65,31379.66,31449.33,29622.7,26925.36,26103.79,25468.52,25526.38,23410.21,20479.16,19837.13,15753.9,15153.9,17481.06,18439.26,18313.36,18062.21,19417.0,19800.35,18385.54,19062.09,18802.55,14928.26,8410.32,8126.58,7703.81,10510.61,12067.04,11600.63,12593.73,13239.36,10480.83
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6591.45,6614.56,6589.57,6822.17,6944.67,7912.16,7866.74,7112.25,5507.48,5420.49,5420.49,5259.26,3176.09,3176.09,3176.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,10667.67,10544.38,10499.72,10422.84,10505.87,11200.06,10498.58,3863.39,3879.06,3862.12,4019.82,4102.01,4072.46,4184.75,4215.6,2500.0,2456.12,2474.32,2374.01,1946.36,1921.52,1960.76,2035.47,2248.46,2376.6,2248.46,2248.46,0.0,0.0,0.0,4954.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资性房地产,6116.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.09,0.0,641.53,0.0,670.13,693.39,4255.38,4257.48,3784.9,3792.82,280.34,167.52,167.52,167.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程,0.0,202.42,685.45,0.0,0.0,14.32,30.24,30.24,158.12,158.12,2.99,607.09,607.09,607.09,607.09,641.53,670.79,670.13,693.39,4255.38,4257.48,0.0,0.0,280.34,0.0,167.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5523.02,0.0,4247.43,0.0,4095.97,3977.41,3633.55,3508.63,1316.83,1040.98,5013.68,5057.48,4971.1,4971.35,4980.2,4896.96,4814.14,4581.73,4491.2,4413.19,4322.17,4249.2,4217.95,4125.54,4052.26,3984.86,3912.88
固定资产净额,22.89,5959.18,5819.23,6758.04,6592.26,6394.06,6363.34,6221.47,6105.6,5915.03,5949.95,5878.34,5705.95,5523.02,5301.96,4184.46,4122.71,4033.01,3914.45,3570.59,3445.66,1316.83,0.0,5013.68,0.0,4971.1,0.0,4980.2,0.0,4814.14,0.0,4491.2,0.0,4322.17,0.0,4217.95,0.0,4052.26,0.0,3912.88
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.97,62.97,62.97,62.97,62.97,62.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2609.91,3359.34,2574.93,2342.01,2109.09,1876.16,1643.24,1451.57,1177.39,4780.7,1976.37,1320.64,546.05,273.02,690.96
无形资产,441.05,440.34,436.96,433.57,430.18,426.79,423.41,420.02,416.63,413.24,409.86,406.47,403.08,399.7,396.31,1706.35,1696.36,1686.38,1676.39,1666.4,1656.41,1646.43,1511.76,1502.91,1494.07,1485.23,1476.38,1467.54,1458.7,1449.85,1214.43,1207.83,1201.23,1194.63,1188.03,1181.43,1174.83,1168.23,1161.63,1155.03
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,523.85,444.71,365.57,17.02,14.67,12.33,9.98,21.52,19.92,18.33,19.22,49.06,46.17,53.53,50.09,46.65,43.21,174.18,178.77,154.52,142.66,87.18,79.83,52.95,79.3,65.05,50.81,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税资产,932.02,932.02,932.02,1072.27,1072.27,1072.27,1072.27,925.72,925.72,925.72,925.72,734.23,734.23,734.23,734.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.29,36.99,0.0,0.0,0.0,0.0,0.0,0.0,483.98,483.98,483.98,483.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动资产合计,18704.08,18523.05,19038.93,18703.74,18615.26,19119.83,18397.82,18073.82,18119.62,17882.14,18149.72,18721.87,19481.15,19369.06,18417.52,14656.65,14479.86,14528.68,14166.44,14869.8,14706.99,11979.39,11644.15,32197.99,32274.63,34646.92,35373.51,29318.61,28989.52,28664.94,32918.66,7342.26,7065.99,6694.19,10217.93,7375.75,6621.01,5766.53,5419.51,7667.22
资产总计,48631.92,48448.43,47925.75,46273.1,45679.37,47189.94,46393.01,48259.58,47592.28,49261.79,49599.05,48344.57,46406.51,45472.85,43886.04,40183.03,37890.07,35007.84,34003.57,30623.69,29860.89,29460.45,30083.41,50511.35,50336.84,54063.92,55173.86,47704.15,48051.62,47467.49,47846.92,15752.58,15192.57,14398.0,20728.54,19442.79,18221.64,18360.26,18658.86,18148.05
短期借款,800.0,800.0,800.0,800.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,2900.0,2800.0,800.0,700.0,0.0,0.0,0.0,0.0,450.0,450.0,450.0,450.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4341.24,0.0,3651.76,0.0,2793.56,2455.57,2154.17,1912.59,1230.42,1220.67,1222.18,1371.05,2114.46,2208.53,1843.6,2317.74,2998.74,3017.44,2134.49,1887.58,1992.83,2787.14,3838.06,3685.82,3810.09,4195.62,4551.64
应付票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,1843.0,2441.84,2050.84,1300.96,658.86,224.86,184.5,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付账款,5239.53,6283.63,5921.36,5049.26,4689.64,5228.71,5252.43,6440.09,6003.41,6159.63,5444.49,3733.67,3359.03,3682.38,3415.57,3467.26,3160.81,2789.56,2451.57,2150.17,1908.59,1230.42,0.0,1222.18,0.0,2114.46,2208.53,1843.6,2317.74,2998.74,3017.44,2134.49,1887.58,1992.83,2787.14,3838.06,3685.82,3810.09,4195.62,4551.64
预收款项,1823.37,953.3,1060.86,928.33,1059.36,1133.0,1027.5,834.22,803.29,741.7,694.81,773.86,830.69,755.8,809.18,765.46,402.15,366.37,617.71,418.51,453.79,379.99,407.34,263.7,460.39,567.01,839.5,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付手续费及佣金,227.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,0.0,236.83,247.87,231.68,235.51,239.14,242.4,246.46,249.95,254.42,260.93,262.9,264.92,268.32,276.73,319.99,286.37,284.07,208.59,302.25,240.24,62.84,60.66,155.43,91.66,120.91,148.26,327.56,279.16,340.31,184.18,475.38,426.09,522.59,674.37,883.53,899.78,483.87,688.39,595.8
应交税费,192.08,138.47,-78.16,506.3,302.57,265.35,88.71,194.37,-16.84,80.91,40.53,198.43,36.86,80.47,38.36,79.48,65.69,97.23,32.1,34.16,8.48,25.17,266.28,225.33,193.7,290.48,193.7,134.69,40.96,83.49,148.52,474.44,477.55,376.64,396.6,393.84,362.35,399.9,381.34,348.77
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4385.99,0.0,4545.39,0.0,4501.61,4407.17,36546.08,36572.1,37055.02,36634.86,37706.04,37356.74,37538.04,36594.76,36238.12,36146.05,37506.7,20316.61,18122.59,17401.34,17715.85,18460.2,19114.61,20652.72,21006.02,20888.82,22692.07
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应付款,4739.2,4382.18,4465.99,4658.09,4617.07,4726.04,4798.6,4906.59,4514.0,4704.4,4787.66,4564.74,4381.83,4381.99,4422.18,4537.11,4949.47,4497.61,4403.17,36542.07,36568.1,0.0,0.0,37705.47,0.0,37538.04,0.0,36236.38,0.0,37506.7,0.0,18122.59,0.0,17715.85,0.0,19114.61,0.0,21006.02,0.0,22692.07
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.58,893.16,910.01,831.95,1095.36,1017.77,854.8,3801.72,3396.63,2986.19,2316.49,1926.57,690.96
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.34,73.87,104.96,156.47,158.23
流动负债合计,13025.61,12798.41,12421.92,12177.66,11808.16,12496.25,12313.64,13525.73,13107.82,14688.07,14574.26,12488.43,11078.28,10731.82,10090.89,12262.07,11672.5,8842.85,8421.15,39455.18,39187.19,40029.05,38589.81,40022.68,39923.54,41080.9,40434.75,41493.86,42051.34,42491.47,25250.39,22964.69,21922.76,21952.29,27515.73,29157.43,30095.47,29830.08,30307.36,30604.59
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875.01,3652.75,1748.67,1518.96,1285.65,1142.9,1158.27,1098.91,1187.69,2267.7,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1060.95,0.0,1369.26,1434.03,3096.55,3096.55,3096.55,2725.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,1060.95,1110.95,1369.26,1434.03,3096.55,3096.55,3096.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,8472.11,8472.11,8472.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6075.1,7536.07,7209.97,7209.97,7209.97,7209.97,7209.97,7209.97,7209.97,7209.97,7209.97,7209.97,7209.97,7209.97,7209.97,7209.97,3435.45,3435.45,3435.45,3435.45,3435.45,3435.45
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.06,1054.86,1042.67,2018.72,2362.33,2748.01,2714.49,2979.79,2942.58,3747.9,3699.77,3651.64,3603.51,3555.38,3507.25,3459.12,3410.99
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,8472.11,8472.11,8472.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6072.11,6122.11,6122.11,6122.11,6122.11,7133.06,7183.06,7441.37,7509.14,10632.62,10306.52,10306.52,9935.64,8277.03,8264.83,11127.65,12881.43,11320.97,11476.94,11210.11,11332.66,11310.82,12056.77,12097.42,9354.78,7038.96,6990.83,6942.7,6894.57,6846.44
