报表日期,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
其他非流动资产,2100.89,3190.0,3580.01,4108.4,5435.67,16286.47,15922.9,15607.14,5005.67,4724.67,18601.76,5078.77,5683.79
非流动资产合计,280674.24,332966.29,455037.35,466100.93,677640.51,711364.61,749392.48,881648.68,1002091.56,1086060.08,1192677.42,1311348.51,1506610.84
资产总计,756225.05,968643.13,1059068.28,1042001.31,1192244.89,1258044.69,1271062.86,1621394.34,1715099.97,2266720.19,2376444.66,2442842.27,2737040.67
短期借款,99027.82,17200.0,48938.53,60716.3,136640.29,131818.88,134016.7,126166.0,151912.8,12000.0,24000.0,129493.63,140369.95
交易性金融负债,1094.83,0.0,0.0,0.0,0.0,0.0,0.0,13102.58,23570.53,0.0,0.0,1760.54,1811.3
应付票据及应付账款,20915.46,26688.56,31279.24,33311.47,0.0,33323.79,30931.97,38334.12,42721.86,39872.44,44415.21,48161.49,53877.58
应付票据,2089.1,324.96,345.31,0.0,0.0,0.0,0.0,896.73,0.0,1936.3,0.0,1634.57,1952.25
应付账款,18826.35,26363.6,30933.92,33311.47,30159.28,33323.79,30931.97,37437.39,0.0,37936.14,0.0,46526.93,51925.32
预收款项,16404.33,23268.71,39572.18,41364.56,50279.45,60413.21,56725.46,61030.88,0.0,0.0,0.0,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,19619.12,22835.91,36146.73,16359.97,33348.09,44239.06,18812.42,26480.23,37788.0,54838.9,22049.92,40148.72,53876.46
应交税费,7377.85,21155.73,56948.17,41089.47,16390.32,28140.87,26022.14,18785.2,19094.02,20392.42,30702.77,18661.47,25784.26
其他应付款(合计),70311.98,186317.44,206945.38,167937.64,0.0,162057.44,152812.05,160278.15,142383.74,141804.62,139697.68,158422.35,168602.26
应付利息,0.0,0.0,0.0,0.0,0.0,239.46,73.56,451.28,285.56,16.61,108.44,405.54,677.27
应付股利,3629.48,2964.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6349.97,0.0
其他应付款,66682.5,183352.78,206945.38,167937.64,186851.8,161817.98,152738.48,159826.87,0.0,141788.01,0.0,151666.84,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,6291.25,0.0,0.0,0.0,1677.99,1697.69,1717.38,25936.08,26208.45,23480.82,18155.2,10097.26,10903.82
其他流动负债,0.0,1751.37,304.29,335.47,222.7,251.39,332.84,227.3,825.26,301.01,6.48,196.21,71.79
流动负债合计,241042.64,299217.72,420134.52,361114.87,455569.91,461942.33,421370.96,470340.55,505506.07,376205.77,347906.58,486987.79,560182.85
长期借款,8679.46,0.0,0.0,0.0,0.0,30000.0,49500.0,46500.0,36500.0,1500.0,1500.0,1500.0,81500.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188348.89
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74212.55,74136.97,73629.57
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,23480.82,23727.93,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,23208.45,23480.82,23727.93,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441.19,0.0,0.0
递延所得税负债,1025.23,3510.21,6328.51,6845.2,13347.28,10328.06,10148.59,7686.23,10190.54,11174.72,11965.67,15807.88,16148.34
长期递延收益,13132.2,19678.92,21071.67,22589.31,23388.79,37755.64,38840.07,36687.89,36655.81,41884.29,40970.59,40427.58,54805.23
其他非流动负债,2077.14,3223.99,5293.08,5250.86,22934.14,20736.82,20720.87,19388.26,24165.69,19432.32,9613.72,11065.53,31207.26
非流动负债合计,24914.03,26413.12,32693.26,34685.37,82878.65,122301.33,142937.47,110262.38,107512.03,73991.34,139703.71,142937.95,445639.28
负债合计,265956.67,325630.84,452827.78,395800.24,538448.56,584243.66,564308.42,580602.93,613018.1,450197.11,487610.3,629925.75,1005822.13
实收资本(或股本),15502.92,15502.92,93778.7,93778.7,93778.7,93778.7,93778.7,104198.56,104198.56,116474.11,117006.23,117003.09,163770.5
资本公积,80264.42,153902.72,349219.68,350296.71,302163.75,302909.39,303806.01,514439.45,507182.61,1197742.21,1228956.37,1163445.72,991848.58
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28598.9,28598.9,28188.08,27100.29
其他综合收益,3397.14,3189.54,12878.52,15635.7,15084.95,13828.37,15294.94,6169.99,1276.72,5629.17,7156.69,10824.0,10032.09
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,7778.45,7778.45,0.0,0.0,0.0,2129.63,2129.63,2129.63,2129.63,8770.92,8770.92,8770.92,8770.92
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,153341.47,156393.09,101040.4,134699.06,207316.1,221591.87,250661.65,372590.32,442211.17,468784.56,505314.96,503755.83,574594.27
归属于母公司股东权益合计,260284.4,336766.71,556917.3,594410.17,618343.49,634237.95,665670.93,999527.94,1056998.68,1768802.08,1838606.28,1775611.49,1721916.07
少数股东权益,229983.99,306245.57,49323.2,51790.89,35452.84,39563.08,41083.51,41263.47,45083.19,47721.0,50228.08,37305.03,9302.47
所有者权益(或股东权益)合计,490268.38,643012.29,606240.51,646201.07,653796.33,673801.03,706754.43,1040791.41,1102081.87,1816523.08,1888834.36,1812916.52,1731218.54
负债和所有者权益(或股东权益)总计,756225.05,968643.13,1059068.28,1042001.31,1192244.89,1258044.69,1271062.86,1621394.34,1715099.97,2266720.19,2376444.66,2442842.27,2737040.67
