报表日期,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,-36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.81,108.82,108.82,172.42,58.36,105.43,172.65,195.25,0.0,45.76,45.76,91.38,0.0,31.3,48.35,48.35,0.0,14.3,6115.68,5820.18,0.0
其中:对联营企业和合营企业的投资收益,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,5809.56,4695.55,4561.91,1446.18,2608.23,4268.41,-446.29,1293.75,2208.46,3445.11,-280.58,845.95,1091.94,1748.38,-332.47,610.04,584.19,390.81,-513.03,-1153.82,-2495.28,-8495.16,-944.65,796.82,-576.1,-4176.17,-967.07,-1767.15,3563.85,2181.67,-1074.05
加:营业外收入,8.32,206.24,238.35,178.24,268.63,579.08,108.28,220.96,356.28,514.6,70.48,240.6,266.48,379.97,121.08,202.42,288.0,338.87,144.28,278.87,331.67,377.17,33.47,112.59,130.56,63.44,5.77,13.93,17.31,140.71,0.04
减：营业外支出,130.35,32.48,33.52,20.83,27.62,31.24,0.38,4.49,4.54,18.01,22.1,48.01,80.05,91.38,3.78,24.16,64.28,52.72,8.22,11.43,26.53,61.79,0.33,13.81,140.26,136.37,0.72,11.58,17.44,95.35,26.31
其中：非流动资产处置损失,15.68,5.01,1.42,1.21,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,5687.53,4869.31,4766.74,1603.59,2849.24,4816.25,-338.39,1510.23,2560.21,3941.69,-232.2,1038.54,1278.36,2036.97,-215.18,788.29,807.91,676.96,-376.97,-886.38,-2190.14,-8179.77,-911.51,895.6,-585.79,-4249.1,-962.03,-1764.81,3563.72,2227.03,-1100.32
减：所得税费用,1185.81,923.68,887.95,281.22,622.62,865.86,42.17,278.42,614.75,919.69,66.17,191.65,265.34,420.15,91.6,79.96,140.9,33.63,41.47,-93.94,-87.11,-1336.74,22.06,245.46,302.8,875.73,13.17,-18.04,674.92,899.33,-9.41
五、净利润,4501.72,3945.63,3878.79,1322.37,2226.62,3950.4,-380.56,1231.81,1945.45,3022.01,-298.37,846.88,1013.02,1616.82,-306.78,708.33,667.02,643.34,-418.44,-792.45,-2103.03,-6843.03,-933.57,650.13,-888.59,-5124.83,-975.2,-1746.77,2888.79,1327.69,-1090.91
归属于母公司所有者的净利润,4518.48,3945.63,3878.79,1322.37,2226.62,3950.4,-380.56,1231.81,1945.45,3022.01,-298.37,846.88,1013.02,1616.82,-306.78,708.33,667.02,643.34,-418.44,-792.45,-2103.03,-6843.03,-933.57,650.13,-888.59,-5124.83,-975.2,-1746.77,2888.79,1327.69,-1090.91
少数股东损益,-16.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
基本每股收益(元/股),0.6025,0.5261,0.5172,0.1763,0.3,0.5267,-0.0507,0.1642,0.26,0.38,-0.0298,0.0847,0.1013,0.16,-0.03,0.0708,0.0667,0.06,-0.04,-0.0792,-0.2103,-0.68,-0.09,0.07,-0.0889,-0.51,-0.0975,-0.17,0.2889,0.13,-0.1091
稀释每股收益(元/股),0.6025,0.5261,0.5172,0.1763,0.3,0.5267,-0.0507,0.1642,0.26,0.38,-0.0298,0.0847,0.1013,0.16,-0.03,0.0708,0.0667,0.06,-0.04,-0.0792,-0.2103,-0.68,-0.09,0.07,-0.0889,-0.51,-0.0975,-0.17,0.2889,0.13,-0.1091
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
八、综合收益总额,4501.72,3945.63,3878.79,1322.37,2226.62,3950.4,-380.56,1231.81,1945.45,3022.01,-298.37,846.88,1013.02,1616.82,-306.78,708.33,667.02,643.34,-418.44,-792.45,-2103.03,-6843.03,-933.57,650.13,-888.59,-5124.83,-975.2,-1746.77,2888.79,1327.69,-1090.91
归属于母公司所有者的综合收益总额,4518.48,3945.63,3878.79,1322.37,2226.62,3950.4,-380.56,1231.81,1945.45,3022.01,-298.37,846.88,1013.02,1616.82,-306.78,708.33,667.02,643.34,-418.44,-792.45,-2103.03,-6843.03,-933.57,650.13,-888.59,-5124.83,-975.2,-1746.77,2888.79,1327.69,-1090.91
归属于少数股东的综合收益总额,-16.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
