报表日期,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1191.96,0.0,0.0,0.0,-509.64,0.0,-148.5,-148.5,-553.51,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,1786.9,3494.91,4969.59,6136.79,3857.99,6467.67,8636.03,10745.38,4826.81,10437.58,17304.72,21742.06,12501.26,21148.36,28494.72,33172.75,13659.6,27444.66,42071.78,50279.34,20603.21,39754.15,54355.62,55410.7,22704.68,47685.24,66691.86,72083.37,25124.81,41226.9,65172.6,63582.98,35363.33,69853.66,97336.59,87835.9,49522.38,83664.6,122206.77,110259.72,63404.42,100790.73,131371.36
加:营业外收入,2.23,2.08,16.32,38.56,6.79,21.57,47.62,105.28,7.69,140.79,238.69,414.72,175.56,395.12,538.08,626.21,19.7,90.58,785.29,1136.32,67.67,1552.04,2061.85,4183.18,1099.77,1177.48,2026.82,3137.34,1636.89,1715.03,2442.6,2827.08,470.13,2127.81,1883.96,2136.59,5.79,4030.46,4057.92,4816.38,14.26,669.7,4300.97
减：营业外支出,221.09,50.53,45.84,39.86,0.0,10.5,56.66,60.52,0.78,1.1,98.55,164.26,0.21,246.4,360.9,678.63,8.86,114.95,1157.66,1094.72,32.31,47.2,240.82,370.17,7.04,70.03,112.67,1224.82,0.45,210.8,340.93,1038.48,428.91,548.08,737.98,1472.11,3.44,1151.14,1689.15,2177.4,26.48,72.03,196.19
其中：非流动资产处置损失,202.63,8.48,22.26,21.86,0.0,0.84,0.84,1.32,0.0,1.1,2.94,9.93,0.0,220.98,226.05,368.27,8.86,10.0,887.16,521.16,0.49,6.84,65.63,96.55,2.18,17.09,19.68,53.56,0.0,37.77,57.77,712.37,-21.78,119.98,153.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,1568.04,3446.46,4940.07,6135.49,3864.78,6478.74,8627.0,10790.14,4833.73,10577.28,17444.86,21992.52,12676.62,21297.08,28671.91,33120.33,13670.44,27420.28,41699.41,50320.93,20638.57,41259.0,56176.66,59223.7,23797.41,48792.69,68606.01,73995.89,26761.25,42731.13,67274.27,65371.58,35404.54,71433.4,98482.57,88500.38,49524.73,86543.93,124575.55,112898.69,63392.2,101388.4,135476.13
减：所得税费用,355.4,775.96,793.67,918.25,596.38,1030.41,1355.65,1579.55,737.8,1629.08,2670.38,3349.01,1982.08,3317.91,4473.78,5084.9,1883.83,4125.83,6339.92,8152.29,2878.26,5943.78,8309.51,8964.21,3271.62,7182.73,10888.74,11961.85,4736.87,7603.94,11930.92,14606.11,6549.91,11725.58,15725.08,11819.77,11424.07,19097.27,25329.11,22055.52,15996.13,18407.33,21625.86
五、净利润,1212.65,2670.5,4146.39,5217.24,3268.4,5448.33,7271.35,9210.59,4095.92,8948.2,14774.48,18643.51,10694.54,17979.17,24198.13,28035.43,11786.61,23294.45,35359.48,42168.63,17760.31,35315.22,47867.15,50259.5,20525.79,41609.97,57717.27,62034.04,22024.38,35127.2,55343.35,50765.47,28854.63,59707.82,82757.49,76680.61,38100.66,67446.66,99246.43,90843.18,47396.07,82981.07,113850.27
归属于母公司所有者的净利润,1212.65,2670.5,4146.39,5217.24,3268.4,5448.33,7271.35,9210.59,4095.92,8948.2,14774.48,18643.51,10694.54,17979.17,24198.13,28035.43,11786.61,23294.45,35359.48,42168.63,17760.31,35315.22,47867.15,50259.5,20525.79,41691.69,58473.14,63549.61,22484.41,35877.98,56774.65,53521.18,28319.85,58226.85,80323.23,76625.56,37209.09,70460.71,105804.47,100218.5,49746.4,86685.14,119094.0
少数股东损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.72,-755.87,-1515.57,-460.03,-750.79,-1431.3,-2755.71,534.78,1480.97,2434.25,55.05,891.57,-3014.05,-6558.04,-9375.32,-2350.33,-3704.07,-5243.73
基本每股收益(元/股),9.33,0.89,1.2,1.45,0.8,1.33,1.77,2.25,0.75,0.82,1.35,1.7,0.49,0.82,1.11,1.28,0.54,0.71,1.08,1.29,0.54,0.54,0.73,0.77,0.3,0.59,0.82,0.89,0.3088,0.25,0.39,0.37,0.1945,0.4,0.55,0.52,0.25,0.48,0.72,0.69,0.34,0.59,0.8
稀释每股收益(元/股),9.33,0.89,1.2,1.45,0.8,1.33,1.77,2.25,0.75,0.82,1.35,1.7,0.49,0.82,1.11,1.28,0.54,0.71,1.08,1.28,0.54,0.54,0.73,0.76,0.3,0.59,0.82,0.89,0.3088,0.25,0.39,0.37,0.1944,0.4,0.54,0.52,0.26,0.48,0.72,0.69,0.34,0.59,0.8
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.62,-28.76,27.32,-1.36,395.64,721.23,395.64,225.72,282.32,1296.9,-163.8,-546.38,-934.73,-975.65,-747.99,463.36,-332.86,-9088.28,-3619.37,172.72,-413.85
八、综合收益总额,1212.65,2670.5,0.0,5217.24,3268.4,5448.33,0.0,9210.59,4095.92,8948.2,14774.48,18643.51,10694.54,17979.17,24198.13,28035.43,11786.61,23294.45,35359.48,42168.63,17760.31,35315.22,47866.53,50230.74,20553.11,41608.6,58112.92,62755.27,22420.02,35352.91,55625.67,52062.38,28690.83,59161.44,81822.76,75704.96,37352.68,67910.02,98913.57,81754.9,43776.7,83153.79,113436.42
归属于母公司所有者的综合收益总额,1212.65,2670.5,0.0,5217.24,3268.4,5448.33,0.0,9210.59,4095.92,8948.2,14774.48,18643.51,10694.54,17979.17,24198.13,28035.43,11786.61,23294.45,35359.48,42168.63,17760.31,35315.22,47866.53,50230.74,20553.11,41690.32,58868.78,64270.84,22880.05,36103.7,57056.97,54818.09,28156.05,57680.47,79388.51,75649.91,36461.1,70924.07,106081.51,95512.35,47708.84,86857.86,121213.58
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.72,-755.87,-1515.57,-460.03,-750.79,-1431.3,-2755.71,534.78,1480.97,2434.25,55.05,891.57,-3014.05,-7167.94,-13757.46,-3932.14,-3704.07,-7777.15
