报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
收回投资所收到的现金,0.0,676.98,676.98,0.0,823.95,2474.11,2017.57,3867.13,0.0,10146.81,10329.66,19484.96,0.0,4100.0,18400.0,18400.0,0.0,3350.59,3730.59,3730.59,20.09,20.09,20.09,0.0,0.0,20.09,20.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15112.9,0.0,0.0,0.0,0.0,61318.27,0.0,0.0,355716.17,325200.0,518400.0,616200.0,889419.0,239900.0,504600.0
取得投资收益所收到的现金,20.09,772.69,772.69,3884.71,1525.49,1999.94,2274.02,2029.58,20.09,116.85,217.68,476.38,20.09,96.92,96.92,96.92,380.0,10.19,43.72,49.36,0.0,0.0,0.0,20.09,0.0,0.0,0.0,20.09,20.09,20.09,20.09,20.09,0.0,20.09,20.09,24.98,20.09,20.09,20.09,365.93,582.53,1682.04,4714.56,4981.05,5573.91,11267.28,16150.97,24793.78,5746.24,15700.76
处置固定资产、无形资产和其他长期资产所收回的现金净额,17.2,53.8,71.4,113.65,0.0,5.0,82.02,93.72,3.2,6.22,29.6,70.35,0.1,0.1,0.1,12.85,1.71,6.21,7.61,29.43,3.0,0.0,0.0,43.5,36.75,52.41,60.23,60.42,0.0,0.0,5.9,14.03,7.88,10.88,10.76,12.59,14.66,49.69,59.28,60.81,49.91,157.17,841.48,158.23,49.18,75.51,135.36,355.46,53.81,189.6
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.59,380.0,385.63,385.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,1289.14,1775.32,1775.32,1775.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.41,2469.41,2469.41,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,1326.43,3278.79,3296.39,5773.68,2349.44,4479.05,4373.61,5990.43,23.29,10269.87,10576.94,20031.68,20.19,4197.02,18497.02,18509.77,6201.71,6216.4,6636.96,4195.01,23.09,20.09,50.39,63.59,36.75,72.5,80.32,80.51,20.09,20.09,25.99,34.12,7.88,30.97,30.85,15150.47,34.75,69.78,79.37,426.73,61950.71,1839.21,5556.04,360855.45,330823.1,529742.79,632486.34,914568.24,245700.05,520490.36
购建固定资产、无形资产和其他长期资产所支付的现金,614.65,4649.71,6515.04,6685.02,3707.91,4347.73,7204.96,11121.16,4397.06,6793.56,10680.03,14165.07,7434.43,20525.66,27009.95,28673.06,14278.84,25786.69,45648.66,54026.79,9202.22,18204.0,27861.75,46682.56,6136.85,20067.19,42042.69,45329.99,8597.51,14922.79,17175.37,29852.1,2566.89,8107.3,21767.99,39409.32,19732.68,43132.41,67001.57,111099.75,16443.78,36289.68,57964.57,38030.16,15405.76,18629.57,33152.38,52910.98,7198.83,13266.47
投资所支付的现金,0.0,0.0,0.0,15792.01,872.25,4543.68,14087.15,14878.82,0.0,82.29,4290.1,13399.8,0.0,0.0,0.0,3650.0,3000.0,3250.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,1010.42,22758.67,0.0,0.0,812.04,154286.05,0.0,90990.12,275546.44,660381.61,349553.7,682353.7,743822.7,1147208.22,200107.88,507818.03
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.38,80.38,80.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
