报表日期,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,-69.6,928.93,-90.94,0.0,108.64,0.0,84.15,0.0,9.62,33.3,120.98,90.1,198.97,71.01,76.84,144.49,133.27,196.23,624.61,731.12,812.29,829.98,1102.06,1451.48,2151.63,682.24,3001.6,5029.18,7048.97,1429.68,1687.28,2608.37,4226.07,1758.83,2481.67
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,120.98,53.11,75.13,46.15,40.25,107.9,90.54,89.59,164.04,240.17,294.86,169.98,362.72,516.32,699.12,507.12,793.22,1079.16,1728.09,1010.75,1184.97,1417.58,1667.41,946.19,1475.48
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.45,-1567.29,-2802.24,-2847.74,679.29,679.25,673.06,673.05,-299.35,-310.26
三、营业利润,8306.32,6844.02,34503.44,18325.66,30133.53,2665.13,5742.45,12688.07,25981.46,-6584.25,-9620.58,-1853.5,2097.53,-3824.52,1486.69,23427.99,50543.16,35246.67,103464.58,170390.89,222800.51,67136.34,120080.9,182116.57,238956.99,14443.45,-7593.66,36296.2,52397.58,-55771.27,-16635.29,145222.8,631483.34,461674.02,1184532.14
加:营业外收入,1284.47,1755.28,1713.89,0.0,3283.51,268.81,1838.34,0.0,4437.57,1015.01,1579.86,2152.58,6061.92,1807.54,3224.07,4516.91,9157.55,1602.78,3846.43,5884.01,9665.31,986.12,467.13,1285.39,1879.37,524.16,1546.69,2748.88,5584.97,1026.86,2412.45,3743.84,6144.09,1516.29,4781.14
减：营业外支出,155.32,38.35,553.75,0.0,172.27,19.44,23.04,0.0,36.08,2.78,5.13,29.14,139.64,2.51,27.51,45.19,115.63,53.73,68.12,81.63,275.94,118.82,521.2,2180.77,4280.42,1364.1,1810.68,4018.08,5371.17,641.85,1181.53,4803.43,5692.21,9140.32,14038.9
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,4.37,28.39,138.89,2.51,27.51,45.19,112.93,53.73,68.12,81.63,234.94,8.82,37.68,121.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,9435.47,8560.95,35663.58,19590.03,33244.77,2914.5,7557.75,14737.61,30382.95,-5572.03,-8045.85,269.94,8019.81,-2019.49,4683.25,27899.71,59585.08,36795.72,107242.89,176193.27,232189.87,68003.64,120026.83,181221.19,236555.94,13603.52,-7857.65,35027.0,52611.39,-55386.26,-15404.37,144163.21,631935.23,454049.99,1175274.38
减：所得税费用,0.0,0.0,0.0,0.0,223.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,-0.23,7.93,7.93,-196.51,297.91,-448.33,-1279.88,-1710.58,-440.13,-528.19
五、净利润,9435.47,8560.95,35663.58,19590.03,33020.79,2914.5,7557.75,14737.61,30382.95,-5572.03,-8045.85,269.94,8019.81,-2019.49,4683.25,27899.71,59585.08,36795.72,107242.89,176193.27,232189.87,68003.64,120026.83,181221.19,236552.94,13603.75,-7865.57,35019.08,52807.9,-55684.17,-14956.04,145443.09,633645.81,454490.11,1175802.57
归属于母公司所有者的净利润,9435.47,8560.95,35663.58,19590.03,33020.79,2914.5,7557.75,14737.61,30382.95,-5572.03,-8045.85,269.94,8019.81,-2019.49,4683.25,27899.71,59585.08,36795.72,107242.89,176193.27,232189.87,68003.64,120026.83,181221.19,236552.94,13603.75,-7865.57,35019.08,52020.88,-54093.75,-15570.19,138691.27,611436.37,413139.17,1078403.28
少数股东损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.02,-1590.42,614.15,6751.82,22209.44,41350.94,97399.29
基本每股收益(元/股),0.47,0.43,1.68,0.92,1.56,0.14,0.36,0.7,1.43,-0.26,-0.34,0.01,0.33,-0.08,0.1,0.58,1.23,0.71,2.07,1.7,2.25,0.66,1.12,1.64,2.12,0.12,-0.04,0.17,0.17,-0.26,-0.07,0.66,2.82,1.87,2.93
稀释每股收益(元/股),0.47,0.43,1.68,0.92,1.56,0.14,0.36,0.7,1.43,-0.26,-0.34,0.01,0.33,-0.08,0.1,0.58,1.23,0.71,2.07,1.7,2.25,0.66,1.12,1.64,2.12,0.12,-0.04,0.17,0.17,-0.26,-0.07,0.66,2.82,1.87,2.92
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,0.0,0.0,0.0,14.97,0.0,0.0,0.0,15.56,0.0,21.29
八、综合收益总额,9435.47,8560.95,35663.58,19590.03,33020.79,2914.5,7557.75,14737.61,30382.95,-5572.03,-8045.85,269.94,8019.81,-2019.49,4683.25,27899.71,59585.08,36795.72,107242.89,176193.27,232189.87,68003.64,120026.83,181221.19,236563.85,13603.75,-7865.57,35019.08,52822.87,-55684.17,-14956.04,145443.09,633661.37,454490.11,1175823.86
归属于母公司所有者的综合收益总额,9435.47,8560.95,35663.58,19590.03,33020.79,2914.5,7557.75,14737.61,30382.95,-5572.03,-8045.85,269.94,8019.81,-2019.49,4683.25,27899.71,59585.08,36795.72,107242.89,176193.27,232189.87,68003.64,120026.83,181221.19,236563.85,13603.75,-7865.57,35019.08,52035.85,-54093.75,-15570.19,138691.27,611451.93,413139.17,1078424.57
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.02,-1590.42,614.15,6751.82,22209.44,41350.94,97399.29
