报表日期,2007-03-31,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-12-31,2009-06-30,2009-12-31,2010-06-30,2010-12-31,2011-06-30,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-12-31,2018-06-30,2018-12-31,2019-06-30,2019-09-30
其中:质押借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期融资款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,158383.0,149478.0,364574.0,363754.0,514900.0,279533.0,133220.49,76689.48
拆入资金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,35932.82,158200.0,128200.0,128200.0,0.0,0.0,0.0,0.0,100000.0,150000.0,200000.0,130000.0,30000.0,100000.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100361.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18923.82,0.0,0.0,55544.0,0.0,10959.49,222.99,2230.52,6215.03,494.85,2096.57,298.72,343.75
衍生金融负债,0.0,0.0,0.0,0.0,0.0,0.0,445.2,817.27,2235.73,0.0,0.0,0.0,324.05,69.61,897.69,194.12,0.0,949.84,65.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.67,414.69
卖出回购金融资产款,0.0,63100.0,100552.78,0.0,22380.29,244518.04,28495.26,9840.15,107063.2,0.0,69300.0,41600.0,72907.48,67837.1,165350.76,139921.54,575148.97,896122.62,879555.44,521138.65,412867.4,628839.5,578128.0,476940.2,555022.85,225978.71,128116.8,286777.29,168353.7
代理买卖证券款,0.0,1045203.37,1688948.63,0.0,753891.7,709836.97,796075.37,1278684.19,1088475.44,1188082.99,889007.7,744372.15,676311.14,693076.77,567296.69,678807.13,1310621.13,1846640.57,3049324.32,2030857.44,1905449.21,1406222.85,1468733.89,1303284.95,1109743.05,1133814.56,951758.43,1388571.57,1383200.44
代理承销证券款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,12.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,75.0,0.0,1606.0,2200.0
应付职工薪酬,0.0,14007.06,55293.95,0.0,30617.76,22985.49,8588.11,27936.43,9022.32,33932.16,7671.55,10243.73,9392.59,693.86,11447.29,5242.18,28597.87,30177.27,30899.22,67867.91,37101.14,60176.69,62635.72,62324.03,52208.92,52124.52,45294.91,48579.72,30371.53
应交税费,0.0,23534.39,25914.1,0.0,6896.14,12179.52,9479.15,13073.29,1951.55,22665.32,7049.95,-1524.21,3107.47,5828.25,2184.93,7424.39,27351.07,31587.77,33453.12,29827.17,6231.56,27581.49,28338.82,12158.87,26377.55,9805.88,23621.42,7646.85,7306.63
应付账款,0.0,13315.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79735.31,110881.52,28831.94,41264.35,49652.47,52523.73,14478.6,31851.17,7553.62,19668.65,34610.84,28953.85,25925.54,24692.7,30835.53
应付利息,0.0,268.35,617.55,0.0,444.07,129.67,79.22,115.62,127.01,137.14,137.2,949.32,892.92,5347.0,3677.17,5821.62,6554.91,5319.72,9038.31,26178.56,48328.34,16048.62,16789.43,21584.3,16836.69,40935.02,27104.96,0.0,0.0
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212898.8,253898.8,362000.0,159000.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139994.55,140000.0,140000.0,140000.0,240000.0,140000.0,180000.0,455000.0,720000.0,720000.0,650000.0,650000.0,650000.0,830000.0,1150000.0,1100000.0,1226191.01,1024394.23
递延所得税负债,0.0,0.0,1120.29,0.0,1186.38,2918.88,420.69,203.83,1435.11,497.19,494.72,26.6,0.0,467.45,31.22,-10.12,1889.67,5321.34,3548.74,1356.49,4096.01,1529.33,1967.08,1785.27,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,2418.0,2418.0,2418.0,2418.0,0.0,0.0,0.0,1450.0,1450.0,1450.0,1450.0,3150.0,3150.0,3150.0,310.74,310.74,310.74,310.74,310.74,310.74,0.0,0.0,0.0,0.0
其他负债,0.0,0.0,37003.94,0.0,40842.2,25248.43,36807.7,20434.07,22658.02,32732.53,14599.49,19331.32,19277.71,209197.67,575.74,828.74,136638.61,183466.79,401882.22,528087.37,155305.98,324841.96,1238.97,6584.87,71080.31,1461.3,250295.33,250941.75,251050.81
负债合计,790913.28,1169168.1,1909451.24,1671445.51,856258.54,1020235.01,882808.71,1353522.84,1335747.48,1278047.33,988260.62,954993.45,923663.35,1143967.71,1067027.54,1327195.57,2912224.67,3606101.07,5405771.5,4258327.03,3427979.77,3497590.4,3234811.76,3249256.03,3493589.14,3611800.39,3510934.84,3883611.04,3563890.35
股本,0.0,150000.0,150000.0,0.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,197916.67,197916.67,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
其他权益工具,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资本公积金,0.0,0.02,1559.26,0.0,0.0,2279.58,391.68,129.79,1598.93,-589.84,-2402.57,-343.43,-2163.45,-4811.66,174271.34,177874.28,130000.0,145902.77,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,614133.85,614133.85,614133.85,614133.85,614133.85
减:库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11733.29,0.0,12201.14,6332.66,6161.29,8286.27,6998.81,6772.34,4740.07,4509.03,1325.09,2315.08,2794.31
盈余公积金金,0.0,4153.4,14525.42,0.0,19479.41,29190.23,29190.23,41711.04,45543.75,54120.26,58408.52,62154.12,67561.4,69328.65,72273.08,73747.64,83067.51,73747.64,83432.01,107084.33,118485.21,125920.83,125920.83,130500.16,14625.79,19649.02,26303.51,29400.81,29400.81
未分配利润,0.0,59746.84,77676.71,0.0,86441.88,106702.16,113143.6,120257.33,121840.61,137067.27,165849.28,158478.74,181928.95,203786.55,203045.71,177389.62,209778.24,288705.45,338277.23,354443.94,360555.89,385627.41,413321.15,418134.29,79180.9,102765.0,96372.02,133203.24,155581.88
一般风险准备,0.0,2912.84,12986.27,0.0,12986.27,22697.09,22697.09,30362.5,30362.5,38939.02,38939.02,42684.61,46219.1,46219.1,95248.76,95248.76,114058.34,49163.53,58650.89,153064.82,78395.3,171871.02,172254.18,172746.44,194460.33,197797.77,216090.11,217628.38,218799.95
交易风险准备,0.0,0.0,9907.98,0.0,9907.98,19618.8,19618.8,27284.2,27284.2,35860.72,35860.72,39606.32,43140.81,43140.81,0.0,0.0,0.0,46085.24,55407.45,0.0,74763.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
外币报表折算差额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
归属于母公司所有者权益合计,202070.72,216813.11,266655.64,289996.21,278815.55,330487.86,335041.39,369744.86,376629.99,415397.43,446654.97,452580.34,486686.8,507663.44,742755.55,722176.96,798637.37,853604.62,927968.71,1000925.75,1018360.85,1071705.53,1098494.97,1108153.23,1157140.93,1188854.66,1204224.59,1246681.35,1270710.8
少数股东权益,0.0,2600.66,4892.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.87,73.42,73.87,301.43,346.15,345.85,426.28,456.04
所有者权益合计,0.0,219413.77,271548.34,0.0,278815.55,330487.86,335041.39,369744.86,376629.99,415397.43,446654.97,452580.34,486686.8,507663.44,742755.55,722176.96,798637.37,853604.62,927968.71,1000925.75,1018360.85,1071779.39,1098568.39,1108227.09,1157442.36,1189200.81,1204570.44,1247107.64,1271166.84
负债及股东权益总计,0.0,1388581.86,2180999.58,0.0,1135074.08,1350722.86,1217850.11,1723267.7,1712377.47,1693444.76,1434915.59,1407573.8,1410350.16,1651631.16,1809783.09,2049372.53,3710862.04,4459705.69,6333740.21,5259252.78,4446340.62,4569369.79,4333380.15,4357483.12,4651031.51,4801001.2,4715505.27,5130718.68,4835057.19
