报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
加:营业外收入,7222.18,7131.29,4994.52,6198.71,6337.99,7618.56,10704.74,833.26,5592.0,7049.41,12102.12,771.75,178.83,295.22,869.17,70.06,476.18,672.25,1061.48,29.78,162.59,177.98,1191.7,514.46,534.85,979.22
减：营业外支出,1171.24,1538.5,1403.77,1401.04,514.39,806.43,1644.33,163.45,612.59,989.59,2403.79,239.7,1771.04,2068.69,3332.07,161.0,896.69,1291.98,2554.32,306.44,1271.87,2082.95,4247.0,749.29,1820.59,2838.19
其中：非流动资产处置损失,95.82,143.39,92.26,36.15,36.69,49.48,56.65,5.66,110.89,112.01,133.25,2.46,3.79,9.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,50893.33,57206.92,59444.88,61269.2,32314.68,45018.63,61770.97,16584.47,34240.13,47784.51,63571.61,18467.94,48604.16,66550.89,91704.03,17307.64,43213.27,58630.67,91592.06,21259.32,59046.87,75749.05,114883.73,15529.93,58980.48,76317.33
减：所得税费用,131.49,137.68,44.59,119.19,113.7,152.9,278.99,173.39,477.39,452.5,567.81,80.68,70.24,64.44,55.99,63.53,-367.19,-468.58,-1079.58,-860.58,1692.73,1836.23,2417.21,342.45,2217.13,1850.31
五、净利润,50761.84,57069.24,59400.29,61150.0,32200.98,44865.73,61491.98,16411.08,33762.73,47332.02,63003.8,18387.26,48533.92,66486.45,91648.04,17244.11,43580.45,59099.25,92671.65,22119.9,57354.15,73912.82,112466.52,15187.48,56763.35,74467.02
归属于母公司所有者的净利润,51679.98,62358.39,62288.18,63278.74,34114.78,47024.3,64726.95,17301.29,35002.34,48123.22,64746.23,18664.42,49792.49,67572.61,92384.45,17840.51,44889.64,59973.08,93218.48,21655.43,57950.28,74701.38,113904.76,15624.16,58025.9,75846.76
少数股东损益,-918.14,-5289.14,-2887.89,-2128.73,-1913.8,-2158.57,-3234.97,-890.22,-1239.6,-791.2,-1742.43,-277.16,-1258.57,-1086.16,-736.41,-596.4,-1309.19,-873.83,-546.83,464.47,-596.13,-788.56,-1438.23,-436.67,-1262.54,-1379.74
基本每股收益(元/股),0.46,0.55,0.55,0.56,0.3,0.41,0.57,0.15,0.31,0.42,0.55,0.15,0.4,0.55,0.75,0.14,0.36,0.49,0.76,0.1755,0.47,0.61,0.92,0.13,0.47,0.61
稀释每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.31,0.42,0.55,0.15,0.4,0.55,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七、其他综合收益,-26351.82,-3240.64,13024.88,25873.08,78331.35,58154.4,105374.51,-50419.7,-59599.49,-34883.19,14253.43,-8964.6,-46937.34,-68070.93,-81520.1,47018.71,-23932.35,-32619.52,-38876.38,26381.75,474.6,-12155.53,-4220.9,-21552.23,-7890.34,4235.98
八、综合收益总额,24410.03,53828.6,72425.17,87023.09,110532.33,103020.13,166866.49,-34008.63,-25836.76,12448.82,77257.23,9422.65,1596.58,-1584.48,10127.94,64262.81,19648.1,26479.73,53795.27,48501.65,57828.74,61757.29,108245.62,-6364.75,48873.01,78702.99
归属于母公司所有者的综合收益总额,25328.16,59117.75,75313.06,89151.82,112446.13,105178.7,170101.46,-33118.41,-24597.15,13240.03,78999.66,9699.81,2855.15,-498.32,10864.35,64859.22,20957.3,27353.57,54342.1,48037.18,58424.87,62545.85,109683.86,-5928.07,50135.56,80082.74
归属于少数股东的综合收益总额,-918.14,-5289.14,-2887.89,-2128.73,-1913.8,-2158.57,-3234.97,-890.22,-1239.6,-791.2,-1742.43,-277.16,-1258.57,-1086.16,-736.41,-596.4,-1309.19,-873.83,-546.83,464.47,-596.13,-788.56,-1438.23,-436.67,-1262.54,-1379.74
