报表日期,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-12-31,2018-06-30,2018-09-30,2018-12-31,2019-06-30,2019-09-30
取得借款收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212898.8,0.0,0.0,159000.0,0.0,0.0,136798.0,541117.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,140000.0,0.0,0.0,0.0,100000.0,150000.0,-110041.0,165000.0,755000.0,0.0,445870.4,0.0,0.0,1426936.0,1209601.0,1656889.0,2185099.0,912529.0,1114038.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,0.0,0.0,0.0,0.0,140000.0,0.0,0.0,230000.0,100000.0,497269.5,-110041.0,165000.0,1209122.39,0.0,680506.03,136798.0,541117.0,1426984.0,1209601.0,1775489.0,2433799.02,912529.0,1114038.0
偿还债务支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397898.8,0.0,497487.4,145703.0,334926.0,1041565.0,738455.0,1531513.0,1999320.0,949383.93,1417411.0
分配股利、利润或偿付利息所支付的现金,0.0,28200.0,36300.0,39000.0,0.0,9597.48,0.0,9586.37,60995.83,78225.48,4314.81,9746.73,35423.82,46614.28,137048.4,6386.46,19384.8,75678.54,14952.15,61069.12,77314.98,35743.1,51022.17
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流出小计,0.0,28200.0,36300.0,39000.0,5.5,9597.48,0.0,9586.37,60995.83,84446.48,4314.81,9746.73,491715.49,46614.28,932435.83,152089.46,354310.8,1357421.16,820407.15,1659582.12,2145101.1,990883.26,1477081.29
筹资活动产生的现金流量净额,0.0,-28200.0,-36300.0,-39000.0,139994.5,-9597.48,0.0,220413.63,39004.17,412823.02,-114355.81,155253.27,717406.9,-46614.28,-251929.8,-15291.46,186806.2,69562.84,389193.85,115906.88,288697.92,-78354.26,-363043.29
四、汇率变动对现金及现金等价物的影响,0.0,-459.69,-3.74,-143.19,82.24,48.59,-108.2,-1177.39,64.79,279.57,22.17,-2.37,3612.37,170.08,4302.18,-359.5,-4080.55,-3664.12,524.92,2881.92,742.93,72.69,1686.48
五、现金及现金等价物净增加额,1336925.52,-1020672.77,567766.43,-79540.93,-403532.47,-164714.95,158862.59,50050.23,151391.83,910654.57,388902.85,1887170.2,670219.46,-51453.5,-560546.33,281618.19,-23833.6,-230903.93,-33632.1,294046.88,32644.24,432686.33,456233.01
加:期初现金及现金等价物余额,436015.04,1772940.56,752267.79,1320034.22,1240493.29,836960.82,672245.87,672245.87,724322.12,724370.54,1634404.51,1634404.51,1635025.11,2305244.57,2305244.57,1741995.59,1741995.59,1744698.24,1513794.31,1513794.31,1513794.31,1546438.54,1546438.54
六、期末现金及现金等价物余额,1772940.56,752267.79,1320034.22,1240493.29,836960.82,672245.87,831108.46,722296.11,875713.95,1635025.11,2023307.36,3521574.71,2305244.57,2253791.07,1744698.24,2023613.78,1718162.0,1513794.31,1480162.21,1807841.18,1546438.54,1979124.87,2002671.55
净利润,104109.63,93111.89,75906.8,85372.19,36936.51,35926.48,0.0,31717.29,0.0,97163.86,0.0,0.0,207689.0,0.0,106569.68,0.0,0.0,106892.54,51989.49,66933.79,70642.48,54043.0,77622.97
加:少数股东损益,2477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,-102.79,-517.83,-14.26,0.0,0.0,0.0,0.0,1127.18,0.0,2687.1,0.0,0.0,6547.92,0.0,1544.67,0.0,0.0,715.25,367.62,12351.63,19738.47,0.0,0.0
风险准备金支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产折旧、油气资产折耗、生产性生物资产折旧,2400.57,2301.52,2708.16,2977.96,3027.21,2941.93,0.0,2547.14,0.0,2343.94,0.0,0.0,2699.47,0.0,3657.77,0.0,0.0,3598.36,1800.46,2644.94,3357.03,1200.57,1810.3
无形资产、递延资产及其他资产摊销,1063.86,1368.86,1555.17,2001.7,2599.26,2936.18,0.0,2894.56,0.0,2522.53,0.0,0.0,2159.6,0.0,2310.7,0.0,0.0,2227.5,1255.27,1912.64,2635.38,1463.31,2258.03
其中:无形资产摊销,303.96,369.38,454.14,552.56,704.82,904.09,0.0,995.1,0.0,1035.81,0.0,0.0,1217.67,0.0,1450.04,0.0,0.0,1587.11,905.58,1381.54,1880.87,1086.52,1685.64
长期待摊费用摊销,759.9,999.48,1101.03,1449.14,1894.44,2032.1,0.0,1899.46,0.0,1486.72,0.0,0.0,941.93,0.0,860.66,0.0,0.0,640.39,349.69,531.1,754.52,376.79,572.39
长期资产摊销,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,-38.7,18.53,30.05,-30.18,-8.63,24.92,0.0,-1443.89,0.0,64.53,0.0,0.0,19.02,0.0,13.51,0.0,0.0,16.6,3.68,-0.19,7.3,3.32,38.19
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
金融资产的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
各种金融负债的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动损失,-1192.96,-6745.39,8811.11,-2163.77,3158.32,-8001.58,0.0,13320.69,0.0,-25672.25,0.0,0.0,-6897.66,0.0,16890.14,0.0,0.0,13959.79,-2948.37,-6381.87,-8703.4,-7680.87,-7961.87
财务费用,0.0,0.0,0.0,0.0,805.05,9602.94,0.0,9586.37,0.0,20393.37,0.0,0.0,70947.94,0.0,91308.52,0.0,0.0,44008.95,35364.39,47773.45,65795.39,35218.64,38908.1
投资损失,-464.02,-21685.58,-73.78,-32.96,-432.06,-773.06,0.0,-19282.57,0.0,-31917.48,0.0,0.0,-50591.11,0.0,-32855.75,0.0,0.0,-23376.4,-3609.51,-7570.31,-12744.21,-5136.91,-9418.56
汇兑损益/(损失),758.74,567.38,3.74,143.19,-82.24,-48.59,0.0,1177.39,0.0,-30.58,0.0,0.0,-438.03,0.0,-554.55,0.0,0.0,489.19,-101.53,-471.03,-323.03,-13.41,-262.84
递延所得税资产减少,2377.6,6633.87,-8658.11,854.64,6387.34,-153.91,0.0,0.0,0.0,0.0,0.0,0.0,-7905.04,0.0,-3062.19,0.0,0.0,-2116.97,867.0,0.0,-681.82,0.0,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1411.04,0.0,-723.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3893.66,0.0,1270.89,7842.67
存货的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
经营性应收项目的减少,-144433.96,-194752.88,194700.66,-17572.7,-127231.7,-137891.76,0.0,-109769.32,0.0,-998045.94,0.0,0.0,-646506.3,0.0,71717.52,0.0,0.0,-561842.39,-141876.2,195020.37,314492.7,20888.7,305613.28
经营性应付项目的增加,1391487.33,-882315.05,335709.97,-76232.04,-462603.54,-33626.22,0.0,143967.56,0.0,1326136.51,0.0,0.0,557706.48,0.0,-636088.72,0.0,0.0,-134491.7,-326201.75,37703.64,-356942.13,382822.34,354334.44
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,1772940.56,752267.79,1320034.22,1240493.29,836960.82,672245.87,0.0,722296.11,0.0,1635025.11,0.0,0.0,2305244.57,0.0,1744698.24,0.0,0.0,1513794.31,1480162.21,1807841.18,1546438.54,1979124.87,2002671.55
减:现金的期初余额,436015.04,1772940.56,752267.79,1320034.22,1240493.29,836960.82,0.0,672245.87,0.0,724370.54,0.0,0.0,1635025.11,0.0,2305244.57,0.0,0.0,1744698.24,1513794.31,1513794.31,1513794.31,1546438.54,1546438.54
加:现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
减:现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物净增加额,1336925.52,-1020672.77,567766.43,-79540.93,-403532.47,-164714.95,0.0,50050.23,0.0,910654.57,0.0,0.0,670219.46,0.0,-560546.33,0.0,0.0,-230903.93,-33632.1,294046.88,32644.24,432686.33,456233.01
