报表日期,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6060.3,0.0,40271.88,0.0,39432.9,0.0,39046.66,38732.39,39622.7,39487.06,40531.25,41462.34,42983.63,38505.12,5189.52,4932.97,5157.3,6122.69
固定资产净额,1933.65,719.61,660.42,808.75,745.91,922.22,855.8,957.47,1078.56,1175.89,1161.51,1256.37,1416.24,2162.42,2059.02,1686.48,1434.57,2064.47,1785.16,2013.22,2616.68,2698.13,2452.62,2977.82,4228.49,4355.27,4366.58,6060.3,43818.35,40271.88,39690.9,39432.9,39222.56,39046.66,38732.39,39622.7,39487.06,40531.25,0.0,42983.63,0.0,5189.52,0.0,5157.3,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,0.0,0.0,1270.51,1296.17,1287.74,1279.31,1270.88,1268.89,1270.76,3258.79,3298.88,3344.03,3325.21,3368.46,3408.85,3320.68,3359.79,3329.39,3307.54,3300.76,3268.65,3254.63,3232.68,3241.51,7978.99,7350.91,7079.53,6804.35,7260.42,6889.39,6704.9,6331.12,5926.92,5549.82,5247.5,4918.3,4545.5,4228.17,3828.26,3520.07,2977.4,830.6,682.45,609.34,475.6
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18427.57,13574.45,17604.72,17604.72,17604.72,60769.78,60920.62,60920.62,60920.62,60920.62,60375.84,60375.84,110700.22,110860.23,109484.17,109484.17,109484.17,109324.17,89946.98,89946.98,89946.98,89946.98
长期待摊费用,0.0,27.49,126.27,179.96,142.94,130.91,303.45,297.95,360.99,264.08,250.95,237.83,284.64,417.49,393.69,369.89,346.08,322.28,302.64,281.59,316.26,536.6,503.64,708.23,696.22,737.03,747.96,997.41,1086.21,825.61,765.61,723.49,723.1,662.03,576.06,1235.05,1791.09,2785.6,2757.25,2527.41,2304.42,2098.07,1929.59,1904.22,1752.05
递延所得税资产,33.91,17.02,33.02,50.41,50.41,119.27,119.27,119.27,119.27,439.06,266.76,221.37,221.37,758.4,758.4,372.44,372.44,664.3,533.17,449.84,449.84,1044.2,940.67,1052.68,1062.53,1541.7,1498.1,1427.88,2518.85,3410.84,3399.23,3364.34,3384.64,2258.21,2246.65,2464.39,2188.26,2088.18,2093.98,2152.66,2015.2,4545.35,4440.35,4263.42,4185.32
