报表日期,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,506.07,164.99,320.83,287.48,590.85,1451.69,289.07,762.08,571.62,1275.59,892.46,895.2,562.73,853.22,1239.73,789.97,546.9,941.01,1186.65,2306.87,1771.72,3574.05,2659.13,4134.61,1186.22,1102.78,2471.06,3715.19,2847.34,7715.23,5312.13,5631.33,6029.04,8326.41,6636.05,7505.01,10560.85,10926.01,9458.24,10103.16,15056.44,0.0,7735.94,0.0,5707.34,0.0,4879.72,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,3785.13,5370.6,4761.38,5058.71,7050.84,6756.07,6365.91,7545.33,8921.74,8549.41,11432.24,15741.05,17794.93,18214.73,13998.43,33600.52,16363.08,25404.57,20657.99,42058.13,29144.36,36275.22,31953.61,55650.91,29907.9,37196.02,33874.44,51639.61,54420.6,53339.3,59024.31,64166.83,29258.57,37811.23,31543.86,51304.39,34174.88,51298.35,39887.81,55731.06,33346.27,35743.03,25838.98,51708.31,35326.6,37678.99,27839.38,37515.99
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.25,0.0,0.0,0.0,516.99,229.36,2.57,409.9,335.9,240.37,87.57,70.06,433.53,49.42,576.07,1120.12,936.39,923.76,976.1,850.91,2263.35,592.97,1172.81,1099.84,61087.3,66020.72,52828.81,70371.4,1321.58,53192.83,7592.22,3876.18,2580.74,2715.04,3283.16,5758.28,5337.7,7165.47,4769.76,3801.86
流动资产合计,6622.78,12654.08,12117.56,45649.38,49175.15,42647.52,40050.68,42772.32,48893.83,47247.27,46292.27,48894.71,57684.89,51367.82,50801.6,75327.47,81189.2,89485.83,76371.55,103653.59,116318.48,112655.64,92023.42,123090.2,134494.95,121915.89,118872.89,157549.59,171118.56,165862.13,270969.49,261541.51,261949.27,240626.65,238886.6,250742.24,246474.94,245279.37,231190.76,238002.38,237268.55,240435.77,236811.53,257159.37,251719.8,237588.42,208835.78,212728.4
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7243.8,5567.52,20702.41,21343.08,22885.52,24665.0,27391.47,27477.81,27901.92,30478.58,30356.67,32009.43,32670.75,29567.73,28918.43,28478.34,28478.34,4153.91,4153.91,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,6100.0,0.0,2000.0,4500.0,4300.0,0.0,4916.0,4028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4915.96,6850.41,5875.41,0.0,0.0,0.0,490.0,490.0,910.67,910.67,828.74,4188.86,4194.18,9035.61,9646.33,9459.46,10088.75,9875.53,9907.46,9672.55,9653.76,9591.69,9344.84,9379.29,10155.04,9908.49,9705.09,9366.82
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3724.18,0.0,4910.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程,0.0,0.0,49.5,123.97,0.0,7.65,822.95,1921.05,1945.02,1950.45,2033.01,3175.18,2525.57,1745.46,1245.33,575.52,587.41,0.0,0.0,59.73,69.73,130.82,33.96,0.0,0.0,0.0,37.74,37.74,3164.85,3638.51,3644.94,4083.16,4910.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.6,87.6,79.24,79.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23030.43,0.0,22714.63,0.0,27648.65,0.0,24835.38,24553.0,24850.46,24786.91,21392.09,21211.6,18569.22,18431.63,18406.65,18331.0,18216.77,18133.81
固定资产净额,1652.28,3593.75,3570.17,3560.78,3653.15,8991.49,9222.25,9173.33,10911.06,10831.41,12416.81,12473.54,22863.83,23504.7,23639.56,24157.17,24019.21,24397.03,24233.04,24072.09,23885.13,23696.98,23578.28,23314.01,23314.25,23113.4,23000.55,23094.94,23133.32,22964.1,23030.43,22853.95,22714.63,27878.38,27648.65,27361.59,24835.38,24553.0,24850.46,24786.91,21392.09,0.0,18569.22,0.0,18406.65,0.0,18216.77,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,27.28,59.13,69.94,55.91,65.61,89.32,102.06,111.04,155.59,153.35,142.92,212.41,252.12,599.57,770.38,846.17,848.82,810.97,768.79,799.96,811.54,824.65,933.32,983.06,989.78,905.91,884.89,1240.77,1189.24,1118.27,1261.71,1187.7,1627.46,1607.02,1383.55,1297.2,1402.89,1312.62,1163.41,1444.77,1009.98,925.86,1488.66,1340.73,963.45,887.05,792.31,702.14
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3889.52,3889.52,3821.68,3821.68,5263.9,18164.04,33658.91,33658.91,35087.96,32041.62,29672.76,29672.76,28439.82,28439.82,8554.82,8554.82,8552.95,8552.95,217.25,217.25,217.25,0.0,0.0,0.0,0.0,0.0
长期待摊费用,46.69,90.15,182.77,165.73,356.52,954.53,866.43,254.71,602.74,530.41,449.44,365.96,303.43,419.61,327.87,294.59,222.93,223.59,187.8,129.07,101.06,76.35,138.35,107.77,75.5,63.85,58.11,59.11,119.48,144.52,333.22,326.15,403.71,337.65,407.55,1213.3,846.49,946.92,904.03,914.79,34.19,21.72,12.65,1248.0,1382.47,1229.27,1270.14,1237.04
递延所得税资产,11.25,21.15,25.06,25.06,73.28,73.28,73.28,73.28,108.05,108.05,108.05,108.05,913.57,911.41,913.57,913.57,1776.75,1776.75,1776.75,1776.75,2843.27,2843.27,2843.27,2843.27,3468.64,3468.64,3468.64,3468.64,4661.99,4736.32,4761.83,4751.09,6515.66,6522.06,6242.78,6246.31,6712.35,6714.36,6139.82,6152.53,5352.01,5352.01,5231.66,4193.66,4322.18,4322.18,5850.93,5850.93
其他非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,2614.78,11398.27,10322.84,0.0,0.0,0.0,2200.0,629.77,629.77,520.4,0.0,0.0,0.0,0.0,0.0,527.82,514.91,0.0,0.0,0.0,0.0,0.0,0.0
非流动资产合计,1737.49,3764.18,3897.43,3931.44,4148.57,10116.28,11086.98,11533.42,13722.47,13573.68,15150.25,16335.15,26858.52,27180.75,26896.72,26787.03,27455.12,27208.34,26966.37,26837.61,32626.7,34422.47,40292.12,44481.44,42237.37,56690.67,70445.17,84063.6,91591.08,99566.37,100533.88,99613.68,101146.94,106039.92,106298.52,106688.45,82008.41,80875.69,79996.47,80002.84,42341.0,41988.94,39018.19,38847.22,38314.81,37563.0,38720.25,38172.59
资产总计,8360.28,16418.26,16014.99,49580.82,53323.72,52763.8,51137.66,54305.74,62616.31,60820.94,61442.52,65229.86,84543.41,78548.57,77698.31,102114.49,108644.32,116694.17,103337.92,130491.2,148945.19,147078.12,132315.54,167571.64,176732.31,178606.55,189318.06,241613.19,262709.64,265428.5,371503.37,361155.19,363096.21,346666.57,345185.12,357430.68,328483.35,326155.05,311187.23,318005.21,279609.55,282424.71,275829.73,296006.59,290034.61,275151.42,247556.04,250900.98
短期借款,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16274.06,24116.22,30400.0,30400.0,15590.03,5190.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.96,832.29,970.22,0.0,0.0,0.0,0.0,0.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17126.98,0.0,18196.11,0.0,15035.11,0.0,25009.39,31226.81,19904.98,31346.75,20606.94,26399.32,13733.65,33105.73,30313.79,17655.82,10898.11,19209.99
应付票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付账款,457.04,1711.03,579.98,1445.8,3246.96,987.56,1508.21,2467.78,5736.11,3210.52,2814.74,2438.79,13452.79,8001.84,4533.44,23299.76,14401.02,19422.88,9137.61,30243.01,28163.81,23063.18,13577.72,35818.8,27341.88,27589.26,16027.98,35785.71,28433.13,26145.76,16326.98,27271.95,18196.11,19948.42,15035.11,30123.82,25009.39,31226.81,19904.98,0.0,20606.94,0.0,13733.65,33105.73,30313.79,17655.82,10898.11,19209.99
预收款项,2496.17,2475.03,2055.33,2371.48,1616.76,2689.45,1058.47,2088.35,3035.25,2552.59,2783.04,5155.94,4252.45,1286.56,2044.6,2801.48,2428.0,2541.73,1727.43,1528.29,2809.41,3239.61,2670.34,2807.7,3265.75,2482.36,3470.17,23919.62,15243.14,18994.23,23979.6,23804.1,26210.32,14543.43,24622.72,26296.86,18841.88,15789.42,15970.77,15800.25,6829.36,7072.09,6651.46,8634.38,5062.59,6054.92,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,0.86,196.69,0.0,0.0,407.77,0.0,0.0,0.0,799.7,0.0,0.0,0.0,1104.86,66.39,23.27,27.95,2115.51,33.98,31.28,31.16,2308.91,70.07,-44.92,-51.33,2568.94,-57.69,-26.0,-11.17,2647.13,-38.26,30.9,51.46,2786.79,105.67,50.19,48.7,1809.38,99.34,-14.67,0.06,1573.8,47.67,130.62,5.68,1596.61,75.57,109.12,49.04
应交税费,586.9,528.23,688.53,548.09,378.34,242.5,715.22,492.41,1268.1,603.72,896.06,463.93,3548.59,2591.87,2895.42,2297.27,6099.15,2765.46,1700.87,1307.32,6649.89,971.13,1988.67,3180.56,8565.63,4395.44,3943.52,5330.81,5601.67,4908.15,2733.37,1216.29,6849.53,1543.94,3012.62,350.48,5741.54,1231.2,1276.3,894.71,3361.31,747.89,1330.77,1203.87,1164.26,243.69,344.22,358.54
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21129.69,0.0,18985.38,0.0,17390.37,0.0,13773.94,13442.58,11285.57,9742.23,9262.64,6819.08,8686.03,7013.96,7357.54,6552.77,4889.6,4492.83
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,42.4,23.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.17,25.32,25.32,25.32,83.38,44.27,44.27,44.27,10594.6,290.0,290.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应付款,214.84,573.96,292.11,1258.4,1901.55,2023.5,947.79,1852.19,1904.12,2203.41,1295.84,2128.1,1586.52,1597.48,1960.62,2666.55,2797.09,2538.99,2352.9,3876.04,3859.57,4462.02,3317.16,5664.62,4542.99,3692.72,2963.49,11749.55,20402.96,22036.38,20839.69,17093.84,18985.38,15844.23,17390.37,17958.57,13773.94,13442.58,11285.57,9742.23,9262.64,0.0,8686.03,0.0,7357.54,0.0,4889.6,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,102.0,281.33,124.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.46,63.46,63.46,63.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.57,197.0,0.0,0.0,99.0,974.0,875.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
