报表日期,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,1370.35,561.81,1585.45,2207.99,2745.53,3230.33,3064.69,3295.35,5438.18,6787.84,8603.64,10035.92,9980.36,9544.99,9743.64,15791.25,10411.54,9376.48,11417.87,12946.79,8299.18,10369.87,10394.21,11938.57,15598.1,13582.91,26541.25
流动资产合计,55840.35,65215.22,87584.67,114570.81,128859.67,125723.79,154067.6,169034.19,238632.95,273670.67,290526.21,297437.77,258382.4,269898.42,269700.81,1058895.57,1088066.72,1280597.39,1338702.45,1329803.07,1391320.54,1764875.33,1770225.76,1907477.87,2029566.35,2022397.2,2279449.74
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,750.35,1988.53,802.58,784.6,778.02,3692.68,3661.39,4699.18,50051.35,3729.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4350.31,4678.96,4697.2,5040.38,5078.23,0.0
长期股权投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,2500.0,57647.49,227590.49,230980.46,2419.35,2437.72,2437.72,2740.68,2979.12,4027.96,4274.91,3876.43,4776.43,5107.66,8986.23,55478.52
投资性房地产,0.0,0.0,8445.32,8244.74,2704.57,2687.71,2638.0,2654.0,2637.14,2620.28,2603.42,2586.56,2569.7,2552.84,2535.98,14308.49,15360.72,15421.5,15317.46,14840.48,14346.03,14319.67,25952.57,27754.34,25227.2,25019.47,25324.85
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32,0.0,0.0,0.0,0.0,7.37,0.0,14168.41,9196.41,16348.27,40565.07,37304.03,12381.78,14167.12,17364.5,24426.88,18204.55,20525.47,34538.67
在建工程,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9196.41,0.0,40565.07,0.0,12381.78,0.0,17364.5,0.0,18204.55,0.0,34538.67
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,16160.94,16203.65,17580.93,0.0,19007.04,18857.54,19220.0,20107.08,21536.05,22549.57,24032.59,149253.67,158777.41,164750.39,172137.64,168511.83,187075.52,186974.58,178300.31,176526.6,186253.32,189911.69,195011.15
固定资产净额,704.83,1369.51,9667.73,10310.35,16160.94,16203.65,17580.93,17705.69,19007.04,18857.54,19220.0,20107.08,21536.05,0.0,24032.59,0.0,158777.41,0.0,172137.64,0.0,187075.52,0.0,178300.31,0.0,186253.32,0.0,195011.15
固定资产清理,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528.38,11036.99,14138.23,23611.83,22328.11,22722.15
无形资产,207.07,210.8,587.71,1349.43,2433.36,2331.8,2174.0,1841.73,5612.63,5630.67,6028.61,6359.0,7532.43,7095.3,6616.86,125326.82,133388.39,132574.59,178191.87,166355.25,150862.97,171242.03,166540.15,158299.79,160359.38,164685.05,161446.98
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,231.17,263.99,1629.83,1939.62,2173.15,2479.16,3652.17,4752.85,5488.66,45905.6,37670.24,38494.12,40703.92,45707.92,48083.14,41922.87,45478.61,57245.02,67814.74,70871.26,84114.43
商誉,0.0,0.0,4186.1,7458.58,7458.58,7458.58,7458.58,8515.84,7458.58,7458.58,7458.58,7458.58,7458.58,7458.58,7458.58,224927.52,224927.52,224927.52,283673.76,283673.76,279954.83,300765.14,300544.78,300544.78,299835.71,299667.42,298617.64
长期待摊费用,18.07,5.04,20.1,24.15,12.12,9.11,10.64,5.15,0.93,47.08,41.39,136.31,922.97,898.68,1294.03,12103.88,14394.43,13452.84,16825.74,16101.17,14987.51,14119.8,13049.92,15558.92,20317.14,19400.15,20679.57
递延所得税资产,573.31,756.94,908.92,1779.25,2592.82,2676.72,2830.61,2892.19,3489.28,3552.59,6291.32,7413.78,10128.91,11206.29,15211.22,19139.81,25692.39,26003.96,25538.41,25290.88,27758.51,24966.65,30750.38,29136.04,26964.75,39613.33,22062.13
其他非流动资产,5100.0,10500.0,3411.53,2326.95,2356.59,2466.19,1067.73,509.67,297.42,244.88,257.65,268.93,86427.41,0.0,0.0,18041.52,17586.3,16388.7,7408.05,5907.5,16074.15,50283.94,61935.9,59720.36,16010.61,25276.77,17071.01
非流动资产合计,6606.03,12842.3,27227.4,32243.8,35707.51,34636.35,34776.26,35166.27,43857.87,46512.63,51273.29,99360.74,201604.82,287824.45,297350.66,629381.67,659555.62,665753.92,822407.58,806448.95,873478.69,954457.71,1012092.04,1087086.07,1178426.4,1207717.4,1478527.25
资产总计,62446.38,78057.52,114812.08,146814.61,164567.19,160360.14,188843.87,204200.46,282490.82,320183.31,341799.49,396798.52,459987.23,557722.87,567051.47,1688277.25,1747622.34,1946351.31,2161110.03,2136252.01,2264799.23,2719333.04,2782317.8,2994563.94,3207992.76,3230114.61,3757976.99
短期借款,16481.33,27107.43,34636.61,48293.48,55445.14,53924.05,46459.82,49426.86,48938.46,53756.38,58565.99,81166.6,159970.48,180967.1,190699.58,188402.42,165418.33,256467.05,292321.88,309893.17,251139.53,275194.27,259509.29,315590.69,238666.44,205084.35,347674.31
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951.03,1930.66,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,23973.56,21766.48,32457.77,0.0,28761.95,50743.96,48981.11,60674.43,38020.22,36502.64,32461.21,164447.17,188158.69,218222.82,252626.88,191336.93,155936.58,242409.68,232969.61,256205.01,257832.03,271404.44,240775.75
应付票据,0.0,0.0,1000.0,1503.8,5234.11,9632.86,9100.0,9000.0,5000.0,9000.0,13000.0,0.0,10000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,2670.0,450.0,2870.0,0.0
应付账款,11996.98,12370.72,15471.92,20432.4,18739.45,12133.63,23357.77,30713.43,23761.95,41743.96,35981.11,0.0,28020.22,0.0,30461.21,164447.17,188158.69,218222.82,252626.88,191336.93,155936.58,242409.68,231619.61,253535.01,257382.03,268534.44,240775.75
预收款项,247.9,155.98,362.86,422.01,488.45,404.32,553.05,473.91,598.15,887.31,181.43,5529.04,899.31,571.68,370.29,12098.62,12832.33,0.0,0.0,0.0,0.97,0.97,0.0,0.0,99.51,99.51,151.82
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,262.49,747.08,719.06,999.28,1331.42,160.13,165.92,168.13,1090.85,197.8,234.78,260.57,1221.19,253.83,226.48,15223.04,18326.06,12033.59,15260.63,17193.5,22111.38,17616.83,19476.1,21809.04,25549.05,17611.01,19803.81
应交税费,1106.71,525.93,1399.12,712.12,1263.67,542.21,522.65,659.78,3488.05,3679.57,6479.22,7205.79,4412.19,2936.7,3237.32,13905.11,16605.18,14624.42,20768.69,31803.73,70498.57,24174.04,21756.53,24208.19,58869.8,31417.02,20867.15
其他应付款(合计),0.0,0.0,0.0,0.0,815.16,476.23,515.23,0.0,72920.62,74577.86,75096.76,73369.05,84896.41,157875.06,166732.07,93299.27,114554.54,103547.43,116546.2,99188.38,98464.4,118109.02,110506.86,97050.02,137721.73,127872.29,204005.46
应付利息,38.26,72.91,91.34,134.06,112.98,88.47,63.43,67.5,84.04,203.24,207.29,221.09,471.96,330.95,519.99,3.13,1616.58,570.78,1474.88,1362.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,1423.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.16,0.0,0.0,0.0,8202.67,0.0,0.0,0.0,6045.04,0.0,0.0,0.0,0.0,0.0,427.01,427.01,46037.45
其他应付款,4899.93,1101.57,987.48,2550.86,702.18,387.76,451.8,999.57,72836.58,74374.62,72838.32,0.0,84424.44,0.0,158009.42,0.0,112937.97,0.0,109026.29,0.0,98464.4,0.0,110506.86,0.0,137294.72,0.0,157968.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,30.59,120.61,29.59,6238.29,5.18,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,1400.0,1400.0,1400.0,246675.33,244656.94,28070.2,30859.0,30320.2,52914.38,63737.81,80927.09,24608.47,135845.35,239645.86,267712.72
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.88,0.0,0.0,0.0,0.0,20478.24,21427.4,20846.15,21276.32,444.71,791.6,829.02
流动负债合计,35064.18,42202.24,56121.46,81286.3,83322.58,77273.43,80674.43,91509.17,155798.08,183842.87,189539.29,229605.49,290819.79,380507.01,395126.96,734766.84,760552.07,655435.15,760278.91,695529.94,684498.71,784945.8,765294.12,786899.42,869973.04,909255.09,1118295.79
长期借款,678.89,250.95,107.28,61.02,0.0,0.0,0.0,0.0,7000.0,7000.0,6300.0,4900.0,4200.0,4200.0,3500.0,93500.0,92800.0,280664.63,305086.44,300920.34,318159.11,297713.06,299444.28,369711.17,344798.38,236467.75,303567.15
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218100.52,220530.38,222479.76,224971.56,227412.4,229942.26
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4767.22,7012.46,9790.0,17875.97,19242.48,16308.71
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.39,1461.85,1679.05
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.39,0.0,1679.05
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83981.26,88725.1,91534.97,91972.11,88868.36,79397.71,79522.54,78573.99,79792.65,83003.77,83512.24,90227.22
递延所得税负债,0.0,0.0,0.0,0.0,117.99,0.0,0.0,0.0,591.92,591.92,591.92,591.92,473.7,473.7,486.0,8670.34,9148.13,9670.57,12850.5,11074.76,27929.29,27779.65,37244.33,39538.41,30423.16,29907.5,43899.85
长期递延收益,733.5,616.8,380.1,253.4,236.58,0.0,169.56,39.8,36.73,33.67,30.61,27.55,55.37,53.28,52.18,642.35,859.37,2241.96,2452.08,2318.1,2309.36,1785.43,2117.39,2836.48,3370.02,2314.8,2860.61
其他非流动负债,0.0,0.0,6238.29,0.0,0.0,140.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,1412.39,867.75,6725.67,314.42,354.57,140.94,169.56,39.8,7628.65,7625.59,6922.53,5519.47,4729.08,4726.98,4038.18,187522.54,191532.6,384112.12,412361.13,403181.56,427795.48,629668.41,644922.84,724148.47,707582.24,600319.01,688484.85
负债合计,36476.57,43069.99,62847.13,81600.72,83677.15,77414.37,80843.98,91548.96,163426.73,191468.46,196461.81,235124.96,295548.87,385233.99,399165.14,922289.38,952084.67,1039547.27,1172640.04,1098711.5,1112294.19,1414614.21,1410216.96,1511047.88,1577555.28,1509574.11,1806780.64
实收资本(或股本),4400.0,9000.0,14400.0,14400.0,37440.0,37440.0,41600.0,41600.0,45581.39,45581.39,45581.39,45581.39,45581.39,45570.39,45570.39,86366.21,86366.21,86357.66,86357.66,86357.66,86759.94,86813.23,86858.08,86910.45,87572.46,87690.92,87703.22
资本公积,9997.45,12548.92,16148.92,16148.92,278.07,278.07,20316.35,20316.35,90427.32,96923.63,102949.14,109210.06,115313.26,119905.95,124630.07,656802.78,664954.32,665287.66,670015.55,675480.64,724750.47,737178.64,724142.79,731374.6,843414.93,869656.45,874547.69
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72341.93,72341.93,72341.93,72341.93,65127.72,64928.35,64928.35,64928.35,64927.85,35986.65,35986.65,35986.65,25544.4,25544.4,25544.4,25544.4,74168.95,74168.95,74168.95
其他综合收益,-381.92,-695.65,-715.44,12.26,2520.19,1285.25,182.48,1059.73,-43.52,-958.29,425.3,1682.78,1606.22,254.62,2074.05,13659.25,1805.41,14294.45,12980.34,-18611.82,-58306.4,-54567.87,-69814.3,-63943.5,-76761.87,-102048.24,30456.95
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,656.26,1029.56,1628.87,2373.82,3495.38,3495.38,3495.38,3495.38,4102.34,4102.34,4102.34,4102.34,4228.81,4228.81,4228.81,4228.81,4228.81,4228.81,4228.81,4228.81,6690.33,6690.33,6690.33,6690.33,11569.25,11569.25,11569.25
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,11298.02,13104.7,20502.59,31294.63,37142.16,40738.83,43023.17,47177.94,50250.83,54538.83,63778.39,72792.39,61953.63,67060.52,56279.4,67882.36,100212.53,172010.89,220464.54,297036.73,389514.37,493586.9,586509.0,714002.5,804893.9,894514.34,986189.77
归属于母公司股东权益合计,25969.81,34987.53,51964.94,64229.62,80875.8,83237.54,108617.38,113649.4,117976.44,127845.98,144494.64,161027.03,163555.6,172091.95,167854.38,764011.07,792639.43,906192.83,958060.26,1008505.37,1123864.29,1268085.56,1332211.83,1472803.85,1619831.4,1710521.43,1939604.66
少数股东权益,0.0,0.0,0.0,984.26,14.24,-291.77,-617.49,-997.9,1087.65,868.87,843.04,646.53,882.76,396.93,31.95,1976.8,2898.24,611.21,30409.72,29035.14,28640.75,36633.27,39889.01,10712.2,10606.08,10019.07,11591.69
所有者权益(或股东权益)合计,25969.81,34987.53,51964.94,65213.89,80890.04,82945.77,107999.88,112651.5,119064.09,128714.85,145337.68,161673.56,164438.36,172488.88,167886.33,765987.87,795537.67,906804.04,988469.99,1037540.51,1152505.05,1304718.83,1372100.85,1483516.05,1630437.47,1720540.5,1951196.35
负债和所有者权益(或股东权益)总计,62446.38,78057.52,114812.08,146814.61,164567.19,160360.14,188843.87,204200.46,282490.82,320183.31,341799.49,396798.52,459987.23,557722.87,567051.47,1688277.25,1747622.34,1946351.31,2161110.03,2136252.01,2264799.23,2719333.04,2782317.8,2994563.94,3207992.76,3230114.61,3757976.99
