报表日期,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,772.47,806.29,915.44,1743.63,1522.93,1193.46,1478.48,1675.74,2003.96,1643.52,1942.0,2173.58,2255.31,1704.06,1852.63,2280.41,2716.8,1462.01,1419.29,1537.9,1936.45,1673.4,1807.97,2156.81,1877.7,1880.5,1947.18,1898.08,1817.0,1595.65,1636.62,2101.94,0.0,1872.77,0.0,2532.15,0.0,2502.04,0.0,2513.18,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,36969.27,33447.71,44860.92,44788.38,68497.45,72220.97,62409.65,62057.49,77890.28,64987.94,58395.08,58840.06,70138.65,62503.52,58031.75,60753.5,65467.05,59338.27,52974.08,50510.87,60064.7,58434.17,54082.58,56379.8,72051.98,73648.85,63649.55,61545.52,76432.31,73895.33,62025.74,62259.58,82611.62,80646.56,75388.71,71245.49,91826.99,87317.36,75677.33,67307.43,81796.65
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.83,120.52,84.24,56.94,160.25,142.5,132.62,98.48,70.61,48.84,42.84,96.52,5618.26,5551.36,23948.16,23944.02,28444.36,26112.96,27293.24,7409.06,6436.35,6459.98,2701.24,2535.45,402.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,15850.0,13350.0,4000.0,4800.0,21641.63,77222.26,56414.8,79050.46,128374.7,131033.2,136456.96,197358.87,201698.06,213696.91,108869.35,99434.96,92812.36,112393.5,76729.79,88629.87,137375.59,158509.35,97883.78,111664.19,128650.2,127797.31,53120.69,53547.94,81324.2,1719.75,2664.85,4711.17,5001.11,8170.89,5571.36,5621.09
流动资产合计,58479.96,75508.46,97099.85,359425.42,378749.22,400546.45,403079.81,375912.85,395790.6,398887.05,413320.0,401398.41,390618.38,400341.33,407574.07,395073.66,387722.31,378818.85,385875.37,335049.26,327861.61,293706.87,302178.13,262041.52,294407.08,317079.35,323039.96,259224.96,268501.3,283234.4,275572.55,212925.19,211949.44,282602.0,314307.74,241071.51,245088.8,236561.89,266529.59,217774.06,233158.5
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18476.0,18476.0,72776.0,70976.0,105010.96,103915.19,88686.55,102604.16,98686.78,101670.89,109814.11,125012.33,222242.13,207779.24,209546.1,201363.54,164840.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,2300.0,1480.0,1400.0,10300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.32,5099.18,5149.59
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13583.83,26036.05,26036.05,25916.81,25916.81,26111.7,26111.7,26948.74,26948.74,29394.58,36345.78,36164.59,36164.59,35755.35,39815.35,39571.49,38588.64,32727.19,32727.19,32566.54,32566.54
投资性房地产,0.0,2257.64,2761.12,2690.02,2654.23,4613.94,4728.51,4666.66,4487.38,5167.79,4983.84,6487.39,6308.65,12207.6,11847.92,13543.85,13297.34,13857.18,16712.31,17115.6,20417.33,26563.29,27243.31,27511.47,30769.98,37529.42,37617.62,37662.13,37261.55,39682.22,39161.76,37882.22,37117.05,36297.85,34783.97,33750.8,32957.58,32423.48,31843.69,31355.27,42807.34
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.46,0.0,0.0,0.0,408.84,797.82,1487.65,1580.25,2141.78,1803.93,2040.53,3465.34,2838.04,4264.56,4168.92,5748.3
在建工程,7359.11,8579.54,14640.73,15365.26,19533.75,16615.37,17678.84,19837.44,22682.04,23847.65,25398.77,27931.58,29909.86,232.33,267.47,345.51,561.59,487.02,487.02,493.82,493.82,324.79,589.1,694.8,662.91,396.46,547.52,1126.79,420.13,408.84,797.82,1487.65,1580.25,2141.78,0.0,2040.53,0.0,2838.04,0.0,4168.92,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50384.55,0.0,0.0,0.0,43378.57,42325.09,41399.3,55343.61,54390.8,53599.83,52671.87,51796.14,51347.25,50408.57,49345.01,35254.18
固定资产净额,27355.9,28508.25,29922.66,33282.15,38242.78,40225.32,42138.88,47938.31,53982.98,55637.52,57440.43,56933.8,58909.89,83717.42,82919.65,82011.76,80672.14,80303.93,76330.98,75277.1,70440.6,66599.32,64380.72,62477.59,57738.48,50384.55,48740.95,47440.62,46906.15,43378.57,42325.09,41399.3,55343.61,54390.8,0.0,52671.87,0.0,51347.25,0.0,49345.01,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,9268.64,10969.12,11757.79,11669.76,11625.35,11780.77,11703.52,15017.99,15346.17,16826.4,16765.71,16741.38,16574.52,14671.6,14506.73,14465.43,14297.44,14388.25,14255.76,14083.35,14602.78,14526.18,14038.12,13675.66,13494.98,12604.49,12339.36,12050.58,12106.6,11922.78,11757.95,11584.6,12838.76,12906.05,12750.65,12599.85,12431.6,14622.52,14086.0,14265.44,14086.99
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3939.49,3939.49,3939.49,3939.49,3939.49,3939.49,3939.49,3939.49,3939.49,3939.49
长期待摊费用,230.45,560.31,1318.85,1240.96,1025.85,1715.12,1419.46,3066.52,2555.6,1921.88,1641.2,1176.19,986.07,706.51,642.98,517.38,457.99,493.58,561.17,634.29,614.74,1114.42,1186.85,1483.6,1987.17,2922.25,2938.39,3087.66,4300.42,4859.79,4432.34,5239.15,6469.95,8341.19,8755.53,9068.17,9440.46,10596.0,9741.14,8995.52,8257.41
递延所得税资产,21.78,236.78,193.96,171.58,186.27,281.32,281.32,427.74,537.11,1047.43,991.94,1067.45,1524.37,4159.23,4225.88,3900.31,5036.52,4639.96,4366.43,4468.0,5974.86,5070.61,4581.04,4399.68,5749.93,5403.56,4879.56,4830.35,6380.39,5404.22,4894.51,4756.28,6323.7,6614.72,5416.71,6370.75,7035.09,10068.1,11384.19,11102.39,9597.13
其他非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7613.95,5866.66,5798.06,4742.12,5317.06,5146.38,2477.13,3013.59,1687.73,1602.42,1401.59,3537.43,405.31,452.28,543.59,705.55,897.33,1104.99,983.46,1235.12,745.97,436.0,1249.65,988.83,920.68,1291.01,1231.85,1467.2,1029.9,952.26,505.61,683.02
非流动资产合计,44235.88,53411.63,62075.12,65819.74,83568.23,75231.85,77950.52,90954.66,99591.3,112062.62,113088.55,116135.86,118955.47,121011.74,119557.03,117261.38,117336.61,134333.65,132792.09,186249.75,200641.38,245650.93,242422.67,225389.75,239629.96,234936.53,235950.98,243944.44,260571.43,358039.11,347930.49,353249.02,362129.76,326148.76,308050.14,318425.65,338380.86,344157.42,344694.88,337546.27,339802.8
资产总计,102715.84,128920.09,159174.97,425245.16,462317.46,475778.3,481030.33,466867.51,495381.89,510949.67,526408.56,517534.27,509573.85,521353.07,527131.09,512335.04,505058.92,513152.51,518667.46,521299.01,528503.0,539357.8,544600.8,487431.28,534037.04,552015.88,558990.95,503169.4,529072.73,641273.51,623503.03,566174.22,574079.19,608750.75,622357.88,559497.16,583469.66,580719.31,611224.47,555320.33,572961.3
短期借款,10330.0,0.0,3680.0,4520.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56615.67,42896.61,36412.15,36402.65,2465.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,30000.0,45296.8,27298.26,44894.64,44964.33,44904.39
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.69,0.0,370.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54227.83,0.0,0.0,0.0,53638.96,40794.56,49735.96,66798.87,72882.27,59603.71,51731.97,69935.67,80242.97,73546.21,52622.15,69499.99
应付票据,9112.0,11951.66,20353.61,14653.0,21296.0,26074.5,17317.5,14660.0,21260.0,21217.0,15599.39,12616.39,16591.0,18217.0,15928.0,12550.0,15104.0,16157.0,13206.0,11737.0,16455.0,18952.84,16932.84,12665.0,15052.0,20719.47,18392.47,14683.0,19746.0,22481.0,16638.0,14193.0,0.0,25656.08,0.0,20223.92,20188.52,28546.99,27625.0,19685.5,21470.4
应付账款,9997.4,13497.49,20153.87,18851.22,30553.94,26910.91,20057.6,21063.28,26789.21,21487.02,24144.2,20298.34,26200.62,26180.65,21923.56,22899.52,28769.56,26923.94,22444.41,20387.82,25962.92,26460.44,22975.62,25000.81,36452.11,33508.35,26327.75,24070.65,31093.48,31157.96,24156.56,35542.96,0.0,47226.2,0.0,31508.05,49747.15,51695.98,45921.21,32936.65,48029.59
预收款项,11459.87,9955.93,7503.04,9506.56,18202.14,11639.16,13151.7,15574.06,17702.72,11157.4,8464.84,11295.44,9879.67,7499.13,8936.97,8463.71,8400.21,11317.64,12621.65,12737.39,11362.8,9006.96,10547.08,13829.27,13484.85,12874.73,12640.28,15014.36,14175.8,10832.11,12295.59,13924.83,12369.14,10404.65,12831.89,13869.58,12719.74,14221.14,0.0,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,3131.78,3397.71,5092.6,3671.88,4800.45,8112.52,6101.71,6091.87,7000.6,7700.7,4645.22,5019.63,5615.22,7148.92,4563.88,5140.94,5860.9,7853.12,5166.68,5622.37,6088.38,8926.0,5582.36,6264.75,6580.58,7849.57,4485.13,5738.68,6342.69,9728.55,4876.62,5986.4,7166.69,8999.69,5509.27,7045.19,8270.54,9845.82,5520.4,6937.04,8291.09
应交税费,1436.1,1824.17,121.3,-734.42,-326.77,-62.33,535.13,-569.68,-1138.69,4860.51,9311.33,4245.62,5898.26,6577.96,6026.62,2347.32,4777.28,2887.8,5073.56,2775.03,5697.26,4722.2,6212.96,2522.92,4462.99,4943.4,6753.71,3573.65,6553.16,6936.29,9542.62,3571.59,5485.46,11019.7,13078.23,4521.9,7922.33,8666.45,10820.18,6696.05,4712.13
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4714.47,0.0,0.0,0.0,5492.92,5567.18,14502.93,5750.01,7517.32,7333.42,7872.33,7778.14,9676.59,8274.0,7565.06,7444.15
应付利息,14.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.15,205.73,294.64,351.45,0.0,0.0,185.0,370.0,555.0,0.0,185.0,370.0,555.0,0.0,355.38,809.15,1265.9,984.61,0.0,0.0,0.0,0.0
应付股利,0.0,11550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30318.75,0.0,0.0,0.0,23625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应付款,11292.12,17749.12,4725.52,5134.53,4359.49,5217.01,5184.07,4989.41,4898.07,5270.47,5047.6,5413.86,3368.51,3786.32,3254.73,3430.3,3100.56,3971.5,3336.74,3329.75,3308.79,4516.46,3513.6,3415.28,3344.75,4529.47,4220.38,4231.33,4631.02,5307.92,5197.18,5960.93,5750.01,7161.94,0.0,6606.43,0.0,9676.59,0.0,7565.06,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19969.51,19979.68,19989.84,0.0,0.0,0.0,0.0,0.0
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10518.57,8146.14,7282.95
流动负债合计,56773.39,69926.07,61629.94,55602.77,80085.26,77891.78,62347.7,61808.93,76511.91,71693.1,67212.58,89208.04,67553.28,69409.98,60633.75,78456.79,66012.52,69111.0,61849.04,113293.18,112280.2,109291.68,102888.8,66163.92,79377.28,84609.99,73189.72,67866.67,82542.16,86628.83,73076.56,87721.72,97570.18,160793.15,148336.19,135030.81,151923.22,149951.24,177156.37,143185.9,158466.87
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19886.79,19895.69,19904.58,19913.48,19922.38,19931.62,19940.86,19950.11,19959.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.57,249.64,163.34,30.32,1579.35,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.15,11.52,4.88,10.97
