报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1866.18,1866.18,1866.18,1866.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3336.02,3975.85,0.0,0.0,3193.3,5922.09,12776.3,64004.61,70486.03,93480.1,14904.77,33240.23,44643.55,44643.55,8420.5,24442.29,45425.79
筹资活动现金流出小计,2776.42,36890.76,45546.95,64986.49,13662.84,30357.97,54591.74,66504.99,5350.46,22335.55,27465.95,32545.23,53.1,6007.66,6007.66,6007.66,0.0,6466.04,6466.04,6466.04,0.0,3233.02,3233.02,3233.02,0.0,0.0,3233.02,5953.02,0.0,85337.63,85309.02,85351.97,0.0,170724.8,170724.8,170724.8,0.0,141597.7,148261.01,148261.01,186.62,212411.19,215749.84,217020.23,10293.26,226600.76,230498.55,233874.08,13465.86,130104.92,296880.1,320819.76,14904.77,33240.23,167528.79,167632.35,9521.9,135024.01,158367.24
筹资活动产生的现金流量净额,2223.58,-1765.01,2778.8,6339.26,-2662.84,-4357.97,-15591.74,-17504.99,-350.46,-9835.55,-14965.95,-20045.23,-53.1,-6007.66,-6007.66,-6007.66,0.0,-6466.04,-6466.04,-6466.04,0.0,-3233.02,-3233.02,-3233.02,0.0,0.0,-3233.02,-5953.02,0.0,-85337.63,-85309.02,-85351.97,0.0,-170724.8,-170724.8,-170724.8,0.0,-141597.7,-148261.01,-148261.01,-186.62,-212411.19,-165749.84,-166195.52,-10293.26,-226600.76,69501.45,66125.92,-13465.86,-130104.92,-296880.1,-320336.76,-14904.77,-33240.23,-167528.79,-167632.35,-9521.9,-135024.01,-158367.24
四、汇率变动对现金及现金等价物的影响,-7.24,-62.83,-109.89,-374.83,-215.25,-377.71,-426.1,-60.93,-170.77,-195.24,-199.16,-227.35,-40.29,238.36,171.82,-221.14,-10.41,-63.87,-82.66,-307.73,10.24,23.49,2.57,21.01,-24.61,-48.27,-66.72,-80.61,26.99,58.4,92.85,31.01,-14.37,-32.7,-52.41,74.13,-21.5,80.38,114.21,242.16,-28.79,-115.12,-200.33,-295.99,-172.24,-125.55,10.89,-76.64,-30.24,542.87,664.34,409.93,-227.95,-240.45,-1133.36,-910.8,-129.03,20.62,833.39
五、现金及现金等价物净增加额,-9664.56,-9724.44,-3555.22,13938.51,-4047.15,-2613.37,-13176.18,-40398.22,12659.11,3489.12,3523.02,13847.69,-2984.51,-16972.98,-15190.38,10250.2,-10615.76,-22259.32,-16103.11,6950.88,-9992.07,-4013.24,1430.48,30095.37,-11473.7,-5933.48,1564.41,35747.15,126616.46,41544.05,15231.19,158352.79,109989.96,-50576.23,-109413.67,60558.85,65785.6,-103238.01,-123307.97,86666.02,-22571.16,-236547.22,-296466.31,-99341.29,57173.69,-193881.42,53046.48,225765.43,119002.23,-71873.73,-258070.8,-790.86,49845.17,21299.35,-224481.11,70435.94,103483.08,88992.25,14950.99
加:期初现金及现金等价物余额,88060.55,88060.55,88060.55,88060.55,101999.06,101999.06,101999.06,101999.06,61600.84,61600.84,61600.84,61600.84,75448.53,75448.53,75448.53,75448.53,85698.72,85698.72,85698.72,85698.72,92649.61,92649.61,92649.61,92649.61,122744.98,122744.98,122744.98,122744.98,383681.04,383681.04,383681.04,383681.04,542033.83,542033.83,542033.83,542033.83,602592.68,602592.68,602592.68,602592.68,689258.7,689258.7,689258.7,689258.7,589917.41,589917.41,589917.41,589917.41,815682.83,815682.83,815682.83,815682.83,814891.98,814891.98,814891.98,814891.98,885327.91,885327.91,885327.91
六、期末现金及现金等价物余额,78395.99,78336.11,84505.33,101999.06,97951.92,99385.69,88822.88,61600.84,74259.95,65089.96,65123.86,75448.53,72464.01,58475.54,60258.15,85698.72,75082.97,63439.41,69595.62,92649.61,82657.53,88636.36,94080.08,122744.98,111271.28,116811.49,124309.38,158492.12,510297.5,425225.09,398912.23,542033.83,652023.79,491457.6,432620.16,602592.68,668378.28,499354.67,479284.71,689258.7,666687.54,452711.48,392792.39,589917.41,647091.1,396035.99,642963.89,815682.83,934685.07,743809.1,557612.03,814891.98,864737.14,836191.32,590410.86,885327.91,988810.99,974320.17,900278.91
净利润,0.0,6505.27,0.0,15161.35,0.0,4585.36,0.0,9176.5,0.0,2633.18,0.0,7526.17,0.0,3605.92,0.0,8458.01,0.0,5003.06,0.0,10649.56,0.0,6571.99,0.0,10739.48,0.0,8187.46,0.0,14662.65,0.0,122752.39,0.0,237896.93,0.0,166625.89,0.0,295407.21,0.0,177305.81,0.0,312313.45,0.0,187564.19,0.0,332932.88,0.0,206601.07,0.0,345592.69,0.0,211234.75,0.0,316756.82,0.0,91562.96,0.0,171754.87,0.0,162339.73,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
