报表日期,2007-03-31,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-12-31,2009-06-30,2009-12-31,2010-06-30,2010-12-31,2011-06-30,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-12-31,2018-06-30,2018-09-30,2018-12-31,2019-06-30,2019-09-30
其他业务成本,0.0,369.4,331.42,0.0,104.58,31.81,11.9,44.7,18.58,122.76,32.27,163.55,201.73,129.0,326.18,173.25,365.05,105.76,274.98,416.75,71.24,266.94,29.13,194.29,287.29,236.9,307.71,376.87,80.3,128.17
三、营业利润,0.0,83073.72,149958.92,0.0,61119.73,123454.96,54170.55,102013.08,57244.18,110601.58,41589.31,49593.3,47910.69,29977.81,39046.87,48809.44,130388.27,71239.12,172059.18,276387.7,72248.94,130789.62,37972.48,74718.25,141503.25,67237.45,87453.21,91168.0,69474.83,99512.44
加:营业外收入,0.0,258.82,2749.09,0.0,157.73,422.07,-2.93,158.52,15.87,3344.48,2.79,272.99,1798.96,1355.89,3358.85,541.99,1140.69,1.89,921.95,1184.12,4076.73,12346.72,200.59,389.36,632.11,973.49,14.6,16.05,3.01,2.19
减:营业外支出,0.0,20.52,51.69,0.0,124.37,2571.98,11.2,382.81,31.0,81.24,3.0,17.17,1479.58,9.31,45.83,14.28,1819.98,0.42,3.2,370.95,14.95,23.08,4.13,5.32,18.19,0.54,3.96,43.92,2.91,7.28
四、利润总额,37098.15,83312.02,152656.32,37385.66,61153.09,121305.06,54156.43,101788.79,57229.05,113864.82,41589.1,49849.12,48230.08,31324.38,42359.89,49337.16,129708.99,71240.59,172977.93,277200.87,76310.71,143113.27,38168.95,75102.3,142117.17,68210.4,87463.85,91140.14,69474.93,99507.35
减:所得税,0.0,25594.18,46069.31,0.0,14200.26,28193.16,13977.62,25881.99,14322.97,28492.63,10421.71,12912.61,12303.6,7699.53,10642.6,12522.86,32545.12,17891.13,43216.94,69511.87,19147.95,36543.59,9540.27,18857.07,35224.62,16220.9,20530.06,20497.66,15431.94,21884.38
五、净利润,25251.83,57717.84,106587.01,28133.48,46952.83,93111.89,40178.81,75906.8,42906.08,85372.19,31167.39,36936.51,35926.48,23624.85,31717.29,36814.3,97163.86,53349.46,129760.99,207689.0,57162.77,106569.68,28628.68,56245.23,106892.54,51989.49,66933.79,70642.48,54043.0,77622.97
归属于母公司所有者的净利润,25251.83,57123.74,104109.63,28133.48,46952.83,93111.89,40178.81,75906.8,42906.08,85372.19,31167.39,36936.51,35926.48,23624.85,31717.29,36814.3,97163.86,53349.46,129760.99,207689.0,57162.77,106569.81,28628.68,56245.23,106712.98,51944.77,66865.2,70498.64,53962.57,77512.77
少数股东损益,0.0,594.1,2477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.0,0.0,179.56,44.72,68.59,143.84,80.43,110.19
基本每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.43,0.0,0.0,0.43,0.21,0.27,0.28,0.22,0.31
稀释每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.43,0.0,0.0,0.43,0.21,0.27,0.28,0.22,0.31
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2149.8,0.0,-719.62,0.0,246.4,-1820.02,-2689.55,-5648.55,3602.94,19713.79,2170.61,-429.65,-5400.63,-2992.61,1953.61,-2941.21,-3167.68,-3546.2,-231.04,-3790.04,-3414.98,-865.08,-385.84
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73757.0,0.0,84652.57,31167.39,37182.91,34106.46,20935.3,26068.74,40417.24,116877.65,55520.07,129331.34,202288.37,54170.16,108523.29,25687.47,53077.55,103346.34,51758.45,63143.76,67227.5,53177.92,77237.12
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73757.0,0.0,84652.57,31167.39,37182.91,34106.46,20935.3,26068.74,40417.24,116877.65,0.0,129331.34,202288.37,54170.16,108523.42,25687.47,53077.55,103166.78,51713.73,63075.16,67083.65,53097.49,77126.93
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.0,0.0,179.56,44.72,68.59,143.84,80.43,110.19
