报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
取得借款收到的现金,0.0,0.0,0.0,39252.8,19778.0,37803.0,59978.27,19500.0,24280.09,41787.79,60146.8,174143.94,40500.0,198280.84,333780.84,428580.84,17500.0,86000.0,159960.0,269229.87,54500.0,127500.0,266000.0,349941.75,85871.09,133574.69,283831.46,377898.34,85110.0,111110.0,624391.0,706482.0,61500.0,115500.0,136200.0,304400.0,3494.0,67444.0,74944.0,82444.0,19000.0,39865.0,40865.0,48575.0,41472.0,19964.49,40003.88,46967.07,265.0,265.0,265.0,20165.0,238.0,3238.0,3238.0,43598.0,622.0,4805.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,40.22,40.22,4.7,24.72,36.44,101903.0,14.19,279.95,275.66,28067.0,510.0,525.0,525.0,4710.0,8594.0,8594.0,8594.0,8594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3338.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,0.0,0.0,0.0,40233.94,19778.0,37821.9,60037.4,193421.44,103237.79,135658.31,154029.04,778476.75,42726.77,211273.37,368476.6,478317.94,18010.0,86525.0,160485.0,273939.87,63094.0,136094.0,274594.0,358535.75,85871.09,133574.69,283831.46,377898.34,85110.0,111110.0,624391.0,706482.0,61500.0,115500.02,136200.02,307400.03,3494.0,67444.0,74944.0,82444.0,19000.0,39865.0,40865.0,48575.0,41472.0,19964.49,44953.88,55255.4,265.0,15265.0,15761.0,59397.5,238.0,4038.0,15867.95,57287.64,4272.25,10688.25
偿还债务支付的现金,0.0,0.0,0.0,0.0,0.0,13097.0,32853.0,11000.0,52000.0,124515.13,324055.42,563544.48,104400.0,235435.12,332790.74,451514.01,20500.0,81500.0,179500.0,278000.0,9500.0,53000.0,198510.0,306908.66,50500.0,72520.0,151289.4,241509.08,105381.28,157060.28,264089.19,346216.01,61349.7,146389.7,206789.7,343829.7,82500.0,174500.0,191000.0,198500.0,51460.0,86660.0,105041.0,126097.0,4000.0,53603.06,53103.06,79717.48,5007.72,2603.19,25907.73,25920.36,1347.88,3131.96,4180.3,4551.55,1218.39,4216.38
分配股利、利润或偿付利息所支付的现金,0.0,0.0,8840.77,17681.99,18.61,490.2,19616.21,33639.12,127.53,563.07,32255.36,48533.36,1347.77,5343.0,25236.52,29086.94,2795.71,32227.31,36292.8,40345.21,4686.5,9002.37,44899.71,49052.35,4362.72,7627.08,33060.01,36723.63,3906.62,43229.88,46383.63,51179.19,3814.88,7185.41,30987.96,34188.9,2519.79,4072.06,19396.62,21091.63,1011.98,2326.64,2999.83,3908.59,1193.88,2929.72,5096.25,6371.87,1048.83,3120.0,39254.63,41684.06,2268.49,4754.85,33507.81,69559.58,820.92,6152.46
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,14.22,0.0,0.0,232.0,0.0,0.0,0.0,241.79,0.0,145.0,145.0,1679.05,1398.0,1618.5,1618.5,1803.55,707.5,742.14,729.14,1704.26,778.34,835.93,1546.17,1153.43,831.11,831.11,989.1,989.1,0.0,506.27,506.27,506.27,596.01,630.1,630.1,2162.04,0.0,1175.89,1829.79,36103.72,0.0,2780.95,2780.95,2780.95,0.0,3933.21
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,8140.7,0.03,135500.0,30.0,10526.17,10500.0,10500.0,153.87,281.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,693.0,0.0,0.0,0.0,0.0,0.0,220.98,220.98,220.98,411.97,411.97,411.97,411.97,0.0,0.0,94540.04,94529.11,0.0,0.0,310.87,2247.14,0.0,0.0,284.52,28600.7,0.0,756.32
筹资活动现金流出小计,0.0,0.0,8840.77,17681.99,18.61,13587.21,52469.22,44639.12,52127.54,133218.9,356310.8,747577.84,105777.77,251304.29,368527.26,491100.95,23449.58,114009.24,215792.8,318345.21,14186.5,62002.37,243409.71,355961.0,54862.72,80147.08,184349.41,278232.71,109287.89,200290.16,311165.82,398088.21,65164.58,153575.11,237777.66,378018.6,85019.79,178793.05,210617.61,219812.62,52883.94,89398.61,108452.8,130417.55,5193.88,56532.78,152739.34,180618.46,6056.55,5723.19,65473.22,69851.56,3616.37,7886.82,37972.63,102711.83,2039.31,11125.15
筹资活动产生的现金流量净额,0.0,0.0,-8840.77,22551.95,19759.39,24234.69,7568.17,148782.32,51110.26,2439.41,-202281.77,30898.91,-63051.0,-40030.92,-50.66,-12783.0,-5439.58,-27484.24,-55307.8,-44405.34,48907.5,74091.63,31184.29,2574.75,31008.37,53427.61,99482.05,99665.63,-24177.89,-89180.16,313225.18,308393.79,-3664.58,-38075.09,-101577.64,-70618.56,-81525.79,-111349.05,-135673.61,-137368.62,-33883.94,-49533.61,-67587.8,-81842.55,36278.12,-36568.29,-107785.46,-125363.06,-5791.55,9541.81,-49712.22,-10454.07,-3378.37,-3848.82,-22104.68,-45424.19,2232.94,-436.9
四、汇率变动对现金及现金等价物的影响,-1.52,-16.1,-16.48,-6.76,12.57,-306.13,-1673.16,-2857.98,-978.01,-141.78,-219.17,-230.68,-358.93,-358.93,-2516.03,495.98,2339.93,1078.01,-3977.89,-198.71,3589.4,4400.39,5716.86,4358.21,-959.58,-4474.36,-5668.35,-8716.14,-1050.38,-498.98,-1424.81,-2649.33,-106.61,-862.18,3707.57,7199.91,2115.88,11834.39,14379.63,17934.49,-788.85,-3193.47,-6641.58,-11037.55,-6514.02,6031.21,29424.78,28237.61,-13377.59,-32.98,19257.63,10480.48,8193.42,4853.96,-10894.24,-31129.7,1359.92,-5252.62
五、现金及现金等价物净增加额,-45868.52,-78525.16,-90180.36,-209881.35,-827.61,437067.66,342132.42,648690.89,-115039.78,112675.91,-45787.23,303740.54,-268602.85,-213266.1,-15354.03,-118814.63,-302501.81,-295460.61,-425964.03,-338632.67,-262451.19,-223009.08,-279801.73,-135522.72,20248.77,99683.54,97151.18,317937.33,-124313.1,-121654.51,364923.07,569407.04,-246174.75,-151613.67,-139634.4,326409.2,-82312.42,202355.43,393937.89,732774.42,-125127.5,-166068.24,-261974.67,-52280.7,-132217.73,111425.67,214295.12,-194812.18,-411399.79,-446130.15,-291954.1,157274.25,-90570.48,-112312.3,-364909.52,-419462.01,-208285.21,-70555.98
加:期初现金及现金等价物余额,314180.79,314180.79,314180.79,692619.42,482738.07,482738.07,482738.07,482738.07,1131428.96,1131428.96,1131428.96,1178843.41,1485861.43,1485861.43,1485861.43,1485869.76,1367055.14,1367055.14,1367055.14,1367055.14,1028422.46,1028500.01,1011477.17,1028422.46,892899.75,892999.75,892899.75,892899.75,1210837.08,1210837.08,1210837.08,1210837.08,1780244.11,1780244.11,1780244.11,1780244.11,2106653.31,2106653.31,2106653.31,2106653.31,2839427.73,2839427.73,2839427.73,2839427.73,2787147.03,2884807.06,2884807.06,2884774.9,2689962.72,2689962.72,2689962.72,2689962.72,2847236.97,2847236.97,2847236.97,2847236.97,2427774.95,2427774.95
六、期末现金及现金等价物余额,268312.27,235655.63,224000.43,482738.07,481910.46,919805.73,824870.49,1131428.96,1016389.18,1244104.87,1085641.73,1482583.95,1217258.58,1272595.33,1470507.41,1367055.14,1064553.33,1071594.52,941091.11,1028422.46,765971.28,805490.93,731675.44,892899.75,913148.52,992683.29,990050.92,1210837.08,1086523.98,1089182.57,1575760.14,1780244.11,1534069.36,1628630.44,1640609.71,2106653.31,2024340.89,2309008.74,2500591.2,2839427.73,2714300.23,2673359.49,2577453.06,2787147.03,2654929.3,2996232.73,3099102.18,2689962.72,2278562.93,2243832.57,2398008.62,2847236.97,2756666.48,2734924.67,2482327.45,2427774.95,2219489.74,2357218.97
净利润,0.0,43683.87,0.0,217637.31,0.0,44779.89,0.0,21062.36,0.0,69263.95,0.0,159589.72,0.0,103907.55,0.0,267601.44,0.0,156830.08,0.0,311821.77,0.0,126285.03,0.0,225372.13,0.0,121207.39,0.0,239940.27,0.0,86876.69,0.0,132061.67,0.0,18753.71,0.0,45949.76,0.0,-33720.97,0.0,-175943.84,0.0,42354.15,0.0,68306.97,0.0,53390.48,0.0,115826.57,0.0,78612.0,0.0,138087.17,0.0,101953.45,0.0,191626.41,0.0,143974.33
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,1311.53,0.0,10788.05,0.0,11899.92,0.0,61789.44,0.0,23436.15,0.0,82663.96,0.0,35655.14,0.0,98684.55,0.0,55945.51,0.0,127005.39,0.0,41200.51,0.0,111585.21,0.0,35633.53,0.0,96190.65,0.0,33900.2,0.0,63254.08,0.0,11700.83,0.0,132456.76,0.0,65399.33,0.0,141498.05,0.0,21098.74,0.0,74222.32,0.0,44806.83,0.0,52400.3,0.0,34780.13,0.0,89632.63,0.0,21425.47,0.0,56709.06,0.0,21304.3
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,5393.9,0.0,41736.3,0.0,11775.34,0.0,41042.05,0.0,22124.66,0.0,63889.23,0.0,36487.85,0.0,86451.1,0.0,54408.05,0.0,117766.25,0.0,61222.91,0.0,124809.47,0.0,60253.64,0.0,121879.47,0.0,56070.71,0.0,114425.29,0.0,54160.06,0.0,108468.8,0.0,51734.39,0.0,102504.21,0.0,49516.32,0.0,94079.1,0.0,41922.15,0.0,0.0,0.0,0.0,0.0,13266.64,0.0,0.0,0.0,74015.32,0.0,33926.34
无形资产摊销,0.0,69.08,0.0,4000.53,0.0,1374.24,0.0,2579.54,0.0,1782.92,0.0,4304.69,0.0,1502.12,0.0,6993.8,0.0,2485.74,0.0,5096.3,0.0,2525.31,0.0,5169.99,0.0,2734.36,0.0,5543.22,0.0,3912.86,0.0,6484.17,0.0,3038.12,0.0,5623.92,0.0,2549.85,0.0,6196.99,0.0,2666.59,0.0,5223.14,0.0,4048.84,0.0,9707.65,0.0,3421.88,0.0,9402.07,0.0,11494.53,0.0,9452.32,0.0,4690.79
长期待摊费用摊销,0.0,0.0,0.0,529.5,0.0,0.0,0.0,0.0,0.0,4.07,0.0,8.15,0.0,5.33,0.0,49.18,0.0,15.8,0.0,91.67,0.0,10.19,0.0,16.86,0.0,5.3,0.0,10.6,0.0,7.11,0.0,14.59,0.0,7.47,0.0,13.15,0.0,7.47,0.0,51.43,0.0,3.5,0.0,48.53,0.0,3.5,0.0,1350.27,0.0,2611.95,0.0,1538.23,0.0,1077.87,0.0,4945.55,0.0,8.32
