报表日期,2010-12-31,2011-12-31,2012-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
投资收益,21741.6,25661.1,44694.56,-6903.98,-8733.41,30307.34,60263.16,15723.55,11073.8,48529.03,79433.58,13574.74,25386.75,86086.73,112771.98,189066.59,207770.7,222133.46,231213.82,19554.8,34202.9,71419.25,104455.87,43619.92,63974.43,102319.7,130705.82,7674.99,42224.6,99043.37,114357.64,24792.37,64851.66,122440.28
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,-8502.5,-14652.16,13897.97,46072.85,16028.05,18367.8,54889.57,95828.41,11407.55,25250.67,86303.24,129054.6,5069.81,25689.31,42614.65,60263.58,19571.11,-158644.6,72421.08,102950.98,29530.75,47186.89,86956.71,109641.27,7119.97,41754.11,95940.38,111983.33,24868.61,63421.95,121012.34
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,0.0,1367239.93,1413514.43,114951.74,277983.83,494527.58,604402.58,165141.81,313155.57,594083.49,755829.65,268809.8,451571.5,757857.9,850998.57,475751.25,918696.71,1335985.34,1429339.32,406036.63,751078.32,1296012.25,1494576.56,447036.88,837246.11,1451386.99,1658761.08,293135.25,898203.82,1448054.87,1689151.0,436602.51,986477.51,1601748.04
加:营业外收入,0.0,0.0,0.0,70225.52,90866.56,128333.16,164287.62,33908.05,86022.38,127672.15,156590.47,9714.24,50958.71,113354.46,139904.79,45393.59,4039.51,2956.71,429.09,51.84,340.57,419.02,763.94,228.28,552.6,697.48,1832.91,173.24,899.31,1410.15,4431.84,772.87,2918.02,3957.16
减：营业外支出,0.0,0.0,0.0,330.7,603.14,768.34,3022.01,65.52,190.37,261.27,9111.3,91.88,654.61,893.7,612.02,362.76,567.52,1268.41,4306.43,632.98,2894.51,4036.27,5392.93,154.62,836.84,1660.93,5084.48,264.57,3940.26,4571.02,8570.7,703.37,3821.73,4375.33
其中：非流动资产处置损失,0.0,0.0,0.0,330.7,330.7,480.68,2766.95,44.27,164.17,217.8,1253.88,85.12,645.53,783.98,1565.12,65.89,172.41,243.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,651000.0,616300.0,599100.0,184846.56,368247.25,622092.4,765668.19,198984.34,398987.59,721494.37,903308.82,278432.16,501875.6,870318.66,990291.33,520782.08,922168.7,1337673.64,1425461.98,405455.49,748524.38,1292395.0,1489947.58,447110.54,836961.87,1450423.54,1655509.51,293043.93,895162.87,1444894.01,1685012.15,436672.01,985573.8,1601329.87
减：所得税费用,129800.0,92000.0,84100.0,25270.29,53660.16,75165.93,89311.64,25625.47,51009.33,79887.8,98873.12,27910.07,40691.37,69680.17,73257.05,73043.97,111017.47,153261.04,145771.39,38440.72,75999.94,125185.89,121779.84,53220.87,94405.94,174060.57,176985.5,49832.69,109017.71,188790.02,197448.48,55789.1,118532.74,213290.37
五、净利润,0.0,524300.0,515000.0,159576.27,314587.1,546926.47,676356.56,173358.87,347978.26,641606.57,804435.7,250522.09,461184.23,800638.48,917034.29,447738.11,811151.23,1184412.61,1279690.59,367014.77,672524.44,1167209.11,1368167.73,393889.67,742555.93,1276362.97,1478524.01,243211.23,786145.16,1256103.98,1487563.67,380882.92,867041.06,1388039.5
归属于母公司所有者的净利润,521200.0,524300.0,515000.0,137008.54,260390.97,457674.49,562804.52,149183.0,304386.63,542087.78,671362.04,193746.19,376634.03,649698.34,740490.39,338756.38,623756.66,880946.11,962544.3,248475.19,431734.14,745688.15,870263.27,251813.37,502258.49,829833.33,946570.04,153281.68,520521.91,818466.25,956230.76,237437.95,549814.35,871064.09
少数股东损益,0.0,0.0,0.0,22567.73,54196.13,89251.98,113552.03,24175.87,43591.62,99518.79,133073.66,56775.91,84550.2,150940.14,176543.89,108981.72,187394.57,303466.49,317146.29,118539.58,240790.29,421520.95,497904.47,142076.29,240297.44,446529.64,531953.98,89929.55,265623.25,437637.73,531332.91,143444.96,317226.71,516975.41
基本每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.03,0.07,0.12,0.148,0.04,0.08,0.14,0.163,0.07,0.14,0.19,0.212,0.055,0.095,0.1639999999999999,0.191,0.055,0.11,0.1804,0.201,0.03,0.103,0.1621,0.1889999999999999,0.047,0.109,0.1725
稀释每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.03,0.07,0.12,0.139,0.04,0.08,0.14,0.163,0.07,0.14,0.19,0.0,0.055,0.095,0.1639999999999999,0.0,0.055,0.0,0.1804,0.201,0.03,0.103,0.1621,0.1889999999999999,0.047,0.109,0.1725
七、其他综合收益,0.0,0.0,0.0,7010.56,6912.51,7490.9,-1733.25,2057.62,-1069.63,26943.11,65622.2,-3645.4,13437.16,18814.84,34356.67,-8173.94,-25650.03,-41216.22,-54651.83,-29320.48,4041.1,33311.68,22571.67,-3629.9,5770.65,28029.99,9793.43,10574.71,10806.63,-15182.06,-48294.41,6946.57,-468.39,2451.3
八、综合收益总额,0.0,0.0,0.0,166586.83,321499.61,554417.37,674623.31,175416.49,346908.63,668549.67,870057.9,246876.7,474621.39,819453.32,951390.96,439564.17,785501.2,1143196.38,1225038.76,337694.29,676565.54,1200520.78,1390739.4,390259.77,748326.58,1304392.96,1488317.44,253785.94,796951.78,1240921.92,1439269.26,387829.48,866572.67,1390490.8
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,142229.53,265505.42,463322.49,560067.81,150726.21,303509.96,562220.65,726184.64,191012.14,386623.16,663720.73,762387.14,331253.14,602083.41,847630.93,918625.57,227274.09,435111.25,771255.32,885699.98,250821.34,507247.1,851499.3,953243.09,161197.77,528607.34,807060.17,920102.97,242630.49,550293.73,873733.24
归属于少数股东的综合收益总额,0.0,0.0,0.0,24357.3,55994.19,91094.88,114555.49,24690.28,43398.67,106329.02,143873.26,55864.56,87998.23,155732.59,189003.81,108311.03,183417.79,295565.46,306413.19,110420.2,241454.29,429265.46,505039.42,139438.43,241079.47,452893.66,535074.35,92588.17,268344.44,433861.76,519166.29,145198.99,316278.94,516757.56
