报表日期,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
投资收益,1611.76,145.54,7608.03,8517.22,124598.52,134411.3,134430.53,2797.29,5983.89,6942.74,18439.75,1680.25,-4589.44,-6262.02,-7960.49,-34814.67,-40629.23,-34356.5,-11764.86,627.35,11718.43,12221.91,123269.9,46091.17
其中:对联营企业和合营企业的投资收益,1302.41,-965.85,2166.98,-1297.83,-1317.53,-1947.8,-4997.68,1204.36,2000.94,958.32,-426.4,209.78,-620.33,-791.73,-1189.96,-2956.75,-8839.52,-5373.71,-402.73,3987.29,22587.46,28949.48,57583.69,57597.6
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,1638.32,104559.46,321212.07,-1273.85,232866.29,329320.01,483202.05,53988.9,121579.29,307172.61,416847.63,132112.51,281254.99,444627.8,575879.33,110604.64,259404.07,442841.97,695948.96,280643.17,631683.84,1089159.56,1982372.92,245613.78
加:营业外收入,4621.62,7119.04,18897.45,4314.08,697.99,1354.98,1865.55,344.77,815.97,1598.36,6230.33,654.87,1000.5,4610.26,6242.81,719.46,2532.83,5117.38,9431.81,2062.16,5696.26,6891.53,18303.97,4088.22
减：营业外支出,16.93,1675.28,88.15,3.2,282.59,454.03,257.58,232.85,327.78,428.56,2596.63,525.65,1758.88,3468.87,6045.68,1626.44,2271.35,4515.23,7125.42,3147.49,3888.06,8682.27,11963.98,1666.39
其中：非流动资产处置损失,10.25,0.0,0.0,0.0,228.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,6243.01,110003.21,340021.37,3037.04,233281.69,330220.97,484810.02,54100.82,122067.49,308342.41,420481.33,132241.73,280496.61,445769.2,576076.46,109697.66,259665.56,443444.12,698255.34,279557.84,633492.03,1087368.82,1988712.91,248035.61
减：所得税费用,686.63,14945.11,48177.69,1387.52,31207.31,47092.21,65404.36,7174.37,15078.12,44118.77,46891.68,20559.51,45847.08,69747.45,74809.07,19196.3,45273.75,75223.07,87863.54,45170.91,100981.21,172870.67,202639.9,50489.69
五、净利润,5556.38,95058.11,291843.69,1649.52,202074.38,283128.77,419405.66,46926.45,106989.37,264223.65,373589.65,111682.22,234649.53,376021.75,501267.39,90501.36,214391.8,368221.05,610391.81,234386.94,532510.83,914498.15,1786073.01,197545.91
归属于母公司所有者的净利润,5442.58,93064.64,285182.14,-1168.79,185693.51,257051.02,387795.49,41334.72,91095.43,237850.0,338703.52,104723.32,210243.51,346430.53,456030.74,74204.32,193728.11,335687.5,558333.87,195441.72,448378.76,775114.57,1593131.79,149280.46
少数股东损益,113.8,1993.47,6661.54,3599.01,16380.87,26077.75,31610.17,5591.73,15893.94,26373.65,34886.13,6958.9,24406.02,29591.23,45236.65,16297.04,20663.69,32533.54,52057.93,38945.21,84132.07,139383.58,192941.23,48265.45
基本每股收益(元/股),0.0,0.7755,1.8736,-0.0189,0.974,1.33,2.0084,0.212,0.4659,1.17,1.6412,0.48,0.9674,1.6002,2.0937,0.3406,0.8833,1.5243,2.4942,0.8463,1.9416,3.3464,6.876,0.6439
稀释每股收益(元/股),0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,1.17,1.6407,0.48,0.9666,1.5959,2.0887,0.3396,0.8805,1.519,2.4848,0.843,1.9337,3.3323,6.8392,0.6405
七、其他综合收益,18.4,49.49,88.81,8.14,31193.82,34414.55,24693.31,317.93,-17635.11,-20858.67,-58533.92,16147.7,23556.17,97176.44,95765.89,-11899.57,4236.43,28718.05,50582.87,-23502.91,82425.44,120701.78,301398.72,-156250.03
八、综合收益总额,5574.77,95107.59,291932.49,2438.36,233268.2,317543.32,444098.97,47244.38,89354.26,243364.98,315055.73,127829.92,258205.7,473198.19,597033.28,78601.79,218628.23,396939.1,660974.68,210884.03,614936.27,1035199.93,2087471.74,41295.88
归属于母公司所有者的综合收益总额,5460.97,93114.12,285270.95,-1160.66,216887.33,291465.57,412488.8,41652.64,73460.32,216991.33,280169.6,120871.03,233799.68,443606.97,551796.63,65195.9,196749.01,362993.89,608951.2,171830.2,530906.66,890271.48,1901264.47,57486.16
归属于少数股东的综合收益总额,113.8,1993.47,6661.54,3599.01,16380.87,26077.75,31610.17,5591.73,15893.94,26373.65,34886.13,6958.9,24406.02,29591.23,45236.65,13405.89,21879.22,33945.21,52023.47,39053.83,84029.62,144928.46,186207.26,-16190.28
