行业类别,股票代码,股票名称
电器部件及设备,00117,天利控股集团
电器部件及设备,00379,恒嘉融资租赁
电器部件及设备,08083,中国有赞
电器部件及设备,03393,威胜集团
电器部件及设备,00559,德泰新能源集团
电子商贸及互联网服务,08047,中国海洋捕捞
电子商贸及互联网服务,01049,时富投资
电子商贸及互联网服务,08092,ITE HOLDINGS
电子商贸及互联网服务,5173,5173
电子商贸及互联网服务,08007,环球战略集团
电子商贸及互联网服务,08033,爱达利网络
电子商贸及互联网服务,08006,华泰瑞银
电子商贸及互联网服务,08008,新意网集团
电子商贸及互联网服务,00700,腾讯控股
电子商贸及互联网服务,00536,贸易通
电子商贸及互联网服务,08292,盛良物流
电子商贸及互联网服务,01075,首都信息
电子商贸及互联网服务,00543,太平洋网络
电子商贸及互联网服务,08076,新利软件
电子商贸及互联网服务,08086,新维国际控股
电子商贸及互联网服务,00862,远见控股
电子消费品,08016,长虹佳华
电子消费品,00485,中国华星
电子消费品,00040,金山工业
电子消费品,00482,圣马丁国际
电子消费品,00167,万威国际
电子消费品,00328,爱高集团
电子消费品,08005,裕兴科技
电子消费品,00833,华讯
电子消费品,00751,创维数码
电子消费品,01280,汇银智慧社区
电子消费品,00320,金宝通
电子消费品,02358,久融控股
电子消费品,00927,富士高实业
电子消费品,00439,光启科学
电子消费品,01822,弘达金融控股
电子消费品,00912,信佳国际
电子消费品,00058,新威国际
电子消费品,00978,招商局置地
电子消费品,00607,丰盛控股
电子消费品,08226,树熊金融集团
电子消费品,02728,裕华能源
电子消费品,00186,嘉域集团
电子消费品,00601,权智(国际)
电子消费品,00493,国美零售
电子消费品,00139,中国软实力
电子消费品,01143,华夏健康产业
电子消费品,00638,建溢集团
电脑及周边产品,00992,联想集团
电脑及周边产品,02028,映美控股
电脑及周边产品,01050,嘉利国际
电脑及周边产品,08111,中科光电
电脑及周边产品,00929,国际精密
电脑及周边产品,01263,栢能集团
电脑及周边产品,03336,巨腾国际
电脑及周边产品,00903,冠捷科技
电脑及周边产品,00618,北大资源
电脑及周边产品,00630,隽泰控股
电脑及周边产品,08236,宝德科技集团
电脑及周边产品,08132,中油港燃
电视广播,08356,中国新华电视
电视广播,00511,电视广播
电视广播,02008,凤凰卫视
电视广播,01097,有线宽频
电讯及网络器材,01085,亨鑫科技
电讯及网络器材,00553,南京熊猫电子股份
电讯及网络器材,00138,中建富通
电讯及网络器材,03335,DBA电讯
电讯及网络器材,01155,星辰通信
电讯及网络器材,00851,盛源控股
电讯及网络器材,00261,中建置地
电讯及网络器材,00479,华建控股
电讯及网络器材,08286,长城微光
电讯及网络器材,01087,威讯控股
电讯及网络器材,03777,中国光纤
电讯及网络器材,01300,俊知集团
电讯及网络器材,01202,成都普天电缆股份
电讯及网络器材,08227,西安海天天
电讯及网络器材,02342,京信通信
电讯及网络器材,00303,伟易达
电讯及网络器材,08232,Classified餐饮
电讯及网络器材,00143,国安国际
电讯及网络器材,01613,协同通信
电讯及网络器材,01063,新确科技
电讯及网络器材,00947,摩比发展
电讯及网络器材,00763,中兴通讯
电讯服务,08337,直通电讯
电讯服务,00989,广泽国际发展
电讯服务,00633,中国全通
电讯服务,06823,香港电讯-SS
电讯服务,08256,金利通
电讯服务,00728,中国电信
电讯服务,08061,光亚
电讯服务,00524, e-KONG 集团
电讯服务,00762,中国联通
电讯服务,00008,电讯盈科
电讯服务,00941,中国移动
电讯服务,00471,中播控股
电讯服务,01883,中信国际电讯
电讯服务,01137,香港电视
电讯服务,00315,数码通电讯
电讯服务,00215,和记电讯香港
电讯服务,00552,中国通信服务
赌场与赌博,08198,乐透互娱
赌场与赌博,00326,中国星集团
赌场与赌博,00296,英皇娱乐酒店
赌场与赌博,00959,奥玛仕国际
赌场与赌博,06889,DYNAM JAPAN
赌场与赌博,08161,医汇集团
赌场与赌博,00555,御泰中彩控股
赌场与赌博,00064,结好控股
赌场与赌博,08156,众彩股份
赌场与赌博,01180,汇彩控股
赌场与赌博,00880,澳博控股
赌场与赌博,00027,银河娱乐
赌场与赌博,01928,金沙中国有限公司
赌场与赌博,00764,永恒策略
赌场与赌博,08279,亚博科技控股
赌场与赌博,02282,美高梅中国
赌场与赌博,00678,云顶香港
赌场与赌博,00070,金粤控股
赌场与赌博,01128,永利澳门
赌场与赌博,03918,金界控股
赌场与赌博,00200,新濠国际发展
赌场与赌博,00628,国美金融科技
复合公用事业,00270,粤海投资
复合公用事业,01215,开源控股
房地产投资信托基金,00808,泓富产业信托
房地产投资信托基金,00823,领展房产基金
房地产投资信托基金,00625,睿富房地产基金
房地产投资信托基金,02778,冠君产业信托
房地产投资信托基金,87001,汇贤产业信托
房地产投资信托基金,01881,富豪产业信托
房地产投资信托基金,00778,置富产业信托
房地产投资信托基金,00405,越秀房产信托基金
房地产投资信托基金,00435,阳光房地产基金
纺织及成衣,02299,百宏实业
纺织及成衣,00707,亚洲电视控股
纺织及成衣,00294,长江制衣
纺织及成衣,02313,申洲国际
纺织及成衣,00918,国能国际资产
纺织及成衣,02678,天虹纺织
纺织及成衣,03398,华鼎控股
纺织及成衣,00616,高山企业
纺织及成衣,00364,区块链集团
纺织及成衣,00420,福田实业
纺织及成衣,00494,利丰
纺织及成衣,00533,金利来集团
纺织及成衣,00844,广泰国际控股
纺织及成衣,08211,浙江永安
纺织及成衣,00565,锦艺集团控股
纺织及成衣,00375,YGM 贸易
纺织及成衣,02011,开易控股
纺织及成衣,00311,联泰控股
纺织及成衣,00592,堡狮龙国际
纺织及成衣,00528,金达控股
纺织及成衣,02228,中国节能海东青
纺织及成衣,01100,飞达控股
纺织及成衣,00232,中国航空工业国际
纺织及成衣,00789,领视控股
纺织及成衣,00539,冠华国际控股
纺织及成衣,00483,包浩斯国际
纺织及成衣,02307,锦兴国际控股
纺织及成衣,01682,华隆金控
纺织及成衣,00873,中国泰丰床品
纺织及成衣,00643,恒富控股
纺织及成衣,08312,中国瀚亚
纺织及成衣,03778,中国织材控股
纺织及成衣,02123,金盾控股
纺织及成衣,01069,中国农林低碳
纺织及成衣,00608,达利国际
纺织及成衣,00458,联亚集团
纺织及成衣,01616,星宏传媒
纺织及成衣,01146,中国服饰控股
纺织及成衣,00238,长兴国际
纺织及成衣,01234,中国利郎
纺织及成衣,00709,佐丹奴国际
纺织及成衣,00589,宝国国际
纺织及成衣,08168,宝积资本
纺织及成衣,00333,黛丽斯国际
纺织及成衣,00627,福晟国际
纺织及成衣,00130,慕诗国际
纺织及成衣,03998,波司登
纺织及成衣,00393,旭日企业
纺织及成衣,00518,同得仕(集团)
纺织及成衣,00122,鳄鱼恤
纺织及成衣,01388,安莉芳控股
纺织及成衣,01152,正乾金融控股
纺织及成衣,00330,思捷环球
纺织及成衣,02698,魏桥纺织
纺织及成衣,01382,互太纺织
纺织及成衣,02668,百德国际
纺织及成衣,00321,德永佳集团
纺织及成衣,03344,共享集团
纺织及成衣,08041,荟萃国际(控股)
个人及家居用品,01086,好孩子国际
个人及家居用品,03331,维达国际
个人及家居用品,00837,谭木匠
个人及家居用品,00136,恒腾网络
个人及家居用品,01698,博士蛙国际
个人及家居用品,03828,明辉国际
个人及家居用品,01338,霸王集团
个人及家居用品,00464,建福集团
个人及家居用品,01225,隆成金融
个人及家居用品,00713,世界(集团)
个人及家居用品,01044,恒安国际
个人及家居用品,01123,中港照相
个人及家居用品,01323,友川集团
个人及家居用品,01259,中国儿童护理
个人及家居用品,00526,利时集团控股
公路基建,00152,深圳国际
公路基建,00269,中国资源交通
公路基建,01823,华昱高速
公路基建,00737,合和公路基建
公路基建,80737,合和公路基建-R
公路基建,00107,四川成渝高速公路
公路基建,00995,安徽皖通高速公路
公路基建,00576,浙江沪杭甬
公路基建,01052,越秀交通基建
公路基建,00032,港通控股
公路基建,00548,深圳高速公路股份
公路基建,00177,江苏宁沪高速公路
工业机械及设备,03808,中国重汽
工业机械及设备,03339,中国龙工
工业机械及设备,02338,潍柴动力
工业机械及设备,00641,中国恒天立信国际
工业机械及设备,00838,亿和控股
工业机械及设备,01020,赛伯乐国际控股
工业机械及设备,01133,哈尔滨电气
工业机械及设备,00317,中船防务
工业机械及设备,01039,鑫网易商
工业机械及设备,02345,上海集优
工业机械及设备,00038,第一拖拉机股份
工业机械及设备,00658,中国高速传动
工业机械及设备,00631,三一国际
工业机械及设备,01322,创达科技控股
工业机械及设备,02722,重庆机电
工业机械及设备,01318,格菱控股
工业机械及设备,00118,大同机械
工业机械及设备,00651,中海重工
工业机械及设备,03816,KFM金德
工业机械及设备,02398,友佳国际
工业机械及设备,00042,东北电气
工业机械及设备,00679,亚洲联网科技
工业机械及设备,08012,环宇物流(亚洲)
工业机械及设备,00300,昆明机床
工业机械及设备,00096,友成控股
工业机械及设备,00255,龙记集团
工业机械及设备,01766,中国中车
工业机械及设备,00620,大唐西市
工业机械及设备,00387,力丰(集团)
工业机械及设备,08153,科地农业
工业机械及设备,01101,华荣能源
工业机械及设备,02727,上海电气
工业机械及设备,00558,力劲科技
工业机械及设备,03898,中车时代电气
工业机械及设备,00057,震雄集团
工业机械及设备,00187,京城机电股份
工业机械及设备,02188,泰坦能源技术
工业机械及设备,00840,天业节水
工业机械及设备,01157,中联重科
工业机械及设备,00161,中航国际控股
工业机械及设备,00716,胜狮货柜
工业机械及设备,01685,博耳电力
工业机械及设备,02208,金风科技
工业机械及设备,01072,东方电气
工业机械及设备,01882,海天国际
工业机械及设备,00365,紫光控股
工业机械及设备,01002,威铖国际
工业用品,00868,信义玻璃
工业用品,00710,京东方精电
工业用品,03300,中国玻璃
工业用品,01108,洛阳玻璃股份
工业用品,00259,亿都(国际控股)
工业用品,00334,华显光电
工业用品,00732,信利国际
广告,00745,中国国家文化产业
广告,08167,中国新电信
广告,08087,中国三三传媒
广告,00419,华谊腾讯娱乐
广告,08219,品牌中国
广告,02371,创联教育金融
广告,01831,十方控股
广告,00100,白马户外媒体
广告,08112,基石金融
广告,01000,北青传媒
广告,00254,国家联合资源
广告,02383,TOM集团
广告,00888,贝森金融
广告,00072,现代传播
广告,00623,中视金桥
广告,00205,财讯传媒
广告,08243,大贺传媒
港股指数,HKVHSI,恒指波幅指数
港股指数,HKHSF,恒生金融分类
港股指数,HKGEM,标普香港创业板指数
港股指数,HKHSP,恒生地产分类
港股指数,HKHSC,恒生工商业分类
港股指数,HKHKL,标普香港大型股
港股指数,HKHSU,恒生公用事业分类
港股指数,HKHSCCI,红筹指数
港股指数,HKHSI,恒生指数
港股指数,HKHSCEI,国企指数
化肥与农用药剂,00297,中化化肥
化肥与农用药剂,00827,玖源集团
化肥与农用药剂,01866,中国心连心化肥
化肥与农用药剂,08189,泰达生物
化肥与农用药剂,00509,世纪阳光
化肥与农用药剂,01073,浩伦农科
化肥与农用药剂,03983,中海石油化学
海港与服务,02322,仁瑞投资
海港与服务,00935,龙翔集团
海港与服务,00144,招商局港口
海港与服务,03382,天津港发展
海港与服务,08233,中国基建港口
海港与服务,00598,中国外运
海港与服务,01308,海丰国际
海港与服务,03378,厦门港务
海港与服务,02880,大连港
海运,00368,中外运航运
海运,00560,珠江船务
海运,00137,金辉集团
海运,03683,荣丰联合控股
海运,01919,中远海控
海运,00316,东方海外国际
海运,02343,太平洋航运
海运,00517,中远海运国际
海运,02866,中远海发
海运,01199,中远海运港口
海运,01138,中远海能
海运,01145,勇利投资
环保产品及服务,00438,彩虹新能源
环保产品及服务,00986,中国环保能源
环保产品及服务,08068,新宇环保
环保产品及服务,01185,中国航天万源
环保产品及服务,00895,东江环保
环保产品及服务,00566,汉能薄膜发电
环保产品及服务,00155,中国源畅
环保产品及服务,00309,新华通讯频媒
环保产品及服务,02468,创益太阳能
环保产品及服务,00556,泛亚环保
环保产品及服务,08128,中国地能
环保产品及服务,01296,国电科环
环保产品及服务,00397,权威金融
环保产品及服务,08169,环康集团
环保产品及服务,01130,中国环境资源
环保产品及服务,00712,卡姆丹克太阳能
环保产品及服务,01165,顺风清洁能源
环保产品及服务,00757,阳光能源
环保产品及服务,03800,保利协鑫能源
环保产品及服务,01191,中国中石控股
环保产品及服务,00686,熊猫绿能
环保产品及服务,00750,兴业太阳能
环保产品及服务,00979,绿色能源科技集团
环保公用事业,03989,首创环境
环保公用事业,00958,华能新能源
环保公用事业,00987,中国再生能源投资
环保公用事业,00182,协合新能源
环保公用事业,08261,海天能源
环保公用事业,00816,华电福新
环保公用事业,00735,中国电力清洁能源
环保公用事业,00527,瑞风新能源
环保公用事业,01798,大唐新能源
航空支援及其他服务,00696,中国民航信息网络
航空支援及其他服务,00044,香港飞机工程
航空支援及其他服务,00694,北京首都机场股份
航空支援及其他服务,00357,航基股份
航空支援及其他服务,02357,中航科工
航空服务,00670,中国东方航空股份
航空服务,01055,中国南方航空股份
航空服务,00753,中国国航
航空服务,00293,国泰航空
航空货运与物流,00544,大同集团
航空货运与物流,03399,粤运交通
航空货运与物流,08348,滨海泰达物流
航空货运与物流,00370,国华
航空货运与物流,08217,联旺集团
航空货运与物流,01803,北京体育文化
交易所买卖基金,03087,XTR富时越南
交易所买卖基金,03082,TR马来西亚
交易所买卖基金,03056,未来标普国际消费
交易所买卖基金,03005,XDB沪深工业
交易所买卖基金,03062,XDB沪深原材
交易所买卖基金,03054,未来标普亚洲消费
交易所买卖基金,03039,X安硕A股原材料
交易所买卖基金,03026,XDB澳元现金
交易所买卖基金,03017,XDB沪深能源
交易所买卖基金,03073,SPDR大中华
交易所买卖基金,02816,XDB沪深地产
交易所买卖基金,03064,HZ标普亚洲金融
交易所买卖基金,03001,X安硕可选消费
交易所买卖基金,03050,X安硕A股能源
交易所买卖基金,83168,恒生人币金ETF
交易所买卖基金,03043,TR太平洋
交易所买卖基金,03032,安硕亚洲中型股
交易所买卖基金,02824,力宝专选中港地产
交易所买卖基金,03020,XTR美国
交易所买卖基金,03076,HZ标普亚洲能源
交易所买卖基金,02818,X 平安CRA50
交易所买卖基金,03004,安硕亚洲小型股
交易所买卖基金,03061,XDB沪深银行
交易所买卖基金,02844,XDB沪深金融
交易所买卖基金,03052,XDB沪深公用
交易所买卖基金,03098,平安R香港50
交易所买卖基金,03025,XDB沪深可选
交易所买卖基金,02821,沛富基金
交易所买卖基金,03072,平安香港中型股
交易所买卖基金,03006,X安硕A股基建
交易所买卖基金,03063,XDB沪深运输
交易所买卖基金,02839,标智港股内地地产
交易所买卖基金,02829,X安硕A股金融
交易所买卖基金,03019,XTR环球
交易所买卖基金,03075,HZ标普亚洲工业
交易所买卖基金,02817,标智港股内地消费
交易所买卖基金,03009,XDB新兴市场
交易所买卖基金,03066,HZ标普亚洲资讯
交易所买卖基金,03002,元大台湾卓越50
交易所买卖基金,03060,价值台湾ETF
交易所买卖基金,02841,X安硕主要消费
交易所买卖基金,03051,X中金深证100
交易所买卖基金,03045,XDB印度
交易所买卖基金,02835,未来KOSPI
交易所买卖基金,03035,XDB新兴亚洲
交易所买卖基金,03024,标智上证50
交易所买卖基金,03078,HZ标普亚洲原材
交易所买卖基金,03011,XDB美元现金
交易所买卖基金,03071,X大成中国消费
交易所买卖基金,03055,TR中国
交易所买卖基金,03099,XTR印尼
交易所买卖基金,02813,华夏政银国债
交易所买卖基金,83100,易方达中一百-R
交易所买卖基金,02840,SPDR金ETF
交易所买卖基金,82822,南方A50-R
交易所买卖基金,03081,价值黄金ETF
交易所买卖基金,03036,TR台湾
交易所买卖基金,03010,安硕亚洲除日
交易所买卖基金,03070,平安香港高息股
交易所买卖基金,03100,易方达中一百
交易所买卖基金,02833,恒指ETF
交易所买卖基金,02846,安硕沪深三百
交易所买卖基金,83188,华夏沪深三百-R
交易所买卖基金,03046,价值中国ETF
交易所买卖基金,02825,标智香港100
交易所买卖基金,02838,恒生富时中国50
交易所买卖基金,03048,TR巴西
交易所买卖基金,02800,盈富基金
交易所买卖基金,03084,价值日本ETF
交易所买卖基金,02828,恒生中国企业
交易所买卖基金,02822,南方A50
交易所买卖基金,02801,安硕中国ETF
交易所买卖基金,02823,安硕A50
交易所买卖基金,02802,安硕亚洲新兴
交易所买卖基金,03007,TR富时50
交易所买卖基金,03015,XTRN50印度
交易所买卖基金,02836,安硕印度
交易所买卖基金,03049,XTR沪深三百
交易所买卖基金,02803,PP中国基石经济
交易所买卖基金,83118,嘉实明晟A股-R
交易所买卖基金,02827,标智沪深300
交易所买卖基金,03188,华夏沪深三百
交易所买卖基金,02819,ABF港债指数
交易所买卖基金,03092,TR泰国
交易所买卖基金,03027,XTR俄罗斯
交易所买卖基金,03118,嘉实明晟A股
交易所买卖基金,02848,TR韩国
交易所买卖基金,03041,价值韩国ETF
基建投资,00097,恒基发展
基建投资,01038,长江基建集团
基金,00820,汇丰中国翔龙基金
家居耐用消费品,08190,康佰控股
家居耐用消费品,01190,航标控股
家居耐用消费品,00496,卡森国际
家居耐用消费品,00229,利民实业
家居耐用消费品,01868,同方友友
家居耐用消费品,00599,怡邦行控股
家居耐用消费品,00396,兴利(香港)控股
家居耐用消费品,08146,马仕达国际
家居耐用消费品,00477,奥普集团控股
家居耐用消费品,00531,顺诚
家居耐用消费品,08108,福泽集团
家居耐用消费品,00146,TAI PING CARPET
家居耐用消费品,02222,雷士照明
家居耐用消费品,01198,皇朝家俬
家居耐用消费品,01070,TCL多媒体
家居耐用消费品,02083,大自然家居
家居耐用消费品,01169,海尔电器
家居耐用消费品,00684,亚伦国际
家居耐用消费品,02389,北控医疗健康
家居耐用消费品,00449,志高控股
家居耐用消费品,00921,海信科龙
家居耐用消费品,08192,环球能源资源
家居耐用消费品,00776,帝国集团环球控股
家居耐用消费品,00147,国际商业结算
家居耐用消费品,00669,创科实业
家居耐用消费品,00065,弘海高新资源
家居耐用消费品,00295,江山控股
家居耐用消费品,08229,FUTURE DATA
家居耐用消费品,01237,中科生物
家居耐用消费品,01999,敏华控股
家居耐用消费品,02326,新源万恒控股
建筑,08021,汇隆控股
建筑,00659,新创建集团
建筑,00871,中国疏浚环保
建筑,00498,保华集团
建筑,00102,凯升控股
建筑,00711,亚洲联合基建控股
建筑,00385,建联集团
建筑,02355,宝业集团
建筑,00313,裕田中国
建筑,00015,盈信控股
建筑,02068,中铝国际
建筑,00610,惠记集团
建筑,00936,鹏程亚洲
建筑,00406,有利集团
建筑,01893,中材股份
建筑,00577,十三集团
建筑,02288,宏基资本
建筑,01315,允升国际
建筑,00404,新昌集团控股
建筑,00240,利基控股
建筑,00025,其士国际
建筑,01800,中国交通建设
建筑,00896,兴胜创建
建筑,00983,瑞安建业
建筑,01240,青建国际
建筑,00830,远东环球
建筑,03311,中国建筑国际
建筑,00390,中国中铁
建筑,01186,中国铁建
建筑,00262,迪臣发展国际
建筑,02789,远大中国
建筑,01618,中国中冶
建筑,00687,香港国际建投
建筑材料,00743,亚洲水泥(中国)
建筑材料,08117,中国基础能源
建筑材料,03323,中国建材
建筑材料,01252,中国天瑞水泥
建筑材料,00914,海螺水泥
建筑材料,00366,陆氏集团(越南)
建筑材料,01136,台泥国际集团
建筑材料,00691,山水水泥
建筑材料,02233,西部水泥
建筑材料,00695,东吴水泥
建筑材料,01313,华润水泥控股
建筑材料,01220,志道国际
建筑材料,02009,金隅集团
建筑材料,01312,同方康泰
建筑材料,00758,庄胜百货集团
建筑材料,02128,中国联塑
建筑材料,00380,冠力国际
酒店,00132,中国兴业控股
酒店,00181,闽港控股
酒店,00727,皇冠环球集团
酒店,00051,海港企业
酒店,00201,华大酒店
酒店,00219,顺豪物业
酒店,01221,SINO HOTELS
酒店,00487,实德环球
酒店,00193,冠中地产
酒店,00078,富豪酒店
酒店,00022,茂盛控股
酒店,01189,珀丽酒店
酒店,00253,顺豪控股
酒店,00037,远东酒店实业
酒店,08160,GOLDWAY EDU
酒店,00234,新世纪集团
酒店,00184,激成投资
酒店,00069,香格里拉(亚洲)
酒店,02006,锦江酒店
酒店,00650,IDG能源
酒店,02266,黎氏企业
酒店,00045,大酒店
酒店,00557,城市e-Solutions
酒店,00185,正恒国际控股
金属采矿及相关贸易,00159,布莱克万矿业
金属采矿及相关贸易,00103,首长宝佳
金属采矿及相关贸易,00697,首长国际
金属采矿及相关贸易,00476,中国动力控股
金属采矿及相关贸易,00826,天工国际
金属采矿及相关贸易,01194,麦盛资本
金属采矿及相关贸易,00985,中誉集团
金属采矿及相关贸易,01380,中国金石
金属采矿及相关贸易,00505,欢悦互娱
金属采矿及相关贸易,00433,北方矿业
金属采矿及相关贸易,00976,齐合环保
金属采矿及相关贸易,00661,中国大冶有色金属
金属采矿及相关贸易,00581,中国东方集团
金属采矿及相关贸易,01203,广南(集团)
金属采矿及相关贸易,00323,马鞍山钢铁股份
金属采矿及相关贸易,01266,西王特钢
金属采矿及相关贸易,00805,嘉能可
金属采矿及相关贸易,00705,鼎和矿业
金属采矿及相关贸易,01303,滙力资源
金属采矿及相关贸易,00629,悦达矿业
金属采矿及相关贸易,02362,金川国际
金属采矿及相关贸易,01090,大明国际
金属采矿及相关贸易,08003,世大控股
金属采矿及相关贸易,01021,麦达斯控股-S
金属采矿及相关贸易,03788,中国罕王
金属采矿及相关贸易,02302,中核国际
金属采矿及相关贸易,01164,中广核矿业
金属采矿及相关贸易,01104,亚太资源
金属采矿及相关贸易,08173,万亚企业控股
金属采矿及相关贸易,01048,煜新控股
金属采矿及相关贸易,02889,镍资源国际
金属采矿及相关贸易,01118,高力集团
金属采矿及相关贸易,08306,中国有色金属
金属采矿及相关贸易,06210,VALE COMMON-DRS
金属采矿及相关贸易,01001,沪港联合
金属采矿及相关贸易,02133,中国多金属
金属采矿及相关贸易,00761,百营环球资源
金属采矿及相关贸易,01163,德金资源
金属采矿及相关贸易,00246,瑞金矿业
金属采矿及相关贸易,00893,中国铁钛
金属采矿及相关贸易,00061,绿领控股
金属采矿及相关贸易,00773,中国金属再生资源
金属采矿及相关贸易,00692,中国家居
金属采矿及相关贸易,01116,美亚控股
金属采矿及相关贸易,08299,大唐潼金
金属采矿及相关贸易,01051,国际资源
金属采矿及相关贸易,00263,高富集团控股
金属采矿及相关贸易,03939,万国国际矿业
金属采矿及相关贸易,00547,数字王国
金属采矿及相关贸易,01258,中国有色矿业
金属采矿及相关贸易,03833,新疆新鑫矿业
金属采矿及相关贸易,00486,俄罗斯铝业
金属采矿及相关贸易,01333,中国忠旺
金属采矿及相关贸易,00340,潼关黄金
金属采矿及相关贸易,01208,五矿资源
