股票代码,股票名称,交易所
697,炼石航空,深圳
698,沈阳化工,深圳
700,模塑科技,深圳
701,厦门信达,深圳
702,正虹科技,深圳
703,恒逸石化,深圳
705,浙江震元,深圳
707,ST双环,深圳
708,中信特钢,深圳
709,河钢股份,深圳
710,贝瑞基因,深圳
711,京蓝科技,深圳
712,锦龙股份,深圳
713,丰乐种业,深圳
715,中兴商业,深圳
716,黑芝麻,深圳
717,韶钢松山,深圳
718,苏宁环球,深圳
719,中原传媒,深圳
720,新能泰山,深圳
721,西安饮食,深圳
722,湖南发展,深圳
723,美锦能源,深圳
725,京东方Ａ,深圳
726,鲁泰Ａ,深圳
727,*ST东科,深圳
728,国元证券,深圳
729,燕京啤酒,深圳
731,四川美丰,深圳
732,泰禾集团,深圳
733,振华科技,深圳
735,罗牛山,深圳
736,中交地产,深圳
737,ST南风,深圳
738,航发控制,深圳
739,普洛药业,深圳
750,国海证券,深圳
751,锌业股份,深圳
752,*ST西发,深圳
753,漳州发展,深圳
755,山西路桥,深圳
756,新华制药,深圳
757,浩物股份,深圳
758,中色股份,深圳
759,中百集团,深圳
760,*ST斯太,深圳
761,本钢板材,深圳
762,西藏矿业,深圳
766,通化金马,深圳
767,漳泽电力,深圳
768,中航飞机,深圳
776,广发证券,深圳
777,中核科技,深圳
778,新兴铸管,深圳
779,甘咨询,深圳
780,*ST平能,深圳
782,美达股份,深圳
783,长江证券,深圳
785,居然之家,深圳
786,北新建材,深圳
788,北大医药,深圳
789,万年青,深圳
790,华神科技,深圳
791,甘肃电投,深圳
792,*ST盐湖,深圳
793,华闻集团,深圳
795,英洛华,深圳
796,凯撒旅业,深圳
797,中国武夷,深圳
798,中水渔业,深圳
799,酒鬼酒,深圳
800,一汽解放,深圳
801,四川九洲,深圳
802,北京文化,深圳
803,*ST金宇,深圳
806,ST银河,深圳
807,云铝股份,深圳
809,铁岭新城,深圳
810,创维数字,深圳
811,冰轮环境,深圳
812,陕西金叶,深圳
813,德展健康,深圳
815,美利云,深圳
816,ST慧业,深圳
818,航锦科技,深圳
819,岳阳兴长,深圳
820,*ST节能,深圳
821,京山轻机,深圳
822,山东海化,深圳
823,超声电子,深圳
825,太钢不锈,深圳
