科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付其他与经营活动有关的现金,"107,032,676.34","120,863,671.56","162,708,836.36","48,973,203.07","114,388,329.21","158,732,936.62","210,262,316.91","34,494,397.90","89,629,481.71","153,641,377.15","207,779,244.48","93,606,941.73","184,014,806.77"
筹资活动现金流入小计,"169,000,000.00","155,000,000.00","383,980,000.00","529,950,000.00","529,950,000.00","534,950,000.00","534,950,000.00","10,000,000.00","10,000,000.00","10,000,000.00","30,472,626.17","439,840,000.00","704,567,200.00"
经营活动现金流出小计,"1,058,541,419.88","1,255,295,521.80","1,358,203,634.92","428,108,050.45","730,447,332.03","1,106,467,200.19","1,547,336,821.54","335,413,182.31","741,839,186.54","1,183,509,607.73","1,673,286,031.26","734,406,756.42","1,338,601,210.14"
偿还债务支付的现金,"117,450,000.00","164,473,684.00","446,368,422.00","40,000,000.00","293,137,894.00","343,137,894.00","350,737,894.00",,,,,"75,000,000.00","75,000,000.00"
经营活动产生的现金流量净额,"127,524,541.07","103,142,139.16","181,713,535.98","-153,626,547.66","-17,982,221.98","56,508,734.14","168,906,446.55","-32,244,341.80","-65,069,207.95","-7,416,801.10","156,764,002.35","-264,454,707.84","-281,667,391.04"
分配股利、利润或偿还利息支付的现金,"51,021,431.14","51,647,811.95","49,613,987.24","2,254,957.86","3,858,265.12","4,161,731.23","4,188,388.94",,"115,746.25","41,689,133.33","42,649,658.71","811,848.32","10,059,149.94"
收回投资收到的现金,,"72,000.00",,"190,000,000.00","360,000,000.00","540,000,000.00","1,057,000,000.00","470,000,000.00","730,000,000.00","1,110,000,000.00","1,335,000,000.00","448,000,000.00","506,500,000.00"
支付其他与筹资活动有关的现金,"769,907.09","241,653.25","414,714.10","1,409,606.00","2,548,556.53","2,548,556.53","6,328,556.53",,,"36,325.59",,"250,000.00",
取得投资收益收到的现金,"2,809,576.00","14,889,252.83","6,119,317.57","2,714,802.82","4,179,364.22","6,177,804.96","9,659,580.56","1,663,126.77","4,790,157.37","5,857,083.04","7,631,384.41","1,554,547.93","3,533,389.13"
筹资活动现金流出小计,"169,241,338.23","216,363,149.20","496,397,123.34","43,664,563.86","299,544,715.65","349,848,181.76","361,254,839.47",,"115,746.25","41,725,458.92","42,649,658.71","76,061,848.32","85,059,149.94"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"33,000.00",840.00,,,,,,,"28,000.00","34,200.00",,
筹资活动产生的现金流量净额,"-241,338.23","-61,363,149.20","-112,417,123.34","486,285,436.14","230,405,284.35","185,101,818.24","173,695,160.53","10,000,000.00","9,884,253.75","-31,725,458.92","-12,177,032.54","363,778,151.68","619,508,050.06"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,"90,207.96"
收到其他与投资活动有关的现金,,,,,,,,,,,,"97,463.01",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"2,809,576.00","14,994,252.83","6,120,157.57","192,714,802.82","364,179,364.22","546,177,804.96","1,066,659,580.56","471,663,126.77","734,790,157.37","1,115,885,083.04","1,342,665,584.41","449,652,010.94","510,033,389.13"
五、现金及现金等价物净增加额,"37,707,764.05","-23,072,704.35","1,213,481.67","297,468,420.09","-65,711,890.25","-153,071,527.22","-81,664,628.86","-25,482,109.28","-83,235,499.27","-36,177,923.45","151,480,570.57","-181,249,212.51","-73,002,496.07"
购建固定资产、无形资产和其他长期资产支付的现金,"89,085,014.79","34,845,947.14","74,203,088.54","37,905,271.21","132,314,316.84","138,859,884.56","153,925,816.50","14,900,894.25","27,840,702.44","45,793,444.90","89,370,208.09","89,075,303.16","121,693,125.88"
期初现金及现金等价物余额,"168,959,789.75","206,667,553.80","183,594,849.45","184,693,851.12","184,808,331.12","184,808,331.12","184,808,331.12","103,143,702.26","103,143,702.26","103,143,702.26","103,143,702.26","493,059,284.98","485,577,413.64"
投资支付的现金,"3,300,000.00","45,000,000.00",,"190,000,000.00","510,000,000.00","802,000,000.00","1,337,000,000.00","460,000,000.00","735,000,000.00","1,015,000,000.00","1,186,000,000.00","583,223,626.30","799,023,626.30"
期末现金及现金等价物余额,"206,667,553.80","183,594,849.45","184,808,331.12","482,162,271.21","119,096,440.87","31,736,803.90","103,143,702.26","77,661,592.98","19,908,202.99","66,965,778.81","254,624,272.83","311,810,072.47","412,574,917.57"
