科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"22,885,613.99","28,351,144.46","32,826,767.64","27,715,138.51","38,442,557.65","17,907,960.01","26,609,222.12","37,616,297.82","61,004,853.20","29,963,188.18","48,373,042.52","66,255,845.39","87,160,914.80","34,637,508.28","57,121,973.84","82,349,657.97","111,667,161.06","56,060,881.39"
取得借款收到的现金,"2,000,000.00","10,000,000.00","17,000,000.00","30,000,000.00","30,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","85,000,000.00","180,000,000.00","210,000,000.00","290,000,000.00","104,000,000.00"
支付的各项税费,"33,014,537.80","37,096,022.72","32,669,948.68","22,518,100.30","28,572,457.85","5,169,867.91","8,802,890.26","17,117,185.62","27,762,879.82","16,100,752.19","25,083,539.59","40,950,280.72","63,162,759.71","19,442,917.99","30,475,503.73","48,648,873.48","77,179,812.44","36,933,009.44"
收到其他与筹资活动有关的现金,,,,,,,,"2,084,000.00","2,084,000.00",,,,"6,969,612.00","371,153.67","15,000,000.00","18,500,000.00","18,500,000.00",
支付其他与经营活动有关的现金,"16,540,277.18","23,177,079.60","29,395,565.18","24,362,355.84","37,457,034.71","18,802,609.54","26,361,398.28","44,018,707.58","60,999,958.75","24,361,473.25","41,756,130.67","71,070,531.34","86,139,471.29","46,140,520.19","85,618,718.07","118,816,684.41","142,870,896.40","28,341,477.55"
筹资活动现金流入小计,"102,280,000.00","11,150,000.00","17,960,000.00","30,960,000.00","30,960,000.00","283,780,000.00","283,780,000.00","285,864,000.00","477,239,000.00","10,000,000.00","10,000,000.00","10,000,000.00","180,867,098.98","101,771,153.67","273,241,369.99","306,741,369.99","386,741,370.00","104,000,000.00"
经营活动现金流出小计,"172,189,620.58","221,757,616.09","210,846,048.22","198,164,244.96","241,587,026.77","82,031,979.57","134,157,528.66","212,369,409.02","313,917,948.33","123,439,727.13","209,082,647.48","337,349,701.56","423,928,120.03","155,955,754.79","316,756,709.76","519,092,611.38","706,238,053.27","289,375,758.14"
偿还债务支付的现金,"2,000,000.00","7,000,000.00","17,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","30,000,000.00","30,000,000.00","10,000,000.00","20,000,000.00","21,300,000.00","28,217,052.36","4,000,000.00","88,500,000.00","121,590,000.00","127,890,000.00","88,000,000.00"
经营活动产生的现金流量净额,"-3,743,003.76","44,833,548.11","69,736,448.75","-14,123,820.15","24,146,494.90","-25,160,075.50","-12,176,834.05","-27,624,945.39","11,929,352.08","-29,721,940.67","-5,006,125.46","10,873,174.70","61,560,643.18","-55,891,894.39","-9,477,492.71","-35,413,577.69","54,262,100.61","-89,672,877.44"
分配股利、利润或偿还利息支付的现金,"421,172.12","5,978,710.94","8,742,175.65","14,899,277.78","15,720,027.78","442,984.34","24,380,367.66","24,646,659.32","24,892,585.40","120,020.83","9,821,720.23","18,357,581.83","20,049,354.50","3,095,081.63","19,646,059.31","34,356,947.84","38,921,934.56","4,768,967.89"
收回投资收到的现金,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"604,000.00","1,050,943.40","300,000.00","177,358.50","200,000.00","25,260,999.99","27,764,207.53","27,883,075.45","30,851,382.24","350,000.00","1,765,000.00","2,188,500.00","3,071,000.00","133,222.67","15,149,535.17","28,232,249.98","28,568,148.22",
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"3,025,172.12","14,029,654.34","26,042,175.65","25,076,636.28","25,920,027.78","35,703,984.33","62,144,575.19","82,529,734.77","85,743,967.64","10,470,020.83","31,586,720.23","41,846,081.83","51,337,406.86","7,228,304.30","123,295,594.48","184,179,197.82","195,380,082.78","92,768,967.89"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,000.00",600.00,,,"2,000.00",,"46,029.13","46,029.13","46,029.13","35,300.98","35,300.98","35,300.98","55,300.00",,"2,157.28","2,157.28","16,482.91",
筹资活动产生的现金流量净额,"99,254,827.88","-2,879,654.34","-8,082,175.65","5,883,363.72","5,039,972.22","248,076,015.67","221,635,424.81","203,334,265.23","391,495,032.36","-470,020.83","-21,586,720.23","-31,846,081.83","129,529,692.12","94,542,849.37","149,945,775.51","122,562,172.17","191,361,287.22","11,231,032.11"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,"116,552.10","-24,088.30","104,322.58","139,333.64","165,677.07","-8,957.28","-60,558.98","-131,724.16","-240,077.86","-308,322.94"
收到其他与投资活动有关的现金,,"430,000.00",,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"7,000.00","430,600.00",,,"2,000.00",,"46,029.13","46,029.13","46,029.13","35,300.98","35,300.98","35,300.98","55,300.00",,"2,157.28","2,157.28","16,482.91",
五、现金及现金等价物净增加额,"68,289,824.92","-13,093,995.41","16,184,672.59","-46,172,278.14","-13,424,263.21","210,001,732.62","191,625,608.79","144,858,648.86","232,221,319.23","-100,976,383.53","-113,571,838.05","-121,714,059.34","-52,942,190.40","24,823,230.09","106,134,525.19","43,503,410.29","140,263,518.46","-101,673,047.54"
购建固定资产、无形资产和其他长期资产支付的现金,"27,228,999.20","55,178,489.18","45,469,600.51","37,931,821.71","42,612,730.33","12,914,207.55","17,179,011.10","26,259,200.11","47,415,191.79","18,110,386.04","31,806,789.77","43,683,564.01","73,772,459.25","3,818,767.61","24,275,355.91","33,515,617.31","95,136,274.42","12,967,851.91"
期初现金及现金等价物余额,"11,776,331.06","80,066,155.98","66,972,160.57","83,156,833.16","83,156,833.16","69,732,569.95","69,732,569.95","69,732,569.95","69,732,569.95","301,953,889.18","301,953,889.18","301,953,889.18","301,953,889.18","249,011,698.78","249,011,698.78","249,011,698.78","249,011,698.78","390,736,468.92"
投资支付的现金,,,,,,,"700,000.00","4,637,500.00","30,337,500.00",,,,"7,100,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","9,955,027.36"
期末现金及现金等价物余额,"80,066,155.98","66,972,160.57","83,156,833.16","36,984,555.02","69,732,569.95","279,734,302.57","261,358,178.74","214,591,218.81","301,953,889.18","200,977,505.65","188,382,051.13","180,239,829.84","249,011,698.78","273,834,928.87","355,146,223.97","292,515,109.07","389,275,217.24","289,063,421.38"
