科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
取得投资收益收到的现金,,,,,,,,,,,,,"942,627.25","1,974,118.62","4,191,178.62",,,,,,,,"4,136,554.36","8,711,034.66","11,450,081.31","11,378,189.92","41,130,131.72",,"5,122,900.77","5,122,900.77","23,712,306.95","35,589,697.28"
筹资活动现金流出小计,,,"1,400,000.00",,"6,932,314.82","6,932,314.82","32,081,314.82","785,000.00","20,726,000.00","24,462,847.48","29,201,000.00",,"50,470,620.95","51,160,620.95","194,713,695.95","16,800,000.00","59,060,103.20","59,988,033.45","210,034,805.15","21,099,583.33","44,271,289.14","92,453,736.23","193,371,911.15",,"76,240,000.00","348,886,606.60","428,886,606.60",,"50,240,000.00","870,868,726.85","870,868,726.71","7,471,199.94"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"14,753.89",,50.00,50.00,50.00,50.00,"34,000.00","34,000.00","34,000.00","34,200.00",,,,"41,610.10",,,"1,500.00","1,350.86",,,"180,293.35","186,447.00","213,241.24","236,571.00","278,611.00","352,879.81","1,020.25","1,020.25","1,020.25","424,148.89",
筹资活动产生的现金流量净额,,"92,978,034.00","-1,400,000.00",,"601,707,685.18","601,707,685.18","576,558,685.18","-785,000.00","-20,726,000.00","240,567,151.12","237,828,998.60",,"788,529,372.32","787,839,372.32","787,904,297.32","-16,800,000.00","-59,060,103.20","-32,937,427.73","64,218,733.82","1,467,349,661.13","2,240,177,955.32","2,251,995,508.23","2,239,998,305.66","1,000,000.00","-75,240,000.00","-347,886,606.60","-428,886,606.60",,"-50,240,000.00","-869,968,726.85","-867,868,726.71","-5,371,199.94"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"7,333,612.59","7,333,612.59",,,,,
四、汇率变动对现金的影响,,,,,,725.41,"-13,265.34","-5,525.66","-67,644.43","-119,458.75","-285,173.64","89,012.47","-193,996.51","-197,127.38","24,247.74","161,377.42","-59,471.30","1,098,885.65","1,250,374.81","-991,783.95","898,786.11","-3,852,208.64","34,364,476.45","-2,799,207.34","-16,232,566.10","-37,535,555.87","-39,257,625.87","-36,081,214.93","9,943,435.19","50,329,836.60","47,855,831.89","-21,635,575.71"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,"74,342.52","76,062.34",,,,"115,217,344.25",,"806,186.07","806,186.07","806,186.07",,,,"9,318,993.46",,,,,"500,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"954,438.82","273,542,294.27","24,084,069.64",50.00,"51,393,050.00","51,901,362.18","232,200,459.79","34,000.00","60,373,095.40","120,863,506.41","130,849,841.46",,"942,627.25","62,048,461.14","135,741,375.33",,"12,238,400.00","12,487,600.00","168,831,295.11",,"1,415,946.07","1,596,239.42","74,490,160.13","11,005,230.42","22,177,721.07","267,518,782.97","317,012,130.66","11,531,020.25","22,653,921.02","44,757,671.02","66,089,965.38","41,261,879.13"
五、现金及现金等价物净增加额,"11,921,349.47","121,205,682.52","-34,066,806.83","-1,657,311.44","548,945,985.70","543,617,232.51","605,245,884.38","-7,647,523.07","-88,749,787.49","70,771,820.37","136,138,381.94","-89,350,492.36","213,377,431.19","117,564,635.29","98,887,324.10","-99,380,789.93","-476,967,371.28","-574,027,833.43","-451,901,640.11","1,130,112,094.70","1,582,796,066.04","567,516,853.86","883,289,579.54","-10,253,995.77","-263,278,992.80","-215,632,230.58","22,647,376.61","-20,605,672.59","422,955,593.94","-137,003,478.23","-169,662,452.68","8,804,741.51"
购建固定资产、无形资产和其他长期资产支付的现金,"433,009.43","2,216,867.42","83,221,222.03","5,181,371.00","15,260,811.81","31,453,538.82","24,866,941.46","16,093,853.22","29,749,411.81","42,536,243.42","80,630,408.32","22,630,468.23","63,952,258.18","107,190,205.33","178,950,986.12","31,784,200.36","79,169,377.60","137,989,871.71","183,925,530.85","49,899,199.70","112,538,488.50","159,670,113.20","188,726,863.40","45,498,387.57","141,368,949.88","188,082,237.07","182,094,076.87","31,341,975.91","51,925,641.90","69,595,544.85","57,320,214.58","10,475,860.49"
期初现金及现金等价物余额,"1,787,493.47","13,708,842.94","134,914,525.46","100,847,718.63","100,847,718.63","100,847,718.63","100,847,718.63","706,093,603.01","706,093,603.01","706,093,603.01","706,093,603.01","842,231,984.95","842,231,984.95","842,231,984.95","842,231,984.95","941,119,309.05","941,119,309.05","941,119,309.05","941,119,309.05","489,217,668.94","489,217,668.94","489,217,668.94","489,217,668.94","1,372,507,248.48","1,372,507,248.48","1,372,507,248.48","1,372,507,248.48","1,395,154,625.09","1,395,154,625.09","1,395,154,625.09","1,395,154,625.09","1,225,492,172.41"
投资支付的现金,"828,240.00","272,130,140.00","24,000,000.00",,"109,317,650.00","109,317,650.00","230,917,000.00","2,400,000.00","135,800,000.00","146,320,578.40","148,000,000.00","96,134,600.00","274,190,100.00","254,756,100.00","470,441,100.00","66,266,908.86","97,452,909.07","219,052,608.03","528,130,356.70","160,499,992.68","346,939,240.81","1,514,280,123.01","1,567,130,754.88","7,958,789.00","23,512,000.36","35,633,441.63","35,688,479.90","234,659.82","1,184,775.04","2,026,067.71","172,963,650.94",
期末现金及现金等价物余额,"13,708,842.94","134,914,525.46","100,847,718.63","99,190,407.19","649,793,704.33","644,464,951.14","706,093,603.01","698,446,079.94","617,343,815.52","776,865,423.38","842,231,984.95","752,881,492.59","1,055,609,416.14","959,796,620.24","941,119,309.05","841,738,519.12","464,151,937.77","367,091,475.62","489,217,668.94","1,619,329,763.64","2,072,013,734.98","1,056,734,522.80","1,372,507,248.48","1,362,253,252.71","1,109,228,255.68","1,156,875,017.90","1,395,154,625.09","1,374,548,952.50","1,818,110,219.03","1,258,151,146.86","1,225,492,172.41","1,234,296,913.92"
