科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
经营活动现金流出小计,"288,157,390.88","356,994,172.15","507,166,281.46","142,445,007.52","294,382,754.07","404,571,137.79","710,011,611.21","287,446,977.85","501,695,234.51","950,314,065.20","1,218,539,440.87","335,541,748.28","676,172,005.35","909,508,354.13"
偿还债务支付的现金,"38,000,000.00","140,900,000.00","172,100,000.00","131,900,000.00","257,400,000.00","280,400,000.00","396,400,000.00","34,000,000.00","74,076,000.00","351,877,419.13","401,876,000.00",,"110,000,000.00","310,000,000.00"
经营活动产生的现金流量净额,"-101,313,202.79","-45,010,687.41","-69,036,794.50","-38,000,753.03","-17,368,958.28","-46,487,703.07","-124,800,638.58","-188,528,472.32","-312,559,439.57","-102,843,908.95","-174,415,277.50","-192,090,514.77","-284,101,310.11","-217,216,646.44"
分配股利、利润或偿还利息支付的现金,"6,064,933.66","18,667,724.24","29,434,206.70","12,050,612.18","17,473,178.47","19,580,214.37","34,669,188.29","1,409,887.92","21,256,944.63","25,680,061.11","35,989,410.10","9,261,116.65","24,390,279.97","51,179,795.42"
收回投资收到的现金,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"13,500,000.00","80,500,000.00","91,450,000.00","42,213,483.51","52,708,483.51","71,977,650.50","52,782,650.51",,,"300,000.00","45,000,000.00",,,
取得投资收益收到的现金,,,,,,,,,,,,,,
筹资活动现金流出小计,"57,564,933.66","240,067,724.24","292,984,206.70","186,164,095.69","327,581,661.98","371,957,864.87","483,851,838.80","35,409,887.92","95,332,944.63","377,857,480.24","482,865,410.10","9,261,116.65","134,390,279.97","361,179,795.42"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"14,800.00",,"56,300.00","56,300.00","506,300.00",,,,,,,
筹资活动产生的现金流量净额,"72,535,066.34","81,432,275.76","64,415,793.30","294,527,848.31","243,110,282.02","368,734,079.13","382,080,961.20","-5,409,887.92","213,849,805.37","46,325,269.76","381,217,339.90","150,738,883.35","149,793,433.19","82,313,254.58"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-609,139.77","-78,386.33","-3,333.37",,"144,818.73","267,611.04","522,836.62",-261.94,"-44,502.73","-37,874.84","387,089.83","-108,246.37","-11,000.44","-6,120.11"
收到其他与投资活动有关的现金,,,,,,,,,"4,591,000.00",,"13,383,812.79","99,901.03","99,901.03","99,901.03"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,,,"14,800.00",,"56,300.00","56,300.00","506,300.00",,"4,591,000.00",,"13,383,812.79","99,901.03","99,901.03","99,901.03"
五、现金及现金等价物净增加额,"-30,546,013.57","34,027,676.49","-5,799,607.09","255,926,295.28","223,889,600.60","317,794,153.54","252,359,954.41","-194,472,761.18","-198,979,988.25","-148,433,448.29","29,914,842.43","-51,548,878.11","-179,037,114.14","-230,466,037.75"
购建固定资产、无形资产和其他长期资产支付的现金,"1,158,737.35","2,315,525.53","1,190,072.52","600,800.00","2,052,841.87","4,776,133.56","5,949,504.83","534,139.00","79,379,351.32","67,796,534.26","115,892,322.59","6,714,031.35","41,343,267.81","41,481,556.81"
期初现金及现金等价物余额,"77,755,902.97","47,209,889.40","81,237,565.89","75,437,958.80","75,437,958.80","75,437,958.80","75,437,958.80","329,398,995.21","327,797,913.21","329,398,995.21","327,797,913.21","358,713,280.64","358,713,280.64","358,713,280.64"
投资支付的现金,,,,,,,,,"7,937,500.00",,"15,265,800.00","3,474,870.00","3,474,870.00","54,174,870.00"
期末现金及现金等价物余额,"47,209,889.40","81,237,565.89","75,437,958.80","331,364,254.08","299,327,559.40","393,232,112.34","327,797,913.21","134,926,234.03","128,817,924.96","180,965,546.92","357,712,755.64","307,164,402.53","179,676,166.50","128,247,242.89"
