科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"5,014,198.75","7,649,558.39","15,324,476.12","6,971,890.30","11,618,854.90","17,529,595.48","26,849,379.97","9,310,103.93","17,868,491.38","24,568,832.86","31,703,294.67","12,994,212.89","23,241,581.39","32,492,821.47","46,304,606.51","31,379,920.28","51,853,611.90","72,994,502.53","99,886,364.69","35,511,103.36","61,693,034.54","89,580,000.04","117,701,744.08","39,215,617.16","66,998,336.89","94,801,324.01","134,117,050.24","49,324,119.84","76,849,841.95","109,982,337.99","147,584,687.61","48,150,518.66","79,726,273.32","122,805,371.82","173,561,356.44","66,791,436.10","106,360,311.67","161,405,896.37","214,556,576.70","88,171,313.84","135,733,194.57","196,746,145.58","273,533,304.16"
取得借款收到的现金,"5,000,000.00","15,000,000.00","50,000,000.00","65,000,000.00","65,000,000.00","65,000,000.00","65,000,000.00",,,,,,,,,,,,,,,,,"65,000,000.00","85,000,000.00","155,000,000.00","244,304,438.14","80,000,000.00","135,811,600.96","225,811,600.96","346,324,213.44","90,000,000.00","149,270,796.00","264,270,796.00","503,270,796.00","100,000,000.00","157,181,901.00","177,181,901.00","242,181,901.00","30,000,000.00","361,858,917.51","531,858,917.51","855,015,365.39"
支付的各项税费,"2,457,200.82","5,767,112.54","11,882,441.32","2,017,136.28","4,930,791.38","8,259,934.14","11,022,097.35","537,797.21","6,511,754.83","10,693,158.69","9,237,182.14","372,143.46","3,837,740.88","5,152,801.37","7,561,324.13","5,440,936.65","13,958,719.57","19,126,995.76","25,796,981.64","6,129,726.79","13,713,184.47","23,250,793.97","31,159,485.03","4,172,284.73","22,099,337.19","32,325,841.41","41,559,221.04","3,975,428.63","13,460,110.92","21,880,776.45","25,976,008.24","6,895,368.66","15,529,909.15","26,204,732.54","34,320,473.02","8,993,685.15","19,284,754.85","35,117,043.99","42,886,797.01","14,442,031.11","37,436,505.65","61,590,525.19","76,297,750.90"
收到其他与筹资活动有关的现金,"36,107.46","153,227.31","7,644,600.00","898,952.02","2,951,381.38","3,440,076.66","3,423,000.00","1,193,080.33",,,"6,602,100.00",,,,"16,630,000.00",,,,"2,360,000.00",,,,"13,920,000.00","1,980,000.00","5,144,270.00","7,469,242.00","9,540,000.00",,,,,,,,,,,,"554,733.09","993,000.00","993,000.00",,"993,000.00"
支付其他与经营活动有关的现金,"2,394,944.04","6,442,700.21","20,183,127.17","6,175,604.57","5,966,261.11","6,620,728.56","19,583,090.85","878,255.12","11,220,062.68","7,673,025.40","30,879,490.87","1,476,518.06","3,777,630.12","5,422,270.57","23,087,502.57","13,448,965.60","25,666,719.88","32,682,233.14","60,443,295.23","4,754,543.46","12,661,375.39","19,744,663.07","81,524,117.54","6,073,939.12","12,341,060.28","16,100,012.75","72,827,713.84","11,636,814.04","24,889,299.15","37,863,254.71","46,419,767.26","18,001,516.42","17,807,997.84","25,456,427.58","39,671,002.34","10,140,252.59","28,130,797.35","40,817,887.22","58,525,066.67","7,849,945.21","42,854,755.30","54,106,438.81","81,385,421.39"
筹资活动现金流入小计,"5,036,107.46","15,153,227.31","57,644,600.00","65,898,952.02","67,951,381.38","598,098,876.66","614,463,000.00","1,193,080.33",,,"6,602,100.00",,,,"16,630,000.00",,,,"2,360,000.00",,,,"13,920,000.00","66,980,000.00","90,144,270.00","162,469,242.00","253,844,438.14","80,000,000.00","135,811,600.96","225,811,600.96","346,324,213.44","90,000,000.00","149,270,796.00","264,270,796.00","503,270,796.00","675,608,028.06","732,789,929.06","752,789,929.06","818,835,188.95","30,993,000.00","372,551,917.51","541,558,917.51","871,708,365.39"
经营活动现金流出小计,"64,883,789.72","116,843,464.90","247,942,372.45","80,257,815.66","134,887,478.95","235,679,908.49","312,744,465.68","64,641,622.12","167,275,812.25","272,220,168.97","355,646,409.55","107,655,426.04","206,736,790.31","288,891,958.90","384,080,331.04","246,405,832.97","417,321,688.21","614,855,260.65","783,941,743.71","232,816,345.32","470,945,314.38","710,188,469.66","995,733,003.04","259,300,712.05","551,876,165.13","799,947,525.91","1,176,290,805.03","309,382,930.81","542,867,675.73","737,814,629.18","1,056,349,539.64","243,573,254.75","578,477,285.92","816,851,913.43","1,008,161,594.61","310,427,813.76","601,587,643.24","860,050,992.09","1,227,525,553.64","367,868,657.95","772,558,563.21","1,323,906,409.62","1,758,106,159.79"
偿还债务支付的现金,"5,000,000.00","10,000,000.00","25,000,000.00","25,000,000.00","35,000,000.00","100,000,000.00","100,000,000.00",,,,,,,,,"4,988,632.00","7,910,286.92","5,691,082.00","5,691,082.00",,,,,,"20,000,000.00","85,000,000.00","85,000,000.00","55,214,199.14","59,304,438.14","115,116,039.10","175,116,039.10","40,082,552.73","94,783,408.48","154,783,408.48","284,783,408.48","350,000,000.00","390,000,000.00","454,656,374.50","555,285,077.70","10,000,000.00","82,000,000.00","180,773,775.39","327,738,523.39"
经营活动产生的现金流量净额,"55,310,534.39","74,961,461.56","89,843,369.53","-3,711,775.55","29,090,578.73","20,391,503.42","31,800,197.88","73,228,588.63","101,328,696.57","119,309,378.75","127,541,204.83","-2,290,568.69","15,688,867.66","44,541,834.97","82,482,175.08","-36,394,608.66","6,070,788.57","-2,056,299.31","40,146,709.96","-12,656,536.40","-8,536,702.40","61,734,026.22","103,306,903.77","46,161,419.49","66,097,320.58","77,155,396.12","108,899,371.94","14,922,387.40","111,395,068.35","119,082,967.89","140,335,346.77","43,045,469.25","92,038,791.17","113,618,568.97","156,796,906.49","-41,471,408.96","8,499,974.77","61,364,130.37","184,861,778.96","13,665,492.08","53,015,765.06","43,289,754.55","362,985,774.62"
分配股利、利润或偿还利息支付的现金,,"41,787,805.92","70,283,690.93","563,300.65","1,875,243.50","2,016,472.71","2,323,130.65",,"34,359,806.49","96,327,816.28","99,602,464.47",,"50,611,008.25","50,611,008.25","50,611,008.25","106,325,250.82","106,325,250.80","106,325,250.84","106,804,784.60","6,030,085.31","6,030,085.31","8,232,835.31","9,060,750.00",,"27,473,195.07","28,481,565.71","29,722,451.54","3,291,868.22","26,957,448.28","30,985,915.35","35,570,407.76","5,255,154.81","10,762,152.68","16,093,933.15","23,071,755.62","8,773,513.39","64,195,590.18","66,868,451.51","70,180,134.72","2,244,862.52","10,470,191.67","67,215,208.01","74,098,004.78"
收回投资收到的现金,,,,,,,,"5,024,061.30","5,024,061.30","5,024,061.30","5,024,061.30",,,,"4,200,000.00",,,,"55,000,000.00","20,000,000.00","30,000,000.00","100,000,000.00",,"50,000,000.00","50,000,000.00","80,000,000.00",,,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00",
支付其他与筹资活动有关的现金,"96,726.80","262,314.50",,"263,957.50","1,856.93","2,863,210.08","20,956,089.73",,,,,,,,,,"5,000.00","1,279,155.20",,,,,,,,,"3,569,400.14",,,,,,"2,485,667.82","1,823,022.54","3,590,074.77","1,836,488.22","1,836,488.19","1,836,488.19","4,953,760.97","3,509,433.53","3,018,168.74","8,215,702.04","8,302,647.22"
取得投资收益收到的现金,,,"83,838.81",,,,,,,,,,,,,,,,"442,109.59","117,589.04","153,972.60","986,412.31","1,798,389.30","165,205.47","663,223.86","639,091.77","513,005.46",,"43,150.68","43,150.68","43,150.68",,,,,,,,,"73,041.10","73,041.10","73,041.10",
筹资活动现金流出小计,"5,096,726.80","52,050,120.42","95,283,690.93","25,827,258.15","36,877,100.43","104,879,682.79","123,279,220.38",,"34,359,806.49","96,327,816.28","99,602,464.47",,"50,611,008.25","50,611,008.25","50,611,008.25","111,313,882.82","114,240,537.72","113,295,488.04","112,495,866.60","6,030,085.31","6,030,085.31","8,232,835.31","9,060,750.00",,"47,473,195.07","113,481,565.71","118,291,851.68","58,506,067.36","86,261,886.42","146,101,954.45","210,686,446.86","45,337,707.54","108,031,228.98","172,700,364.17","311,445,238.87","360,610,001.61","456,032,078.37","523,361,314.20","630,418,973.39","15,754,296.05","95,488,360.41","256,204,685.44","410,139,175.39"
处置固定资产、无形资产和其他长期资产收回的现金净额,700.00,700.00,"128,144.00",,"22,690.00","106,556.80","94,780.00",,,"47,200.20","134,458.40",,,"-11,150.00",,,,698.50,"103,973.49","4,205,000.00","9,405,792.00","9,572,459.95","10,315,561.58","111,118.00","193,549.00","271,049.00","3,482,526.49","595,065.70","933,119.35","933,936.53","2,062,291.03","280,080.00","346,937.20","912,209.20","1,989,704.20","2,804,150.00","3,173,212.19","3,621,392.66","3,730,519.67","173,779.00","345,779.00","2,258,775.05","3,462,797.45"
筹资活动产生的现金流量净额,"-60,619.34","-36,896,893.11","-37,639,090.93","40,071,693.87","31,074,280.95","493,219,193.87","491,183,779.62","1,193,080.33","-34,359,806.49","-96,327,816.28","-93,000,364.47",,"-50,611,008.25","-50,611,008.25","-33,981,008.25","-111,313,882.82","-114,240,537.72","-113,295,488.04","-110,135,866.60","-6,030,085.31","-6,030,085.31","-8,232,835.31","4,859,250.00","66,980,000.00","42,671,074.93","48,987,676.29","135,552,586.46","21,493,932.64","49,549,714.54","79,709,646.51","135,637,766.58","44,662,292.46","41,239,567.02","91,570,431.83","191,825,557.13","314,998,026.45","276,757,850.69","229,428,614.86","188,416,215.56","15,238,703.95","277,063,557.10","285,354,232.07","461,569,190.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,945,763.55"
四、汇率变动对现金的影响,"-281,965.60","-414,859.22","-2,355,900.92","-83,413.67","-225,463.71","-260,723.93","-254,961.31","-45,487.27","-115,652.90","-167,838.66","-189,713.38","-45,263.79","-114,343.96","-251,313.05","-441,701.49","385,025.03","172,364.04","-462,161.77","-304,605.67","-22,279.85","362,881.00","862,263.69","-45,970.00","-1,781,167.32","-3,950,500.25","-5,611,031.35","-6,463,264.24","522,327.32","248,805.63","143,385.35","1,145,151.15","1,646,589.59","3,299,929.42","4,049,817.84","3,512,593.30","90,681.04","815,028.23","707,019.50","1,567,161.20","-173,649.42","-1,187,947.66","815,464.91","-3,112,933.50"
收到其他与投资活动有关的现金,"21,623.87",,,,,,,,,,,,,,,,,,"217,180,245.56",,,,"170,000,000.00",,,,"95,000,000.00","20,000,000.00",,,,,,,"15,971,700.00",,,,"11,800,000.00",,,,"12,050,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"22,323.87",700.00,"211,982.81",,"22,690.00","106,556.80","94,780.00","5,024,061.30","5,024,061.30","5,071,261.50","5,158,519.70",,,"-11,150.00","4,200,000.00",,,698.50,"272,726,328.64","24,322,589.04","39,559,764.60","110,558,872.26","182,113,950.88","50,276,323.47","50,856,772.86","80,910,140.77","98,995,531.95","20,595,065.70","30,976,270.03","30,977,087.21","32,105,441.71","280,080.00","346,937.20","912,209.20","17,961,404.20","2,804,150.00","3,173,212.19","3,621,392.66","15,530,519.67","20,246,820.10","20,418,820.10","22,331,816.15","34,458,561.00"
五、现金及现金等价物净增加额,"46,551,625.61","20,737,940.72","-2,190,282.03","20,621,594.94","25,071,743.17","457,859,232.94","436,596,485.44","53,212,037.88","34,907,153.29","-29,841,663.68","-51,538,246.66","-28,105,707.53","-78,674,510.83","-59,895,463.29","-210,643,167.01","-175,901,275.23","-150,812,356.96","-210,361,627.90","24,679,681.31","-47,546,047.15","-78,180,599.31","-53,114,897.60","-54,022,069.73","71,802,983.82","-42,701,533.85","-72,789,725.44","-64,469,699.84","-24,092,471.04","53,516,016.01","28,617,301.20","3,492,155.61","-16,024,795.66","-23,011,520.62","-65,684,238.96","66,955,320.89","195,591,142.54","104,346,784.35","7,800,279.30","41,968,055.15","-39,091,396.30","167,253,049.92","-10,213,015.20","194,369,000.82"
购建固定资产、无形资产和其他长期资产支付的现金,"8,438,647.71","16,912,468.51","52,250,642.52","15,654,909.71","34,890,342.80","55,597,297.22","81,227,310.75","26,188,205.11","36,970,145.19","57,726,648.99","79,047,893.34","25,769,875.05","42,505,320.23","53,354,080.06","75,436,447.20","27,050,304.11","41,287,467.18","64,548,377.28","97,680,835.00","23,159,734.63","43,536,457.20","88,037,224.46","174,256,204.38","59,833,591.82","148,376,201.97","196,251,907.27","302,474,166.58","71,626,184.10","128,123,042.54","190,432,785.76","295,731,550.60","105,659,226.96","159,936,745.43","275,835,266.80","303,141,140.23","80,830,305.99","184,899,281.53","285,320,878.09","346,407,620.24","68,068,763.01","156,847,144.68","276,117,006.38","575,570,197.30"
期初现金及现金等价物余额,"9,889,256.34","9,889,256.34","9,889,256.34","7,698,974.31","7,698,974.31","7,698,974.31","7,698,974.31","444,395,459.75","444,295,459.75","444,395,459.75","444,295,459.75","392,757,213.09","392,757,213.09","392,757,213.09","392,757,213.09","408,887,113.23","408,887,113.23","408,887,113.23","182,114,046.08","213,768,405.60","206,793,727.39","206,793,727.39","206,793,727.39","152,771,657.66","152,771,657.66","152,771,657.66","152,771,657.66","88,301,957.82","88,301,957.82","88,301,957.82","88,301,957.82","91,794,113.43","91,794,113.43","91,794,113.43","91,794,113.43","158,749,434.35","158,749,434.32","158,749,434.32","158,749,434.32","203,148,541.82","200,717,489.47","200,717,489.47","200,717,489.47"
投资支付的现金,,,,,,,"5,000,000.00",,,,"12,000,000.00",,,,"186,000,000.00",,,"30,000,000.00","75,000,000.00","30,000,000.00","60,000,000.00","130,000,000.00",,"30,000,000.00","50,000,000.00","77,980,000.00","2,980,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,"20,000,000.00","20,010,000.00","80,687,276.50","80,761,394.00"
期末现金及现金等价物余额,"56,440,881.95","30,627,197.06","7,698,974.31","28,320,569.25","32,770,717.48","465,558,207.25","444,295,459.75","497,607,497.63","479,202,613.04","414,553,796.07","392,757,213.09","364,651,505.56","314,082,702.26","332,861,749.80","182,114,046.08","232,985,838.00","258,074,756.27","198,525,485.33","206,793,727.39","166,222,358.45","128,613,128.08","164,664,889.88","152,771,657.66","224,574,641.48","110,070,123.81","79,981,932.22","88,301,957.82","64,209,486.78","141,817,973.83","116,919,259.02","91,794,113.43","75,769,317.77","68,782,592.81","26,109,874.47","158,749,434.32","354,340,576.89","263,096,218.67","166,549,713.62","200,717,489.47","164,057,145.52","367,970,539.39","190,504,474.27","395,086,490.29"
