科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
资本公积,"161,664,871.95","149,664,871.95","149,664,871.95","149,664,871.95",,"149,664,871.95","354,185,513.48","354,185,513.48","354,185,513.48"
无形资产,"61,971,527.33","65,965,914.60","64,780,127.37","64,033,855.58",,"63,295,916.96","63,723,333.09","63,313,171.44","62,903,009.79"
盈余公积,"7,082,517.42","10,939,999.02","15,054,716.56","17,132,229.75",,"19,427,217.05","19,427,217.05","23,042,187.48","23,042,187.48"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"65,162,896.63","106,471,130.61","121,216,531.83","156,914,359.79",,"196,238,050.21","226,865,949.90","207,923,397.36","242,296,582.58"
长期待摊费用,"101,564.45","63,477.77","25,391.09","6,347.75",,,,,
少数股东权益,,,,,,,,,
递延所得税资产,"3,488,978.27","2,196,154.93","3,719,851.78","3,947,157.98",,"3,819,499.55","4,152,817.39","3,909,518.97","4,185,562.60"
外币报表折算价差,,,,,,,,,
其他非流动资产,"9,623,688.49","1,851,800.38","15,211,424.36","7,078,517.43",,"9,043,420.74","11,789,792.34","31,364,630.73","94,146,829.52"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"276,411,588.59","265,603,994.04","315,549,981.41","360,715,149.91",,"401,337,864.02","410,628,032.89","441,487,853.83","546,755,261.97"
所有者权益(或股东权益)合计,"356,261,756.39","403,138,049.64","423,850,436.61","462,536,007.94","482,530,900.00","504,832,786.18","784,371,681.91","769,126,014.68","803,700,836.35"
资产总计,"512,268,349.37","508,714,696.93","534,652,190.95","610,953,380.47","628,731,100.00","663,352,344.59","943,358,702.23","902,298,373.82","925,262,949.70"
负债和所有者(或股东权益)合计,"512,268,349.37","508,714,696.93","534,652,190.95","610,953,380.47",,"663,352,344.59","943,358,702.23","902,298,373.82","925,262,949.70"
