科目,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"6,973,829.23","3,855,874.06","8,583,336.18","6,915,535.16","15,245,140.84","14,106,689.23","29,181,015.26","19,542,489.27","41,582,415.53","22,999,491.23","48,473,568.14","36,525,294.93","78,860,447.83","52,857,464.77","106,789,513.56","30,971,702.11","58,018,406.77","88,250,505.70","122,097,801.85","46,241,664.45","77,971,806.20","110,758,654.96","138,784,223.37","45,661,294.68","79,055,363.92","114,624,646.76","165,911,700.03","64,100,171.22","101,406,215.13","156,912,734.99","207,735,178.91","54,022,095.71"
取得借款收到的现金,"13,010,000.00","8,000,000.00","17,000,000.00","18,000,000.00","30,000,000.00","57,000,000.00","57,000,000.00","55,000,000.00","55,000,000.00","65,000,000.00","90,000,000.00","65,000,000.00","80,000,000.00","45,000,000.00","80,000,000.00","70,000,000.00","70,000,000.00","100,000,000.00","100,000,000.00","42,000,000.00","72,000,000.00","72,000,000.00","102,000,000.00","30,000,000.00","65,000,000.00","138,985,869.30","437,940,386.39","209,760,247.00","412,515,185.00","769,440,233.00","1,205,783,434.03","318,726,059.32"
支付的各项税费,"8,555,371.57","4,053,329.17","11,749,679.53","7,032,093.31","21,072,264.34","18,466,684.77","39,875,403.66","17,705,879.78","48,241,199.50","14,173,288.51","53,098,559.73","26,979,266.77","55,515,352.42","25,874,299.65","55,574,516.79","15,694,557.52","24,538,616.75","49,552,346.26","67,402,284.44","27,612,062.38","43,559,549.33","71,279,596.15","95,555,924.44","13,874,109.72","24,397,659.82","46,506,876.50","87,419,912.32","37,762,012.07","68,776,446.37","91,142,787.79","103,828,271.97","15,119,624.99"
收到其他与筹资活动有关的现金,,,"219,293.00",,,"3,000,000.00","3,000,000.00",,,,,,,,,,"19,993,107.37","19,993,107.37","15,266,092.82",,"1,000,038.52","1,000,043.40","37,273,816.00",,"2,397,769.90","2,395,156.47",,,"194,460,300.00","208,530,300.00",,
支付其他与经营活动有关的现金,"11,450,082.15","9,017,801.98","17,013,293.02","11,275,937.84","19,074,249.88","17,656,266.19","30,917,714.52","24,542,589.17","49,575,131.25","51,957,637.40","79,595,396.18","50,465,490.05","122,071,058.71","106,613,054.97","153,041,637.05","47,528,045.21","79,008,984.89","220,636,659.50","160,097,914.47","36,256,845.92","71,375,557.94","112,039,832.30","133,212,574.26","34,835,055.33","99,434,737.01","152,826,527.68","176,732,795.68","143,853,774.87","295,225,053.42","734,000,323.96","181,980,587.15","69,263,025.69"
筹资活动现金流入小计,"13,010,000.00","37,574,400.00","50,025,645.02","18,000,000.00","30,000,000.00","60,000,000.00","60,000,000.00","55,420,356.00","55,420,356.00","65,000,000.00","90,000,000.00","65,000,000.00","80,000,000.00","45,000,000.00","80,000,000.00","70,000,000.00","334,143,603.85","364,143,603.85","359,416,589.30","42,000,000.00","73,000,038.52","174,545,760.05","241,042,512.94","30,000,000.00","67,397,769.90","589,550,880.48","887,289,486.39","209,760,247.00","608,530,910.50","979,525,958.50","1,207,332,789.53","318,726,059.32"
经营活动现金流出小计,"107,623,355.15","51,761,906.00","115,665,367.23","82,173,123.77","186,046,239.13","117,140,473.74","252,011,791.91","151,779,120.72","326,533,036.87","214,270,993.12","468,656,840.55","300,885,609.76","643,585,412.29","419,451,123.99","871,066,469.50","253,010,996.04","443,235,317.62","833,503,981.48","1,028,294,708.69","257,297,978.18","482,814,869.04","687,776,228.69","1,101,566,097.81","355,299,291.46","610,920,192.76","1,018,352,982.98","1,681,446,570.26","614,134,077.94","1,477,706,990.28","2,355,339,703.28","2,251,704,139.86","433,532,224.97"
偿还债务支付的现金,"12,265,500.00","10,000,000.00","14,000,000.00","12,000,000.00","21,000,000.00","25,655,000.00","30,655,000.00","37,000,000.00","61,345,000.00","50,000,000.00","65,000,000.00","75,000,000.00","100,000,000.00","55,000,000.00","70,000,000.00",,"45,000,000.00","115,000,000.00","115,000,000.00","50,000,000.00","52,000,000.00","98,000,000.00","100,000,000.00","20,000,000.00","24,000,000.00","37,218,424.13","153,698,059.08","58,211,977.39","178,116,821.30","312,154,528.22","539,185,496.44","249,110,700.57"
经营活动产生的现金流量净额,"3,241,761.08","-9,112,703.28","12,238,568.26","-25,003,683.46","26,502,495.39","-36,763,683.46","18,361,359.72","-32,418,675.05","31,417,278.84","-21,431,293.90","118,478,534.06","-72,598,859.72","65,768,012.51","-97,873,593.11","18,973,009.68","-84,392,975.95","-24,660,212.16","-78,443,768.94","30,171,391.35","-10,478,601.28","16,143,711.97","-80,573,551.62","42,357,286.99","-81,420,824.79","-48,578,544.21","-83,907,086.11","89,140,724.11","-147,917,215.52","-145,120,279.92","-294,130,822.72","-181,883,238.44","-114,281,082.87"
分配股利、利润或偿还利息支付的现金,"1,000,583.31","355,365.00","1,101,605.00","15,676,373.80","13,895,669.37","1,120,563.53","2,999,749.34","2,313,944.07","4,690,340.77","14,408,757.76","16,667,855.25","2,357,523.34","4,538,640.01","14,742,635.47","19,908,257.14","16,753,565.21","17,628,819.28","16,460,491.51","21,219,297.22",,"43,607,070.83","45,357,479.29","45,306,611.67","646,216.66","43,197,937.89","45,234,848.92","50,566,459.71","6,886,667.48","6,393,161.88","54,917,649.02","81,980,664.71","14,824,105.37"
收回投资收到的现金,,,"1,150,582.19","15,370,000.00","370,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"220,000,000.00",
支付其他与筹资活动有关的现金,,"166,560.00","268,868.00","367,335.00","1,456,645.00","4,549,695.00","5,949,695.00","1,172,962.50","1,332,962.50","1,287,218.89","1,647,165.43","1,129,433.33","3,005,417.60","662,333.33","1,449,867.58","1,000,000.00","1,052,608.33","13,636,541.03","2,026,815.75",,"1,222,487.81","999,507.52","1,393,853.46",,"2,397,769.90","3,280,334.40","7,881,866.29",,"13,945,670.00","25,831,891.32","22,984,411.60","1,720,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,134,246.58",,,,"1,962,630.14",
筹资活动现金流出小计,"13,266,083.31","10,521,925.00","15,370,473.00","28,043,708.80","36,352,314.37","31,325,258.53","39,604,444.34","40,486,906.57","67,368,303.27","65,695,976.65","83,315,020.68","78,486,956.67","107,544,057.61","70,404,968.80","91,358,124.72","17,753,565.21","63,681,427.61","145,097,032.54","138,246,112.97","50,000,000.00","96,829,558.64","144,356,986.81","146,700,465.13","20,646,216.66","69,595,707.79","85,733,607.45","212,146,385.08","65,098,644.87","198,455,653.18","392,904,068.56","644,150,572.75","265,654,805.94"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"35,000.00","82,000.00",,,"32,800.00","32,800.00","94,500.00","192,161.80","14,357,000.00",,"21,000.00","21,000.00",,,"53,347.00","168,347.00","445,600.00","466,629.56","532,629.56","1,091,621.08",,,,,,,,"513,606.90","100,000.00"
筹资活动产生的现金流量净额,"-256,083.31","27,052,475.00","34,655,172.02","-10,043,708.80","-6,352,314.37","28,674,741.47","20,395,555.66","14,933,449.43","-11,947,947.27","-695,976.65","6,684,979.32","-13,486,956.67","-27,544,057.61","-25,404,968.80","-11,358,124.72","52,246,434.79","270,462,176.24","219,046,571.31","221,170,476.33","-8,000,000.00","-23,829,520.12","30,188,773.24","94,342,047.81","9,353,783.34","-2,197,937.89","503,817,273.03","675,143,101.31","144,661,602.13","410,075,257.32","586,621,889.94","563,182,216.78","53,071,253.38"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,"-2,333.86","-7,830.89","-41,278.68","-30,328.25","-64,678.99","9,657.52","9,657.52",261.00,"-4,920.90",,,,,,,,,,,,,,"-544,555.03",,"197,435.01","198,279.49","516,443.81",
收到其他与投资活动有关的现金,,,,,"15,000,000.00","275,000.00","275,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"1,150,582.19","15,405,000.00","15,362,000.00","275,000.00","275,000.00","32,800.00","32,800.00","94,500.00","192,161.80","14,357,000.00",,"21,000.00","21,000.00",,,"53,347.00","168,347.00","445,600.00","466,629.56","532,629.56","1,091,621.08",,,,"1,134,246.58",,,,"222,476,237.04","100,000.00"
五、现金及现金等价物净增加额,"-393,387.27","14,442,343.72","30,479,191.17","-23,115,074.30","28,030,963.88","-38,587,148.23","1,036,186.73","-24,613,395.72","1,764,626.96","-26,305,029.40","118,979,572.33","-103,710,121.66","13,284,931.07","-133,531,828.24","-21,411,693.58","-49,463,431.18","193,078,123.73","-14,557,925.14","45,640,299.06","-39,989,442.41","-39,999,311.36","-93,113,158.69","-58,499,055.26","-89,236,583.95","-141,722,491.28","160,482,204.89","53,388,529.23","-85,476,915.41","-74,643,057.24","-179,083,144.97","10,734,788.45","-85,447,302.39"
购建固定资产、无形资产和其他长期资产支付的现金,"1,379,065.04","1,337,428.00","2,565,131.30","2,166,782.04","6,292,983.28","30,765,375.35","37,954,449.97","7,130,641.85","17,672,825.62","4,281,916.37","6,385,760.37","31,981,566.27","24,934,102.93","10,274,266.33","29,047,578.54","17,316,890.02","52,723,840.35","155,214,074.51","205,869,915.62","21,956,441.13","32,780,132.77","43,261,009.87","142,890,011.14","12,502,873.50","86,279,340.18","97,493,188.03","181,358,480.28","80,504,778.85","84,995,469.65","108,890,673.68","204,675,052.74","24,969,472.90"
期初现金及现金等价物余额,,"10,658,069.17","10,658,069.17",,"43,656,984.85","71,687,948.73","71,687,948.73","72,724,135.46","72,724,135.46","74,488,762.42","74,488,762.42","193,468,334.75","193,468,334.75","206,753,265.82","206,753,265.82","185,341,572.24","185,341,572.24","185,341,572.24","185,341,572.24","230,727,129.80","230,727,129.80","230,727,129.80","230,981,871.30","172,481,828.02","172,481,828.02","208,713,601.44","172,482,816.04","225,871,345.27","225,871,345.27","225,871,345.27","225,871,345.27","225,871,345.27"
投资支付的现金,"2,000,000.00","2,160,000.00","15,000,000.00","1,275,900.00","1,275,900.00",,,,,,,,,,,,,,,,,,"53,400,000.00","4,666,669.00","4,666,669.00","161,934,794.00","324,666,669.00","1,716,523.17","254,800,000.00","362,881,818.00","388,881,818.00","-632,000.00"
期末现金及现金等价物余额,,"25,100,412.89","41,137,260.34",,"71,687,948.73","33,100,800.50","72,724,135.46","48,110,739.74","74,488,762.42","48,183,733.02","193,468,334.75","89,758,213.09","206,753,265.82","73,221,437.58","185,341,572.24","135,878,141.06","378,419,695.97","170,783,647.10","230,981,871.30","190,737,687.39","190,727,818.44","137,613,971.11","172,482,816.04","83,245,244.07","30,759,336.74","369,195,806.33","225,871,345.27","140,394,429.86","151,228,288.03","46,788,200.30","236,606,133.72","140,424,042.88"
