科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"933,048,720.75","751,359,307.49","991,376,423.24","590,445,345.89","1,111,289,612.43","239,234,500.82","541,186,982.92","798,617,961.78","1,045,655,487.47","258,855,840.90","611,663,624.08","885,573,033.92","1,174,913,612.11","292,331,907.73","681,982,187.24","1,011,430,790.57","1,350,658,926.45","408,236,956.44","942,063,156.72","1,366,186,733.82","1,777,134,956.10","413,698,757.42","926,046,925.70","1,359,980,786.76","1,831,394,516.37","453,895,137.27","1,048,103,901.25","1,530,218,756.87","2,012,053,975.76","557,075,678.60","1,229,781,996.90"
取得借款收到的现金,"5,171,616,264.34","2,556,429,641.73","6,247,739,414.32","4,453,333,632.58","9,064,415,590.91","1,112,482,603.37","2,579,928,717.78","4,275,820,567.24","8,875,600,523.05","1,262,021,915.21","2,134,527,318.96","3,263,688,211.45","4,406,689,999.58","1,096,796,610.80","2,409,928,890.79","3,552,543,327.16","4,685,646,345.00","1,470,017,534.13","3,081,112,464.52","4,697,560,791.89","5,699,778,423.13","1,239,337,903.42","2,177,809,245.22","4,087,848,702.80","5,657,069,651.74","751,160,397.51","1,451,872,712.90","2,128,715,428.38","3,075,702,671.28","1,373,123,827.36","2,606,035,549.98"
支付的各项税费,"93,433,427.60","85,618,601.10","106,608,905.07","99,500,498.55","132,715,344.40","33,560,508.18","41,014,456.28","90,508,401.24","134,402,161.28","47,904,189.29","76,988,280.44","96,180,162.82","120,280,865.87","30,192,819.20","72,266,184.18","105,646,318.24","142,776,631.29","54,278,090.40","137,561,623.50","188,061,112.14","231,287,764.79","125,116,671.06","199,413,919.82","250,603,241.09","300,320,816.18","66,925,481.34","151,793,043.18","215,050,118.40","260,352,927.93","67,781,712.86","140,538,576.16"
收到其他与筹资活动有关的现金,,,,"7,050,000.00","7,050,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"280,524,165.01","248,304,088.54","217,601,745.07","168,714,223.19","223,593,333.23","74,755,057.74","149,799,289.81","163,413,505.80","235,215,534.29","142,083,596.40","121,959,788.57","197,618,612.18","301,974,788.13","84,855,938.23","170,260,718.30","295,128,886.03","350,537,234.79","43,171,831.53","132,901,686.53","124,303,865.95","296,555,145.70","33,465,424.94","106,010,654.16","179,862,000.04","226,356,524.71","99,209,090.25","150,714,539.06","299,072,478.05","404,708,374.34","98,609,014.10","206,352,084.12"
筹资活动现金流入小计,"5,207,302,824.34","2,556,429,641.73","6,247,739,414.32","4,460,383,632.58","9,071,465,590.91","1,885,968,671.03","3,353,347,909.68","5,049,239,759.14","9,649,019,714.95","1,262,021,915.21","2,134,527,318.96","3,263,688,211.45","4,406,689,999.58","1,096,796,610.80","2,409,928,890.79","3,552,543,327.16","6,707,386,327.34","1,470,017,534.13","3,081,112,464.52","4,697,560,791.89","5,699,778,423.13","1,239,337,903.42","2,177,809,245.22","4,087,848,702.80","5,657,246,108.34","751,160,397.51","1,451,872,712.90","2,128,715,428.38","3,075,702,671.28","1,373,123,827.36","2,606,035,549.98"
经营活动现金流出小计,"16,164,927,941.12","9,370,062,895.03","13,178,039,405.06","6,801,150,696.33","12,569,830,094.39","2,970,956,895.78","5,700,852,776.44","8,698,035,237.44","12,400,736,899.83","3,664,766,010.23","6,648,294,856.67","10,002,380,160.38","13,724,495,467.12","3,309,590,335.06","6,822,429,918.45","10,434,231,905.61","14,924,785,405.80","4,642,726,294.19","9,619,940,534.18","14,844,572,556.87","20,349,430,658.42","5,209,138,392.77","9,740,314,612.10","15,294,577,873.65","22,295,706,038.76","6,547,910,462.82","12,826,349,559.73","19,467,665,857.92","27,894,559,659.65","7,967,667,949.51","14,150,485,524.93"
偿还债务支付的现金,"5,039,322,896.28","2,640,217,765.59","5,482,287,440.56","3,633,700,036.02","8,613,093,193.09","1,190,386,593.83","2,739,588,139.14","4,572,440,902.03","8,986,605,350.42","1,544,896,429.36","2,452,424,115.64","3,299,100,818.69","4,345,631,692.05","1,369,328,977.69","2,211,039,988.60","3,265,658,782.61","4,544,126,925.13","1,048,886,980.91","2,433,372,818.78","4,208,533,709.18","6,260,894,958.55","1,723,678,329.40","2,789,098,108.21","3,591,663,351.94","5,681,899,418.88","1,477,267,253.95","2,198,729,418.72","2,879,726,323.85","3,522,154,100.69","1,338,527,048.99","2,497,547,559.52"
经营活动产生的现金流量净额,"713,164,319.86","702,725,434.30","663,508,199.64","263,533,875.97","913,317,030.63","258,499,987.94","360,768,417.22","404,030,265.50","-6,766,791.43","923,575,350.92","1,157,649,972.40","1,087,230,165.11","1,326,398,998.45","767,597,533.84","779,538,788.48","893,308,628.03","963,221,744.97","121,100,357.20","-476,189,748.15","-353,932,436.17","1,301,078,479.91","266,280,058.45","792,111,391.87","681,301,560.23","1,600,497,880.55","721,091,174.60","778,919,767.88","824,588,082.13","1,238,991,405.04","515,200,192.14","49,626,989.87"
分配股利、利润或偿还利息支付的现金,"73,427,676.68","13,736,572.60","387,743,477.30","99,574,392.02","121,521,220.74","13,835,745.82","70,651,139.41","78,397,507.21","84,067,839.48","4,598,032.20","38,603,755.04","204,883,116.50","208,926,448.31","5,712,727.03","30,854,085.48","183,064,105.49","195,469,283.42","6,736,783.45","73,667,574.99","234,154,693.98","239,524,264.59","3,232,617.97","223,903,502.88","226,665,607.57","233,487,832.17","3,911,250.59","65,630,301.65","68,101,035.34","270,536,883.35","5,629,605.84","413,354,875.43"
收回投资收到的现金,"309,637,393.15",,,"569,630.00","5,146,649.42","630,504.63","313,348,374.43","495,579,999.87","1,573,850,363.45","622,338,721.09","2,355,815,730.31","4,180,007,355.16","5,791,033,966.36","1,978,093,215.66","4,281,045,830.78","6,819,028,324.46","10,298,050,000.00","4,126,146,000.00","7,079,974,666.67","9,836,876,000.00","11,583,280,000.00","2,065,990,800.00","3,978,990,800.00","5,698,190,800.00","7,393,870,800.00","2,339,000,000.00","4,778,192,878.49","7,807,612,927.58","10,009,031,216.05","3,281,340,759.53","5,985,729,581.45"
支付其他与筹资活动有关的现金,"300,979,988.80","149,738,380.70","659,356,311.17","696,549,292.50","696,549,292.50",,,,,,,,,,,,"4,050,377.24",,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"52,749,613.01","25,117,921.41","55,898,408.99","71,422,269.57","79,923,540.88","2,892,593.35","9,764,393.55","12,232,740.00","26,886,059.60","11,274,876.07","46,772,434.05","81,245,426.81","64,714,292.36","17,423,750.35","43,418,879.54"
筹资活动现金流出小计,"5,413,730,561.76","2,803,692,718.89","6,529,387,229.03","4,429,823,720.54","9,431,163,706.33","1,204,222,339.65","2,810,239,278.55","4,650,838,409.24","9,070,673,189.90","1,549,494,461.56","2,491,027,870.68","3,503,983,935.19","4,554,558,140.36","1,375,041,704.72","2,241,894,074.08","3,448,722,888.10","4,743,646,585.79","1,055,623,764.36","2,507,040,393.77","4,442,688,403.16","6,500,419,223.14","1,726,910,947.37","3,013,001,611.09","3,818,328,959.51","5,915,387,251.05","1,481,178,504.54","2,264,359,720.37","2,947,827,359.19","3,792,690,984.04","1,344,156,654.83","2,910,902,434.95"
处置固定资产、无形资产和其他长期资产收回的现金净额,"22,601,465.50","11,422,318.01","2,673,879.81","27,386,576.98","30,410,324.87","4,163,017.08","11,873,858.36","13,758,302.95","16,890,032.59","1,037,440.11","5,284,645.94","14,613,566.34","14,989,333.37","4,561,807.18","4,771,815.59","4,821,815.59","6,128,040.75","389,834.52","122,150.50","11,883,578.26","5,847,134.27","6,965,623.31","2,425,349.39","11,535,456.39","34,869,158.33","1,628,456.69","22,753,138.59","27,352,909.18","32,863,701.93","2,475,478.79","6,683,933.37"
筹资活动产生的现金流量净额,"-206,427,737.42","-247,263,077.16","-281,647,814.71","30,559,912.04","-359,698,115.42","681,746,331.38","543,108,631.13","398,401,349.90","578,346,525.05","-287,472,546.35","-356,500,551.72","-240,295,723.74","-147,868,140.78","-278,245,093.92","168,034,816.71","103,820,439.06","1,963,739,741.55","414,393,769.77","574,072,070.75","254,872,388.73","-800,640,800.01","-487,573,043.95","-835,192,365.87","269,519,743.29","-258,141,142.71","-730,018,107.03","-812,487,007.47","-819,111,930.81","-716,988,312.76","28,967,172.53","-304,866,884.97"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-23,975,984.51","3,006,469.94","-15,642,931.10","-16,645,271.84","-44,791,528.60","-19,944,545.09","-4,477,512.44","-4,148,633.44","1,432,417.63","409,069.30","-14,577,534.26","-11,791,627.67","-15,989,452.70","8,832,208.42","3,573,168.78","9,062,372.57","-280,841.46","6,687,411.51","-1,211,365.81","72,519,107.58","68,386,611.51","-14,345,063.63","35,995,721.82","50,738,152.80","114,507,618.55","17,831,369.55","-23,016,633.67","-35,244,647.07","-79,273,486.08","-62,801,611.03","12,763,188.19"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"9,498,080.97","35,000,000.00","41,418,273.40","41,523,925.51","41,603,630.41",,,,"1,684,530.20","871,578.72","527,976.64","15,526,431.77","15,526,431.77","143,392.25","174,784.87"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"332,238,858.65","11,422,318.01","2,673,879.81","27,956,206.98","35,556,974.29","4,793,521.71","325,222,232.79","509,338,302.82","1,590,740,396.04","623,376,161.20","2,361,100,376.25","4,194,620,921.50","5,806,023,299.73","1,982,655,022.84","4,285,817,646.37","6,823,850,140.05","10,366,425,734.73","4,186,653,755.93","7,177,413,499.56","9,961,705,773.34","11,710,654,305.56","2,075,849,016.66","3,991,180,542.94","5,721,958,996.39","7,457,310,548.13","2,352,774,911.48","4,848,246,427.77","7,931,737,695.34","10,122,135,642.11","3,301,383,380.92","6,036,007,179.23"
五、现金及现金等价物净增加额,"241,218,121.90","360,013,055.74","69,787,783.54","-294,909,225.92","-473,482,418.01","880,297,218.93","337,598,054.06","231,403,509.84","-183,829,006.09","326,157,689.98","807,483,091.94","997,370,471.33","1,131,263,221.67","389,942,929.64","497,644,341.36","304,741,440.49","1,971,958,599.75","183,044,521.93","-391,261,891.65","-620,893,292.61","-144,265,294.77","-265,196,933.42","-338,373,917.30","585,852,418.87","677,898,507.75","-3,780,067.02","-41,928,491.93","-32,614,134.40","289,735,242.31","643,766,431.89","-301,028,220.02"
购建固定资产、无形资产和其他长期资产支付的现金,"267,981,334.68","82,203,394.75","244,719,940.00","90,174,920.42","163,018,422.76","44,767,631.55","219,943,445.45","309,017,774.94","430,506,962.83","45,130,345.09","97,889,170.73","226,193,263.87","429,203,841.90","117,896,741.54","480,620,078.98","740,050,139.22","997,297,780.04","425,821,130.30","611,171,681.33","744,982,126.09","866,263,891.74","73,954,672.94","127,514,137.42","179,252,162.21","249,217,342.22","26,459,415.62","62,577,900.30","104,039,175.32","162,565,553.28","61,574,980.29","241,045,423.38"
期初现金及现金等价物余额,"1,074,563,125.05","1,315,781,246.95","1,675,794,302.69","1,745,582,086.23","1,745,582,086.23","1,272,099,668.22","1,272,099,668.22","1,272,099,668.22","1,272,099,668.22","1,088,270,662.13","1,088,270,662.13","1,088,270,662.13","1,088,270,662.13","2,219,533,883.80","2,219,533,883.80","2,219,533,883.80","2,219,533,883.80","4,191,492,483.55","4,191,492,483.55","4,191,492,483.55","4,191,492,483.55","4,075,827,868.75","4,075,828,118.75","4,075,828,118.75","4,075,774,218.75","4,753,672,726.50","4,753,672,726.50","4,753,672,726.50","4,753,672,726.50","5,043,407,968.81","5,043,407,968.81"
投资支付的现金,"305,800,000.00",,"511,524.74","1,444,140.99","3,153,468.49","30,445.46","667,080,269.19","767,200,000.00","1,917,074,590.55","888,600,000.00","2,242,300,000.00","3,806,200,000.00","5,408,097,641.13","1,973,000,000.00","4,258,700,000.00","6,785,250,000.00","10,298,050,000.00","4,119,969,642.18","7,054,174,666.67","9,811,076,000.00","11,557,480,000.00","1,875,490,800.00","3,978,990,800.00","5,702,449,600.99","7,831,094,783.91","2,339,000,000.00","4,771,013,146.14","7,830,544,158.67","10,112,564,452.72","3,077,407,722.38","5,853,513,268.96"
期末现金及现金等价物余额,"1,315,781,246.95","1,675,794,302.69","1,745,582,086.23","1,450,672,860.31","1,272,099,668.22","2,152,396,887.15","1,609,697,722.28","1,503,503,178.06","1,088,270,662.13","1,414,428,352.11","1,895,753,754.07","2,085,641,133.46","2,219,533,883.80","2,609,476,813.44","2,717,178,225.16","2,524,275,324.29","4,191,492,483.55","4,374,537,005.48","3,800,230,591.90","3,570,599,190.94","4,047,227,188.78","3,810,630,935.33","3,737,454,201.45","4,661,680,537.62","4,753,672,726.50","4,749,892,659.48","4,711,744,234.57","4,721,058,592.10","5,043,407,968.81","5,687,174,400.70","4,742,379,748.79"
