科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
专项应付款,"1,200,000.00","6,200,000.00","11,070,000.00","26,428,000.00","28,338,000.00","29,648,000.00","30,958,000.00","32,448,000.00","31,388,000.00","31,445,500.00","30,349,000.00","30,734,840.00","18,070,200.00","18,070,200.00","17,066,300.00","17,066,300.00","16,062,400.00","16,062,400.00","15,058,500.00","44,388,500.00","46,098,819.27","44,760,979.42","43,436,825.70","49,779,679.66","48,244,800.00","46,737,350.00","45,229,900.00","50,722,450.00","48,429,709.46","46,597,315.09","44,764,920.72","46,718,551.35"
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,"1,569,245.48","4,341,199.10","5,976,653.03","15,303,181.31","21,473,568.24","28,711,984.23","32,958,716.83","39,367,011.83","35,931,335.35","36,337,622.34","37,124,764.20","37,665,138.52","20,447,199.53","14,855,360.58","3,696,290.91","3,791,064.87","9,002,597.21","10,457,892.50","9,713,638.16","6,784,838.55","10,734,596.72","11,124,316.58","10,005,277.29","6,245,359.05","12,144,461.73","12,052,805.38","12,280,056.96","10,669,350.60","4,047,664.05","5,360,138.65","6,420,952.68","11,297,963.41"
固定资产,"67,796,853.52","67,435,391.24","77,155,606.95","81,266,446.09","93,424,915.67","93,383,346.28","89,882,961.39","93,345,251.86","264,872,158.47","270,206,970.65","277,885,297.21","281,865,149.85","348,723,162.42","389,984,025.96","394,739,351.51","390,639,993.60","386,974,989.77","379,993,730.21","381,840,672.80","375,971,418.40","610,906,881.50","621,550,487.12","643,873,856.16","647,033,353.18","669,090,390.03","772,154,453.60","791,065,470.37","813,003,502.36","818,696,272.91","820,748,989.89","821,882,988.15","907,694,570.77"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,"12,462.04","492,193.98","11,483.04","11,969.28","264,954.71","273,767.61","275,403.22","479,953.04","422,916.34","426,695.89","448,545.53","452,811.27"
在建工程,,"969,074.00","14,753,929.00","42,601,537.62","81,903,980.49","104,430,991.12","140,464,213.84","156,754,071.59","17,591,750.98","40,608,713.52","41,988,838.82","75,625,416.04","140,514,492.67","87,403,715.24","34,819,967.14","85,556,574.46","83,644,874.31","116,826,147.16","154,908,858.24","212,518,685.78","66,976,765.62","93,056,159.90","96,108,613.21","100,460,635.84","94,686,922.11","14,018,451.92","22,855,414.11","32,378,361.25","35,201,120.23","54,860,510.42","101,217,683.83","107,756,224.99"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"2,769,245.48","10,541,199.10","17,046,653.03","41,731,181.31","49,811,568.24","58,359,984.23","63,916,716.83","71,815,011.83","67,319,335.35","67,783,122.34","67,473,764.20","68,399,978.52","38,517,399.53","32,925,560.58","20,762,590.91","20,857,364.87","25,064,997.21","26,520,292.50","24,772,138.16","51,173,338.55","63,472,020.69","62,007,297.66","59,256,643.25","62,401,148.01","65,031,480.10","63,035,726.54","61,780,893.13","66,418,371.45","55,016,521.58","54,519,293.87","52,816,561.36","59,662,710.83"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
