科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"410,130,908.14","420,640,656.54","459,065,546.49","436,522,300.00","734,164,853.70","574,989,200.79","571,680,463.41","605,621,734.32","594,998,238.83","583,435,349.66","650,931,000.59","756,066,075.88","985,341,895.05","965,606,790.96"
流动负债合计,"251,750,734.44","172,894,002.34","192,737,916.14","185,097,400.00","255,460,617.98","88,905,532.21","124,151,929.63","150,740,054.97","146,752,629.02","102,397,887.39","146,471,129.74","214,179,848.26","255,488,038.05","267,400,724.91"
可供出售金融资产,,,,,,,,,,,,,"145,200,000.00","145,403,820.00"
长期借款,"50,000,000.00","100,000,000.00","100,000,000.00",,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,"257,511,421.63","261,133,826.68"
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"239,450,132.61","248,918,744.49","279,481,401.77",,"270,473,961.55","299,832,620.46","312,758,008.67","347,425,651.28","353,990,620.68","360,328,840.63","350,433,002.82","344,046,342.82","337,415,765.60","413,324,208.63"
递延所得税负债,,,,,,,,,,,,,,
在建工程,"13,212,632.83","18,371,379.90","18,612,243.87",,"38,688,334.70","14,770,207.66","50,710,374.48","19,737,948.64","15,928,669.77","4,764,055.03","18,902,187.23","25,831,296.21","83,249,626.22","89,055,356.30"
其他非流动负债,,,,,,,,,,,,,,
工程物资,"831,752.71","2,131,239.51","4,875,046.18",,"3,453,182.64","3,662,013.57","3,206,704.92","3,678,360.31","1,498,355.84","1,440,992.34","1,834,515.26","3,035,297.00","3,348,143.05","2,456,862.79"
非流动负债合计,"61,746,667.00","116,111,667.00","115,638,333.66","95,520,000.00","15,401,666.99","15,283,333.65","15,165,000.32","15,046,666.98","14,928,333.65","14,810,000.31","14,691,666.98","14,573,333.65","271,966,421.94","275,470,493.66"
固定资产清理,,,,,,,,,,,,,,
负债合计,"313,497,401.44","289,005,669.34","308,376,249.80","280,617,400.00","270,862,284.97","104,188,865.86","139,316,929.95","165,786,721.95","161,680,962.67","117,207,887.70","161,162,796.72","228,753,181.91","527,454,459.99","542,871,218.57"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"74,000,000.00","74,000,000.00","74,000,000.00",,"98,700,000.00","98,700,000.00","98,700,000.00","98,700,000.00","148,050,000.00","148,050,000.00","148,050,000.00","148,050,000.00","222,075,000.00","222,075,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"123,402,589.08","123,402,589.08","123,402,589.08",,"389,480,768.33","389,480,768.33","389,480,768.33","389,480,768.33","340,130,768.33","340,130,768.33","340,135,953.33","340,135,953.33","266,110,953.33","266,110,953.33"
无形资产,"45,957,486.04","44,998,306.05","52,745,359.03",,"52,177,231.09","51,893,167.12","51,609,103.15","51,325,039.18","51,040,975.21","50,756,911.24","50,472,847.27","50,188,783.30","49,904,719.33","49,620,655.36"
盈余公积,"20,092,338.24","25,106,682.56","31,067,805.77",,"31,067,805.77","31,067,805.77","36,320,845.02","46,960,617.90","36,320,845.02","36,320,845.02","44,241,789.29","44,241,789.29","44,241,789.29","44,241,789.29"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,
未分配利润,"180,831,044.05","225,960,142.89","279,610,251.81",,"309,810,678.25","322,095,611.29","326,887,605.10","326,804,389.85","331,239,816.38","358,563,247.68","380,409,662.10","419,526,300.43","463,717,413.63","508,633,175.43"
长期待摊费用,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,,
递延所得税资产,"3,080,226.50","4,101,805.88","4,633,001.51",,"4,651,661.41","4,609,673.08","4,561,887.06","4,476,778.21","4,706,427.35","4,879,233.01","5,605,030.28","6,387,456.20","6,662,486.43","6,773,357.71"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"302,532,230.69","318,521,475.83","360,347,052.36","364,486,600.00","369,444,371.39","374,767,681.89","422,846,078.28","426,643,777.62","427,165,048.85","422,170,032.25","427,247,582.86","429,489,175.53","625,780,740.63","706,634,260.79"
所有者权益(或股东权益)合计,"399,165,737.39","450,156,463.03","511,036,349.05","520,391,600.00","832,746,940.12","845,568,016.82","855,209,611.74","866,478,789.99","860,482,325.01","888,397,494.21","917,015,786.73","956,802,069.50","1,083,668,175.69","1,129,369,833.18"
资产总计,"712,663,138.83","739,162,132.37","819,412,598.85","801,008,900.00","1,103,609,225.09","949,756,882.68","994,526,541.69","1,032,265,511.94","1,022,163,287.68","1,005,605,381.91","1,078,178,583.45","1,185,555,251.41","1,611,122,635.68","1,672,241,051.75"
负债和所有者(或股东权益)合计,"712,663,138.83","739,162,132.37","819,412,598.85","801,008,900.00","1,103,609,225.09","949,756,882.68","994,526,541.69","1,032,265,511.94","1,022,163,287.68","1,005,605,381.91","1,078,178,583.45","1,185,555,251.41","1,611,122,635.68","1,672,241,051.75"
