科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
流动资产合计,"207,850,023.63","262,498,994.69","264,697,801.00","351,270,601.50","330,124,353.39","327,890,755.24","380,798,655.68","393,299,521.64","467,148,937.57"
流动负债合计,"122,615,496.42","133,448,059.15","141,972,271.98","134,872,523.72","114,975,500.45","114,884,540.72","160,081,786.62","170,053,130.39","253,177,377.17"
可供出售金融资产,,,,,,,,,
长期借款,,"45,000,000.00","68,900,000.00",,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,"2,552,000.00","8,797,500.00","2,552,000.00","2,552,000.00",,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"20,493,925.00","18,435,215.40","22,257,002.58","21,697,182.39","21,776,254.02","21,771,321.36","21,598,632.02","20,969,559.43","218,976,592.82"
递延所得税负债,,,,,,,,,
在建工程,"3,193,769.40","72,259,741.92","131,577,367.78","138,855,930.63","140,243,174.20","145,467,269.03","165,571,338.37","169,691,162.33","9,257,921.79"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,,"51,285,000.00","77,697,500.00","8,797,500.00","8,797,500.00","8,769,198.11","6,396,118.69","6,396,118.69","6,396,118.69"
固定资产清理,,,,,,,,,
负债合计,"122,615,496.42","184,733,059.15","219,669,771.98","143,670,023.72","123,773,000.45","123,653,738.83","166,477,905.31","176,449,249.08","259,573,495.86"
生产性生物资产,,,,,,,,,
实收资本(或股本),"55,834,998.00","55,834,998.00","55,834,998.00","74,534,998.00","74,534,998.00","74,534,998.00","74,534,998.00","74,534,998.00","74,534,998.00"
油气资产,,,,,,,,,
资本公积,"89,118,206.38","89,118,206.38","89,118,206.38","248,880,324.26","247,628,381.73","247,628,381.73","247,628,381.73","247,628,381.73","247,628,381.73"
无形资产,"29,789,539.83","28,337,070.39","27,002,765.34","26,643,875.79","26,284,986.24","25,926,096.69","25,567,207.14","25,208,317.59","25,029,468.65"
盈余公积,"3,008,147.16","6,374,363.88","10,119,842.93","10,119,842.93","10,119,842.93","10,119,842.93","13,915,575.68","13,915,575.68","13,915,575.68"
开发支出,,"283,018.87","731,308.96","1,031,721.32","2,896,690.52","2,913,400.85","1,732,476.16","1,737,248.12","1,737,248.12"
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"27,073,324.46","57,369,274.99","91,078,586.42","96,748,482.55","104,521,467.06","111,588,145.31","125,240,181.18","131,920,475.52","130,434,379.14"
长期待摊费用,"1,223,141.15","763,643.37","581,677.42","511,443.25","441,209.08","370,974.91","300,740.74","230,506.57","160,272.40"
少数股东权益,,,,,,,,,
递延所得税资产,"84,424.41","61,184.01","405,970.83","405,970.83","1,405,436.36","1,405,436.36","987,366.72","987,366.72","1,002,845.96"
外币报表折算价差,,,,,,,,,
其他非流动资产,"35,015,349.00","10,791,033.75","18,567,511.80","33,536,945.75","37,405,586.36","41,779,852.36","31,240,625.07","32,324,997.61","2,773,543.10"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"89,800,148.79","130,930,907.71","201,123,604.71","222,683,069.96","230,453,336.78","239,634,351.56","246,998,386.22","251,149,158.37","258,937,892.84"
所有者权益(或股东权益)合计,"175,034,676.00","208,696,843.25","246,151,633.73","430,283,647.74","436,804,689.72","443,871,367.97","461,319,136.59","467,999,430.93","466,513,334.55"
资产总计,"297,650,172.42","393,429,902.40","465,821,405.71","573,953,671.46","560,577,690.17","567,525,106.80","627,797,041.90","644,448,680.01","726,086,830.41"
负债和所有者(或股东权益)合计,"297,650,172.42","393,429,902.40","465,821,405.71","573,953,671.46","560,577,690.17","567,525,106.80","627,797,041.90","644,448,680.01","726,086,830.41"
