科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
支付给职工以及为职工支付的现金,"3,869,382.83","7,994,158.78","13,201,325.95","16,081,851.31","3,479,943.05","10,264,559.35","10,556,302.11","12,358,205.73","512,270.94","1,740,441.70","2,832,278.51","3,986,527.03","1,881,005.54","8,739,822.47","14,950,670.84","10,706,524.76","5,962,787.29","12,614,003.19","18,914,390.14","29,527,963.54","17,233,538.16","25,049,943.50","33,503,562.86","22,528,433.24","29,296,068.48","29,331,795.50","8,189,571.94","16,674,100.43"
取得借款收到的现金,"80,000,000.00","133,200,000.00","133,200,000.00","133,200,000.00",,,,,,,,,,,,,,"50,000,000.00",,"200,000,000.00","211,000,000.00","368,000,000.00","498,000,000.00","382,439,100.18","716,999,336.58","886,999,033.58","225,000,000.00","530,000,000.00"
支付的各项税费,"2,321,969.20","6,030,360.27","6,047,540.59","6,318,451.38","1,834,093.61","2,069,673.33","2,164,742.81","2,634,378.00","138,184.54","212,874.32","462,483.20","877,801.16","6,735,180.40","21,706,692.22","37,029,920.93","47,987,484.92","12,067,224.18","32,659,643.86","55,933,081.95","64,948,224.02","24,011,271.44","43,692,724.32","65,809,529.13","27,347,562.63","44,470,205.25","75,413,363.43","23,042,888.60","28,542,537.83"
收到其他与筹资活动有关的现金,"5,000,000.00",,,,,,,,,,,,,,,,,,"150,000,000.00",,,,,"14,122.48","14,122.48",,,"64,200,000.00"
支付其他与经营活动有关的现金,"2,503,235.98","49,652,415.91","54,283,206.01","152,057,524.99","14,945,809.63","22,979,407.97","24,327,147.43","29,108,054.92","352,165.39","1,242,135.33","3,506,797.40","7,274,480.15","84,161,690.46","283,613,068.02","329,957,156.11","772,494,731.33","40,442,439.99","46,598,960.13","139,386,787.24","415,920,002.50","30,706,107.41","50,724,202.20","74,675,513.05","6,511,132.82","748,763,337.09","218,100,655.34","318,311,771.38","1,204,852,302.26"
筹资活动现金流入小计,"85,000,000.00","133,200,000.00","133,200,000.00","133,200,000.00",,,,,,,,,,,,,,"50,000,000.00","150,000,000.00","200,000,000.00","211,000,000.00","368,000,000.00","498,000,000.00","382,453,222.66","717,013,459.06","886,999,033.58","225,000,000.00","594,200,000.00"
经营活动现金流出小计,"130,347,647.02","315,337,001.99","346,897,840.96","498,621,747.15","27,364,873.51","44,725,992.74","46,460,544.44","57,336,866.05","3,438,839.54","8,732,357.40","14,351,847.41","271,279,862.12","404,298,055.90","998,277,145.40","1,565,992,678.68","2,107,909,450.23","588,704,765.02","1,143,546,973.37","1,971,071,396.73","2,813,735,826.68","1,559,151,445.09","2,515,086,174.91","4,174,839,914.86","2,439,952,772.93","3,410,520,817.46","5,090,245,401.25","907,106,441.53","1,694,047,460.45"
偿还债务支付的现金,"40,000,000.00","100,000,000.00","100,000,000.00","120,590,000.00","105,000.00","166,075.04","166,075.04","33,745,000.00",,,,,,,,,,,,,"150,000,000.00","320,000,000.00","411,000,000.00","277,528,799.55","559,999,606.51","688,999,336.58","228,500,000.00","546,000,000.00"
经营活动产生的现金流量净额,"-27,410,936.37","-8,034,783.75","-29,441,142.60","-13,744,564.30","-16,884,600.21","-16,367,922.18","-16,521,102.75","16,618,506.98","234,660.33","415,364.92","114,212.28","-2,878,197.33","2,248,243.93","2,322,068.91","13,430,180.84","7,187,696.82","1,928,019.32","-41,598,887.08","-136,039,111.01","-176,538,133.50","-53,774,244.82","-28,391,279.12","-11,540,534.19","-39,736,158.21","-59,647,423.46","-34,900,367.44","17,149,004.21","15,391,459.24"
分配股利、利润或偿还利息支付的现金,"322,400.00","1,998,233.64","1,998,233.64","4,273,657.55",,"913,824.75","913,824.75","914,514.10",,,,,,,,,,"115,683.33","1,233,298.61","4,901,431.95","8,116,208.35","13,376,130.94","19,933,565.62","9,701,210.56","18,373,603.39","24,074,231.34","7,339,607.59","59,696,007.73"
收回投资收到的现金,,,,"20,000,000.00",,,,,,,,"1,000,000.00",,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000,000.00",,"4,677,653.56"
取得投资收益收到的现金,"1,600,000.00","1,600,000.00","1,600,000.00","11,600,000.00",,,,,,,,"1,600,000.00",,,,,,,,,,,,,,,,"747,095.23"
筹资活动现金流出小计,"40,322,400.00","101,998,233.64","101,998,233.64","124,863,657.55","105,000.00","1,079,899.79","1,079,899.79","34,659,514.10",,,,,,,,,,"115,683.33","1,233,298.61","4,901,431.95","158,116,208.35","333,376,130.94","430,933,565.62","287,230,010.11","578,373,209.90","724,073,567.92","235,839,607.59","610,373,661.29"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"65,000.00",,,,,,,,,,,,,,,,"240,000.00",,,"3,325,618.52",,,"25,588.00",,
筹资活动产生的现金流量净额,"44,677,600.00","31,201,766.36","31,201,766.36","8,336,342.45","-105,000.00","-1,079,899.79","-1,079,899.79","-34,659,514.10",,,,,,,,,,"49,884,316.67","148,766,701.39","195,098,568.05","52,883,791.65","34,623,869.06","67,066,434.38","95,223,212.55","138,640,249.16","162,925,465.66","-10,839,607.59","-16,173,661.29"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,"8,000,000.00",,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"309,833.77","14,973,796.92","12,647,039.02",,"812,554.32",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,600,000.00","1,600,000.00","1,600,000.00","31,665,000.00",,,,,,,,"2,600,000.00",,,,,,,,"240,000.00",,,"11,635,452.29","14,973,796.92","12,647,039.02","25,588.00","812,554.32","747,095.23"
五、现金及现金等价物净增加额,"18,288,178.90","3,438,122.47","811,613.23","18,793,810.93","-17,039,992.32","-17,915,130.03","-18,328,605.60","-19,787,749.93","234,660.33","415,364.92","114,212.28","-284,847.33","2,224,600.12","1,322,810.91","11,908,030.12","1,521,874.23","1,209,069.68","6,506,296.48","8,853,878.52","14,575,000.03","-5,254,663.64","-12,763,369.00","10,676,392.08","-19,619,100.78","-17,563,141.36","-21,933,839.12","2,095,545.44","-14,246,206.26"
购建固定资产、无形资产和其他长期资产支付的现金,"578,484.73","21,328,860.14","2,549,010.53","7,462,967.22","50,392.11","467,308.06","727,603.06","727,603.06",,,,"6,650.00","23,643.81","999,258.00","1,522,150.72","5,663,420.33","718,949.64","1,779,133.11","3,873,711.86","4,225,434.52","2,764,210.47","4,595,958.94","41,636,647.86","14,997,168.34","24,264,284.31","149,984,525.34","5,026,405.50","14,211,099.44"
期初现金及现金等价物余额,"1,437,988.08","1,437,988.08","1,438,407.27","1,438,407.27","20,232,218.20","20,232,218.20","20,232,218.20","20,232,218.20","442,820.93","444,468.27","444,468.27","444,468.27","159,620.94","159,620.94","159,620.94","159,620.94","1,681,495.17","1,681,495.17","1,681,495.17","1,681,495.17","16,256,495.20","16,256,495.20","16,256,495.20","26,932,887.28","26,932,887.28","26,932,887.28","15,999,048.16","14,758,383.27"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,"1,600,000.00","14,400,000.00","14,400,000.00",,,,,
期末现金及现金等价物余额,"19,726,166.98","4,876,110.55","2,250,020.50","20,232,218.20","3,192,225.88","2,317,088.17","1,903,612.60","444,468.27","677,481.26","859,833.19","558,680.55","159,620.94","2,384,221.06","1,482,431.85","12,067,651.06","1,681,495.17","2,890,564.85","8,187,791.65","10,535,373.69","16,256,495.20","11,001,831.56","3,493,126.20","26,932,887.28","7,313,786.50","9,369,745.92","4,999,048.16","18,094,593.60","512,177.01"
