科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,
财务费用,"53,297.58","141,480.48","-129,679.29","-93,492.06","-72,975.16","-86,698.00","-10,641.32","-150,202.86","-521,131.54","-1,097,489.09","-1,479,097.31","-575,595.40","-705,136.32","-642,079.90","31,162.66","488,133.90","1,999,916.77","4,134,328.09","7,172,906.84","1,913,530.21","4,939,329.93","6,739,721.08"
三、利润总额,"28,907,332.88","41,013,938.54","23,244,185.78","46,306,005.23","21,300,491.84","23,914,532.41","49,673,770.49","1,104,847.44","22,432,066.42","25,215,211.72","47,012,455.81","-1,323,160.32","23,696,266.64","26,247,839.31","109,100,771.02","-9,254,618.69","16,617,033.19","36,034,327.76","137,064,920.07","35,287,781.44","70,192,761.65","91,757,645.87"
资产减值损失,"433,750.21","603,624.77","2,534,744.48","2,918,933.58","2,270,960.82","3,773,626.39","2,529,457.99","576,048.89","2,549,255.64","3,145,418.37","2,546,109.41","108,807.91","1,237,319.07","1,601,390.31","10,164,854.28","-388,355.61","-2,003,380.00","-232,002.52","21,287,286.58","-4,959,444.02","946,601.55",426.40
减:所得税,"4,171,753.62","5,984,472.61","3,275,893.09","6,595,245.15","2,899,989.09","3,190,713.72","6,932,506.46","163,195.21","3,164,941.55","3,574,355.92","6,414,063.10","14,060.03","2,940,932.54","3,509,259.13","11,637,482.91","-10,872.11","3,908,777.96","6,469,532.34","16,762,081.10","5,897,430.33","9,678,014.66","12,163,426.43"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,
投资收益,"533,592.00","666,990.00","800,388.00","800,388.00","800,388.00","800,388.00","800,388.00",,"933,786.00","933,786.00","933,786.00",,,"1,111,650.00","1,959,954.76","-113,812.77","-252,879.04","1,355,801.34","2,905,265.09","351,445.20","4,881,328.08","8,403,837.24"
四、净利润,"24,735,579.26","35,029,465.93","19,968,292.69","39,710,760.08","18,400,502.75","20,723,818.69","42,741,264.03","941,652.23","19,267,124.87","21,640,855.80","40,598,392.71","-1,337,220.35","20,755,334.10","22,738,580.18","97,463,288.11","-9,243,746.58","12,708,255.23","29,564,795.42","120,302,838.97","29,390,351.11","60,514,746.99","79,594,219.44"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,"646,369.22",,,,"1,741,740.02",,,
归属于母公司所有者的净利润,"24,735,579.26","35,029,465.93","19,968,292.69","39,710,760.08","18,400,502.75","20,723,818.69","42,741,264.03","941,652.23","19,267,124.87","21,640,855.80","40,598,392.71","-1,208,726.00","20,789,354.62","22,733,509.27","98,058,470.74","-9,777,863.02","12,228,943.33","28,708,960.86","116,888,931.24","28,108,101.49","60,309,302.19","77,698,900.65"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,"-128,494.35","-34,020.52","5,070.91","-595,182.63","534,116.44","479,311.90","855,834.56","3,413,907.73","1,282,249.62","205,444.80","1,895,318.79"
