科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"3,971,050.52","7,872,536.58","8,839,230.94","11,162,479.22","6,646,704.15","9,279,707.96","15,214,012.54","21,446,707.19","13,867,584.87","25,300,676.56","40,624,143.45","57,690,772.24","22,005,904.00","37,585,757.85","52,605,641.41","68,763,066.08","19,651,864.55","33,088,321.20","45,973,820.20","48,689,468.14","15,634,683.87","24,439,645.94","33,210,708.10","42,700,222.96","13,657,709.10","19,570,013.33","28,656,642.61","36,003,731.34","13,860,076.71","23,421,535.22","30,978,381.11","39,944,484.53","15,788,599.89","21,530,323.13","30,823,471.68","36,487,413.97"
取得借款收到的现金,"145,640,133.00","141,000,000.00","251,400,000.00","297,400,000.00",,,"450,000.00","30,000,000.00","14,270,000.00","82,390,711.52","105,598,142.52","200,576,649.69","16,443,923.64","147,094,415.80","185,492,015.80","186,325,186.40","105,077,711.00","176,876,721.00","232,506,485.50","307,710,000.00","73,050,000.00","154,377,908.10","188,293,624.87","195,200,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,,"7,140,000.00",,,,
支付的各项税费,"13,123,947.50","50,279,719.28","21,739,540.14","34,269,378.39","2,525,616.66","11,285,665.43","19,583,802.23","26,921,446.56","15,871,906.60","46,543,239.18","77,853,636.56","78,643,839.30","2,592,281.62","5,725,829.62","6,346,105.34","7,627,572.98","729,819.84","2,260,583.94","2,556,732.65","10,720,732.14","830,020.45","1,994,726.12","2,977,875.11","3,354,320.53","2,278,352.86","3,565,909.25","3,768,592.88","8,739,203.14","4,082,629.56","7,258,869.09","7,881,633.46","8,071,351.11","1,321,644.00","4,314,649.33","8,194,184.40","12,898,290.88"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,"106,000,000.00","106,000,000.00","106,000,000.00","106,000,000.00",,,,,,,,"11,598,452.36"
支付其他与经营活动有关的现金,"40,749,957.40","29,761,379.79","18,722,384.54","29,182,214.72","13,859,853.46","30,202,531.15","53,470,882.38","38,084,267.62","13,184,965.59","45,793,790.93","71,901,986.55","100,343,414.79","29,287,601.30","46,095,150.77","53,645,810.80","109,239,855.59","31,160,773.55","36,278,889.95","48,159,750.70","124,897,735.39","23,252,749.40","56,955,259.41","65,069,891.84","167,074,607.04","42,179,575.37","106,869,810.08","79,210,052.84","59,739,037.05","24,336,379.21","33,203,479.59","40,440,904.10","84,848,535.06","12,421,477.92","19,894,872.31","19,322,339.26","51,375,729.53"
筹资活动现金流入小计,"145,640,133.00","213,000,000.00","251,400,000.00","1,191,400,000.00","450,000.00","450,000.00","450,000.00","30,000,000.00","14,270,000.00","89,057,411.52","126,864,842.52","207,243,349.69","16,738,463.64","157,978,065.80","196,375,665.80","207,896,096.40","105,077,711.00","177,815,831.00","283,445,595.50","363,549,110.00","73,050,000.00","154,377,908.10","188,293,624.87","195,200,000.00","114,000,000.00","114,000,000.00","114,000,000.00","114,000,000.00",,,,"7,140,000.00",,,,"11,598,452.36"
经营活动现金流出小计,"199,333,675.27","340,137,500.96","163,932,151.98","227,162,763.04","53,396,088.59","145,457,365.64","254,981,748.27","330,300,880.78","200,961,335.50","441,739,432.99","583,166,533.93","679,128,391.84","91,641,115.75","189,252,604.42","302,935,634.71","430,596,385.18","109,269,556.56","194,042,918.85","214,149,949.63","256,222,114.58","80,505,579.35","141,284,397.22","178,951,885.57","355,639,820.24","107,358,633.87","211,888,988.51","207,133,844.40","195,182,059.10","52,807,888.97","110,537,639.38","138,091,292.53","246,668,872.54","44,100,527.48","77,100,639.83","117,209,763.66","214,166,634.93"
偿还债务支付的现金,"39,900,000.00","193,640,133.00","241,900,000.00","288,400,000.00","79,000,000.00","79,000,000.00","82,000,000.00","82,000,000.00","8,000,000.00","21,000,000.00","42,390,711.52","66,601,444.56","5,825,411.09","62,276,360.63","123,307,256.82","150,315,703.53","36,727,500.01","185,745,000.02","274,582,500.03","327,550,000.00","74,427,500.01","153,400,000.00","197,150,000.00","237,960,000.00",,"1,193.70","22,201,525.27","46,928,246.06",,,,"14,498.69",,,,"90,001.00"
经营活动产生的现金流量净额,"-7,102,432.37","-20,799,468.28","38,690,921.37","35,330,914.32","-19,576,719.89","-2,986,768.71","-37,899,712.95","52,246,959.37","-56,685,713.97","-82,715,653.58","-92,982,353.55","-92,895,098.92","-39,239,360.58","-94,257,979.37","-126,340,495.77","-176,183,276.48","-49,189,443.58","-52,262,551.30","-46,388,402.78","-137,928,841.10","10,010,257.91","-16,137,487.73","-920,386.85","40,514,716.59","-49,039,804.00","-127,803,437.32","-104,956,951.24","8,004,966.08","-10,347,902.50","-27,599,719.09","-38,583,643.68","27,468,680.32","-31,789,257.52","-41,205,936.57","-31,607,181.27","10,750,505.58"
分配股利、利润或偿还利息支付的现金,"1,943,712.68","4,103,025.40","4,721,156.70","5,828,189.50","374,840.00","30,374,840.00","30,399,177.50","30,411,906.67","687,330.26","32,182,716.99","41,559,800.43","43,788,574.67","2,864,370.59","27,129,036.97","37,545,012.29","41,202,700.69","3,473,425.71","6,822,782.95","10,052,104.13","12,542,750.38","3,296,013.55","6,606,348.69","10,172,512.26","13,099,956.06","9,628,607.21","12,553,592.75","15,046,456.96","18,325,688.56","1,610,719.12","3,665,611.00","5,776,733.59","22,107,379.54","1,389,279.78","3,988,628.24","5,527,155.31","6,909,954.89"
收回投资收到的现金,"36,716,615.25","91,917,302.77","1,365,109.34","1,365,109.34",,,,,,,,"53,000,000.00",,,,,,,,,,,,"109,002,210.00",,"84,892,790.00","84,892,790.00",,,,,,,,,"2,200,000.00"
支付其他与筹资活动有关的现金,,,,"9,857,222.61","4,519,014.00","6,147,855.70","6,247,855.70","6,247,855.70","3,600.00","7,200.00","10,800.00","14,400.00","3,600.00","7,200.00","14,400.00",,,"30,335.16",,,,,,"106,000,000.00",,"20,000,000.00","20,000,000.00",,,,,,,,,"13,385,000.00"
取得投资收益收到的现金,,,,,,,,,,,,"65,304.57",,,,,,,,,,,,,,,,,,,,"13,000,000.00",,,,
筹资活动现金流出小计,"41,843,712.68","197,743,158.40","246,621,156.70","304,085,412.11","83,893,854.00","115,522,695.70","118,647,033.20","118,659,762.37","8,690,930.26","53,189,916.99","83,961,311.95","110,404,419.23","8,693,381.68","89,412,597.60","160,866,669.11","191,518,404.22","40,200,925.72","192,598,118.13","284,634,604.16","340,092,750.38","77,723,513.56","160,006,348.69","207,322,512.26","357,059,956.06","9,628,607.21","32,554,786.45","57,247,982.23","65,253,934.62","1,610,719.12","3,665,611.00","5,776,733.59","22,121,878.23","1,389,279.78","3,988,628.24","5,527,155.31","20,384,955.89"
处置固定资产、无形资产和其他长期资产收回的现金净额,"10,000.00","129,477.80","3,026.16","3,026.16",,,,,,"49,168.04","49,168.04","4,129,168.04",,,,,"626,470.61","631,570.61","601,196.24","20,421,400.00","18,376.05","17,567,606.82","17,729,395.28","50,461,785.34","8,670,300.00","8,942,472.65","11,743,301.09","7,284,755.02","6,410.25","183,910.25","216,404.83","379,969.22",700.00,"20,700.00","35,700.00","49,908.97"
筹资活动产生的现金流量净额,"103,796,420.32","15,256,841.60","4,778,843.30","887,314,587.89","-83,443,854.00","-115,072,695.70","-118,197,033.20","-88,659,762.37","5,579,069.74","35,867,494.53","42,903,530.57","96,838,930.46","8,045,081.96","68,565,468.20","35,508,996.69","16,377,692.18","64,876,785.28","-14,782,287.13","-1,189,008.66","23,456,359.62","-4,673,513.56","-5,628,440.59","-19,028,887.39","-161,859,956.06","104,371,392.79","81,445,213.55","56,752,017.77","48,746,065.38","-1,610,719.12","-3,665,611.00","-5,776,733.59","-14,981,878.23","-1,389,279.78","-3,988,628.24","-5,527,155.31","-8,786,503.53"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,839,017.93",,"2,200,000.00","2,200,000.00",
四、汇率变动对现金的影响,"-565,057.62","-692,393.67","1,895.15","1,992.00",,,,"-965,702.08","38,335.14","-65,190.51","-169,969.70","-1,932,407.45","12,850.45","26,503.99","378,476.38","-422,165.48","-316,214.58","-547,992.50","-625,503.48","-588,984.52","-115,141.95","87,724.10","63,655.82","-56,039.88","-23,365.69",,,"223,233.31",,,,"131,168.34",,"-88,195.62","-200,092.66",
收到其他与投资活动有关的现金,,,"16,928.54","16,928.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"36,726,615.25","92,046,780.57","1,385,064.04","1,385,064.04",,,,,,"49,168.04","49,168.04","57,194,472.61",,,,,"626,470.61","631,570.61","601,196.24","20,421,400.00","18,376.05","17,567,606.82","17,729,395.28","159,463,995.34","8,670,300.00","93,835,262.65","96,636,091.09","7,284,755.02","6,410.25","183,910.25","216,404.83","15,218,987.15",700.00,"2,220,700.00","2,235,700.00","2,249,908.97"
五、现金及现金等价物净增加额,"16,896,425.46","34,570,775.14","12,542,040.88","889,893,675.30","-118,970,416.33","-138,424,733.59","-221,684,649.37","-231,085,656.40","-255,249,380.82","-276,945,802.58","-355,683,109.78","-356,681,384.39","-44,157,609.79","-43,056,163.84","-130,551,315.03","-209,733,317.86","12,629,009.11","-77,697,624.73","-63,329,173.65","-110,468,209.45","4,386,287.50","-5,248,352.01","-5,313,985.69","26,706,739.23","63,919,951.24","-47,826,753.88","-47,335,071.13","37,420,432.48","-11,954,491.37","-32,796,802.95","-45,965,997.06","23,140,948.47","-33,429,576.46","-44,038,642.28","-36,349,899.44","2,116,792.15"
购建固定资产、无形资产和其他长期资产支付的现金,"4,093,003.31","51,240,985.08","29,303,069.53","31,127,269.50","15,949,842.44","20,365,269.18","65,587,903.22","183,175,950.52","107,439,037.35","105,409,615.64","166,211,479.72","236,385,725.67","12,976,181.62","17,390,156.66","40,098,292.33","49,505,568.08","3,368,588.62","10,736,364.41","15,727,454.97","15,528,143.45","853,690.95","1,100,334.61","3,157,762.55","11,355,976.76","58,571.86","1,303,792.76","1,766,228.75","26,838,587.31","2,280.00","1,715,383.11","1,822,024.62","4,696,009.11","251,739.16","976,581.85","1,251,170.20","2,097,118.87"
期初现金及现金等价物余额,"1,804,912.48","18,701,337.94","53,272,113.08","53,272,113.08","943,165,788.38","943,165,788.38","943,165,788.38","943,165,788.38","712,080,131.98","712,080,131.98","712,080,131.98","712,080,131.98","355,398,747.59","355,398,747.59","355,398,747.59","355,398,747.59","145,665,429.73","145,665,429.73","145,665,429.73","145,665,429.73","33,633,048.15","35,231,676.57","35,231,676.57","35,197,220.28","61,903,959.51","61,903,959.51","61,903,959.51","61,903,959.51","99,324,391.99","99,324,391.99","99,324,391.99","99,324,391.99","122,465,340.46","122,465,340.46","122,465,340.46","122,465,340.46"
投资支付的现金,"111,866,116.81",,"1,117,980.00","1,117,980.00",,,,"10,531,200.80",,,,"53,000,000.00",,,,,,,,,,"37,420.00",,,,"94,000,000.00","94,000,000.00",,,,,,,,,
期末现金及现金等价物余额,"18,701,337.94","53,272,113.08","65,814,153.96","943,165,788.38","824,195,372.05","804,741,054.79","721,481,139.01","712,080,131.98","456,830,751.16","435,134,329.40","356,397,022.20","355,398,747.59","311,241,137.80","312,342,583.75","224,847,432.56","145,665,429.73","158,294,438.84","67,967,805.00","82,336,256.08","35,197,220.28","38,019,335.65","29,983,324.56","29,917,690.88","61,903,959.51","125,823,910.75","14,077,205.63","14,568,888.38","99,324,391.99","87,369,900.62","66,527,589.04","53,358,394.93","122,465,340.46","89,035,764.00","78,426,698.18","86,115,441.02","124,582,132.61"
