科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,"15,628,975.37","15,760,758.39","28,459,426.86","29,064,905.37","24,882,440.98","33,473,288.56","32,382,219.37","32,275,557.87","41,331,412.75","40,212,630.84","43,778,399.45","56,684,512.94","52,221,190.83","48,509,690.82","72,041,810.99","111,841,731.06","111,818,964.66","112,491,576.91"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,953,221.28","28,000,000.00","28,000,000.00","31,000,000.00","24,650,000.00","10,000,000.00","774,500,000.00","681,200,000.00","631,000,000.00","734,895,838.62","685,307,207.73","662,751,326.21","441,049,310.14"
其他流动负债,"3,050,000.00","1,000,000.00","1,000,000.00",,,,,,,,,"58,302,062.24","111,758,018.24","111,913,849.51","7,163,096.54","2,198,432.38","508,435.54","581,945.91","823,082.35","543,313.45","185,867.98","515,950.98","439,063.57","375,254.37","354,976.42","165,766.24","68,075.24","16,781.09","354,606.15","219,769.05","149,288.71",,,,,,,,,"2,404,811.45","1,520,090.09","7,220,224.58","954,685.95"
流动资产合计,"249,229,966.25","236,682,001.91","228,251,175.60","195,386,045.83","198,531,147.00","182,867,371.43","157,639,572.51","122,640,304.40","114,265,947.22","122,142,456.70","134,352,704.13","210,698,196.83","300,854,539.64","729,262,508.04","458,525,409.66","565,929,035.35","429,530,195.26","466,661,342.84","523,246,041.41","595,729,108.48","545,105,455.89","557,722,205.49","876,360,135.83","1,047,705,681.65","975,689,990.64","841,373,022.81","747,901,850.83","1,831,109,517.67","1,829,006,807.39","1,718,609,406.14","1,883,996,969.65","2,234,206,290.58","2,091,012,773.19","2,104,265,476.49","2,152,459,425.47","2,852,210,765.90","3,374,530,774.33","3,212,679,028.59","3,268,361,542.63","3,891,181,240.31","4,064,027,105.99","4,270,681,126.83","4,462,563,055.07"
流动负债合计,"352,211,503.91","342,991,673.28","343,031,019.93","361,585,646.01","364,549,719.43","365,903,754.97","348,243,514.80","272,610,764.88","270,701,088.00","278,708,295.94","276,565,969.68","432,779,328.87","467,896,015.33","879,402,328.79","265,738,593.66","364,064,284.51","230,232,133.96","253,601,296.97","302,641,135.49","352,720,859.15","293,714,913.29","289,086,221.43","259,574,925.99","398,403,403.94","382,497,589.05","291,423,056.84","223,689,044.96","1,000,195,507.92","1,013,548,288.51","886,812,135.03","1,057,075,340.55","1,320,838,414.08","1,176,682,928.88","1,213,834,503.63","1,290,018,721.87","1,935,597,830.82","1,359,248,796.70","1,196,711,635.06","1,254,690,439.22","2,095,295,089.62","1,949,810,251.09","2,180,982,577.69","2,445,246,760.07"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,165,000.00","83,165,000.00","83,165,000.00","113,165,000.00","113,165,000.00","135,128,300.00","135,128,300.00","137,028,300.00","137,028,300.00","158,928,300.00","160,828,300.00","162,610,300.00","165,722,300.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00",,,,,,,
