科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,"270,200,000.00","206,400,000.00","204,600,000.00","22,800,000.00","47,166,798.61","45,640,768.23","464,070,100.65","298,479,717.81","40,000,000.00",,,"120,000,000.00","350,000,000.00","379,000,000.00","549,000,000.00","689,000,000.00","689,000,000.00","629,000,000.00","460,000,000.00","350,000,000.00","310,000,000.00","95,000,000.00","470,000,000.00","473,000,000.00","870,700,000.00","1,254,600,000.00","1,866,385,000.00","1,723,992,238.00","1,852,766,496.00","1,812,766,496.00","1,136,700,000.00","1,270,840,816.00","1,978,166,934.00","2,564,008,634.00","2,306,151,700.00","1,837,151,700.00","1,597,551,700.00","298,551,700.00","864,951,680.00","483,951,700.00"
其他流动资产,,,,"1,570,000.00","1,570,000.00",,"506,000.00",,,,,,,,,,,,,,,,,,,,,"107,966,226.74","137,305,871.45","177,192,657.39","205,251,104.48","131,639,725.83","209,276,340.95","215,817,062.43","215,232,612.38","188,224,217.54","228,172,030.17","312,981,952.92","279,352,090.93","234,309,660.78","228,742,140.44","323,218,130.72","300,601,907.26"
其他流动负债,,,,"253,594.00","253,594.00","95,763,856.48","40,183,738.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,686,756.63","5,697,061.34","11,506,642.17","6,675,112.63"
流动资产合计,"2,094,814,504.76","2,410,503,689.27","4,285,938,910.29","3,369,214,379.14","3,544,350,395.07","3,845,056,106.22","4,393,044,368.21","3,959,580,276.54","4,167,291,139.50","4,747,630,361.15","5,327,465,749.64","5,231,684,519.57","6,433,114,820.08","7,033,834,012.25","6,776,669,857.66","6,271,210,949.58","6,199,974,180.75","6,647,591,041.58","8,069,654,610.49","7,807,729,159.94","8,467,706,489.51","9,585,069,169.06","9,377,462,160.09","9,745,080,146.42","10,444,002,499.09","12,544,312,371.54","12,975,695,252.67","12,719,389,636.56","14,433,437,515.00","15,511,745,004.70","16,332,670,227.95","14,458,324,361.41","15,951,078,431.04","16,721,044,232.34","16,523,051,208.40","13,641,621,622.20","14,743,120,043.39","14,613,278,619.23","15,382,266,131.63","12,442,334,125.30","10,546,940,602.10","9,746,660,533.57","9,881,292,472.77"
流动负债合计,"1,420,607,387.21","1,723,210,979.17","3,074,381,313.70","2,164,638,508.83","2,245,472,722.72","2,653,988,147.70","2,985,330,043.31","2,599,297,154.40","2,664,775,372.52","3,526,674,583.81","4,032,444,163.12","3,945,451,435.24","4,824,573,928.41","5,086,658,264.19","4,448,010,112.12","4,301,587,495.45","4,019,911,965.91","4,501,701,563.10","5,833,424,112.31","5,675,608,461.89","5,857,983,769.94","6,722,622,251.91","7,046,507,533.90","7,325,931,782.57","7,315,405,957.36","9,223,230,512.62","9,348,203,602.68","8,174,121,017.64","8,775,278,027.57","10,075,895,564.39","10,980,793,806.90","9,948,384,029.12","10,403,799,577.19","10,093,083,009.54","10,116,220,903.30","11,024,495,899.32","11,655,600,722.77","11,772,375,164.52","12,257,348,964.08","9,556,155,204.16","7,317,625,510.15","7,265,753,250.33","6,684,168,524.27"
可供出售金融资产,"2,703,360.00","3,144,960.00","3,144,960.00","34,918,560.00","21,839,040.00","14,200,000.00","12,156,800.00","9,872,800.00","18,736,320.00","18,654,400.00","14,720,000.00","4,668,455.00","4,663,462.00","3,225,478.00","3,709,799.00","3,405,226.00",,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00","5,000,000.00"
长期借款,"538,499,894.36","541,080,358.20","166,639,063.34","53,181,659.65","141,705,962.39","160,211,741.96","314,698,765.84","402,100,000.00","564,100,000.00","260,000,000.00","290,000,000.00","290,000,000.00","610,000,000.00","963,960,000.00","1,333,960,000.00","1,160,000,000.00","1,420,000,000.00","1,500,000,000.00","1,377,000,000.00","1,661,762,500.00","2,176,762,500.00","2,577,262,490.00","2,675,441,990.00","2,593,621,480.00","3,347,121,480.00","3,739,303,147.70","4,303,194,489.94","4,923,127,050.07","5,977,649,187.28","5,970,328,465.91","6,152,542,593.97","5,350,903,277.26","6,287,596,616.69","7,485,209,723.69","7,771,699,453.49","6,372,776,534.61","5,541,500,641.33","4,853,982,910.70","5,253,680,380.00","5,149,804,955.00","5,601,279,550.00","4,989,254,105.00","5,621,228,820.00"
