科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
分配股利、利润或偿还利息支付的现金,"75,857.88","75,857.88","75,857.88","185,857.88",,,,,,,,,,,,,,,,,,,,,,,,,,"181,313,180.05"
收回投资收到的现金,,,,"5,800,000.00",,,,,,,,"14,227,998.00",,,,,,,,,,,,,,,,,"62,000,000.00","4,719,346,917.42"
支付其他与筹资活动有关的现金,921.18,"5,791.21","7,193.10","9,568.61",235.50,,,,,,,,,,,,,,,,,,,,,,,,,"7,419,188.45"
取得投资收益收到的现金,,"26,000.00","1,526,000.00","1,526,000.00",,"2,250,000.00","2,250,000.00","2,250,000.00",,,,"254,740.00",,,,,,,,,,"3,345,260.00","3,345,260.00","4,545,260.00",,,,"1,460,000.00","460,000.00","113,265,351.69"
筹资活动现金流出小计,"76,779.06","81,649.09","83,050.98","195,426.49",235.50,,,,,,,,,,,,,,,,,,,,,,,,,"8,807,271,093.45"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"250,000.00","2,582,000.00","2,332,000.00",,,,"21,492.83",,,,"400,000.00",,,,,,,,,,,,,,,,,,"27,434,228.96"
筹资活动产生的现金流量净额,"-76,548.75","-73,844.83","-69,993.45","389,483.45",-235.50,,,,,,,,,,,,,,,,,,"31,116,566.91",,,,,,,"-67,581,648.10"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,501,946.09"
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,533,601.77"
收到其他与投资活动有关的现金,,"16,572.25","316,572.25",,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"292,572.25","4,424,572.25","9,658,000.00",,"2,250,000.00","2,250,000.00","2,271,492.83",,,,"14,882,738.00",,,,,,,,,,"3,345,260.00","3,345,260.00","4,545,260.00",,,,"1,460,000.00","62,460,000.00","4,865,548,444.16"
五、现金及现金等价物净增加额,"-6,000,992.26","-5,360,130.77","-7,682,728.80","-4,399,508.87","-1,598,565.21","-2,665,027.05","-4,184,288.93","-28,039,143.39","5,830.40","-40,046.78","-42,416.58","-58,495.46","-43,719.53","-30,750.47","-26,015.00","14,424.28","-33,521.97","-27,112.08","4,057,985.65","5,491,506.41","-1,715,752.83","-2,328,470.74","26,197,798.63","26,584,906.36","-638,679.02","-1,289,194.88","-1,484,458.58","-30,087,473.33","-1,611,371.31","1,797,886,395.57"
购建固定资产、无形资产和其他长期资产支付的现金,"2,051,700.00","2,068,650.00","2,199,460.00","331,558.00","2,500.00","8,350.00","8,350.00","8,350.00",,,,,,,,,,,,,,"22,960.00","22,960.00","22,960.00",,,,,,"220,511,131.72"
期初现金及现金等价物余额,"35,260,490.65","35,260,490.65","35,260,490.65","32,550,083.83","28,150,574.96","28,150,574.96","28,150,574.96","28,166,601.29","127,457.90","127,457.90","127,457.90","127,457.90","68,962.44","68,962.44","68,962.44","68,962.44","83,386.72","83,386.72","83,386.72","83,386.72","5,574,893.13","5,574,893.13","5,574,893.13","5,574,893.13","32,159,799.49","32,159,799.49","32,159,799.49","32,159,799.49","2,072,326.16","869,570,758.64"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00","64,000,000.00","3,196,272,330.57"
期末现金及现金等价物余额,"29,259,498.39","29,900,359.88","27,577,761.85","28,150,574.96","26,552,009.75","25,485,547.91","23,966,286.03","127,457.90","133,288.30","87,411.12","85,041.32","68,962.44","25,242.91","38,211.97","42,947.44","83,386.72","49,864.75","56,274.64","4,141,372.37","5,574,893.13","3,859,140.30","3,246,422.39","31,772,691.76","32,159,799.49","31,521,120.47","30,870,604.61","30,675,340.91","2,072,326.16","460,954.85","2,667,457,154.21"
