科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"35,854,739.51","64,584,439.41","95,760,416.12","62,848,518.54","138,739,326.95","46,956,966.71","89,883,577.27","128,235,221.57","174,230,446.73","46,969,386.06","100,612,454.01","160,935,743.42","233,787,590.21","96,522,280.48","222,253,223.27","369,895,961.81","548,603,634.86","234,649,732.56","484,167,085.79","790,124,492.85","1,151,335,811.01","413,632,710.98","829,245,809.56","1,259,087,477.06","1,769,504,008.54","593,107,693.64"
取得借款收到的现金,"595,000,000.00","840,200,000.00","1,212,022,000.00","1,440,100,000.00","1,975,100,000.00","291,100,000.00","944,416,000.00","1,304,416,000.00","1,565,706,000.00","700,000,000.00","1,775,000,000.00","2,444,170,000.00","2,743,670,000.00","892,884,323.40","2,492,884,323.40","2,892,884,323.40","5,102,884,323.40","1,660,500,000.00","2,196,500,000.00","3,940,060,000.00","6,074,510,026.17","3,301,402,579.59","4,790,733,739.04","7,244,025,277.23","9,205,617,133.25","2,339,625,838.15"
支付的各项税费,"313,038.55","289,757.06","477,874.19","708,105.57","1,959,421.46","1,450,037.57","2,016,252.33","2,753,355.94","4,689,841.48","978,434.90","4,741,509.73","6,202,282.72","8,016,936.18","2,069,838.94","4,274,283.22","5,799,056.65","8,539,341.61","5,345,356.41","8,389,146.61","11,804,673.74","17,753,801.02","5,785,426.50","10,683,036.07","14,357,112.82","20,927,061.50","10,272,292.90"
收到其他与筹资活动有关的现金,"5,484,319.91","11,500,100.00","39,772,728.67","1,002,603.39","1,002,603.39","2,279.37","2,609,602.02","2,609,602.02","2,609,602.02","104,207.88","146,263.30","269,824.40","275,082.14",,,,"4,815,642.58","219,491.43","347,851.04","6,998,642.76","12,394,113.05","470,379.88","744,886.68","744,886.68","7,116,172.89","990,485.35"
支付其他与经营活动有关的现金,"12,519,289.42","35,648,756.67","31,914,169.16","15,366,255.04","62,453,666.42","11,362,827.56","17,838,506.52","22,865,285.45","79,607,160.47","48,131,516.24","81,346,781.99","132,247,897.64","181,765,084.95","142,888,333.90","165,735,067.61","211,553,545.23","206,008,116.70","106,196,867.31","107,572,056.01","236,738,005.53","374,728,359.12","137,980,833.41","251,338,198.30","461,694,340.36","717,280,070.42","610,574,556.14"
筹资活动现金流入小计,"665,524,319.91","851,700,100.00","1,251,794,728.67","1,441,102,603.39","1,976,102,603.39","967,996,619.37","1,623,919,942.02","1,983,919,942.02","2,245,209,942.02","700,104,207.88","1,775,146,263.30","2,444,439,824.40","3,736,639,506.52","892,884,323.40","2,492,884,323.40","3,884,179,323.40","6,098,994,965.98","2,159,594,491.43","6,144,283,532.79","8,692,674,324.51","14,690,169,961.92","4,201,122,959.47","5,690,728,625.72","10,237,660,163.91","15,112,902,198.94","3,138,216,323.50"
经营活动现金流出小计,"393,565,330.13","965,225,921.27","1,141,514,802.06","876,406,440.35","1,974,144,214.17","457,069,800.85","1,158,253,667.41","1,676,192,455.27","2,255,009,746.55","397,625,920.62","1,144,209,220.68","1,622,189,328.18","2,246,556,066.46","804,956,263.50","1,601,497,858.12","2,768,852,454.94","4,536,622,845.69","1,872,558,577.00","3,730,885,245.88","6,146,952,855.78","8,887,321,574.61","2,754,762,673.46","6,015,468,865.57","8,960,904,087.62","12,716,885,239.39","3,403,341,548.05"
偿还债务支付的现金,"419,000,000.00","593,030,100.00","882,900,000.00","602,390,000.00","1,260,820,000.00","427,910,000.00","908,470,000.00","1,304,470,000.00","1,524,410,000.00","450,000,000.00","948,760,000.00","1,451,592,759.54","1,805,213,526.67","353,232,631.90","1,775,901,343.99","2,143,548,878.61","3,069,009,240.95","956,586,358.26","2,831,522,430.15","3,747,895,862.91","5,539,845,206.94","1,955,015,152.34","4,108,157,811.31","8,112,533,506.31","10,955,825,702.50","2,462,004,453.45"
经营活动产生的现金流量净额,"89,814,974.41","178,094,261.60","406,498,277.69","-119,536,136.69","120,861,512.74","9,199,185.29","-53,255,775.39","129,492,722.03","455,384,506.87","123,618,756.20","24,569,150.57","437,212,158.70","915,404,078.43","128,962,410.74","749,260,413.12","1,272,464,897.98","1,282,469,805.36","344,713,694.38","844,202,507.69","1,500,211,276.81","1,787,135,984.13","-214,193,686.61","-182,058,457.99","720,229,237.42","1,357,659,325.50","-130,492,019.72"
分配股利、利润或偿还利息支付的现金,"35,311,487.06","87,972,773.91","92,092,426.89","108,241,930.75","171,860,693.34","29,499,310.71","54,769,168.08","137,342,201.62","163,477,447.00","26,811,298.63","71,785,139.36","107,892,670.90","144,927,431.14","36,807,214.64","83,203,880.30","292,177,943.01","341,968,840.35","58,336,314.89","129,629,650.92","1,016,263,418.60","1,095,605,237.79","70,843,363.62","487,829,291.59","1,179,211,643.77","1,474,173,027.78","98,184,443.20"
收回投资收到的现金,"560,000.00",,,,,,,"298,000,000.00","713,000,000.00","180,000,000.00","210,000,000.00","210,000,000.00","310,000,000.00","650,000,000.00","1,156,000,000.00","1,336,000,000.00","1,386,000,000.00",,"300,000,000.00","810,000,000.00","1,450,000,000.00","389,603,216.19","2,412,192,816.15","4,357,192,816.15","5,985,000,000.00","952,000,000.00"
支付其他与筹资活动有关的现金,"18,180,088.79","10,021,890.40","31,438,732.24","1,901,335.68","7,702,954.58","3,221,089.36","4,701,089.36","6,301,089.36","7,888,514.36","4,000,000.00","4,003,125.22","6,677,992.76","7,013,328.31","1,001,401.16","1,046,977.36","1,977,791.11","16,639,992.60",763.95,"1,475,173.47","1,475,955.59","2,320,617.23","40,766.28","37,044,553.65","37,299,732.11","35,461,076.26","4,393,142.16"
取得投资收益收到的现金,"28,000.00","28,000.00",,,,,,"369,906.84","1,238,427.40","248,547.94","365,917.80","365,917.80","427,287.67","1,066,410.96","4,605,654.80","4,909,435.62","5,174,298.63","6,600,000.00","6,600,000.00","9,351,630.14","14,525,112.64","1,751,174.02","22,083,708.15","39,500,207.71","53,424,221.60","4,324,753.34"
筹资活动现金流出小计,"472,491,575.85","691,024,764.31","1,006,431,159.13","712,533,266.43","1,440,383,647.92","460,630,400.07","967,940,257.44","1,448,113,290.98","1,695,775,961.36","480,811,298.63","1,024,548,264.58","1,566,163,423.20","1,957,154,286.12","391,041,247.70","1,860,152,201.65","2,437,704,612.73","3,427,618,073.90","1,014,923,437.10","2,962,627,254.54","4,765,635,237.10","6,637,771,061.96","2,025,899,282.24","4,633,031,656.55","9,329,044,882.19","12,465,459,806.54","2,564,582,038.81"
处置固定资产、无形资产和其他长期资产收回的现金净额,"800,000.00","2,170,518.30","30,130,301.00",,"576,990.52",,,"114,382.80","460,482.18","47,500.00","90,584.66","113,274.66","276,093.83","172,851.22","438,557.91","619,916.48","742,425.55","4,018.61","69,833.04","145,506.15","440,267.79","364,303.60","362,048.63","1,125,588.53","8,878,148.37","14,613.75"
筹资活动产生的现金流量净额,"193,032,744.06","160,675,335.69","245,363,569.54","728,569,336.96","535,718,955.47","507,366,219.30","655,979,684.58","535,806,651.04","549,433,980.66","219,292,909.25","750,597,998.72","878,276,401.20","1,779,485,220.40","501,843,075.70","632,732,121.75","1,446,474,710.67","2,671,376,892.08","1,144,671,054.33","3,181,656,278.25","3,927,039,087.41","8,052,398,899.96","2,175,223,677.23","1,057,696,969.17","908,615,281.72","2,647,442,392.40","573,634,284.69"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-469,594.99","-142,534.57",,,,,,,,,,,,,,,,,,,,"-249,999.88","-234,728.35","-116,406.72","-116,406.72",
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,388,000.00","2,198,518.30","30,130,301.00",,"576,990.52",,,"298,484,289.64","714,698,909.58","180,296,047.94","210,456,502.46","210,479,192.46","310,703,381.50","651,239,262.18","1,161,044,212.71","1,341,529,352.10","1,391,916,724.18","6,604,018.61","306,669,833.04","819,497,136.29","1,464,965,380.43","391,718,693.81","2,434,638,572.93","4,397,818,612.39","6,047,302,369.97","956,339,367.09"
五、现金及现金等价物净增加额,"61,456,040.76","-64,393,416.84","97,547,990.15","172,412,135.05","-6,319,790.93","344,052,195.25","370,896,112.60","131,343,258.27","135,713,793.59","45,368,716.35","152,362,803.80","177,219,544.29","383,540,825.09","-123,439,425.05","-193,123,895.91","140,679,209.78","87,874,444.67","-47,301,977.63","657,584,858.01","526,621,032.80","3,398,139,104.25","-1,524,010,522.53","-3,175,872,343.33","-2,842,072,971.42","-1,776,011,420.14","-675,893,868.77"
购建固定资产、无形资产和其他长期资产支付的现金,"222,310,082.72","405,218,997.86","584,444,158.08","430,183,433.74","657,039,618.18","172,513,209.34","231,827,796.59","443,440,404.44","734,803,603.52","387,838,997.04","743,260,847.95","1,258,748,208.07","1,799,051,855.24","865,484,173.67","1,890,160,643.49","3,023,789,750.97","4,361,888,976.95","1,483,289,386.52","2,674,942,402.54","4,290,126,467.71","6,276,361,160.27","1,871,290,993.34","2,625,914,699.09","3,422,619,696.23","5,047,299,101.29","1,565,375,500.83"
期初现金及现金等价物余额,"81,940,025.76","143,396,066.52","79,002,649.68","176,550,639.83","176,550,639.83","170,230,848.90","170,230,848.90","170,230,848.90","170,230,848.90","305,944,642.49","305,944,642.49","305,944,642.49","305,944,642.49","689,485,467.58","689,485,467.58","689,485,467.58","689,485,467.58","777,359,912.25","777,359,912.25","777,359,912.25","777,359,912.25","4,175,499,016.50","4,175,499,016.50","4,175,499,016.50","4,175,499,016.50","2,715,247,590.06"
投资支付的现金,,,,,,,,"389,000,000.00","849,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","823,000,000.00","540,000,000.00","846,000,000.00","896,000,000.00","896,000,000.00","60,000,000.00","1,000,000,000.00","1,430,000,000.00","1,630,000,000.00","2,005,218,213.74","3,860,000,000.00","5,446,000,000.00","6,781,000,000.00","510,000,000.00"
期末现金及现金等价物余额,"143,396,066.52","79,002,649.68","176,550,639.83","348,962,774.88","170,230,848.90","514,283,044.15","541,126,961.50","301,574,107.17","305,944,642.49","351,313,358.84","458,307,446.29","483,164,186.78","689,485,467.58","566,046,042.53","496,361,571.67","830,164,677.36","777,359,912.25","730,057,934.62","1,434,944,770.26","1,303,980,945.05","4,175,499,016.50","2,651,488,493.97","999,626,673.17","1,333,426,045.08","2,399,487,596.36","2,039,353,721.29"
