科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
可供出售金融资产,,,,,,,,"9,975,000.00","9,382,200.00","9,450,600.00","14,975,000.00","22,975,000.00","26,125,000.00"
长期借款,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,"2,000,000.00","3,124,205.59","9,913,355.18","10,070,996.58","9,824,936.25","9,386,219.46","9,548,070.34","14,463,215.26","14,171,649.49","14,263,947.55","9,463,701.21","10,690,082.04","10,376,009.16"
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,
固定资产,"10,671,281.59","10,300,020.56","8,002,537.07","7,331,922.98","8,706,809.34","7,766,423.96","7,701,997.51","7,128,462.50","6,453,926.90","6,980,652.36","6,207,836.76","5,393,927.74","4,886,783.32"
递延所得税负债,,,,,,,,,,,,,
在建工程,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,
固定资产清理,,,,,,,,,,,,,
负债合计,"195,014,963.14","275,372,552.59","280,374,078.56","260,592,940.54","251,934,700.61","258,662,007.17","242,028,015.24","211,764,167.26","200,155,074.78","200,166,410.45","217,797,412.96","197,661,825.80","222,265,379.01"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00"
油气资产,,,,,,,,,,,,,
资本公积,"44,353,259.88","44,271,202.41","44,271,202.41","44,271,202.41","44,271,202.41","879,777,802.41","879,777,802.41","879,777,802.41","879,777,802.41","879,777,802.41","879,777,802.41","879,777,802.41","879,777,802.41"
无形资产,"495,425.47","633,148.53","561,277.55","442,217.42","471,112.19","1,273,193.98","1,132,333.21","998,511.22","2,460,246.06","2,118,307.95","1,776,369.84","1,434,431.73","1,610,261.49"
盈余公积,"26,126,433.77","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,
商誉,,,,,,,,,,"58,000.00","58,000.00","58,000.00","58,000.00"
未分配利润,"116,388,702.28","242,620,215.63","316,169,373.59","360,864,118.92","404,890,126.31","431,499,593.13","459,133,419.60","489,000,343.54","439,637,255.78","455,978,399.04","486,154,439.66","504,834,491.35","492,389,233.71"
长期待摊费用,"1,743,678.39","1,161,647.31","403,813.70","226,548.41","148,583.86","2,054,835.63","1,649,590.74","1,923,173.31","1,194,158.13","1,313,472.27","973,846.35","1,348,890.85","893,364.28"
少数股东权益,"156,232.08","5,860,696.69","5,373,629.90","6,550,971.56","6,963,554.13","7,441,061.08","7,692,884.96","2,296,370.04","1,057,828.32","-2,109,330.04","-3,387,440.62","-8,006,341.80","-6,586,619.44"
递延所得税资产,"813,938.32","1,721,425.56","1,931,991.51","1,861,762.95","2,505,240.32","2,487,980.06","2,395,884.01","2,206,399.94","2,246,656.97","2,183,347.18","1,860,044.74","2,014,022.19","1,750,611.67"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,"2,380,000.00","3,021,320.75","4,332,641.50","4,332,641.50","5,143,962.24",,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"18,104,323.77","19,961,768.30","25,145,616.51","24,266,089.84","26,800,644.20","22,968,653.09","22,427,875.81","36,694,762.23","35,908,837.55","36,368,327.31","35,314,798.90","43,914,354.55","45,700,029.92"
所有者权益(或股东权益)合计,"262,024,628.01","405,215,514.73","478,283,382.45","524,122,686.85","568,733,280.25","1,456,373,971.45","1,497,021,836.38","1,521,454,055.37","1,470,133,150.48","1,483,236,364.12","1,512,554,710.24","1,526,366,828.29","1,515,673,678.98"
资产总计,"457,039,591.15","680,588,067.32","758,657,461.01","784,715,627.39","820,667,980.86","1,715,035,978.62","1,739,049,851.62","1,733,218,222.63","1,670,288,225.26","1,683,402,774.57","1,730,352,123.20","1,724,028,654.09","1,737,939,057.99"
负债和所有者(或股东权益)合计,"457,039,591.15","680,588,067.32","758,657,461.01","784,715,627.39","820,667,980.86","1,715,035,978.62","1,739,049,851.62","1,733,218,222.63","1,670,288,225.26","1,683,402,774.57","1,730,352,123.20","1,724,028,654.09","1,737,939,057.99"
