科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"3,464,955.03","6,856,320.87","7,761,257.98","8,826,005.03","601,732.26","1,619,747.47","2,664,544.66","3,077,714.86","514,108.61","941,424.13","1,242,127.15","1,298,012.84","270,207.70","441,230.18","664,440.35","1,020,159.77","434,755.63","751,154.93","1,329,893.52","1,647,747.21","407,084.22","787,257.17","1,203,010.32","2,518,142.45","1,639,000.44","2,762,614.07","4,097,420.26","5,737,489.42","1,568,806.57","3,288,741.31","5,310,706.47","6,156,556.27","211,682.15","545,358.66","643,493.54","1,334,123.90","787,496.73","1,287,854.95","1,816,714.06","2,304,245.74","918,615.64","4,804,762.58","5,611,088.65","13,855,810.43","1,046,475.71","10,374,941.13","12,874,941.12"
三、利润总额,"19,451,416.81","91,559,197.93","102,769,840.11","60,586,148.41","16,976,218.42","7,127,656.36","9,001,757.21","5,691,367.11","1,421,087.27","2,910,191.77","6,206,421.76","7,869,572.87","5,692,647.91","6,632,959.75","8,108,863.38","8,675,282.65","1,062,151.17","2,307,443.47","3,307,749.55","5,337,729.23","1,207,805.34","1,726,640.48","1,246,829.26","-40,424,708.33","1,587,781.79","-8,285,901.46","-14,504,432.51","-35,716,602.57","-5,146,115.37","-13,902,951.59","-25,371,418.90","101,038,586.12","4,965,326.97","9,144,893.35","13,078,298.72","-5,645,246.33","-6,404,683.20","-15,172,363.33","-8,708,174.35","38,920,460.48","6,150,682.32","23,260,127.88","29,135,687.59","-1,127,098,241.31","-3,294,154.29","-18,844,272.38","-21,740,954.33"
资产减值损失,,,,"23,006,497.36",,,,"6,233,282.24",,,,"3,616,812.86",,,,"12,017,668.90",,,,"4,336,691.71",,"-329,410.00","-329,410.00","21,992,027.82",,"-196,080.00","-196,080.00","7,550,353.86","-5,272,720.06","-5,514,320.06","-2,843,934.85","-5,839,702.07",,"805,564.13","-6,500.00","992,505.99",,,,"2,677,820.18",,,,"862,874,213.17",,"631,270.87","631,270.87"
减:所得税,,"4,605.99","4,605.99","4,605.99",,"6,048.62","6,048.62",,,,,"308,607.89",,,,"-82,978.24",,,,"-225,629.65",,,,,,,,,,,"652,235.36","1,305,708.10","2,220,005.75","3,114,291.84","5,225,412.62","901,069.59",,"9,383.96","3,415,622.53","7,852,143.16","3,234,812.91","10,854,097.73","12,452,727.37","1,459,791.09",,,
加:公允价值变动净收益,"962,453.81","3,178,057.09","4,534,038.20","3,310,777.13","-2,219,654.06","-4,263,884.25","-4,864,897.70","-5,401,064.62","1,277,577.56","1,821,305.50","1,659,431.96","2,813,666.64","233,158.59","-1,590,408.44","-589,844.61","-553,188.31","30,866.42","-984,516.77","-1,589,892.00","-1,809,175.91","165,924.12","383,445.13","-151,089.37","113,526.73","263,112.59","-63,684.47","385,710.15","557,151.02","-20,922.57","-109,543.20","226,069.69","1,244,379.17","452,180.29","2,456,211.60","1,707,116.35","5,784,719.40","-1,198,649.69","-2,428,571.95","-2,996,209.67","-3,283,382.65","-398,190.90","-709,386.86","-709,386.86","-950,840.62","329,445.27",,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"30,057,571.62","116,946,719.08","139,524,373.51","151,654,479.50","29,591,765.38","32,944,677.31","35,517,431.50","35,571,442.11","3,268,266.37","5,994,394.84","9,426,262.41","14,280,534.32","9,541,960.66","11,837,703.13","19,118,055.01","21,882,812.89","6,262,000.83","13,170,429.45","23,983,225.75","32,530,928.74","4,537,551.17","8,922,727.47","10,066,352.14","10,233,008.36","7,050,858.78","7,066,836.48","12,143,962.88","13,645,314.29","1,136,718.16","5,253,951.75","12,140,431.87","56,560,918.27","4,844.13","2,231,793.96","3,043,139.68","1,604,103.52","-270,935.82","-445,998.23","-430,605.14","-2,063,977.49","-160,186.63","-310,186.63","-460,186.63",,"-763,838.89","-591,983.97","-591,983.97"
四、净利润,"19,451,416.81","91,554,591.94","102,765,234.12","60,581,542.42","16,976,218.42","7,121,607.74","8,995,708.59","5,691,367.11","1,421,087.27","2,910,191.77","6,206,421.76","7,560,964.98","5,692,647.91","6,632,959.75","8,108,863.38","8,758,260.89","1,062,151.17","2,307,443.47","3,307,749.55","5,563,358.88","1,207,805.34","1,726,640.48","1,246,829.26","-40,424,708.33","1,587,781.79","-8,285,901.46","-14,504,432.51","-35,716,602.57","-5,146,115.37","-13,902,951.59","-26,023,654.26","99,732,878.02","2,745,321.22","6,030,601.51","7,852,886.10","-6,546,315.92","-6,404,683.20","-15,181,747.29","-12,123,796.88","31,068,317.32","2,915,869.41","12,406,030.15","16,682,960.22","-1,128,558,032.40","-3,294,154.29","-18,844,272.38","-21,740,954.33"
其中:对联营企业和合营企业的投资权益,,,,"21,574.05",,,,"-88,961.33",,,,"-31,724.48",,,,"106,092.76",,,,"142,107.76",,,,"8,420.58",,,,"33,480.52",,,,,,,,"341,954.90",,,,"-2,198,718.20",,,,,,,
归属于母公司所有者的净利润,"19,890,023.22","92,725,500.79","104,205,548.57","65,107,061.76","17,302,615.27","7,753,391.43","10,095,937.36","6,059,240.11","1,459,386.86","2,988,400.04","6,301,138.97","7,766,005.31","5,727,931.03","6,714,223.62","8,204,500.58","8,869,398.36","1,097,352.12","2,358,456.87","3,390,358.18","5,643,303.53","1,264,868.37","1,822,087.34","1,349,979.50","-39,552,792.79","1,649,931.60","-8,165,703.79","-14,327,300.23","-35,657,071.83","-5,083,840.90","-13,792,390.86","-25,841,412.41","99,953,563.34","2,745,321.22","6,030,601.51","7,852,886.10","-6,546,315.92","-6,404,683.20","-15,181,747.29","-17,130,967.58","4,688,231.20","638,367.42","1,173,640.22","580,778.39","-1,128,558,032.40","-3,294,154.29","-18,844,272.38","-21,740,954.33"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-438,606.41","-1,170,908.85","-1,440,314.45","-4,525,519.34","-326,396.85","-631,783.69","-1,100,228.77","-367,873.00","-38,299.59","-78,208.27","-94,717.21","-205,040.33","-35,283.12","-81,263.87","-95,637.20","-111,137.47","-35,200.95","-51,013.40","-82,608.63","-79,944.65","-57,063.03","-95,446.86","-103,150.24","-871,915.54","-62,149.81","-120,197.67","-177,132.28","-59,530.74","-62,274.47","-110,560.73","-182,241.85","-220,685.32",,,,,,,"5,007,170.70","26,380,086.12","2,277,501.99","11,232,389.93","16,102,181.83",,,,
