科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
减：分出保费,"3,719,000,000.00","6,761,000,000.00","2,616,000,000.00","4,690,000,000.00","6,569,000,000.00","8,435,000,000.00","2,766,000,000.00","5,538,000,000.00","7,776,000,000.00","9,791,000,000.00","4,121,000,000.00","7,500,000,000.00","10,525,000,000.00","13,422,000,000.00","3,777,000,000.00","7,306,000,000.00","10,340,000,000.00","13,384,000,000.00","3,399,000,000.00","6,625,000,000.00","9,188,000,000.00","11,795,000,000.00","3,523,000,000.00","6,864,000,000.00","9,391,000,000.00","15,295,000,000.00","3,822,000,000.00","7,476,000,000.00","10,528,000,000.00","13,437,000,000.00","3,930,000,000.00","7,345,000,000.00","10,413,000,000.00","13,405,000,000.00","4,073,000,000.00","7,486,000,000.00","10,517,000,000.00","13,649,000,000.00","3,982,000,000.00","8,456,000,000.00","12,200,000,000.00","15,784,000,000.00","4,830,000,000.00","9,400,000,000.00","13,813,000,000.00","17,563,000,000.00","5,250,000,000.00"
减：营业外支出,"19,000,000.00","168,000,000.00","5,000,000.00","30,000,000.00","42,000,000.00","60,000,000.00","3,000,000.00","56,000,000.00","80,000,000.00","110,000,000.00","11,000,000.00","69,000,000.00","76,000,000.00","88,000,000.00","7,000,000.00","28,000,000.00","36,000,000.00","55,000,000.00","14,000,000.00","31,000,000.00","45,000,000.00","39,000,000.00","5,000,000.00","20,000,000.00","29,000,000.00","75,000,000.00","6,000,000.00","14,000,000.00","25,000,000.00","83,000,000.00","7,000,000.00","19,000,000.00","35,000,000.00","56,000,000.00","18,000,000.00","35,000,000.00","50,000,000.00","154,000,000.00","11,000,000.00","28,000,000.00","67,000,000.00","107,000,000.00","14,000,000.00","26,000,000.00","61,000,000.00","350,000,000.00","25,000,000.00"
提取未到期责任准备金,"2,592,000,000.00","1,939,000,000.00","1,124,000,000.00","2,386,000,000.00","2,237,000,000.00","1,307,000,000.00","1,753,000,000.00","3,259,000,000.00","3,775,000,000.00","2,424,000,000.00","3,350,000,000.00","5,379,000,000.00","6,009,000,000.00","6,382,000,000.00","2,319,000,000.00","4,447,000,000.00","4,564,000,000.00","4,336,000,000.00","1,420,000,000.00","2,983,000,000.00","3,294,000,000.00","3,594,000,000.00","2,033,000,000.00","4,053,000,000.00","3,910,000,000.00","2,003,000,000.00","2,610,000,000.00","5,309,000,000.00","5,756,000,000.00","5,477,000,000.00","985,000,000.00","1,484,000,000.00","-698,000,000.00","524,000,000.00","1,784,000,000.00","1,934,000,000.00","985,000,000.00","796,000,000.00","2,607,000,000.00","3,773,000,000.00","3,012,000,000.00","2,306,000,000.00","5,016,000,000.00","6,125,000,000.00","4,386,000,000.00","4,608,000,000.00","7,303,000,000.00"
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"13,426,000,000.00","27,009,000,000.00","6,991,000,000.00","16,325,000,000.00","14,818,000,000.00","14,008,000,000.00","3,273,000,000.00","8,882,000,000.00","14,683,000,000.00","19,389,000,000.00","5,322,000,000.00","9,108,000,000.00","12,861,000,000.00","21,067,000,000.00","5,472,000,000.00","11,773,000,000.00","15,811,000,000.00","20,075,000,000.00","4,627,000,000.00","10,774,000,000.00","16,606,000,000.00","22,374,000,000.00","7,013,000,000.00","15,908,000,000.00","23,674,000,000.00","32,277,000,000.00","7,911,000,000.00","17,544,000,000.00","28,538,000,000.00","44,409,000,000.00","15,173,000,000.00","31,230,000,000.00","43,830,000,000.00","55,552,000,000.00","11,169,000,000.00","21,970,000,000.00","34,149,000,000.00","45,630,000,000.00","12,573,000,000.00","23,959,000,000.00","37,408,000,000.00","51,946,000,000.00","12,742,000,000.00","27,541,000,000.00","41,130,000,000.00","53,477,000,000.00","15,554,000,000.00"
四、利润总额,"4,679,000,000.00","8,443,000,000.00","2,236,000,000.00","5,358,000,000.00","3,135,000,000.00","-355,000,000.00","286,000,000.00","3,032,000,000.00","5,348,000,000.00","9,506,000,000.00","3,593,000,000.00","5,037,000,000.00","6,018,000,000.00","10,670,000,000.00","4,260,000,000.00","7,519,000,000.00","8,786,000,000.00","10,399,000,000.00","887,000,000.00","3,481,000,000.00","3,963,000,000.00","6,113,000,000.00","3,114,000,000.00","6,928,000,000.00","10,436,000,000.00","11,914,000,000.00","4,438,000,000.00","9,179,000,000.00","11,923,000,000.00","14,500,000,000.00","7,025,000,000.00","15,581,000,000.00","20,803,000,000.00","24,311,000,000.00","3,204,000,000.00","8,922,000,000.00","12,871,000,000.00","16,085,000,000.00","2,844,000,000.00","9,598,000,000.00","15,852,000,000.00","21,102,000,000.00","6,208,000,000.00","13,712,000,000.00","20,635,000,000.00","28,008,000,000.00","7,764,000,000.00"
其中：对联营企业和合营企业的投资收益,"12,000,000.00","14,000,000.00","15,000,000.00","34,000,000.00","18,000,000.00","9,000,000.00","3,000,000.00","3,000,000.00","4,000,000.00","85,000,000.00","44,000,000.00","-22,000,000.00","-24,000,000.00","-12,000,000.00","3,000,000.00","16,000,000.00","16,000,000.00","16,000,000.00",,,,,,,,,,,,"22,000,000.00","12,000,000.00","18,000,000.00","8,000,000.00","35,000,000.00","9,000,000.00","17,000,000.00","26,000,000.00","18,000,000.00","-5,000,000.00","-2,000,000.00","36,000,000.00","74,000,000.00","94,000,000.00","161,000,000.00","238,000,000.00","335,000,000.00","213,000,000.00"
减：所得税,"743,000,000.00","1,374,000,000.00","417,000,000.00","-259,000,000.00","-839,000,000.00","-1,770,000,000.00","85,000,000.00","632,000,000.00","1,225,000,000.00","2,033,000,000.00","738,000,000.00","967,000,000.00","1,060,000,000.00","2,005,000,000.00","763,000,000.00","1,636,000,000.00","1,704,000,000.00","2,006,000,000.00","233,000,000.00","813,000,000.00","799,000,000.00","983,000,000.00","856,000,000.00","1,382,000,000.00","2,234,000,000.00","2,519,000,000.00","1,176,000,000.00","2,220,000,000.00","2,814,000,000.00","3,255,000,000.00","2,039,000,000.00","4,094,000,000.00","5,511,000,000.00","6,273,000,000.00","955,000,000.00","2,662,000,000.00","3,879,000,000.00","3,801,000,000.00","804,000,000.00","2,953,000,000.00","4,700,000,000.00","6,111,000,000.00","2,376,000,000.00","5,263,000,000.00","7,621,000,000.00","9,574,000,000.00","2,165,000,000.00"
公允价值变动收益,"411,000,000.00","235,000,000.00","-416,000,000.00","-575,000,000.00","-695,000,000.00","-742,000,000.00","132,000,000.00","127,000,000.00","125,000,000.00","140,000,000.00","7,000,000.00","1,000,000.00","245,000,000.00","193,000,000.00","-37,000,000.00","-87,000,000.00","-528,000,000.00","-383,000,000.00","28,000,000.00","77,000,000.00","66,000,000.00","99,000,000.00","47,000,000.00","-72,000,000.00","42,000,000.00","16,000,000.00","-103,000,000.00","166,000,000.00","672,000,000.00","713,000,000.00","733,000,000.00","278,000,000.00","-1,343,000,000.00","52,000,000.00","-609,000,000.00","-582,000,000.00","-243,000,000.00","-768,000,000.00","541,000,000.00","767,000,000.00","1,284,000,000.00","1,443,000,000.00","-795,000,000.00","-1,540,000,000.00","-1,827,000,000.00","-2,168,000,000.00","1,071,000,000.00"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
