科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月
经营活动产生的现金流量净额,"144,051,979.04","34,823,832.36","130,816,969.68","-59,408,306.20","104,206,259.06","-82,136,084.89","-112,216,174.73","-97,963,587.26","141,014,489.70","-79,008,514.32","-57,698,527.42","-51,856,754.37","176,270,894.52","-21,845,269.59","-9,186,061.85","-776,757.81","166,436,045.93","-69,734,930.34","-75,690,014.55","-9,863,020.55","156,595,188.88","-53,026,871.54","-42,020,356.45","-7,935,514.58"
分配股利、利润或偿还利息支付的现金,"29,351,269.81","6,712,748.93","25,858,785.00","2,822,709.86","4,012,150.00","1,094,468.87","81,779,840.67","82,018,403.87","82,098,053.87",,"160,200,000.00","160,200,000.00","160,200,000.00",,"133,500,000.00","133,500,000.00","133,500,000.00",,"172,200,000.00","172,200,000.00","172,200,000.00","6,400,000.00","166,866,432.58","166,866,432.58"
收回投资收到的现金,,,,,,,,,,,,,,,,,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,"4,536,986.30","4,536,986.30","4,538,456.30","4,538,456.30",,"2,205.00","2,205.00"
筹资活动现金流出小计,"29,351,269.81","36,712,748.93","235,858,785.00","112,822,709.86","114,012,150.00","1,094,468.87","141,779,840.67","162,018,403.87","162,098,053.87",,"160,200,000.00","160,200,000.00","160,200,000.00",,"133,500,000.00","133,500,000.00","133,500,000.00",,"172,200,000.00","172,200,000.00","172,200,000.00","6,400,000.00","166,866,432.58","166,866,432.58"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"25,361,288.83","21,043,896.22","2,264,900.24","3,153,602.51",,,"55,594.65","3,665,639.70",,"3,180.00","3,949.64","79,793.13",,,"113,642.67","255,605.28",,,"130,300.00","3,874,343.93",,"2,279,744.45","2,279,744.45"
筹资活动产生的现金流量净额,"-29,339,094.81","224,092,251.12","-65,858,785.00","-22,822,709.86","-24,012,150.00","1,411,616,431.13","1,270,931,059.33","1,250,692,496.13","1,250,612,846.13",,"-160,200,000.00","-160,200,000.00","-160,200,000.00",,"-130,520,000.00","-130,520,000.00","-124,520,000.00",,"-172,200,000.00","-155,760,000.00","-155,760,000.00","-6,400,000.00","-122,561,330.82","-122,561,330.82"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"3,373.89",,,,,,,,,,,,,"19,073,790.93",,,"4,500,000.00",,,,"2,411,000.00",,"3,408,600.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,373.89","25,361,288.83","21,043,896.22","2,264,900.24","3,153,602.51",,,"55,594.65","3,665,639.70",,"3,180.00","3,949.64","79,793.13","19,073,790.93",,"113,642.67","4,755,605.28","104,536,986.30","104,536,986.30","104,668,756.30","110,823,800.23",,"5,690,549.45","2,281,949.45"
五、现金及现金等价物净增加额,"26,282,787.29","154,905,066.06","6,009,150.13","-117,950,331.52","33,239,078.05","1,324,273,232.21","1,144,681,803.00","1,132,747,791.44","1,343,088,321.82","-92,866,477.68","-248,962,624.07","-266,230,123.46","-85,996,698.52","-168,955,126.74","-327,221,977.23","-351,571,219.71","-309,514,085.14","-9,861,567.44","-219,189,428.56","-208,683,796.58","-74,409,182.77","-107,158,980.98","-230,016,203.97","-236,929,088.10"
购建固定资产、无形资产和其他长期资产支付的现金,"70,433,470.83","112,053,632.45","79,992,930.77","37,984,215.70","50,108,633.52","5,207,114.03","14,033,081.60","20,036,712.08","52,204,653.71","13,857,963.36","31,067,276.65","54,177,318.73","102,147,386.17","39,463,648.08","77,869,706.31","110,741,895.50","146,539,527.28","44,663,623.40","65,276,400.31","137,169,532.33","175,508,171.88","47,732,109.44","60,565,066.15","98,154,192.15"
期初现金及现金等价物余额,"12,441,084.17","38,723,871.46","193,628,937.52","199,638,087.65","199,638,087.65","232,877,165.70","232,877,165.70","232,877,165.70","232,877,165.70","1,575,965,487.52","1,575,965,487.52","1,575,965,487.52","1,575,965,487.52","1,489,968,789.00","1,489,968,789.00","1,489,968,789.00","1,489,968,789.00","1,180,454,703.86","1,180,454,703.86","1,180,454,703.86","1,180,454,703.86","1,106,045,521.09","1,106,045,521.09","1,106,045,521.09"
投资支付的现金,,,,,,,,,,,,,,"126,720,000.00",,,"100,000,000.00",,,,,,,
期末现金及现金等价物余额,"38,723,871.46","193,628,937.52","199,638,087.65","81,687,756.13","232,877,165.70","1,557,150,397.91","1,377,558,968.70","1,365,624,957.14","1,575,965,487.52","1,483,099,009.84","1,327,002,863.45","1,309,735,364.06","1,489,968,789.00","1,321,013,662.26","1,162,746,811.77","1,138,397,569.29","1,180,454,703.86","1,170,593,136.42","961,265,275.30","971,770,907.28","1,106,045,521.09","998,886,540.11","876,029,317.12","869,116,432.99"
